Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,423.10,425.00,418.00,419.50,62200,418.00
2012-08-02,423.10,425.00,418.00,418.00,229000,418.00
2012-08-01,415.00,425.60,415.00,422.00,914200,422.00
2012-07-31,421.10,421.10,404.02,417.10,1845300,417.10
2012-07-27,446.90,449.00,440.60,445.98,166000,445.98
2012-07-26,452.30,452.30,436.30,442.31,71300,442.31
2012-07-25,447.00,453.60,442.60,447.30,112900,447.30
2012-07-24,447.20,447.20,440.50,445.30,96900,445.30
2012-07-23,444.20,448.10,435.90,444.90,91400,444.90
2012-07-20,444.10,449.90,440.00,449.90,33300,449.90
2012-07-19,440.00,449.00,435.40,446.00,55600,446.00
2012-07-18,427.40,439.60,425.50,439.60,219100,439.60
2012-07-17,434.60,435.90,425.00,427.70,336100,427.70
2012-07-16,432.60,436.30,430.90,432.30,43500,432.30
2012-07-13,436.40,454.00,431.70,431.70,163600,431.70
2012-07-12,440.40,443.10,436.70,438.00,137600,438.00
2012-07-11,443.00,447.10,443.00,443.90,85200,443.90
2012-07-10,442.80,448.70,442.80,445.80,152300,445.80
2012-07-09,452.80,455.00,445.70,445.70,142000,445.70
2012-07-06,455.00,455.00,449.10,452.70,94700,452.70
2012-07-05,450.10,454.80,442.90,454.00,136200,454.00
2012-07-04,455.70,455.70,445.70,454.00,121500,454.00
2012-07-03,448.00,455.00,448.00,453.40,158800,453.40
2012-07-02,444.20,453.10,443.70,448.00,84700,448.00
2012-06-29,444.10,450.00,442.90,445.50,93100,445.50
2012-06-28,444.30,444.30,435.00,438.90,57500,438.90
2012-06-27,442.80,445.00,434.50,440.80,262200,440.80
2012-06-26,443.80,448.30,440.00,442.90,181100,442.90
2012-06-25,451.00,452.70,445.70,445.70,39400,445.70
2012-06-22,450.00,452.05,442.54,449.30,218000,449.30
2012-06-21,455.10,456.10,451.30,454.00,160300,454.00
2012-06-20,449.90,458.20,442.60,456.00,203100,456.00
2012-06-19,449.00,450.00,444.70,446.40,198500,446.40
2012-06-18,453.50,453.50,440.40,448.40,102400,448.40
2012-06-15,445.30,459.50,440.20,448.20,464800,448.20
2012-06-14,441.40,448.00,438.00,445.23,270800,445.23
2012-06-13,443.90,455.00,430.10,446.10,326200,446.10
2012-06-12,445.50,445.50,432.30,439.70,112400,439.70
2012-06-11,450.40,453.88,438.30,444.30,150400,444.30
2012-06-08,450.60,455.70,441.00,446.50,553000,446.50
2012-06-07,443.90,453.90,439.40,453.90,195300,453.90
2012-06-06,433.00,445.00,429.60,445.00,150100,445.00
2012-06-01,438.60,443.60,428.90,429.40,99500,429.40
2012-05-31,435.30,445.00,429.90,443.50,309400,443.50
2012-05-30,440.80,440.80,424.30,436.90,168700,436.90
2012-05-29,428.80,443.60,427.50,443.60,215200,443.60
2012-05-28,430.00,430.00,420.00,425.00,204100,425.00
