Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,485.40,487.60,476.10,479.90,1086900,480.00
2012-08-02,485.40,487.60,476.10,480.00,1407300,480.00
2012-08-01,478.90,484.40,471.20,483.90,1561500,483.90
2012-07-31,470.80,486.00,467.30,475.30,1757000,475.30
2012-07-27,464.80,475.50,464.10,475.50,1788900,475.50
2012-07-26,455.00,469.00,435.00,469.00,5046300,469.00
2012-07-25,435.72,445.00,390.00,442.00,10488100,442.00
2012-07-24,514.00,522.50,512.50,518.50,1134800,518.50
2012-07-23,522.50,524.50,514.50,514.50,856100,514.50
2012-07-20,539.50,540.00,522.50,526.50,1823400,526.50
2012-07-19,547.50,548.50,542.00,545.00,1108100,545.00
2012-07-18,542.50,546.05,537.00,546.00,814100,546.00
2012-07-17,573.50,573.50,539.00,540.50,1404300,540.50
2012-07-16,566.50,575.00,561.00,573.00,876800,573.00
2012-07-13,554.00,566.50,551.00,566.50,1302400,566.50
2012-07-12,561.00,561.00,552.50,556.50,618900,556.50
2012-07-11,559.00,569.00,555.00,562.50,1220000,562.50
2012-07-10,561.50,563.00,553.50,556.00,980500,556.00
2012-07-09,566.50,566.50,558.50,562.00,860700,562.00
2012-07-06,566.00,570.50,563.50,565.50,917100,565.50
2012-07-05,564.50,566.50,558.50,565.50,922200,565.50
2012-07-04,571.00,571.00,562.00,565.50,786100,565.50
2012-07-03,568.50,573.00,564.00,572.00,912800,572.00
2012-07-02,562.00,567.50,557.00,567.00,928200,567.00
2012-06-29,564.50,565.00,556.50,560.50,969700,560.50
2012-06-28,560.00,561.00,553.25,559.00,1020500,559.00
2012-06-27,557.50,562.00,555.40,559.00,1003200,559.00
2012-06-26,562.00,567.50,551.00,555.00,1858100,555.00
2012-06-25,565.00,566.00,557.00,560.50,1315200,560.50
2012-06-22,559.50,566.00,558.50,566.00,1114800,566.00
2012-06-21,563.00,567.00,559.00,560.00,1351500,560.00
2012-06-20,556.50,564.50,548.50,562.00,925700,562.00
2012-06-19,552.00,558.00,550.00,555.00,838500,555.00
2012-06-18,556.50,558.00,546.50,554.50,783500,554.50
2012-06-15,558.50,560.50,546.50,554.50,2409500,554.50
2012-06-14,541.50,556.50,541.50,556.50,984800,556.50
2012-06-13,540.50,546.50,537.50,544.00,718800,544.00
2012-06-12,540.50,545.50,533.50,540.00,901500,540.00
2012-06-11,551.50,553.00,540.00,541.00,849200,541.00
2012-06-08,536.50,546.00,536.50,545.50,1012400,545.50
2012-06-07,549.50,552.06,539.00,540.50,1150200,540.50
2012-06-06,543.00,549.50,539.00,548.50,1153600,548.50
2012-06-01,546.50,548.00,534.11,542.00,1128700,542.00
2012-05-31,546.50,558.50,545.00,547.50,1158700,547.50
2012-05-30,558.00,558.50,546.00,546.00,1296900,546.00
2012-05-29,561.00,565.50,556.33,557.00,788600,557.00
2012-05-28,562.05,565.50,555.17,562.00,483400,562.00
2012-05-25,562.00,567.00,551.50,560.50,1027000,560.50
2012-05-24,551.00,563.50,541.50,561.50,1678800,561.50
2012-05-23,554.00,556.00,541.00,545.50,2093900,545.50
2012-05-22,556.50,560.00,550.50,556.00,1225700,556.00
2012-05-21,567.00,567.00,551.50,552.50,1392400,552.50
2012-05-18,563.50,579.00,563.48,568.00,1117900,568.00
2012-05-17,568.00,577.00,564.50,568.50,1018900,568.50
2012-05-16,564.00,573.50,564.00,567.50,893300,567.50
2012-05-14,566.00,574.50,562.50,574.50,1272900,574.50
2012-05-11,562.00,571.56,562.00,571.50,977400,571.50
2012-05-10,557.50,569.50,557.50,566.50,1680400,566.50
2012-05-09,558.50,561.50,550.50,552.91,1322700,552.91
2012-05-08,568.00,572.50,557.00,557.00,1475400,557.00
2012-05-04,569.50,572.50,564.00,564.00,1175300,564.00
2012-05-03,572.50,574.50,565.50,570.50,1771700,570.50
2012-05-02,562.00,584.00,562.00,574.00,3107800,574.00
2012-05-01,542.00,553.50,539.00,551.50,1269700,551.50
2012-04-30,546.00,549.50,539.50,543.00,1549200,543.00
2012-04-27,540.00,546.50,534.50,545.50,1009000,545.50
2012-04-26,531.50,542.00,529.50,541.50,1466800,541.50
2012-04-25,536.50,544.00,528.50,529.00,1663700,529.00
2012-04-24,531.00,551.00,531.00,545.50,2307500,545.50
2012-04-23,524.00,535.00,522.27,532.00,1424300,532.00
2012-04-20,528.00,529.00,520.00,526.50,949300,526.50
2012-04-19,537.00,539.00,525.00,528.00,2135600,528.00
2012-04-18,537.00,539.00,527.50,532.50,1469200,532.50
2012-04-17,537.50,543.00,534.00,539.00,1264900,539.00
2012-04-16,528.00,546.00,528.00,536.50,1485700,536.50
2012-04-13,535.50,538.50,529.50,530.50,1442500,530.50
2012-04-12,532.00,538.50,527.50,537.00,979700,537.00
2012-04-11,529.00,538.00,528.38,534.50,1100600,534.50
2012-04-10,535.00,545.00,530.00,530.00,1468600,530.00
2012-04-05,542.00,545.50,536.00,541.00,1060900,541.00
2012-04-04,550.00,551.50,542.00,543.50,1582700,543.50
2012-04-03,548.00,553.00,543.00,550.00,1313700,550.00
2012-04-02,549.50,554.50,542.00,547.50,1341000,547.50
2012-03-30,539.00,548.00,533.50,544.50,1662100,544.50
2012-03-29,525.50,541.50,519.67,536.50,1790600,536.50
2012-03-28,530.50,536.00,522.00,524.50,1292200,524.50
2012-03-27,543.50,543.50,526.50,531.00,668600,531.00
2012-03-26,528.00,540.50,525.50,540.00,1454300,540.00
2012-03-23,519.50,538.00,518.00,528.00,1735300,528.00
2012-03-22,523.00,524.00,515.00,519.00,758700,519.00
2012-03-21,525.50,532.00,517.50,521.00,1534100,521.00
2012-03-20,521.00,529.50,521.00,524.50,1195500,524.50
2012-03-19,526.50,527.50,512.00,523.00,1205100,523.00
2012-03-16,530.00,531.50,521.50,527.50,4108300,527.50
2012-03-15,532.00,537.00,526.00,527.50,1599600,527.50
2012-03-14,529.00,537.50,523.00,533.00,1353300,533.00
2012-03-13,520.50,529.00,519.00,526.00,864300,526.00
2012-03-12,519.00,521.50,512.00,519.50,554600,519.50
2012-03-09,516.00,522.50,513.00,519.00,1262200,519.00
2012-03-08,519.50,524.50,510.00,515.00,1542800,515.00
2012-03-07,501.00,521.50,500.77,516.50,1675800,516.50
2012-03-06,502.50,506.00,493.40,495.10,1040800,495.10
2012-03-05,507.00,508.50,498.30,503.00,1026900,503.00
2012-03-02,511.50,516.50,506.50,510.00,958200,510.00
2012-03-01,518.00,520.00,503.00,505.00,1209100,505.00
2012-02-29,515.50,522.00,514.50,519.00,1070600,519.00
2012-02-28,515.50,516.00,508.00,514.50,548300,514.50
2012-02-27,518.50,518.50,508.50,512.00,1094200,512.00
2012-02-24,520.50,523.50,513.00,519.00,1184000,519.00
2012-02-23,505.00,519.00,505.00,518.50,1635200,518.50
