Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,137.99,145.00,137.00,140.25,24000,142.00
2012-08-02,142.75,145.00,137.00,142.00,49000,142.00
2012-08-01,142.00,142.00,133.43,136.00,55400,136.00
2012-07-31,139.75,143.00,135.03,143.00,62600,143.00
2012-07-27,135.00,137.36,132.50,136.50,37500,136.50
2012-07-26,141.50,141.50,135.75,136.00,24700,136.00
2012-07-25,135.50,141.75,135.25,141.75,25300,141.75
2012-07-24,140.00,141.50,136.25,138.50,23500,138.50
2012-07-23,135.75,142.00,133.75,142.00,83700,142.00
2012-07-20,140.00,143.50,135.75,135.75,37800,135.75
2012-07-19,138.75,144.75,137.50,142.00,88200,142.00
2012-07-18,142.50,142.50,138.00,139.00,28500,139.00
2012-07-17,138.00,141.00,137.25,138.00,16400,138.00
2012-07-16,141.25,142.00,141.25,142.00,7900,142.00
2012-07-13,143.00,143.00,134.00,142.00,117100,142.00
2012-07-12,143.00,144.75,140.25,140.25,400,140.25
2012-07-11,138.00,147.00,135.25,147.00,31900,147.00
2012-07-10,138.00,142.00,135.25,142.00,7000,142.00
2012-07-09,141.25,143.00,139.00,143.00,4000,143.00
2012-07-06,137.50,143.25,137.50,143.25,32800,143.25
2012-07-05,140.00,142.00,137.75,142.00,27400,142.00
2012-07-04,140.00,140.00,137.75,140.00,319100,140.00
2012-07-03,141.25,141.25,138.00,140.00,64000,140.00
2012-07-02,139.50,141.00,135.25,140.00,181800,140.00
2012-06-29,135.00,141.75,133.50,141.25,90300,141.25
2012-06-28,134.75,137.25,132.00,136.00,84600,136.00
2012-06-27,136.00,137.75,133.00,136.00,80400,136.00
2012-06-26,138.00,141.00,136.25,136.25,74000,136.25
2012-06-25,143.00,143.00,136.75,136.75,79800,136.75
2012-06-22,138.25,143.00,138.00,142.50,27700,142.50
2012-06-21,135.50,140.00,134.75,140.00,71200,140.00
2012-06-20,129.00,140.00,129.00,136.00,111800,136.00
2012-06-19,130.25,130.25,126.17,127.75,15200,127.75
2012-06-18,131.50,131.50,125.00,125.00,19000,125.00
2012-06-15,125.00,131.25,123.80,130.00,267900,130.00
2012-06-14,123.00,130.00,123.00,123.00,51400,123.00
2012-06-13,119.75,125.00,119.74,123.00,84100,123.00
2012-06-12,123.00,125.00,115.21,121.75,81600,121.75
2012-06-11,125.00,126.00,123.00,123.75,27100,123.75
2012-06-08,127.00,127.00,121.75,125.00,53200,125.00
2012-06-07,133.75,137.75,125.75,127.00,54900,127.00
2012-06-06,128.50,140.00,126.50,134.50,202200,134.50
2012-06-01,126.00,128.00,123.00,127.00,77500,127.00
2012-05-31,129.50,129.50,124.00,124.00,96700,124.00
2012-05-30,128.00,132.00,127.00,128.75,104600,128.75
2012-05-29,132.75,136.95,130.00,130.50,50900,130.50
2012-05-28,136.00,136.00,132.00,132.00,41300,132.00
2012-05-25,140.00,140.00,132.00,134.00,31800,134.00
2012-05-24,137.00,139.62,135.25,135.25,72000,135.25
2012-05-23,142.75,142.75,135.00,135.25,100400,135.25
2012-05-22,150.00,150.00,141.00,145.00,71400,145.00
2012-05-21,148.00,148.00,143.25,145.25,21400,145.25
2012-05-18,144.00,147.25,142.00,145.25,5800,145.25
2012-05-17,146.00,148.55,141.00,145.50,238800,145.50
2012-05-16,145.00,149.75,143.25,146.00,24400,146.00
2012-05-14,158.00,158.00,152.25,152.50,25700,152.50
2012-05-11,154.00,160.00,153.00,153.00,69600,153.00
2012-05-10,153.00,154.76,152.75,153.00,30300,153.00
2012-05-09,158.25,159.70,151.00,153.00,160800,153.00
2012-05-08,162.00,163.00,158.00,158.00,249400,158.00
2012-05-04,160.50,160.50,158.00,158.00,90800,158.00
2012-05-03,162.00,162.75,160.50,162.00,108600,162.00
2012-05-02,165.00,165.00,160.00,164.00,127500,164.00
2012-05-01,160.25,162.50,158.47,162.50,154300,162.50
2012-04-30,164.00,165.75,162.00,165.00,78500,165.00
2012-04-27,165.50,167.25,162.50,164.00,181000,164.00
2012-04-26,166.00,167.75,166.00,166.00,68800,166.00
2012-04-25,164.00,166.50,162.00,165.50,245300,165.50
2012-04-24,165.00,165.25,163.25,164.00,36200,164.00
2012-04-23,165.50,166.55,164.52,165.00,24600,165.00
2012-04-20,164.75,165.00,162.50,165.00,36800,165.00
2012-04-19,163.50,165.00,162.25,165.00,59000,165.00
2012-04-18,160.75,165.50,158.50,162.00,52100,162.00
2012-04-17,165.50,169.00,159.75,160.00,60200,160.00
2012-04-16,169.75,170.89,164.25,164.25,62100,164.25
2012-04-13,174.00,174.00,168.25,170.25,147200,170.25
2012-04-12,174.75,175.00,171.25,173.00,101700,173.00
2012-04-11,175.00,175.00,170.25,175.00,97400,175.00
2012-04-10,165.75,176.00,164.00,176.00,53900,176.00
2012-04-05,164.00,165.75,161.50,165.50,88100,165.50
2012-04-04,160.00,162.25,156.75,160.00,86800,160.00
2012-04-03,156.75,164.02,156.75,160.00,202500,160.00
2012-04-02,160.00,160.00,154.75,157.50,54800,157.50
2012-03-30,159.75,160.00,157.43,159.50,63600,159.50
2012-03-29,153.25,160.00,153.00,158.75,48000,158.75
2012-03-28,153.75,156.50,151.00,153.50,915100,153.50
2012-03-27,155.00,157.00,152.00,154.50,86300,154.50
2012-03-26,154.50,156.25,152.50,155.00,152200,155.00
2012-03-23,159.50,159.50,151.75,154.50,319600,154.50
2012-03-22,160.00,163.00,157.29,157.75,99600,157.75
2012-03-21,153.25,162.50,152.25,160.00,74700,160.00
2012-03-20,148.25,153.25,148.25,153.25,39600,153.25
2012-03-19,152.75,155.00,150.00,150.00,72400,150.00
2012-03-16,155.25,155.37,150.50,153.50,132700,153.50
2012-03-15,155.25,157.75,152.25,153.00,224100,153.00
2012-03-14,159.25,159.50,156.00,157.56,83600,157.56
2012-03-13,160.00,160.00,156.25,158.00,89600,158.00
2012-03-12,156.50,160.00,155.25,155.50,29300,155.50
2012-03-09,159.50,160.00,156.25,156.50,983100,156.50
2012-03-08,160.00,160.00,158.25,158.50,64900,158.50
2012-03-07,162.50,162.50,157.25,158.75,73700,158.75
2012-03-06,161.00,161.00,157.50,160.25,58300,160.25
2012-03-05,164.50,164.75,160.00,160.75,183200,160.75
2012-03-02,163.00,166.00,162.50,166.00,16900,166.00
2012-03-01,165.75,168.50,161.75,168.50,39400,168.50
2012-02-29,163.00,168.25,163.00,168.25,53400,168.25
2012-02-28,161.00,162.75,159.74,162.75,49100,162.75
2012-02-27,161.50,162.75,159.00,161.00,8600,161.00
2012-02-24,159.75,163.00,158.75,161.00,55000,161.00
2012-02-23,164.50,164.50,157.75,158.00,42000,158.00
2012-02-22,164.50,167.50,163.00,167.50,50200,167.50
2012-02-21,165.25,165.25,162.71,165.00,317800,165.00
2012-02-20,167.75,170.00,165.25,167.50,57400,167.50
2012-02-17,157.25,166.50,155.82,166.50,83900,166.50
2012-02-16,155.75,158.75,155.75,156.00,61000,156.00
2012-02-15,156.00,159.46,150.00,154.50,72200,154.50
2012-02-14,162.75,164.50,154.00,154.75,79500,154.75
2012-02-13,165.00,165.50,160.00,160.00,73900,160.00
2012-02-10,160.00,162.00,158.50,161.75,520900,161.75
2012-02-09,151.00,160.00,150.00,160.00,2824800,160.00
2012-02-08,150.00,153.00,148.25,148.75,63300,148.75
2012-02-07,150.25,158.25,149.00,150.00,641000,150.00
2012-02-06,148.00,151.00,148.00,150.00,92200,150.00
2012-02-03,145.25,149.00,143.50,147.50,66700,147.50
2012-02-02,145.25,147.00,143.50,143.50,23500,143.50
2012-02-01,148.00,149.25,145.00,148.00,141700,148.00
2012-01-31,149.25,150.00,145.00,147.00,52600,147.00
2012-01-30,150.00,150.00,146.25,148.00,27900,148.00
2012-01-27,152.75,153.00,148.75,151.00,60900,151.00
2012-01-26,151.00,151.75,151.00,151.75,8700,151.75
2012-01-25,152.00,153.00,146.75,148.00,42200,148.00
2012-01-24,148.00,152.50,146.50,150.00,58800,150.00
2012-01-23,154.25,154.75,148.00,149.25,53700,149.25
2012-01-20,157.00,160.00,148.75,148.75,69800,148.75
2012-01-19,156.00,160.00,153.00,153.00,1633200,153.00
2012-01-18,160.00,161.75,156.25,159.00,64400,159.00
2012-01-17,163.25,165.00,159.00,159.00,38900,159.00
2012-01-16,164.25,164.25,159.25,163.00,37200,163.00
2012-01-13,162.25,163.50,159.00,159.50,64100,159.50
2012-01-12,152.00,160.75,152.00,160.75,437200,160.75
2012-01-11,145.00,153.00,145.00,153.00,31600,153.00
2012-01-10,148.00,152.00,147.00,150.00,26200,150.00
2012-01-09,148.75,152.00,147.00,152.00,36700,152.00
2012-01-06,155.25,156.00,144.50,150.00,57500,150.00
2012-01-05,157.75,160.00,155.00,156.25,105600,156.25
2012-01-04,170.00,170.00,156.50,156.50,71500,156.50
2012-01-03,153.00,172.75,150.75,172.75,18700,172.75
2011-12-30,150.75,152.75,149.00,150.00,41100,150.00
2011-12-29,150.00,149.00,149.00,149.00,6300,149.00
2011-12-28,151.75,155.00,151.50,152.25,8800,152.25
2011-12-23,152.25,155.00,149.25,155.00,8900,155.00
2011-12-22,149.50,155.00,145.25,150.75,40400,150.75
2011-12-21,141.75,150.20,141.74,150.00,128600,150.00
2011-12-20,140.00,144.75,138.25,141.50,54400,141.50
2011-12-19,135.25,140.25,130.75,140.00,95500,140.00
2011-12-16,138.50,139.50,130.00,135.00,331800,135.00
2011-12-15,139.25,144.25,136.25,144.25,78200,144.25
2011-12-14,134.50,138.50,134.00,138.00,107900,138.00
2011-12-13,141.00,141.50,134.75,134.75,128400,134.75
2011-12-12,143.75,144.00,137.00,137.00,31300,137.00
