Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,117.00,117.00,116.00,116.00,25000,115.60
2012-08-01,115.00,115.60,115.00,115.60,17200,115.60
2012-07-31,116.75,116.75,116.06,116.06,2200,116.06
2012-07-30,117.00,117.00,115.10,116.00,128500,116.00
2012-07-27,116.00,116.00,114.25,115.25,68000,115.25
2012-07-26,116.00,116.00,113.99,114.50,100300,114.50
2012-07-25,116.00,116.00,114.75,114.75,41500,114.75
2012-07-24,116.00,116.00,115.00,115.00,1200,115.00
2012-07-23,117.00,117.00,114.00,114.00,55700,114.00
2012-07-20,116.00,116.00,115.50,115.50,43700,115.50
2012-07-19,117.00,117.00,116.00,116.00,29600,116.00
2012-07-18,116.00,117.00,115.00,116.00,235800,116.00
2012-07-17,117.00,117.00,116.01,117.00,28100,117.00
2012-07-16,116.00,117.00,116.00,117.00,80200,117.00
2012-07-13,117.00,117.00,116.00,116.00,499100,116.00
2012-07-12,117.00,117.00,116.50,116.50,262000,116.50
2012-07-11,116.75,117.00,116.00,116.50,59400,116.50
2012-07-10,116.75,116.75,115.00,115.75,6200,115.75
2012-07-09,115.00,115.26,115.00,115.00,29600,115.00
2012-07-06,115.50,115.50,115.00,115.00,80100,115.00
2012-07-05,116.00,116.00,115.51,115.51,14300,115.51
2012-07-04,115.50,115.50,114.50,115.50,240000,115.50
2012-07-03,115.50,115.51,115.50,115.51,39900,115.51
2012-07-02,117.00,117.00,115.25,116.25,75800,116.25
2012-06-29,115.00,116.25,114.25,116.00,95000,116.00
2012-06-28,116.75,116.75,116.75,116.75,200,116.75
2012-06-27,115.50,115.50,115.00,115.00,13100,115.00
2012-06-26,115.50,115.50,115.50,115.50,42200,115.50
2012-06-25,116.00,116.50,116.00,116.50,60800,116.50
2012-06-22,113.75,114.03,113.75,113.75,35400,113.75
2012-06-21,114.25,114.25,113.75,113.75,261300,113.75
2012-06-20,115.75,116.00,115.00,116.00,3500,116.00
2012-06-19,114.75,115.59,114.50,114.50,35200,114.50
2012-06-18,116.00,116.00,114.00,114.28,77400,114.28
2012-06-15,114.75,115.75,114.25,114.25,130500,114.25
2012-06-14,116.00,116.00,115.75,115.75,2200,115.75
2012-06-13,114.75,114.75,114.00,114.75,135900,114.75
2012-06-12,114.00,115.00,114.00,115.00,126800,115.00
2012-06-11,115.00,115.00,114.26,115.00,18600,115.00
2012-06-08,114.50,114.50,112.50,114.00,61500,114.00
2012-06-07,111.75,114.75,111.50,113.75,20300,113.75
2012-06-06,111.50,114.00,111.25,112.00,585900,112.00
2012-06-01,113.00,113.00,112.00,112.00,166600,112.00
2012-05-31,113.25,116.00,113.00,116.00,59100,116.00
2012-05-30,115.00,115.00,113.00,115.00,80600,115.00
2012-05-29,113.25,114.00,113.25,114.00,111900,114.00
2012-05-28,113.00,115.25,113.00,115.25,26600,115.25
2012-05-25,116.00,116.00,113.01,114.00,93200,114.00
2012-05-24,116.00,116.00,116.00,116.00,1000,116.00
2012-05-23,116.00,116.00,114.00,114.00,42800,114.00
2012-05-22,117.00,117.00,114.00,114.00,57700,114.00
2012-05-21,114.25,114.25,114.00,114.00,12800,114.00
2012-05-14,115.25,115.51,115.00,115.25,197100,115.25
2012-05-11,116.00,116.01,116.00,116.00,68100,116.00
2012-05-10,117.25,117.25,116.00,116.75,500,116.75
2012-05-09,115.00,116.00,115.00,116.00,86900,116.00
2012-05-08,117.75,117.75,115.00,115.00,50100,115.00
2012-05-04,115.50,115.75,115.50,115.75,67900,115.75
2012-05-03,118.00,118.00,115.50,115.75,47200,115.75
2012-05-02,118.00,118.00,116.00,116.00,3400,116.00
2012-05-01,118.00,118.00,116.00,116.00,144200,116.00
2012-04-30,118.00,118.00,118.00,118.00,000,118.00
2012-04-27,118.00,118.00,116.25,118.00,106300,118.00
2012-04-26,118.50,118.50,116.00,116.00,26600,116.00
2012-04-25,117.75,118.00,116.75,116.75,35500,116.75
2012-04-24,117.25,118.00,116.50,116.50,2300,116.50
2012-04-23,117.50,117.50,116.50,116.50,79700,116.50
2012-04-20,117.50,117.50,117.50,117.50,321300,117.50
2012-04-19,118.25,118.25,116.00,118.00,169400,118.00
2012-04-18,119.75,119.75,118.25,118.25,116600,118.25
2012-04-17,119.00,119.00,118.25,118.50,240100,118.50
2012-04-16,119.00,119.75,118.25,119.75,320400,119.75
