Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,886.00,900.00,886.00,895.00,38900,893.93
2012-08-02,886.00,900.00,886.00,893.93,72500,893.93
2012-08-01,895.50,895.50,883.50,888.77,161500,888.77
2012-07-31,853.00,897.14,852.20,853.08,566100,853.08
2012-07-27,830.00,844.00,830.00,844.00,47300,844.00
2012-07-26,833.50,841.00,830.00,841.00,84800,841.00
2012-07-25,835.00,840.00,830.00,830.00,22100,830.00
2012-07-24,840.00,840.00,832.72,837.00,170600,837.00
2012-07-23,836.00,839.50,831.31,835.00,53500,835.00
2012-07-20,815.00,837.00,813.00,837.00,642800,837.00
2012-07-19,813.50,814.17,808.50,813.50,582900,813.50
2012-07-18,809.50,811.00,800.50,810.04,56300,810.04
2012-07-17,806.00,814.50,804.00,806.00,74000,806.00
2012-07-16,812.00,820.00,804.00,808.00,18300,808.00
2012-07-13,814.50,814.50,807.00,810.00,39400,810.00
2012-07-12,806.00,811.58,805.00,811.50,22000,811.50
2012-07-11,805.09,811.00,797.95,808.00,51600,808.00
2012-07-10,812.00,815.00,806.00,808.00,46900,808.00
2012-07-09,815.00,815.00,806.50,811.00,614100,811.00
2012-07-06,815.00,815.08,805.50,815.00,49400,815.00
2012-07-05,815.00,815.08,811.50,815.00,45400,815.00
2012-07-04,810.00,815.08,804.00,815.00,654200,815.00
2012-07-03,815.00,815.00,777.50,814.50,593600,814.50
2012-07-02,808.50,810.49,801.50,810.00,55200,810.00
2012-06-29,815.00,815.00,807.00,807.00,50000,807.00
2012-06-28,811.50,811.50,806.00,808.50,26500,808.50
2012-06-27,815.00,815.00,808.50,808.50,30900,808.50
2012-06-26,807.00,815.00,805.00,810.00,45400,810.00
2012-06-25,807.00,814.50,803.50,803.50,22500,803.50
2012-06-22,823.50,824.00,810.92,812.00,86100,812.00
2012-06-21,809.50,831.50,809.50,825.00,114500,825.00
2012-06-20,814.50,832.50,814.50,832.50,832400,832.50
2012-06-19,823.50,825.00,816.00,819.00,29900,819.00
2012-06-18,817.00,821.48,806.50,806.50,20900,806.50
2012-06-15,819.50,826.50,814.00,815.00,233900,815.00
2012-06-14,832.00,834.00,822.50,822.50,78400,822.50
2012-06-13,832.00,839.00,826.50,830.00,100800,830.00
2012-06-12,838.50,840.00,825.00,830.00,27000,830.00
2012-06-11,842.00,844.00,834.00,834.00,17400,834.00
2012-06-08,841.00,846.50,840.00,844.50,62500,844.50
2012-06-07,862.50,862.50,843.00,845.85,46900,845.85
2012-06-06,846.50,868.09,843.00,868.00,43500,868.00
2012-06-01,846.50,850.00,839.50,846.50,25200,846.50
2012-05-31,833.50,850.09,828.50,850.00,49200,850.00
2012-05-30,820.00,836.50,812.50,836.50,62400,836.50
2012-05-29,824.50,831.00,821.50,821.50,20400,821.50
2012-05-28,820.00,827.00,810.50,820.00,13200,820.00
2012-05-25,810.00,819.50,810.00,815.00,44100,815.00
2012-05-24,817.00,817.00,810.50,813.50,12900,813.50
2012-05-23,802.50,822.50,801.26,812.00,59400,812.00
2012-05-22,830.00,838.00,814.50,819.00,71300,819.00
2012-05-21,827.00,837.50,825.00,825.00,29400,825.00
