Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,294.00,295.00,290.80,293.50,70000,295.00
2012-08-02,294.00,295.00,290.80,295.00,107700,295.00
2012-08-01,289.20,294.62,289.20,291.14,662200,291.14
2012-07-31,300.00,302.00,291.00,298.15,427100,298.15
2012-07-27,309.00,309.00,277.50,278.00,381100,278.00
2012-07-26,309.00,309.00,303.20,307.00,243600,307.00
2012-07-25,305.00,307.50,303.20,305.30,91300,305.30
2012-07-24,305.10,308.40,303.01,305.10,67700,305.10
2012-07-23,305.00,309.20,305.00,305.20,33500,305.20
2012-07-20,308.30,310.50,307.90,309.20,72600,309.20
2012-07-19,308.00,309.90,307.00,309.70,129100,309.70
2012-07-18,307.00,308.50,306.80,307.30,65500,307.30
2012-07-17,309.30,309.30,304.60,305.40,107700,305.40
2012-07-16,311.10,312.12,307.60,307.60,131300,307.60
2012-07-13,309.30,310.75,308.00,310.00,368700,310.00
2012-07-12,314.10,314.10,308.40,310.50,138600,310.50
2012-07-11,315.40,315.99,311.00,314.70,83600,314.70
2012-07-10,311.60,315.70,311.60,315.00,800700,315.00
2012-07-09,313.00,314.10,309.20,310.00,78100,310.00
2012-07-06,313.10,314.00,309.20,311.90,76100,311.90
2012-07-05,311.10,313.50,309.00,312.20,98100,312.20
2012-07-04,312.00,313.42,308.00,310.90,53000,310.90
2012-07-03,308.50,311.90,308.06,311.30,124700,311.30
2012-07-02,304.90,307.55,303.72,307.10,167600,307.10
2012-06-29,308.00,308.00,303.00,303.00,282700,303.00
2012-06-28,306.30,308.90,304.00,304.90,199300,304.90
2012-06-27,305.00,306.60,304.00,305.10,206800,305.10
2012-06-26,306.00,306.20,305.00,305.00,83800,305.00
2012-06-25,313.30,313.30,304.50,304.50,125300,304.50
2012-06-22,312.30,316.00,312.20,312.70,324200,312.70
2012-06-21,307.00,316.00,304.58,314.30,173900,314.30
2012-06-20,307.60,309.11,304.10,308.50,118000,308.50
2012-06-19,309.80,309.80,303.10,308.70,70400,308.70
2012-06-18,308.20,308.20,303.30,304.00,108200,304.00
2012-06-15,310.00,310.00,306.10,306.80,356500,306.80
2012-06-14,306.30,309.90,303.80,305.96,163600,305.96
2012-06-13,306.00,313.00,301.10,305.00,176100,305.00
2012-06-12,313.10,315.60,306.20,306.20,196900,306.20
2012-06-11,315.00,317.00,310.20,314.30,447800,314.30
2012-06-08,314.90,314.90,308.20,312.20,98700,312.20
2012-06-07,310.10,315.80,307.90,315.80,126300,315.80
2012-06-06,303.50,315.90,302.40,315.90,188500,315.90
2012-06-01,308.20,312.70,302.00,302.50,384000,302.50
2012-05-31,311.50,316.70,307.50,308.00,314400,308.00
2012-05-30,308.00,312.70,307.00,312.70,165500,312.70
2012-05-29,306.50,310.40,305.10,309.10,219500,309.10
2012-05-28,302.70,309.08,302.70,307.30,52800,307.30
2012-05-25,301.40,306.56,300.00,304.00,177800,304.00
2012-05-24,301.80,305.84,300.00,302.00,107300,302.00
2012-05-23,299.50,302.30,299.50,302.00,182200,302.00
2012-05-22,298.20,302.42,296.20,300.00,256800,300.00
2012-05-21,298.10,300.90,298.00,298.00,102200,298.00
2012-05-18,300.00,303.80,299.30,299.90,246600,299.90
2012-05-17,302.50,305.80,302.10,302.10,149900,302.10
2012-05-16,298.00,303.91,295.00,302.70,225100,302.70
2012-05-14,292.30,295.25,291.10,295.00,135900,295.00
2012-05-11,290.40,293.80,289.30,293.70,202100,293.70
2012-05-10,288.60,293.10,288.60,290.00,374800,290.00
2012-05-09,291.00,291.60,287.20,288.50,483500,288.50
2012-05-08,301.20,305.57,290.40,290.40,241900,290.40
