Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,117.00,117.00,112.95,113.00,400,117.00
2012-08-02,117.00,117.00,112.50,117.00,9500,117.00
2012-08-01,115.00,117.00,112.00,115.00,404400,115.00
2012-07-31,115.00,115.00,112.00,114.65,153600,114.65
2012-07-27,120.50,121.00,110.00,111.00,122700,111.00
2012-07-26,117.00,121.25,117.00,121.00,54000,121.00
2012-07-25,118.00,122.00,116.00,118.50,111400,118.50
2012-07-24,125.00,126.00,122.21,126.00,42000,126.00
2012-07-23,122.25,126.00,119.00,126.00,104400,126.00
2012-07-20,127.75,127.90,124.00,125.00,51400,125.00
2012-07-19,130.00,130.00,123.00,127.50,122500,127.50
2012-07-18,128.00,133.50,125.00,125.50,65200,125.50
2012-07-17,134.25,135.00,128.00,128.00,46200,128.00
2012-07-16,130.00,134.25,130.00,130.00,6500,130.00
2012-07-13,134.15,134.25,130.00,130.00,11500,130.00
2012-07-12,131.00,132.27,130.00,131.00,62000,131.00
2012-07-11,132.50,133.88,132.00,132.00,32600,132.00
2012-07-10,135.00,137.75,134.50,135.75,64600,135.75
2012-07-09,139.75,139.75,136.00,137.00,36900,137.00
2012-07-06,137.50,138.25,136.26,137.93,281000,137.93
2012-07-05,136.00,141.45,136.00,140.00,40500,140.00
2012-07-04,137.00,142.00,136.60,139.11,1186700,139.11
2012-07-03,137.00,140.00,137.00,140.00,34000,140.00
2012-07-02,139.00,144.00,136.00,137.00,154500,137.00
2012-06-29,142.50,144.00,139.00,144.00,91700,144.00
2012-06-28,139.50,144.00,138.25,144.00,930000,144.00
2012-06-27,141.00,143.25,139.00,140.00,120600,140.00
2012-06-26,137.00,144.00,137.00,144.00,361800,144.00
2012-06-25,137.00,141.94,137.00,139.00,27600,139.00
2012-06-22,138.00,142.75,137.00,137.00,42400,137.00
2012-06-21,143.25,143.62,138.25,142.25,361000,142.25
2012-06-20,140.00,142.00,137.00,140.25,62900,140.25
2012-06-19,141.50,141.50,135.00,141.00,110400,141.00
2012-06-18,139.75,140.00,136.44,139.00,34100,139.00
2012-06-15,138.00,140.00,136.00,140.00,864400,140.00
2012-06-14,138.75,141.40,138.00,138.25,61900,138.25
2012-06-13,137.00,141.50,137.00,138.75,96700,138.75
2012-06-12,141.25,141.25,134.75,138.00,55500,138.00
2012-06-11,141.00,141.75,137.25,140.00,59400,140.00
2012-06-08,137.75,140.75,134.00,140.75,171300,140.75
2012-06-07,136.50,138.50,136.00,137.25,372100,137.25
2012-06-06,134.00,139.00,134.00,137.00,229100,137.00
2012-06-01,140.00,141.47,135.70,139.25,203100,139.25
2012-05-31,139.00,140.00,136.45,140.00,342400,140.00
2012-05-30,134.00,139.75,133.50,139.75,72700,139.75
2012-05-29,139.00,140.00,135.60,139.00,29700,139.00
2012-05-28,140.00,140.00,135.85,139.00,30000,139.00
2012-05-25,136.75,140.00,136.60,139.00,11600,139.00
2012-05-24,132.75,139.75,132.75,137.50,637400,137.50
2012-05-23,135.00,135.00,129.25,129.25,55400,129.25
2012-05-22,126.00,135.00,125.05,135.00,256000,135.00
2012-05-21,133.00,135.55,124.00,126.92,387900,126.92
2012-05-18,128.00,132.50,127.00,128.68,292200,128.68
2012-05-17,132.00,132.95,128.00,128.75,122700,128.75
2012-05-16,135.00,135.65,123.50,130.75,204700,130.75
2012-05-14,140.00,140.00,137.60,139.25,139600,139.25
2012-05-11,140.00,144.00,139.00,143.00,102000,143.00
2012-05-10,141.00,144.75,138.50,143.00,123800,143.00
2012-05-09,140.50,143.00,137.75,143.00,224500,143.00
2012-05-08,144.00,147.75,140.50,143.00,135000,143.00
2012-05-04,149.25,150.00,147.00,147.00,68100,147.00
2012-05-03,143.00,148.75,143.00,148.00,181100,148.00
2012-05-02,146.75,149.40,143.00,145.25,134600,145.25
2012-05-01,145.50,149.40,143.00,145.00,86200,145.00
2012-04-30,147.50,148.00,145.00,146.80,1373100,146.80
2012-04-27,145.00,148.75,145.00,148.00,78400,148.00
2012-04-26,150.00,151.00,144.50,145.00,384300,145.00
2012-04-25,144.50,151.00,144.50,149.50,671700,149.50
2012-04-24,140.75,147.00,138.00,143.25,1000400,143.25
2012-04-23,137.00,139.90,136.75,139.50,83500,139.50
2012-04-20,139.00,141.00,135.92,141.00,111800,141.00
2012-04-19,135.00,139.00,132.20,139.00,198200,139.00
2012-04-18,126.50,127.00,124.00,125.95,237800,125.95
2012-04-17,119.75,126.25,119.75,126.14,68200,126.14
2012-04-16,123.25,123.25,120.00,122.50,51300,122.50
2012-04-13,119.75,122.00,119.25,122.00,174400,122.00
2012-04-12,119.50,120.00,118.65,119.18,626900,119.18
2012-04-11,118.00,119.60,118.00,119.00,81600,119.00
2012-04-10,118.25,119.00,116.50,118.00,132700,118.00
2012-04-05,123.00,123.25,118.90,120.75,137100,120.75
2012-04-04,125.00,125.00,118.00,119.50,174400,119.50
2012-04-03,123.00,125.00,122.50,123.00,126500,123.00
2012-04-02,124.50,124.75,120.05,121.00,311400,121.00
2012-03-30,122.00,128.18,117.82,122.25,253200,122.25
2012-03-29,125.25,128.50,122.50,126.00,528400,126.00
2012-03-28,128.00,128.03,122.90,125.75,37000,125.75
2012-03-27,123.00,128.00,122.62,127.75,19800,127.75
2012-03-26,128.25,128.89,121.75,124.00,124200,124.00
2012-03-23,125.00,126.59,123.42,125.50,299800,125.50
2012-03-22,123.50,126.00,122.20,124.75,75600,124.75
2012-03-21,124.50,128.00,122.00,124.55,543900,124.55
2012-03-20,128.50,130.75,121.80,123.50,183200,123.50
2012-03-19,132.25,134.00,127.00,128.75,218000,128.75
2012-03-16,136.50,137.88,132.00,132.00,144700,132.00
2012-03-15,135.25,139.40,132.50,136.25,73300,136.25
2012-03-14,138.50,139.49,135.60,136.25,43300,136.25
2012-03-13,140.00,140.00,135.75,138.25,111400,138.25
2012-03-12,136.00,140.00,135.50,138.25,22900,138.25
2012-03-09,138.00,139.50,135.88,138.75,55800,138.75
2012-03-08,139.75,140.00,134.01,138.00,34100,138.00
2012-03-07,132.25,139.23,132.00,136.25,320400,136.25
2012-03-06,142.00,144.79,132.40,137.00,146700,137.00
2012-03-05,140.75,145.99,140.00,142.50,148500,142.50
2012-03-02,142.75,146.00,136.05,146.00,206900,146.00
2012-03-01,142.00,143.12,137.05,138.00,71800,138.00
2012-02-29,141.00,142.20,139.40,140.00,71200,140.00
2012-02-28,143.00,143.50,139.25,140.00,95500,140.00
2012-02-27,145.00,146.34,138.25,139.75,156900,139.75
2012-02-24,147.00,147.00,139.65,140.75,4991200,140.75
2012-02-23,144.50,147.78,140.78,146.50,1224000,146.50
2012-02-22,136.14,144.50,136.00,143.00,806600,143.00
2012-02-21,136.25,146.00,136.00,137.24,665300,137.24
2012-02-20,135.00,142.00,132.12,136.35,1114300,136.35
2012-02-17,129.75,129.75,124.25,124.50,64000,124.50
2012-02-16,129.00,130.00,127.00,127.00,32500,127.00
2012-02-15,130.00,130.99,127.80,130.00,27600,130.00
2012-02-14,130.00,130.00,127.80,129.50,56700,129.50
2012-02-13,125.00,130.00,125.00,129.00,85600,129.00
2012-02-10,130.00,131.55,124.00,129.78,355800,129.78
2012-02-09,130.00,132.00,125.32,130.00,126700,130.00
2012-02-08,130.00,130.06,125.25,130.00,191700,130.00
2012-02-07,125.00,129.38,125.00,129.00,15000,129.00
2012-02-06,132.00,132.00,125.00,130.00,115500,130.00
2012-02-03,130.00,133.00,128.15,130.25,81800,130.25
2012-02-02,124.00,135.50,124.00,130.00,281100,130.00
2012-02-01,117.00,122.72,117.00,118.25,56700,118.25
2012-01-31,120.00,123.00,117.00,122.25,41500,122.25
2012-01-30,118.00,121.62,117.50,118.00,1921400,118.00
2012-01-27,120.00,124.00,120.00,121.50,34700,121.50
2012-01-26,121.75,123.00,118.53,123.00,24500,123.00
2012-01-25,119.75,123.00,118.37,120.50,446900,120.50
2012-01-24,118.25,123.00,118.25,120.25,17400,120.25
2012-01-23,118.25,123.00,118.25,119.50,16600,119.50
2012-01-20,117.00,120.00,117.00,119.00,401900,119.00
2012-01-19,115.00,119.86,115.00,119.00,15800,119.00
2012-01-18,113.75,118.25,113.50,118.25,77400,118.25
2012-01-17,111.00,115.23,111.00,113.00,57600,113.00
2012-01-16,111.00,111.00,110.00,110.00,37100,110.00
2012-01-13,111.00,113.50,111.00,111.50,29300,111.50
2012-01-12,110.00,111.00,106.37,111.00,773800,111.00
2012-01-11,108.25,110.50,108.00,109.50,84000,109.50
2012-01-10,108.25,110.19,108.00,109.25,6500,109.25
2012-01-09,108.00,108.28,105.05,108.25,14600,108.25
2012-01-06,103.50,109.75,103.50,108.00,38700,108.00
2012-01-05,103.75,108.75,103.50,104.00,34400,104.00
2012-01-04,103.75,105.00,103.50,103.75,87400,103.75
2012-01-03,106.75,107.32,103.50,104.50,119200,104.50
2011-12-30,104.75,107.84,103.82,105.75,31600,105.75
2011-12-29,104.75,105.25,104.75,105.25,200,105.25
2011-12-28,104.75,107.50,104.25,105.50,2600,105.50
2011-12-23,103.75,107.44,103.75,105.25,700,105.25
2011-12-22,105.75,107.47,103.50,105.00,6000,105.00
2011-12-21,107.00,107.00,104.25,106.25,14100,106.25
2011-12-20,104.50,107.00,104.00,106.00,6100,106.00
2011-12-19,103.50,107.00,103.50,107.00,16000,107.00
2011-12-16,104.00,106.53,104.00,104.50,1483200,104.50
2011-12-15,104.00,106.00,104.00,104.25,11600,104.25
2011-12-14,104.00,107.00,104.00,105.75,49900,105.75
2011-12-13,100.50,106.00,100.50,105.25,412700,105.25
2011-12-12,100.50,102.75,99.25,99.25,24400,99.25
2011-12-09,102.50,103.00,101.50,101.50,3800,101.50
2011-12-08,104.00,104.50,103.00,103.00,7700,103.00
2011-12-07,104.25,104.45,102.85,104.25,4500,104.25
2011-12-06,103.00,104.31,103.00,104.00,8300,104.00
2011-12-05,102.25,104.50,102.25,104.50,23600,104.50
2011-12-02,102.75,103.00,100.47,102.50,48900,102.50
2011-12-01,102.00,103.00,100.40,102.50,12000,102.50
2011-11-30,98.00,103.00,97.93,102.75,59100,102.75
2011-11-29,103.75,103.75,99.00,100.50,10500,100.50
2011-11-28,103.00,104.78,103.00,104.00,16700,104.00
2011-11-25,101.50,104.63,100.56,103.00,21300,103.00
2011-11-24,103.00,103.00,101.00,101.00,16900,101.00
2011-11-23,104.50,106.25,102.00,102.00,39500,102.00
2011-11-22,106.80,106.80,104.50,104.50,2200,104.50
2011-11-21,108.00,111.40,105.00,105.50,26800,105.50
2011-11-18,108.00,111.50,107.77,108.25,434500,108.25
2011-11-17,112.00,112.00,109.00,109.50,156100,109.50
2011-11-16,112.75,112.75,109.00,109.75,27100,109.75
2011-11-15,113.00,113.00,109.00,109.50,63700,109.50
2011-11-14,104.00,112.00,104.00,111.50,59500,111.50
2011-11-11,101.50,104.27,100.00,102.50,233900,102.50
2011-11-10,100.00,104.00,100.00,102.00,98600,102.00
2011-11-09,102.00,103.00,98.50,101.50,67900,101.50
2011-11-08,106.00,106.60,104.12,104.75,51900,104.75
2011-11-07,108.00,110.00,108.00,108.75,251200,108.75
2011-11-04,108.50,110.00,107.90,109.25,77200,109.25
2011-11-03,106.00,108.50,106.00,108.50,24000,108.50
2011-11-02,107.75,108.00,104.00,108.00,61100,108.00
2011-11-01,107.50,107.75,104.05,107.75,83000,107.75
2011-10-31,110.00,111.43,109.00,109.00,194300,109.00
2011-10-28,104.50,110.00,100.00,110.00,262600,110.00
2011-10-27,105.00,105.00,103.65,104.25,23700,104.25
2011-10-26,102.25,104.00,102.10,103.75,41900,103.75
2011-10-25,102.25,104.25,100.00,103.00,47800,103.00
2011-10-24,104.00,104.00,102.62,103.50,6400,103.50
2011-10-21,103.75,104.75,100.50,104.00,86500,104.00
2011-10-20,101.50,104.48,101.50,104.00,14300,104.00
2011-10-19,102.00,104.15,100.25,103.50,10500,103.50
2011-10-18,105.50,107.34,102.75,104.25,41600,104.25
2011-10-17,105.25,107.50,104.41,107.00,364700,107.00
2011-10-14,97.75,105.50,97.75,104.75,470100,104.75
2011-10-13,94.75,98.00,92.18,98.00,94400,98.00
2011-10-12,94.00,97.50,94.00,97.25,33900,97.25
2011-10-11,92.50,96.75,92.00,94.25,80500,94.25
2011-10-10,92.00,92.50,90.00,92.25,13700,92.25
2011-10-07,88.00,91.00,86.25,91.00,93600,91.00
2011-10-06,87.50,91.00,86.00,87.75,201900,87.75
2011-10-05,90.00,90.50,87.25,89.00,66600,89.00
2011-10-04,95.25,95.25,84.93,86.75,310700,86.75
2011-10-03,96.00,96.75,96.00,96.75,46300,96.75
2011-09-30,99.00,99.25,96.00,98.00,168700,98.00
2011-09-29,99.00,100.81,98.50,99.00,79800,99.00
2011-09-28,100.00,101.00,98.50,99.00,911500,99.00
2011-09-27,102.75,103.00,100.00,100.25,518400,100.25
2011-09-26,99.00,100.00,98.50,99.00,81800,99.00
2011-09-23,97.50,100.13,96.14,100.00,34700,100.00
2011-09-22,97.50,98.00,96.00,97.25,64900,97.25
2011-09-21,100.00,103.00,99.00,100.50,76500,100.50
2011-09-20,100.00,102.75,100.00,100.75,1023300,100.75
2011-09-19,98.00,101.00,97.00,101.00,87900,101.00
2011-09-16,100.00,100.00,96.75,100.00,102000,100.00
2011-09-15,96.75,100.00,96.75,99.75,115600,99.75
2011-09-14,92.00,96.50,87.00,96.50,67800,96.50
2011-09-13,97.75,97.75,87.25,93.00,271500,93.00
2011-09-12,98.50,98.72,97.50,97.50,44000,97.50
2011-09-09,100.00,104.38,99.50,99.75,73300,99.75
2011-09-08,101.25,103.00,100.00,100.00,40000,100.00
2011-09-07,103.50,104.75,101.00,102.00,123400,102.00
2011-09-06,105.25,107.50,101.25,102.00,108500,102.00
2011-09-05,103.00,107.00,103.00,104.50,137300,104.50
2011-09-02,105.75,107.00,104.00,105.32,168000,105.32
2011-09-01,106.75,109.00,104.00,107.50,1371900,107.50
2011-08-31,102.50,107.00,102.50,107.00,133700,107.00
2011-08-30,102.00,104.50,99.20,103.00,212500,103.00
2011-08-26,102.00,102.00,98.25,100.25,63100,100.25
2011-08-25,106.00,106.75,102.25,102.50,144200,102.50
2011-08-24,103.00,105.00,103.00,105.00,52400,105.00
2011-08-23,105.25,105.53,102.25,102.25,348900,102.25
2011-08-22,110.00,110.00,103.62,105.00,48600,105.00
2011-08-19,105.00,106.90,102.50,105.25,72100,105.25
2011-08-18,108.25,110.43,103.09,108.25,198400,108.25
2011-08-17,110.75,110.75,109.50,109.50,26500,109.50
2011-08-16,114.50,119.00,112.66,114.50,52700,114.50
2011-08-15,113.00,118.38,113.00,115.35,491400,115.35
2011-08-12,107.75,113.50,107.75,111.00,129900,111.00
2011-08-11,109.00,111.34,107.50,110.25,188400,110.25
2011-08-10,107.25,115.75,105.00,105.00,206900,105.00
2011-08-09,101.00,106.00,96.50,106.00,193900,106.00
2011-08-08,103.50,106.75,99.00,105.00,320300,105.00
2011-08-05,103.00,105.00,99.70,105.00,439900,105.00
2011-08-04,115.56,115.56,103.65,109.00,381100,109.00
2011-08-03,113.00,114.00,109.50,113.50,149000,113.50
2011-08-02,119.00,119.30,113.38,115.25,286900,115.25
2011-08-01,120.25,122.75,119.00,119.00,253900,119.00
2011-07-29,120.00,120.27,118.00,118.25,171500,118.25
2011-07-28,121.25,122.57,121.00,121.00,41400,121.00
