Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,246.00,246.00,241.95,243.99,71600,245.00
2012-08-01,242.70,245.00,242.33,245.00,72300,245.00
2012-07-31,243.80,244.00,242.00,243.50,49700,243.50
2012-07-30,241.20,243.60,237.36,243.60,86800,243.60
2012-07-27,237.80,240.40,237.52,240.20,93300,240.20
2012-07-26,236.50,238.50,235.90,237.00,93100,237.00
2012-07-25,237.30,237.50,235.50,236.00,190600,236.00
2012-07-24,235.60,238.29,235.60,236.10,97200,236.10
2012-07-23,240.00,240.29,236.70,236.70,123600,236.70
2012-07-20,243.40,243.40,240.94,241.90,48700,241.90
2012-07-19,241.10,243.70,241.10,243.70,98200,243.70
2012-07-18,241.00,242.84,240.11,241.00,140800,241.00
2012-07-17,242.90,242.98,241.50,242.00,75800,242.00
2012-07-16,243.00,243.00,241.00,241.50,80200,241.50
2012-07-13,243.50,243.50,241.11,242.80,56200,242.80
2012-07-12,240.80,240.80,240.30,240.80,104000,240.80
2012-07-11,244.10,244.10,241.61,243.30,78900,243.30
2012-07-10,242.50,245.00,240.80,243.90,342500,243.90
2012-07-09,243.80,243.80,240.20,240.70,83300,240.70
2012-07-06,242.80,244.44,241.80,244.00,198000,244.00
2012-07-05,243.10,246.40,241.63,242.80,73900,242.80
2012-07-04,242.00,244.00,239.69,244.00,34300,244.00
2012-07-03,241.90,242.60,238.54,242.60,640600,242.60
2012-07-02,234.30,242.60,234.30,240.00,249600,240.00
2012-06-29,233.40,237.00,233.40,237.00,72900,237.00
2012-06-28,232.40,232.40,230.00,230.40,104500,230.40
2012-06-27,228.00,231.50,228.00,231.40,200900,231.40
2012-06-26,227.30,228.60,225.96,228.40,51400,228.40
2012-06-25,228.20,229.81,226.00,226.00,164800,226.00
2012-06-22,229.90,229.90,228.30,228.80,63900,228.80
2012-06-21,231.00,232.10,229.80,230.10,146700,230.10
2012-06-20,229.50,232.00,229.20,230.91,120300,230.91
2012-06-19,230.60,232.00,228.20,231.90,124600,231.90
2012-06-18,229.10,229.85,228.00,228.10,106600,228.10
2012-06-15,230.20,230.70,226.66,227.12,416900,227.12
2012-06-14,229.30,229.90,226.70,227.30,60000,227.30
2012-06-13,229.00,230.50,227.30,227.80,79300,227.80
2012-06-12,227.40,227.90,226.20,227.10,122500,227.10
2012-06-11,226.50,229.10,226.00,226.40,233400,226.40
2012-06-08,228.50,228.50,224.20,226.70,54500,226.70
2012-06-07,224.10,229.90,222.50,229.30,94900,229.30
2012-06-06,224.10,225.00,222.30,225.00,167300,225.00
2012-06-01,226.30,226.30,222.30,223.00,64600,223.00
2012-05-31,223.40,226.49,221.98,225.00,391100,225.00
2012-05-30,225.30,226.90,222.00,222.80,90800,222.80
2012-05-29,225.00,228.00,225.00,227.90,158800,227.90
2012-05-28,222.00,227.17,222.00,223.70,591000,223.70
2012-05-25,223.40,226.70,222.10,222.60,109700,222.60
2012-05-24,226.00,226.54,223.00,224.20,112500,224.20
2012-05-23,225.70,227.18,222.50,222.80,170700,222.80
2012-05-22,226.70,228.70,224.20,227.50,313100,227.50
2012-05-21,224.70,227.00,224.60,226.25,232600,226.25
2012-05-14,230.10,231.23,227.74,229.20,96900,229.20
2012-05-11,231.30,233.80,230.60,231.80,210300,231.80
2012-05-10,231.10,233.10,231.00,232.80,51200,232.80
2012-05-09,235.40,235.40,231.10,231.60,138700,231.60
2012-05-08,237.10,239.00,232.90,232.90,111600,232.90
2012-05-04,240.50,241.40,238.00,238.40,67500,238.40
2012-05-03,242.00,242.00,240.50,242.00,56900,242.00
2012-05-02,242.00,242.90,240.01,242.00,124100,242.00
2012-05-01,237.10,242.20,237.10,242.20,130000,242.20
2012-04-30,237.10,239.40,237.10,238.20,71000,238.20
2012-04-27,237.60,240.20,236.90,239.90,67000,239.90
2012-04-26,237.00,238.90,237.00,238.00,109400,238.00
2012-04-25,236.80,239.00,236.30,238.20,102800,238.20
2012-04-24,239.00,239.00,236.10,236.70,41600,236.70
2012-04-23,242.50,242.50,235.20,237.00,199700,237.00
2012-04-20,241.80,243.25,240.40,242.50,124400,242.50
2012-04-19,242.60,246.14,242.50,242.50,119400,242.50
2012-04-18,246.80,246.80,243.70,246.50,110200,246.50
2012-04-17,241.70,245.50,241.38,245.50,151500,245.50
2012-04-16,243.70,245.50,242.30,245.00,116000,245.00
2012-04-13,245.90,246.20,244.10,245.10,25000,245.10
2012-04-12,243.00,245.70,242.15,245.40,120500,245.40
2012-04-11,244.10,245.00,240.60,244.00,189900,244.00
2012-04-10,249.00,249.00,240.89,248.80,159200,248.80
2012-04-05,247.60,249.80,245.11,249.00,125200,249.00
2012-04-04,248.70,248.80,244.77,246.00,123000,246.00
2012-04-03,248.90,249.00,247.25,247.70,116100,247.70
2012-04-02,247.60,248.50,243.60,247.00,196000,247.00
2012-03-30,246.20,248.00,243.60,244.90,336800,244.90
2012-03-29,246.20,248.83,245.30,247.50,206700,247.50
2012-03-28,246.30,250.47,244.00,248.00,144300,248.00
2012-03-27,245.90,248.20,245.00,247.00,549000,247.00
2012-03-26,242.70,247.30,242.50,242.50,117900,242.50
2012-03-23,247.50,248.44,242.20,243.30,150500,243.30
2012-03-22,245.40,247.50,244.50,247.50,205600,247.50
2012-03-21,245.20,247.00,243.04,246.60,260200,246.60
2012-03-20,249.10,251.45,242.70,243.20,281000,243.20
2012-03-19,249.20,252.40,248.10,250.30,209300,250.30
2012-03-16,250.70,253.40,247.50,247.50,493900,247.50
2012-03-15,253.70,253.70,250.60,252.50,136500,252.50
2012-03-14,252.80,253.10,250.90,253.10,214700,253.10
2012-03-13,251.70,252.90,250.50,252.30,148800,252.30
2012-03-12,249.80,252.00,248.32,249.00,513800,249.00
2012-03-09,251.00,252.50,250.90,252.00,138500,252.00
2012-03-08,250.90,251.50,248.40,251.50,210000,251.50
2012-03-07,247.20,248.10,245.32,248.10,115300,248.10
2012-03-06,249.40,249.40,244.62,246.50,130500,246.50
