Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,255.00,256.00,252.80,252.80,59700,219.50
2008-09-16,216.25,223.00,216.25,219.50,43700,219.50
2008-09-15,221.00,228.00,221.00,228.00,19400,228.00
2008-09-12,232.00,232.00,232.00,233.50,3700,233.50
2008-09-11,230.00,232.00,230.00,230.50,8400,230.50
2008-09-10,233.00,236.00,233.00,236.00,27600,236.00
2008-09-09,236.00,238.50,235.00,236.50,45100,236.50
2008-09-08,237.50,237.50,237.50,236.00,9100,236.00
2008-09-05,233.75,233.75,229.00,228.50,14800,228.50
2008-09-04,238.00,238.00,237.00,236.00,35900,236.00
2008-09-03,238.00,238.00,238.00,240.00,23000,240.00
2008-09-02,244.00,245.00,244.00,244.25,34000,244.25
2008-09-01,242.00,244.00,242.00,243.50,20500,243.50
2008-08-29,238.00,243.00,234.00,243.25,129000,243.25
2008-08-28,242.00,242.00,241.50,241.75,25400,241.75
2008-08-27,234.00,238.50,234.00,238.00,26300,238.00
2008-08-26,234.00,236.00,234.00,236.00,46000,236.00
2008-08-22,235.00,239.00,235.00,237.00,38900,237.00
2008-08-21,230.50,233.00,230.50,233.00,21100,233.00
2008-08-20,232.00,232.00,231.00,231.00,31700,231.00
2008-08-19,233.50,237.00,231.00,237.00,38500,237.00
2008-08-18,238.00,239.00,237.00,237.00,20200,237.00
2008-08-15,237.50,237.50,237.00,236.50,32800,236.50
2008-08-14,239.00,239.00,236.50,238.00,82600,238.00
2008-08-13,238.00,238.00,236.00,238.00,53400,238.00
2008-08-12,238.50,242.00,238.50,238.50,10900,238.50
2008-08-11,239.00,241.00,235.50,240.00,135200,240.00
2008-08-08,239.50,239.50,238.50,238.50,7800,238.50
2008-08-07,236.00,239.00,236.00,237.50,32800,237.50
2008-08-06,235.50,239.00,235.50,238.00,40300,238.00
2008-08-05,234.50,234.50,234.50,236.00,15800,236.00
2008-08-04,230.00,232.00,230.00,232.00,76200,232.00
2008-08-01,230.00,230.00,230.00,232.00,48600,232.00
2008-07-31,233.00,235.75,232.00,234.50,106500,234.50
2008-07-30,233.00,236.00,233.00,236.00,14300,236.00
2008-07-29,230.00,230.00,230.00,230.00,12400,230.00
