Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,560.50,569.50,559.50,562.50,640100,561.00
2012-08-02,560.50,570.33,559.50,561.00,1738500,561.00
2012-08-01,562.50,569.14,559.50,560.50,1469500,560.50
2012-07-31,571.50,578.50,561.00,561.00,1055100,561.00
2012-07-27,577.00,578.00,563.00,567.50,1210700,567.50
2012-07-26,543.00,569.50,543.00,569.50,2632100,569.50
2012-07-25,544.50,550.00,539.00,542.50,1940200,542.50
2012-07-24,540.50,542.50,527.00,531.00,945800,531.00
2012-07-23,552.00,552.00,537.50,540.50,670800,540.50
2012-07-20,553.00,559.67,551.00,553.50,586800,553.50
2012-07-19,562.00,567.64,552.00,552.00,1028700,552.00
2012-07-18,558.00,565.57,556.00,563.00,551600,563.00
2012-07-17,559.00,565.00,555.00,558.00,985000,558.00
2012-07-16,546.00,559.50,540.54,556.50,1059100,556.50
2012-07-13,545.00,548.50,539.50,548.50,1153200,548.50
2012-07-12,537.50,546.00,536.00,543.00,2286300,543.00
2012-07-11,539.50,544.00,533.50,538.50,1406500,538.50
2012-07-10,536.00,544.00,536.00,538.00,828000,538.00
2012-07-09,531.50,543.50,528.00,534.50,1054000,534.50
2012-07-06,528.00,532.50,524.93,531.00,1757800,531.00
2012-07-05,544.50,548.50,527.00,530.00,1684200,530.00
2012-07-04,539.00,546.00,529.50,546.00,769300,546.00
2012-07-03,533.50,543.00,528.50,539.50,1171100,539.50
2012-07-02,533.50,533.50,525.00,532.00,1168600,532.00
2012-06-29,527.50,534.00,521.00,531.50,1711300,531.50
2012-06-28,532.00,532.50,514.00,516.50,2176100,516.50
2012-06-27,531.00,535.50,524.25,528.00,1191200,528.00
2012-06-26,530.00,535.50,524.00,527.00,924700,527.00
2012-06-25,524.50,532.00,520.00,525.50,588300,525.50
2012-06-22,532.00,532.50,520.00,523.50,1009600,523.50
2012-06-21,527.00,539.00,525.68,536.00,1408100,536.00
2012-06-20,525.00,534.50,523.84,532.00,1416200,532.00
2012-06-19,510.50,524.00,507.00,523.50,1183000,523.50
2012-06-18,508.00,516.50,499.60,511.00,2348200,511.00
2012-06-15,498.50,507.80,494.90,507.50,3521500,507.50
2012-06-14,488.50,499.60,484.96,497.90,965500,497.90
2012-06-13,487.70,495.90,482.40,490.30,989400,490.30
2012-06-12,491.90,494.00,484.50,489.00,1665600,489.00
2012-06-11,509.50,509.50,498.10,499.90,690700,499.90
2012-06-08,493.40,502.50,492.30,500.00,1448800,500.00
2012-06-07,498.70,500.00,491.40,493.80,1034800,493.80
