Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,87.55,88.00,86.00,87.30,182200,87.25
2012-08-02,87.55,88.00,86.00,87.25,337000,87.25
2012-08-01,88.00,88.00,85.00,87.00,1035000,87.00
2012-07-31,88.00,88.30,87.50,88.00,779000,88.00
2012-07-27,83.33,87.40,82.80,87.40,522600,87.40
2012-07-26,83.00,83.95,82.40,82.90,364700,82.90
2012-07-25,81.55,83.00,81.28,82.55,2722700,82.55
2012-07-24,80.50,81.65,80.50,81.15,204800,81.15
2012-07-23,80.55,81.65,80.00,80.70,209300,80.70
2012-07-20,80.40,81.60,79.90,81.55,283600,81.55
2012-07-19,80.65,81.15,79.70,80.10,762600,80.10
2012-07-18,80.10,81.25,79.70,80.55,235600,80.55
2012-07-17,81.00,81.25,79.50,79.55,1225100,79.55
2012-07-16,80.50,81.65,80.25,80.70,229900,80.70
2012-07-13,80.25,80.25,79.20,80.20,522100,80.20
2012-07-12,81.55,81.55,79.00,79.75,486200,79.75
2012-07-11,81.05,82.95,80.15,80.90,306000,80.90
2012-07-10,81.95,82.25,80.55,81.70,420700,81.70
2012-07-09,82.15,82.90,80.25,82.50,1540800,82.50
2012-07-06,83.95,83.95,82.27,82.55,258600,82.55
2012-07-05,86.95,86.95,83.30,83.35,542100,83.35
2012-07-04,84.95,86.45,83.40,86.10,455900,86.10
2012-07-03,84.10,84.75,82.00,84.30,896300,84.30
2012-07-02,83.35,84.55,83.25,84.00,712300,84.00
2012-06-29,82.05,83.90,82.05,83.00,770800,83.00
2012-06-28,82.90,83.80,80.50,81.00,272700,81.00
2012-06-27,81.75,83.40,80.55,83.40,800600,83.40
2012-06-26,81.00,82.00,80.70,81.00,457400,81.00
2012-06-25,81.65,83.00,81.20,81.20,675500,81.20
2012-06-22,81.35,82.95,81.35,82.35,344600,82.35
2012-06-21,83.50,84.30,81.50,82.10,2210600,82.10
2012-06-20,82.00,84.00,80.89,83.85,1578800,83.85
2012-06-19,79.50,82.35,79.16,81.50,1942800,81.50
2012-06-18,78.85,81.85,78.55,79.55,2063400,79.55
2012-06-15,76.40,79.80,74.85,79.75,3700500,79.75
2012-06-14,73.00,77.00,73.00,76.50,1030400,76.50
2012-06-13,73.25,74.25,73.00,73.00,1003200,73.00
2012-06-12,74.15,74.45,72.30,73.25,734000,73.25
2012-06-11,73.10,74.70,73.10,74.45,1912700,74.45
2012-06-08,72.70,72.70,71.55,72.50,1497500,72.50
2012-06-07,72.00,73.65,71.85,72.75,1591800,72.75
2012-06-06,71.75,73.00,71.65,71.90,1627900,71.90
2012-06-01,71.75,72.45,70.85,71.77,1438600,71.77
2012-05-31,72.00,72.67,71.05,72.00,3865800,72.00
2012-05-30,71.10,71.90,70.20,71.10,1682000,71.10
2012-05-29,71.40,72.25,71.15,71.15,1332200,71.15
2012-05-28,71.00,71.75,70.00,71.40,317200,71.40
2012-05-25,70.95,71.75,69.35,70.00,1016300,70.00
2012-05-24,70.70,71.10,70.40,70.50,1469400,70.50
2012-05-23,70.75,70.95,69.46,70.50,1657800,70.50
2012-05-22,71.25,72.10,70.85,71.00,1066900,71.00
2012-05-21,70.25,71.50,70.00,70.89,1038900,70.89
2012-05-18,69.25,72.35,69.20,70.60,2498100,70.60
2012-05-17,67.60,70.25,67.60,69.85,3037800,69.85
2012-05-16,66.40,68.90,65.50,67.75,1262200,67.75
2012-05-14,65.70,66.25,64.25,66.15,736800,66.15
2012-05-11,66.40,66.95,65.50,65.90,392300,65.90
2012-05-10,68.00,68.00,66.40,66.45,748500,66.45
2012-05-09,66.00,66.50,65.00,66.00,758300,66.00
2012-05-08,67.95,68.40,66.60,67.25,1097600,67.25
2012-05-04,68.40,70.00,67.55,67.75,2860100,67.75
2012-05-03,67.55,69.20,67.35,68.70,2782200,68.70
2012-05-02,67.10,68.80,66.20,67.70,812800,67.70
2012-05-01,67.15,68.07,67.15,67.70,318200,67.70
2012-04-30,67.00,68.05,67.00,67.35,217900,67.35
