Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,21.55,21.55,19.28,19.75,127500,19.75
2012-08-02,20.50,20.50,19.28,19.75,249300,19.75
2012-08-01,21.55,21.55,21.05,21.55,26300,21.55
2012-07-31,21.40,21.40,21.40,21.40,9000,21.40
2012-07-27,20.00,20.75,20.00,20.00,32600,20.00
2012-07-26,20.00,20.75,19.50,19.50,33000,19.50
2012-07-25,20.00,20.85,19.50,19.50,142800,19.50
2012-07-24,21.75,21.84,20.00,20.50,227400,20.50
2012-07-23,20.00,21.90,20.00,21.50,86100,21.50
2012-07-20,23.00,23.00,19.75,20.25,363000,20.25
2012-07-19,21.50,22.01,21.50,21.50,82000,21.50
2012-07-18,21.50,22.08,21.50,21.50,102600,21.50
2012-07-17,20.50,22.99,20.50,22.50,234400,22.50
2012-07-16,20.50,21.90,20.50,20.50,89100,20.50
2012-07-13,21.25,22.25,20.50,21.00,71400,21.00
2012-07-12,21.25,21.25,21.25,21.25,49800,21.25
2012-07-11,21.25,22.15,21.25,21.25,30700,21.25
2012-07-10,22.00,22.50,21.25,21.50,557800,21.50
2012-07-09,22.50,23.00,20.75,22.50,438700,22.50
2012-07-06,22.75,23.37,22.50,22.50,89800,22.50
2012-07-05,22.50,23.50,22.50,22.75,191400,22.75
2012-07-04,22.50,23.50,22.50,22.50,132300,22.50
2012-07-03,23.50,23.75,22.50,22.50,355800,22.50
2012-07-02,23.00,23.14,22.58,23.00,184500,23.00
2012-06-29,22.51,23.00,22.51,23.00,73800,23.00
2012-06-28,23.00,23.50,22.51,23.50,135600,23.50
2012-06-27,22.75,23.25,22.01,23.00,295900,23.00
2012-06-26,23.00,23.39,22.50,23.00,327300,23.00
2012-06-25,23.00,24.21,22.25,23.25,337500,23.25
2012-06-22,23.50,24.50,23.45,23.45,130100,23.45
2012-06-21,25.00,25.33,24.00,24.70,876600,24.70
2012-06-20,24.75,25.50,24.50,25.00,869700,25.00
2012-06-19,23.75,24.50,22.50,24.00,1024900,24.00
2012-06-18,22.00,23.95,21.50,22.50,260500,22.50
