Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,106.00,106.00,104.90,106.00,130100,105.60
2012-08-01,105.20,105.90,105.20,105.60,332800,105.60
2012-07-31,104.90,106.00,104.90,106.00,343300,106.00
2012-07-30,105.40,106.00,104.69,106.00,372500,106.00
2012-07-27,104.70,105.20,104.20,105.20,324700,105.20
2012-07-26,104.90,105.10,104.10,105.10,283400,105.10
2012-07-25,103.90,105.00,103.90,105.00,565000,105.00
2012-07-24,104.90,105.00,103.90,103.90,347200,103.90
2012-07-23,103.90,104.70,103.90,104.50,752400,104.50
2012-07-20,105.00,105.00,104.10,104.80,288400,104.80
2012-07-19,103.00,105.00,103.00,104.70,367700,104.70
2012-07-18,103.20,103.50,102.50,103.00,679000,103.00
2012-07-17,103.30,104.50,102.53,103.50,389600,103.50
2012-07-16,103.60,104.50,102.70,102.70,682200,102.70
2012-07-13,103.90,104.50,103.40,103.80,423200,103.80
2012-07-12,103.20,103.20,102.20,103.20,301200,103.20
2012-07-11,103.40,103.40,102.20,102.20,373000,102.20
2012-07-10,103.90,104.00,102.60,102.80,367000,102.80
2012-07-09,104.10,104.95,103.80,103.80,466100,103.80
2012-07-06,106.40,106.40,101.90,104.50,622400,104.50
2012-07-05,107.00,107.30,105.80,106.10,881200,106.10
2012-07-04,107.00,107.30,106.40,107.30,545600,107.30
2012-07-03,105.80,107.00,105.70,107.00,692600,107.00
2012-07-02,103.70,106.50,103.70,106.50,1084800,106.50
2012-06-29,103.90,104.20,103.60,104.20,671500,104.20
2012-06-28,103.80,103.90,103.50,103.80,247200,103.80
2012-06-27,103.20,103.80,103.20,103.80,489600,103.80
2012-06-26,103.40,103.70,103.11,103.50,444700,103.50
2012-06-25,103.10,104.30,103.10,103.20,925800,103.20
2012-06-22,103.60,103.64,103.20,103.60,337900,103.60
2012-06-21,103.20,104.00,102.90,103.50,347100,103.50
2012-06-20,103.80,104.03,103.00,103.60,652200,103.60
2012-06-19,104.10,104.30,103.60,104.00,304000,104.00
2012-06-18,103.80,104.20,103.10,103.80,717900,103.80
