Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,586.00,587.39,572.00,581.89,6000,368.00
2008-09-16,370.00,373.00,366.00,368.00,18400,368.00
2008-09-15,377.00,387.00,377.00,387.00,3400,387.00
2008-09-12,390.00,391.75,390.00,388.50,9600,388.50
2008-09-11,385.00,391.00,385.00,387.00,6600,387.00
2008-09-10,392.00,392.00,386.00,388.00,42200,388.00
2008-09-09,405.00,405.00,405.00,397.50,11100,397.50
2008-09-05,398.00,398.00,398.00,394.00,5500,394.00
2008-09-04,394.00,394.00,394.00,397.50,4300,397.50
2008-09-03,393.00,393.00,392.00,396.00,9400,396.00
2008-09-02,392.00,398.50,392.00,402.00,14100,402.00
2008-09-01,389.00,391.00,389.00,391.00,5100,391.00
2008-08-29,388.00,389.00,388.00,390.50,19700,390.50
2008-08-28,381.00,385.00,381.00,387.00,8200,387.00
2008-08-27,379.50,379.50,379.50,379.50,2700,379.50
2008-08-26,378.00,378.00,378.00,377.50,9600,377.50
2008-08-22,381.00,381.00,380.00,380.50,2900,380.50
2008-08-21,379.50,379.50,378.50,378.50,8300,378.50
2008-08-20,371.00,375.00,371.00,375.00,8600,375.00
2008-08-19,372.00,372.00,372.00,374.00,1800,374.00
2008-08-18,385.00,385.00,385.00,383.50,12500,383.50
2008-08-15,380.00,382.00,380.00,384.00,13700,384.00
2008-08-14,375.00,380.00,372.00,380.00,18100,380.00
2008-08-13,374.00,374.00,374.00,375.50,10600,375.50
2008-08-12,371.00,377.00,370.00,377.00,40500,377.00
2008-08-11,370.00,370.00,370.00,374.50,1200,374.50
2008-08-08,369.00,369.00,369.00,369.00,5500,369.00
2008-08-07,373.00,373.00,373.00,368.50,1500,368.50
2008-08-06,363.00,373.00,363.00,363.50,29400,363.50
2008-08-05,357.00,358.25,357.00,356.50,8200,356.50
2008-08-04,356.00,356.00,356.00,353.25,3000,353.25
2008-08-01,350.00,350.00,350.00,353.50,4900,353.50
2008-07-31,354.25,358.00,354.00,358.00,24600,358.00
2008-07-30,357.00,357.00,353.00,357.00,49700,357.00
2008-07-29,350.00,354.00,350.00,354.00,49100,354.00
2008-07-28,345.00,347.00,345.00,347.50,9600,347.50
2008-07-25,343.00,348.00,343.00,345.00,25700,345.00
2008-07-24,345.00,346.00,345.00,347.00,10900,347.00
2008-07-23,345.00,345.00,345.00,347.50,10500,347.50
2008-07-22,348.00,348.00,348.00,348.00,1700,348.00
2008-07-21,348.00,348.00,348.00,348.00,2000,348.00
2008-07-18,342.00,352.00,342.00,352.00,32700,352.00
2008-07-17,337.00,344.00,337.00,344.00,19100,344.00
2008-07-16,331.00,331.00,331.00,332.50,12900,332.50
2008-07-15,330.00,333.50,330.00,333.50,11000,333.50
2008-07-14,338.50,342.00,335.00,343.00,20700,343.00
2008-07-11,335.00,335.00,335.00,338.50,5800,338.50
2008-07-10,327.00,345.00,327.00,345.00,28900,345.00
2008-07-09,333.80,333.80,331.00,331.00,11400,331.00
2008-07-08,329.00,335.00,326.00,331.50,25900,331.50
2008-07-07,340.00,340.00,336.00,336.00,2200,336.00
2008-07-04,332.00,340.00,332.00,340.00,40900,340.00
2008-07-03,345.00,345.00,343.00,337.00,16800,337.00
2008-07-02,355.00,357.00,346.00,357.00,35400,357.00
2008-07-01,357.00,358.00,349.00,358.00,19800,358.00
2008-06-30,361.00,361.00,357.00,357.00,3600,357.00
2008-06-27,363.00,363.00,363.00,364.50,1700,364.50
2008-06-26,375.00,375.00,363.00,366.00,26200,366.00
2008-06-25,368.00,368.00,366.75,371.75,13100,371.75
2008-06-24,379.00,379.00,368.00,368.00,27800,368.00
2008-06-23,384.00,384.00,384.00,382.00,14500,382.00
2008-06-20,384.00,384.00,375.00,375.00,3000,375.00
2008-06-19,376.00,380.00,376.00,380.00,19300,380.00
2008-06-18,388.00,388.00,380.00,383.00,6000,383.00
2008-06-17,378.00,388.00,378.00,387.00,43100,387.00
2008-06-16,377.00,387.00,377.00,386.00,7500,386.00
2008-06-13,380.00,380.00,380.00,386.00,4600,386.00
2008-06-12,381.00,381.00,381.00,381.00,16200,381.00
2008-06-11,388.00,388.00,380.00,380.00,6400,380.00
2008-06-10,392.00,392.00,390.00,395.00,7600,395.00
2008-06-09,399.00,399.00,399.00,399.00,700,399.00
2008-06-06,398.00,403.75,398.00,400.00,13000,400.00
2008-06-05,388.00,392.00,388.00,388.50,10400,388.50
2008-06-04,385.00,385.00,385.00,387.50,2800,387.50
2008-06-03,392.00,392.00,390.00,393.00,14400,393.00
2008-06-02,392.00,392.00,385.00,389.50,16200,389.50
2008-05-30,392.00,397.00,392.00,400.00,22000,400.00
2008-05-29,391.00,391.00,391.00,395.00,9800,395.00
2008-05-28,390.00,390.00,390.00,393.00,2500,393.00
2008-05-27,399.00,399.00,390.75,399.00,7800,399.00
2008-05-23,394.00,399.00,392.00,398.00,27900,398.00
