Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,72.50,73.90,72.50,73.75,548500,73.30
2012-08-01,73.45,73.68,72.43,73.30,355100,73.30
2012-07-31,73.45,73.45,72.25,72.60,786100,72.60
2012-07-30,73.25,73.50,72.05,73.50,670300,73.50
2012-07-27,72.90,73.68,72.55,73.40,543300,73.40
2012-07-26,71.70,73.10,71.50,72.85,566100,72.85
2012-07-25,71.75,72.40,71.65,71.75,940700,71.75
2012-07-24,71.50,72.92,71.50,72.70,1239100,72.70
2012-07-23,72.00,72.40,71.70,71.90,872300,71.90
2012-07-20,74.00,74.00,72.42,73.00,385800,73.00
2012-07-19,73.00,73.50,72.10,73.45,665600,73.45
2012-07-18,73.50,73.55,71.65,72.50,868200,72.50
2012-07-17,75.10,75.20,73.80,73.80,364300,73.80
2012-07-16,74.95,75.00,73.77,74.20,410500,74.20
2012-07-13,74.50,75.65,73.75,75.20,580000,75.20
2012-07-12,74.50,74.50,73.50,74.45,868800,74.45
2012-07-11,75.25,75.66,74.80,75.45,315500,75.45
2012-07-10,75.60,76.35,73.25,76.05,1217200,76.05
2012-07-09,76.20,76.20,74.25,75.95,629700,75.95
2012-07-06,75.65,76.65,74.40,76.65,587300,76.65
2012-07-05,75.45,77.15,74.36,75.50,387100,75.50
2012-07-04,75.75,75.75,74.34,75.65,499300,75.65
2012-07-03,75.60,75.90,74.90,75.90,361400,75.90
2012-07-02,75.00,76.00,74.74,75.95,450500,75.95
2012-06-29,74.25,75.42,74.25,75.40,513000,75.40
2012-06-28,74.50,74.50,73.30,73.95,281100,73.95
2012-06-27,73.50,74.49,73.50,74.45,520800,74.45
2012-06-26,72.70,73.45,72.56,73.45,471800,73.45
2012-06-25,74.00,74.00,72.42,72.65,320900,72.65
2012-06-22,73.50,74.30,72.95,73.40,665200,73.40
2012-06-21,75.25,75.25,73.50,73.50,480100,73.50
2012-06-20,75.25,75.95,74.80,75.05,504200,75.05
2012-06-19,74.60,75.75,74.60,75.70,525900,75.70
2012-06-18,75.00,75.35,73.76,74.80,657200,74.80
2012-06-15,73.95,76.05,73.25,76.00,1953600,76.00
2012-06-14,74.65,75.00,73.00,73.95,476800,73.95
2012-06-13,73.05,75.00,73.00,74.65,709000,74.65
2012-06-12,73.50,74.45,72.75,73.80,820500,73.80
2012-06-11,74.20,74.61,73.15,73.50,558000,73.50
2012-06-08,75.00,75.00,72.72,73.50,526000,73.50
2012-06-07,73.70,75.45,73.00,75.25,1177800,75.25
2012-06-06,73.00,73.78,72.11,73.30,803700,73.30
2012-06-01,72.95,73.55,72.00,72.35,745700,72.35
2012-05-31,73.05,73.95,72.22,72.90,796400,72.90
2012-05-30,73.55,74.10,72.15,72.30,912500,72.30
2012-05-29,74.40,75.10,74.00,74.05,370700,74.05
