Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,2.90,3.05,2.85,2.96,161700,2.96
2012-08-02,2.85,2.96,2.85,2.96,161700,2.96
2012-08-01,3.00,3.10,2.83,3.10,273300,3.10
2012-07-31,3.05,3.07,2.88,3.02,429700,3.02
2012-07-27,2.90,3.00,2.80,3.00,3389400,3.00
2012-07-26,2.85,3.15,2.85,2.90,660500,2.90
2012-07-25,2.75,2.80,2.55,2.80,1945100,2.80
2012-07-24,2.76,2.88,2.75,2.76,201100,2.76
2012-07-23,2.84,2.89,2.83,2.83,13300,2.83
2012-07-20,2.95,3.06,2.84,2.84,165100,2.84
2012-07-19,3.00,3.07,2.88,3.07,9863500,3.07
2012-07-18,3.00,3.05,2.80,2.82,330500,2.82
2012-07-17,3.00,3.03,2.80,2.80,1797200,2.80
2012-07-16,2.97,3.15,2.97,3.15,94600,3.15
2012-07-13,3.13,3.14,2.96,3.02,125600,3.02
2012-07-12,3.20,3.24,3.05,3.22,299800,3.22
2012-07-11,3.01,3.04,3.01,3.04,302400,3.04
2012-07-10,3.00,3.13,2.92,2.92,320500,2.92
2012-07-09,3.00,3.33,2.95,2.95,910800,2.95
2012-07-06,3.00,3.39,3.00,3.15,2140900,3.15
2012-07-05,3.00,3.35,3.00,3.10,12526000,3.10
2012-07-04,3.10,3.10,3.00,3.00,574600,3.00
2012-07-03,3.10,3.10,3.00,3.00,512300,3.00
2012-07-02,3.05,3.15,3.01,3.02,2426900,3.02
2012-06-29,3.10,3.17,2.97,2.97,820900,2.97
2012-06-28,3.10,3.12,2.92,3.05,408000,3.05
2012-06-27,2.98,3.13,2.92,2.92,130000,2.92
2012-06-26,3.31,3.31,3.08,3.15,142700,3.15
2012-06-25,3.10,3.30,2.91,2.91,1215400,2.91
2012-06-22,3.10,3.32,3.00,3.00,204100,3.00
2012-06-21,3.25,3.30,3.20,3.20,97700,3.20
2012-06-20,3.40,3.40,3.25,3.25,108800,3.25
2012-06-19,3.22,3.55,3.22,3.40,728900,3.40
2012-06-18,3.41,3.42,3.11,3.42,156300,3.42
2012-06-15,3.13,3.29,3.03,3.25,1344600,3.25
2012-06-14,3.50,3.67,2.86,3.20,2812000,3.20
2012-06-13,3.70,3.70,3.42,3.50,2242200,3.50
2012-06-12,3.51,3.74,3.30,3.56,4037100,3.56
2012-06-11,3.50,3.86,3.50,3.73,1653300,3.73
2012-06-08,3.60,3.60,3.27,3.47,1197600,3.47
2012-06-07,3.50,3.60,3.30,3.60,375100,3.60
2012-06-06,3.27,3.48,3.27,3.30,1000900,3.30
2012-06-01,3.40,3.40,3.29,3.38,544600,3.38
2012-05-31,3.35,3.46,3.30,3.38,654800,3.38
2012-05-30,3.40,3.52,3.35,3.35,341200,3.35
2012-05-29,3.48,3.50,3.35,3.35,493500,3.35
2012-05-28,3.27,3.47,3.27,3.28,503900,3.28
2012-05-25,3.50,3.50,3.32,3.38,896500,3.38
2012-05-24,3.21,3.50,3.20,3.26,3294700,3.26
