Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1115.00,1132.30,1102.00,1103.00,37000,1122.00
2012-08-01,1117.00,1127.00,1111.62,1122.00,9500,1122.00
2012-07-31,1111.00,1121.00,1111.00,1115.00,16100,1115.00
2012-07-30,1115.00,1125.00,1114.00,1115.00,32200,1115.00
2012-07-27,1097.00,1110.00,1087.00,1110.00,55500,1110.00
2012-07-26,1059.00,1096.00,1056.00,1096.00,50300,1096.00
2012-07-25,1063.00,1069.69,1054.02,1063.00,22300,1063.00
2012-07-24,1069.00,1076.79,1057.00,1057.00,34200,1057.00
2012-07-23,1083.00,1083.99,1064.00,1069.00,29000,1069.00
2012-07-20,1116.00,1120.00,1088.00,1090.00,57300,1090.00
2012-07-19,1093.00,1118.00,1091.20,1114.00,71800,1114.00
2012-07-18,1080.00,1096.00,1079.00,1096.00,30400,1096.00
2012-07-17,1088.00,1094.40,1075.00,1087.00,65400,1087.00
2012-07-16,1086.00,1089.00,1079.00,1089.00,31800,1089.00
2012-07-13,1087.00,1090.00,1072.00,1090.00,109300,1090.00
2012-07-12,1073.00,1080.00,1070.00,1080.00,12400,1080.00
2012-07-11,1079.00,1090.00,1071.00,1090.00,66700,1090.00
2012-07-10,1073.00,1090.00,1066.68,1083.00,52000,1083.00
2012-07-09,1064.00,1077.40,1061.00,1074.00,54000,1074.00
2012-07-06,1082.00,1082.00,1065.00,1070.00,40700,1070.00
2012-07-05,1103.00,1110.00,1083.00,1083.00,34700,1083.00
2012-07-04,1103.00,1103.00,1095.00,1098.00,57300,1098.00
2012-07-03,1095.00,1103.00,1089.00,1099.00,123700,1099.00
2012-07-02,1080.00,1103.00,1074.43,1095.00,80700,1095.00
2012-06-29,1070.00,1085.00,1059.00,1082.00,43800,1082.00
2012-06-28,1048.00,1048.00,1034.00,1044.00,21700,1044.00
2012-06-27,1038.00,1048.00,1033.00,1048.00,25700,1048.00
2012-06-26,1045.00,1045.00,1030.00,1036.00,68700,1036.00
2012-06-25,1047.00,1050.56,1039.00,1045.00,82700,1045.00
2012-06-22,1053.00,1060.00,1050.19,1060.00,52700,1060.00
2012-06-21,1060.00,1069.00,1055.00,1063.00,33600,1063.00
2012-06-20,1065.00,1065.00,1056.67,1060.00,51900,1060.00
2012-06-19,1042.00,1065.00,1038.11,1064.00,78600,1064.00
2012-06-18,1055.00,1060.00,1038.00,1043.00,123800,1043.00
2012-06-15,1038.00,1055.00,1036.56,1046.00,197900,1046.00
2012-06-14,1041.00,1041.00,1028.31,1039.00,18700,1039.00
2012-06-13,1032.00,1041.00,1023.00,1031.00,29200,1031.00
2012-06-12,1040.00,1040.00,1023.00,1023.00,60600,1023.00
2012-06-11,1042.00,1050.00,1033.00,1045.00,122700,1045.00
2012-06-08,1028.00,1030.00,1017.00,1030.00,148400,1030.00
2012-06-07,1025.00,1041.00,1020.00,1020.00,59000,1020.00
2012-06-06,999.50,1025.00,999.50,1025.00,44000,1025.00
2012-06-01,1005.00,1013.00,985.01,992.00,34200,992.00
2012-05-31,1010.00,1015.00,1002.00,1004.00,31100,1004.00
2012-05-30,1022.00,1024.00,1005.00,1007.00,32400,1007.00
2012-05-29,1015.00,1032.00,1012.00,1031.00,141200,1031.00
2012-05-28,1026.00,1028.00,1010.00,1010.00,40800,1010.00
2012-05-25,1004.00,1019.00,1002.00,1018.00,304700,1018.00
2012-05-24,995.00,1007.00,992.00,1004.00,53500,1004.00
2012-05-23,1018.00,1018.00,998.00,1000.00,108700,1000.00
2012-05-22,1013.00,1030.00,1011.00,1025.00,97800,1025.00
2012-05-21,1012.00,1015.00,1005.00,1009.00,51400,1009.00
2012-05-14,1029.00,1037.00,1011.00,1021.00,70300,1021.00
