Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,235.90,240.70,233.40,237.00,1627800,236.20
2012-08-02,236.35,240.70,233.40,236.20,2630100,236.20
2012-08-01,223.90,232.62,222.60,230.20,2351400,230.20
2012-07-31,227.50,228.50,221.00,223.40,1294700,223.40
2012-07-27,219.00,221.10,213.64,220.50,2021300,220.50
2012-07-26,214.40,215.80,210.00,214.10,2150800,214.10
2012-07-25,206.80,217.30,205.05,212.90,4316600,212.90
2012-07-24,205.30,206.40,203.71,205.40,984800,205.40
2012-07-23,207.50,207.50,200.30,204.20,1338000,204.20
2012-07-20,208.70,210.00,206.00,207.70,1642000,207.70
2012-07-19,208.00,210.30,203.91,208.70,3262200,208.70
2012-07-18,201.80,206.80,200.90,206.40,1706800,206.40
2012-07-17,199.80,207.30,199.10,200.90,2378900,200.90
2012-07-16,188.90,201.30,188.10,200.00,2486100,200.00
2012-07-13,186.70,192.16,184.70,189.70,1600200,189.70
2012-07-12,190.00,204.65,186.00,187.40,3250400,187.40
2012-07-11,190.79,194.10,186.10,190.00,3453200,190.00
2012-07-10,212.60,215.80,202.60,204.40,4341100,204.40
2012-07-09,216.50,216.50,210.30,211.50,2266500,211.50
2012-07-06,214.20,216.00,212.79,215.00,1845300,215.00
2012-07-05,220.50,220.80,211.50,213.60,2464700,213.60
2012-07-04,222.90,224.20,218.10,220.20,2007200,220.20
2012-07-03,234.00,234.00,223.10,223.10,1771900,223.10
2012-07-02,224.90,234.40,222.90,233.50,2459500,233.50
2012-06-29,223.20,225.70,220.40,224.30,1749900,224.30
2012-06-28,216.10,218.40,214.60,218.40,1341400,218.40
2012-06-27,214.80,215.60,212.89,215.00,1040600,215.00
2012-06-26,214.00,217.00,212.20,213.60,1485600,213.60
2012-06-25,216.70,217.80,212.40,213.00,694700,213.00
2012-06-22,214.40,217.70,213.40,216.80,1775300,216.80
2012-06-21,217.40,217.40,214.10,215.90,1795300,215.90
2012-06-20,214.20,218.10,212.70,217.90,2303600,217.90
2012-06-19,209.40,215.20,208.80,214.30,1954000,214.30
2012-06-18,211.90,211.90,205.60,209.00,1994500,209.00
2012-06-15,202.20,209.70,202.20,209.10,3418200,209.10
2012-06-14,198.60,204.10,196.60,201.60,1733500,201.60
2012-06-13,204.90,207.01,198.30,198.30,1867700,198.30
2012-06-12,209.10,210.36,201.80,204.70,1729600,204.70
2012-06-11,214.90,215.50,209.30,210.00,1172700,210.00
2012-06-08,211.30,213.84,210.60,212.40,1221300,212.40
2012-06-07,213.60,215.80,209.80,212.80,1693100,212.80
2012-06-06,213.90,213.90,207.57,212.40,2554400,212.40
2012-06-01,211.00,211.00,205.90,207.00,4262300,207.00
2012-05-31,215.60,217.70,208.50,210.20,1848400,210.20
2012-05-30,215.20,215.20,211.50,213.40,1552100,213.40
2012-05-29,221.60,223.88,213.20,215.40,2149900,215.40
2012-05-28,221.20,222.83,214.94,221.10,1451200,221.10
2012-05-25,224.60,224.60,217.70,218.80,1907200,218.80
2012-05-24,221.50,223.70,215.90,222.90,3261000,222.90
2012-05-23,204.20,226.16,204.20,220.10,5412400,220.10
2012-05-22,203.50,206.10,198.10,204.90,1773200,204.90
2012-05-21,200.40,204.10,197.80,202.50,2452500,202.50
2012-05-18,193.10,201.60,190.60,200.80,1738900,200.80
2012-05-17,198.60,199.10,193.08,194.40,1481800,194.40
2012-05-16,196.40,199.90,193.70,197.60,2012300,197.60
2012-05-14,209.10,209.66,204.50,205.50,1681300,205.50
2012-05-11,205.90,210.70,203.90,210.10,2330400,210.10
2012-05-10,198.70,208.00,197.67,206.70,3087000,206.70
2012-05-09,196.10,198.34,192.90,194.50,2793000,194.50
2012-05-08,194.70,199.40,194.00,195.40,2183100,195.40
2012-05-04,199.10,199.10,193.30,194.50,1604100,194.50
2012-05-03,197.50,201.20,196.10,199.40,1836600,199.40
2012-05-02,199.40,201.13,192.00,196.80,2482900,196.80
2012-05-01,196.20,201.20,195.10,200.50,977800,200.50
2012-04-30,201.50,203.10,192.30,194.80,2224300,194.80
2012-04-27,192.70,201.20,190.60,200.90,1710700,200.90
2012-04-26,195.70,197.51,191.10,193.90,1508100,193.90
2012-04-25,195.90,198.10,193.64,196.00,976100,196.00
2012-04-24,192.20,195.80,191.69,195.60,2641600,195.60
2012-04-23,195.40,195.99,189.50,190.00,2859700,190.00
2012-04-20,195.70,199.30,195.70,196.90,1769000,196.90
2012-04-19,203.50,203.50,195.48,195.80,2467900,195.80
2012-04-18,204.40,206.80,201.90,202.00,3310100,202.00
2012-04-17,196.70,205.23,195.80,203.70,2503700,203.70
2012-04-16,200.70,202.10,195.40,197.50,2634200,197.50
2012-04-13,205.20,206.60,200.40,201.00,2303900,201.00
2012-04-12,198.20,207.60,197.90,206.00,3347600,206.00
2012-04-11,198.90,201.90,197.40,199.50,3431600,199.50
2012-04-10,208.60,209.80,198.50,198.50,4356400,198.50
2012-04-05,217.40,219.71,210.60,213.90,3030500,213.90
2012-04-04,225.40,226.85,215.60,216.90,2929700,216.90
2012-04-03,225.00,228.60,224.50,226.60,4597300,226.60
2012-04-02,233.90,238.40,221.50,225.00,6920800,225.00
2012-03-30,246.10,249.00,236.56,237.70,4758300,237.70
2012-03-29,242.78,251.70,235.20,247.40,13007900,247.40
2012-03-28,291.40,294.50,289.10,289.10,1331200,289.10
2012-03-27,298.10,300.60,289.40,291.70,1845200,291.70
2012-03-26,293.00,297.10,290.55,296.70,1486800,296.70
2012-03-23,289.00,291.40,287.70,291.30,1049100,291.30
2012-03-22,292.90,293.90,286.40,287.99,1489100,287.99
2012-03-21,293.80,295.80,291.00,294.00,1687600,294.00
2012-03-20,296.60,297.09,292.00,294.10,956900,294.10
2012-03-19,292.80,299.60,291.60,297.00,1516300,297.00
2012-03-16,291.20,295.20,290.10,292.90,3620600,292.90
2012-03-15,290.10,291.00,286.80,290.10,1679500,290.10
2012-03-14,290.40,294.30,288.90,290.30,1451300,290.30
2012-03-13,286.60,290.20,284.41,288.90,1463700,288.90
2012-03-12,283.10,286.90,283.10,285.50,1151500,285.50
2012-03-09,284.70,287.10,283.10,283.90,1609700,283.90
2012-03-08,287.90,289.20,281.44,284.80,1709000,284.80
2012-03-07,282.70,287.70,280.77,286.90,1766400,286.90
2012-03-06,289.10,289.10,281.64,282.50,1513800,282.50
2012-03-05,290.60,292.13,285.30,289.10,1249200,289.10
2012-03-02,295.50,299.40,290.87,291.10,1128100,291.10
2012-03-01,293.10,296.90,291.79,295.10,996500,295.10
2012-02-29,292.40,295.80,286.86,294.10,1834400,294.10
2012-02-28,291.70,293.26,290.00,291.70,1048700,291.70
2012-02-27,294.90,297.14,289.60,291.20,1952700,291.20
2012-02-24,296.00,299.33,294.90,295.20,1609200,295.20
2012-02-23,302.70,302.70,293.20,295.50,2934700,295.50
2012-02-22,303.40,304.50,298.50,303.20,2371700,303.20
2012-02-21,303.00,303.00,300.20,302.20,1821500,302.20
2012-02-20,303.30,305.00,301.50,302.30,1302400,302.30
2012-02-17,301.60,304.80,300.60,303.90,929300,303.90
2012-02-16,297.40,301.50,297.10,300.50,1246900,300.50
2012-02-15,305.00,305.53,296.80,300.00,1936500,300.00
2012-02-14,305.00,306.70,301.90,302.90,1391900,302.90
2012-02-13,306.00,306.60,303.50,304.90,1008400,304.90
2012-02-10,304.90,306.40,303.00,303.90,1634800,303.90
2012-02-09,306.10,307.80,304.20,305.10,1075400,305.10
2012-02-08,307.70,309.10,305.50,306.50,1594000,306.50
2012-02-07,307.20,308.90,303.93,308.30,3013300,308.30
2012-02-06,308.70,312.60,305.30,306.10,1746800,306.10
2012-02-03,306.30,312.14,305.30,309.90,2405400,309.90
2012-02-02,308.50,309.30,301.80,306.00,2434600,306.00
2012-02-01,310.50,318.20,310.10,316.50,3031800,316.50
2012-01-31,308.80,314.15,306.60,310.00,2481000,310.00
2012-01-30,308.20,310.30,306.00,307.80,1462300,307.80
2012-01-27,306.30,312.70,306.30,310.00,2557000,310.00
2012-01-26,304.30,309.30,302.30,306.80,2069600,306.80
2012-01-25,312.30,314.30,301.90,304.70,2347500,304.70
2012-01-24,305.00,314.00,304.48,310.80,2439700,310.80
2012-01-23,304.60,307.50,301.74,306.80,1430600,306.80
2012-01-20,306.70,308.20,303.00,303.60,2104100,303.60
2012-01-19,308.80,308.90,304.30,306.30,1575800,306.30
2012-01-18,309.60,309.60,305.40,308.00,1221300,308.00
2012-01-17,317.90,317.90,308.40,308.60,1407300,308.60
2012-01-16,318.10,318.60,313.80,315.90,1041400,315.90
2012-01-13,323.10,325.30,313.10,317.90,1514100,317.90
2012-01-12,324.20,325.85,316.20,320.00,2512200,320.00
2012-01-11,328.90,331.30,324.60,326.50,1335000,326.50
2012-01-10,336.30,338.50,327.90,329.50,1373700,329.50
2012-01-09,340.30,341.70,328.70,333.20,1103600,333.20
2012-01-06,335.60,343.22,334.20,339.50,1151400,339.50
2012-01-05,343.00,343.00,332.20,335.00,1430600,335.00
2012-01-04,339.30,343.60,333.60,341.90,2743700,341.90
2012-01-03,341.30,344.00,337.70,344.00,1292300,344.00
2011-12-30,341.20,341.20,336.20,338.00,139600,338.00
2011-12-29,340.00,340.95,335.10,339.00,618200,339.00
2011-12-28,334.80,339.90,333.10,338.90,787300,338.90
2011-12-23,334.10,335.00,331.85,334.20,194600,334.20
2011-12-22,331.40,332.75,328.20,331.40,729800,331.40
2011-12-21,335.10,335.10,325.70,329.30,753400,329.30
2011-12-20,324.60,329.00,319.79,327.90,520100,327.90
2011-12-19,321.80,324.90,321.40,323.80,542100,323.80
2011-12-16,326.00,326.40,320.40,323.60,1662400,323.60
2011-12-15,318.10,324.50,316.81,324.50,892200,324.50
2011-12-14,321.40,323.00,315.70,317.00,800300,317.00
2011-12-13,321.00,325.80,321.00,322.90,1422100,322.90
2011-12-12,318.70,321.60,316.30,320.40,1336200,320.40
2011-12-09,317.50,320.90,314.24,319.20,1015100,319.20
2011-12-08,324.70,325.60,317.20,318.10,748700,318.10
2011-12-07,327.90,327.90,317.20,321.90,1034500,321.90
2011-12-06,318.30,323.20,317.20,321.70,2142000,321.70
2011-12-05,323.80,325.06,315.89,316.70,1058900,316.70
2011-12-02,323.90,326.32,320.10,321.90,709600,321.90
2011-12-01,327.60,327.60,320.50,321.40,1551000,321.40
2011-11-30,310.60,327.00,309.20,326.30,1688600,326.30
2011-11-29,312.40,316.48,309.00,314.20,863600,314.20
2011-11-28,313.90,314.60,311.40,311.60,1179200,311.60
2011-11-25,310.30,309.43,304.83,309.90,1347200,309.90
2011-11-24,317.80,319.00,309.80,309.80,771500,309.80
2011-11-23,317.10,321.11,314.70,315.60,1154000,315.60
2011-11-22,326.70,326.70,317.20,318.40,1649500,318.40
2011-11-21,331.70,332.99,323.20,325.40,941300,325.40
2011-11-18,337.10,337.10,330.40,333.10,1019200,333.10
2011-11-17,340.40,339.58,329.87,336.20,1127300,336.20
2011-11-16,340.30,344.50,336.10,337.00,1193800,337.00
2011-11-15,335.90,342.00,335.90,340.00,1188400,340.00
2011-11-14,350.00,350.00,337.80,339.40,833900,339.40
2011-11-11,339.40,345.80,335.40,345.30,1552100,345.30
2011-11-10,339.20,346.80,333.40,336.90,1350700,336.90
2011-11-09,333.00,341.60,331.00,341.00,2631000,341.00
2011-11-08,328.50,333.50,327.70,327.80,1033900,327.80
2011-11-07,330.60,332.00,326.80,329.00,878400,329.00
2011-11-04,333.50,333.60,329.70,331.50,1103000,331.50
2011-11-03,324.70,335.00,324.70,332.90,1396300,332.90
2011-11-02,334.80,337.10,326.40,328.70,1481500,328.70
2011-11-01,334.10,334.10,322.00,331.60,1568100,331.60
2011-10-31,334.70,338.00,333.53,334.00,963500,334.00
2011-10-28,338.60,339.00,331.20,336.60,835300,336.60
2011-10-27,335.40,339.80,334.10,336.70,941100,336.70
2011-10-26,333.20,333.20,322.10,328.50,1015600,328.50
2011-10-25,332.40,335.20,326.40,331.90,923600,331.90
2011-10-24,330.20,332.20,327.70,332.00,765400,332.00
2011-10-21,325.00,332.00,325.00,329.80,756500,329.80
2011-10-20,324.90,324.90,318.50,322.70,777700,322.70
2011-10-19,322.80,325.70,318.90,324.20,1303300,324.20
2011-10-18,321.30,323.40,317.80,318.30,761800,318.30
2011-10-17,330.20,330.80,321.90,326.10,715200,326.10
2011-10-14,331.40,332.50,326.90,327.10,921700,327.10
2011-10-13,337.20,338.60,327.90,329.50,1086000,329.50
2011-10-12,330.80,339.40,329.50,338.40,1065900,338.40
2011-10-11,330.40,332.50,328.40,330.20,1319700,330.20
2011-10-10,326.90,330.60,323.00,330.50,1070200,330.50
2011-10-07,312.70,326.40,310.10,325.10,1744700,325.10
2011-10-06,306.10,315.30,305.30,311.90,2096800,311.90
2011-10-05,307.30,309.60,303.40,303.50,1324800,303.50
2011-10-04,310.00,312.00,301.20,301.80,1541200,301.80
2011-10-03,314.80,317.50,311.60,313.40,1349900,313.40
2011-09-30,328.10,328.10,317.00,320.80,1396000,320.80
2011-09-29,327.00,332.30,323.78,327.40,2239700,327.40
2011-09-28,333.60,334.30,327.40,327.40,1007600,327.40
2011-09-27,326.30,336.50,324.20,336.50,1607100,336.50
2011-09-26,310.00,320.30,310.00,320.30,2742200,320.30
2011-09-23,320.00,321.10,310.30,313.80,1891100,313.80
2011-09-22,330.90,330.90,316.40,317.90,3067900,317.90
2011-09-21,336.60,341.60,335.40,337.40,1339900,337.40
2011-09-20,337.60,339.90,337.20,337.20,1887000,337.20
2011-09-19,337.60,339.90,334.10,338.30,1508000,338.30
2011-09-16,343.60,343.60,338.30,341.00,4079200,341.00
2011-09-15,342.80,346.00,339.90,339.90,2441100,339.90
2011-09-14,343.60,344.50,337.60,339.30,2166500,339.30
2011-09-13,345.10,347.90,342.10,346.30,1562700,346.30
2011-09-12,342.20,347.70,339.90,340.80,1160400,340.80
2011-09-09,357.50,359.60,348.60,349.10,563600,349.10
2011-09-08,358.50,361.70,354.50,358.50,1293500,358.50
2011-09-07,357.90,359.90,352.10,355.40,707900,355.40
2011-09-06,348.70,353.40,346.90,350.90,2048600,350.90
2011-09-05,354.10,354.80,349.30,349.30,742400,349.30
2011-09-02,367.90,369.90,360.00,361.60,1031800,361.60
