Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,365.00,365.40,362.00,364.00,5500,364.12
2012-08-01,364.50,364.50,360.63,364.12,38000,364.12
2012-07-31,362.00,364.00,360.00,363.00,134200,363.00
2012-07-30,361.00,365.00,361.00,365.00,94700,365.00
2012-07-27,358.00,364.00,356.01,363.00,88300,363.00
2012-07-26,355.50,357.00,352.35,356.75,163700,356.75
2012-07-25,353.25,353.94,350.00,350.00,68100,350.00
2012-07-24,352.75,354.49,351.00,351.00,180400,351.00
2012-07-23,355.00,355.00,350.00,350.00,113700,350.00
2012-07-20,360.00,360.00,355.00,355.00,102200,355.00
2012-07-19,358.00,360.00,354.50,360.00,86500,360.00
2012-07-18,356.00,356.25,352.50,354.00,357600,354.00
2012-07-17,356.00,359.39,353.00,353.00,70900,353.00
2012-07-16,359.00,359.00,355.25,355.75,39800,355.75
2012-07-13,355.75,357.00,355.35,355.50,86400,355.50
2012-07-12,355.25,355.25,354.00,354.00,41500,354.00
2012-07-11,355.00,355.00,353.00,353.10,81100,353.10
2012-07-10,354.00,357.00,354.00,355.50,102000,355.50
2012-07-09,356.00,356.92,353.50,356.00,74800,356.00
2012-07-06,358.00,358.00,353.25,355.75,59300,355.75
2012-07-05,358.00,360.49,354.00,358.12,83100,358.12
2012-07-04,354.00,359.75,353.93,357.50,58100,357.50
2012-07-03,356.25,357.00,355.50,355.66,124700,355.66
2012-07-02,353.00,355.00,350.00,352.25,117700,352.25
2012-06-29,346.75,351.74,346.75,351.25,182400,351.25
2012-06-28,342.00,346.00,341.80,344.00,73200,344.00
2012-06-27,339.50,345.00,339.50,343.00,59400,343.00
2012-06-26,342.00,343.50,341.00,342.00,68500,342.00
2012-06-25,341.75,342.00,337.51,340.00,95600,340.00
2012-06-22,340.50,342.00,336.00,342.00,48900,342.00
2012-06-21,342.50,342.50,337.45,337.50,57700,337.50
2012-06-20,342.75,343.00,338.10,342.25,50400,342.25
2012-06-19,339.75,342.00,335.60,342.00,78800,342.00
2012-06-18,337.75,340.00,335.00,335.00,60100,335.00
2012-06-15,333.75,336.75,329.10,331.75,106100,331.75
2012-06-14,329.00,333.75,329.00,332.50,31400,332.50
2012-06-13,333.00,333.50,329.25,332.00,37400,332.00
2012-06-12,332.00,335.74,330.00,330.00,46000,330.00
2012-06-11,335.00,337.50,330.50,333.75,62600,333.75
2012-06-08,331.50,333.00,328.00,333.00,64700,333.00
