Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,67.50,68.90,67.50,68.90,4600,67.50
2012-08-02,67.50,68.90,67.50,67.50,4900,67.50
2012-08-01,66.73,66.73,66.73,66.73,10000,66.73
2012-07-31,67.32,67.00,67.00,67.00,18100,67.00
2012-07-27,65.25,68.90,65.00,65.00,18400,65.00
2012-07-26,67.00,68.80,65.00,65.00,23500,65.00
2012-07-25,66.93,67.00,67.00,67.00,10500,67.00
2012-07-24,67.00,67.00,66.00,66.00,5100,66.00
2012-07-23,69.00,69.00,65.50,67.00,67200,67.00
2012-07-20,69.00,70.00,68.00,68.00,32300,68.00
2012-07-19,68.00,70.00,68.00,68.00,7300,68.00
2012-07-18,66.25,68.00,66.25,68.00,53000,68.00
2012-07-17,65.00,68.00,65.00,66.75,86800,66.75
2012-07-16,65.25,68.90,65.25,66.00,6200,66.00
2012-07-13,66.25,68.90,65.00,67.00,97600,67.00
2012-07-12,66.00,68.85,66.00,66.00,14400,66.00
2012-07-11,66.00,68.00,65.00,65.25,19100,65.25
2012-07-10,68.00,68.00,65.00,65.00,31700,65.00
2012-07-09,68.25,71.03,68.00,68.00,20000,68.00
2012-07-06,70.00,70.00,68.00,68.50,31600,68.50
2012-07-05,73.00,73.00,69.00,70.00,186200,70.00
2012-07-04,73.25,73.55,70.00,71.50,49000,71.50
2012-07-03,74.00,75.69,74.00,74.00,13400,74.00
2012-07-02,75.00,76.42,73.25,73.25,38900,73.25
2012-06-29,77.00,78.00,75.25,75.25,29300,75.25
2012-06-28,76.25,76.29,73.00,73.00,50900,73.00
2012-06-27,77.00,77.00,76.00,76.00,4800,76.00
2012-06-26,77.00,77.00,76.00,76.00,30900,76.00
2012-06-25,78.00,79.62,76.00,76.00,57100,76.00
2012-06-22,76.00,80.21,76.00,79.80,63600,79.80
2012-06-21,76.00,80.50,76.00,77.00,121400,77.00
2012-06-20,75.00,75.21,73.00,75.21,35700,75.21
2012-06-19,73.00,74.58,73.50,73.50,17600,73.50
2012-06-18,76.00,76.00,72.75,72.75,13600,72.75
2012-06-15,72.50,76.55,72.10,76.50,103700,76.50
2012-06-14,71.00,74.00,70.90,72.00,129400,72.00
2012-06-13,68.00,70.00,66.10,69.00,59700,69.00
2012-06-12,66.00,69.00,66.00,66.00,29600,66.00
2012-06-11,65.00,68.90,65.00,66.75,125400,66.75
2012-06-08,64.00,64.45,62.00,62.00,35800,62.00
2012-06-07,64.00,67.17,64.00,64.00,8900,64.00
2012-06-06,62.00,65.00,62.00,64.75,22500,64.75
2012-06-01,63.00,64.65,63.00,63.50,11600,63.50
2012-05-31,66.75,66.75,64.00,64.50,5700,64.50
2012-05-30,66.65,66.65,65.00,65.00,5200,65.00
2012-05-29,63.25,66.00,63.00,66.00,22200,66.00
2012-05-28,65.00,65.70,63.00,63.00,22500,63.00
2012-05-25,66.00,67.50,64.00,64.25,57600,64.25
2012-05-24,67.00,67.69,66.75,66.75,10300,66.75
2012-05-23,69.00,70.00,66.50,66.50,22100,66.50
2012-05-22,70.00,71.00,69.00,69.25,95300,69.25
2012-05-21,66.00,69.80,66.00,67.25,15500,67.25
2012-05-18,66.00,67.00,66.00,67.00,9700,67.00
2012-05-17,66.00,68.12,66.00,67.00,9800,67.00
2012-05-16,66.50,68.00,66.50,68.00,23800,68.00
2012-05-14,73.25,73.25,66.60,69.00,153500,69.00
2012-05-11,73.50,73.50,73.00,73.00,9900,73.00
2012-05-10,73.00,77.25,73.00,74.00,32900,74.00
2012-05-09,74.00,77.00,73.15,74.00,79300,74.00
2012-05-08,74.25,77.10,74.00,74.00,22600,74.00
2012-05-04,75.50,78.81,74.00,74.00,28800,74.00
2012-05-03,78.00,79.00,75.00,75.25,105000,75.25
2012-05-02,78.00,78.00,74.50,75.25,180800,75.25
2012-05-01,75.00,77.00,75.00,75.75,113200,75.75
2012-04-30,74.50,75.35,73.50,73.50,8900,73.50
2012-04-27,75.00,75.75,72.46,75.50,75300,75.50
2012-04-26,69.50,75.00,69.50,73.50,74800,73.50
2012-04-25,69.50,70.15,69.50,69.90,1900,69.90
2012-04-24,70.25,70.25,69.50,69.50,6200,69.50
2012-04-23,70.00,70.93,69.60,69.60,13000,69.60
2012-04-20,70.50,71.40,69.50,70.00,14600,70.00
2012-04-19,70.50,70.89,69.50,70.00,29100,70.00
2012-04-18,70.50,72.50,70.50,70.50,6400,70.50
2012-04-17,71.75,72.50,70.50,71.00,9300,71.00
2012-04-16,71.75,72.50,70.62,70.62,1500,70.62
2012-04-13,72.50,72.50,70.62,72.50,19700,72.50
2012-04-12,70.89,70.89,70.62,70.62,19500,70.62
2012-04-11,71.35,72.79,71.35,71.50,27600,71.50
2012-04-10,70.25,73.64,70.25,71.00,70700,71.00
2012-04-05,68.35,69.90,68.28,68.28,30100,68.28
2012-04-04,69.90,69.90,68.35,68.35,8700,68.35
2012-04-03,69.00,70.43,68.75,68.75,20700,68.75
2012-04-02,70.00,71.41,68.88,69.25,103100,69.25
2012-03-30,71.50,71.50,69.75,71.00,20300,71.00
2012-03-29,71.27,71.43,69.85,70.68,13900,70.68
2012-03-28,70.25,71.45,70.25,70.35,8900,70.35
2012-03-27,71.45,71.45,70.00,70.00,113500,70.00
2012-03-26,71.73,71.73,70.75,70.75,22800,70.75
2012-03-23,70.25,71.56,70.00,70.00,8200,70.00
2012-03-22,73.95,73.95,70.66,70.66,8000,70.66
2012-03-21,72.00,73.00,71.00,72.50,200200,72.50
2012-03-20,67.00,72.00,65.55,72.00,194900,72.00
2012-03-19,65.50,66.50,65.00,66.50,165800,66.50
2012-03-16,64.00,65.57,63.00,63.00,25300,63.00
2012-03-15,64.50,65.45,63.58,64.50,57000,64.50
2012-03-14,65.00,68.63,64.50,64.50,55300,64.50
2012-03-13,67.00,68.76,67.00,67.25,18400,67.25
2012-03-12,67.25,69.36,67.00,67.50,46900,67.50
2012-03-09,69.00,70.00,66.68,68.00,169000,68.00
2012-03-08,71.00,72.08,68.45,69.50,94400,69.50
2012-03-07,68.50,69.95,68.50,68.50,39000,68.50
2012-03-06,69.00,70.46,67.55,68.52,50000,68.52
2012-03-05,69.00,70.38,69.00,70.07,7600,70.07
2012-03-02,70.50,70.50,70.00,70.00,151500,70.00
2012-03-01,70.00,70.70,69.41,70.00,65400,70.00
2012-02-29,70.00,71.00,67.86,70.00,95800,70.00
2012-02-28,69.52,70.95,69.52,70.83,49900,70.83
2012-02-27,68.25,70.70,67.95,68.00,94000,68.00
2012-02-24,69.00,71.25,68.75,68.75,26400,68.75
2012-02-23,70.75,71.45,68.25,68.75,68000,68.75
2012-02-22,71.00,71.95,70.80,71.00,133200,71.00
2012-02-21,68.00,73.00,67.33,71.00,437400,71.00
2012-02-20,64.00,68.78,62.20,66.50,269600,66.50
2012-02-17,63.60,63.60,62.00,62.00,25200,62.00
2012-02-16,63.00,63.00,62.00,62.00,65100,62.00
2012-02-15,62.00,62.99,60.00,60.00,39400,60.00
2012-02-14,63.25,64.74,60.00,60.50,68800,60.50
2012-02-13,64.82,65.38,63.25,64.35,93700,64.35
2012-02-10,65.00,67.75,63.25,63.25,127400,63.25
2012-02-09,66.50,66.90,62.50,64.50,130800,64.50
2012-02-08,64.50,64.50,64.50,64.50,9500,64.50
2012-02-07,66.50,67.00,64.88,67.00,27300,67.00
2012-02-06,65.50,66.75,64.29,65.99,69300,65.99
2012-02-03,66.39,66.39,64.47,64.66,31300,64.66
2012-02-02,65.75,66.50,63.20,66.50,59800,66.50
2012-02-01,61.00,64.10,61.00,63.41,65500,63.41
2012-01-31,62.00,62.00,60.05,60.20,73100,60.20
2012-01-30,61.00,61.00,59.00,59.00,93000,59.00
2012-01-27,60.00,62.00,59.00,59.00,153700,59.00
2012-01-26,60.00,61.89,59.00,60.33,279000,60.33
2012-01-25,61.00,62.00,60.15,60.15,39800,60.15
2012-01-24,59.25,60.91,59.25,59.50,29600,59.50
2012-01-23,59.75,63.60,59.25,60.91,78400,60.91
2012-01-20,63.00,63.86,61.25,61.25,79400,61.25
2012-01-19,61.75,63.25,60.57,62.03,56200,62.03
2012-01-18,61.00,61.75,59.75,61.75,61800,61.75
2012-01-17,60.00,62.00,58.55,62.00,64800,62.00
2012-01-16,60.50,60.98,57.55,59.72,121400,59.72
2012-01-13,61.00,61.48,60.00,60.36,102600,60.36
