Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,615.00,615.00,605.87,614.00,300,615.00
2012-08-02,615.00,615.00,605.87,615.00,4700,615.00
2012-08-01,606.00,615.00,606.00,615.00,1300,615.00
2012-07-31,605.50,606.50,599.37,606.50,5000,606.50
2012-07-27,594.00,597.50,590.00,597.50,14600,597.50
2012-07-26,596.00,602.00,594.50,601.50,15000,601.50
2012-07-25,600.00,602.00,590.00,590.00,3900,590.00
2012-07-24,597.00,599.50,593.50,599.00,11500,599.00
2012-07-23,607.00,607.00,595.80,595.80,5800,595.80
2012-07-20,590.50,606.00,590.50,606.00,18700,606.00
2012-07-19,595.00,600.88,590.00,590.00,12700,590.00
2012-07-18,600.00,601.94,590.00,595.00,13200,595.00
2012-07-17,597.00,605.40,594.00,594.00,12600,594.00
2012-07-16,600.00,613.56,600.00,607.00,18600,607.00
2012-07-13,598.00,603.00,597.50,597.50,7300,597.50
2012-07-12,597.50,607.00,595.00,597.00,12200,597.00
2012-07-11,598.50,605.00,598.50,605.00,3600,605.00
2012-07-10,615.00,615.00,595.00,607.00,6200,607.00
2012-07-09,613.00,618.00,609.00,615.00,2800,615.00
2012-07-06,613.00,622.50,601.50,622.50,11300,622.50
2012-07-05,612.50,613.00,602.50,613.00,2300,613.00
2012-07-04,601.00,610.00,593.00,610.00,6600,610.00
2012-07-03,600.00,605.00,590.00,605.00,16200,605.00
2012-07-02,600.00,608.02,590.00,593.50,27100,593.50
2012-06-29,608.00,620.00,603.60,606.50,11500,606.50
2012-06-28,608.00,610.00,602.00,610.00,15800,610.00
2012-06-27,610.00,610.00,605.36,610.00,8700,610.00
2012-06-26,615.00,615.00,601.50,610.00,9900,610.00
2012-06-25,614.50,614.50,607.00,613.00,1900,613.00
2012-06-22,614.00,615.00,605.62,610.00,15300,610.00
2012-06-21,629.50,629.50,611.50,620.00,17800,620.00
2012-06-20,620.00,630.00,617.00,629.50,14400,629.50
2012-06-19,625.00,625.00,610.50,624.00,30100,624.00
2012-06-18,607.00,625.50,606.50,625.50,38800,625.50
2012-06-15,605.00,617.87,591.50,617.50,167500,617.50
2012-06-14,585.00,600.00,582.00,600.00,38000,600.00
2012-06-13,580.00,585.00,577.50,585.00,11800,585.00
2012-06-12,565.00,578.00,555.00,578.00,24200,578.00
2012-06-11,565.00,565.00,555.00,565.00,12200,565.00
2012-06-08,553.50,561.50,549.04,557.00,32700,557.00
2012-06-07,552.00,563.50,547.00,561.50,16500,561.50
2012-06-06,556.50,556.50,545.00,545.00,71700,545.00
2012-06-01,554.50,555.75,546.17,548.50,27800,548.50
2012-05-31,559.50,560.00,549.00,549.00,4400,549.00
2012-05-30,562.00,562.75,555.00,557.00,39500,557.00
2012-05-29,553.00,562.25,550.00,557.00,25900,557.00
2012-05-28,542.00,556.16,542.00,550.50,44900,550.50
2012-05-25,556.00,556.00,540.50,540.50,11500,540.50
2012-05-24,542.50,555.00,541.50,550.00,10900,550.00
2012-05-23,550.50,550.50,540.00,540.00,7600,540.00
2012-05-22,548.75,556.72,543.00,555.00,18100,555.00
2012-05-21,544.00,544.00,540.00,544.00,23800,544.00
2012-05-18,549.00,561.00,535.00,535.00,23100,535.00
2012-05-17,560.00,560.00,547.00,547.00,28900,547.00
2012-05-16,557.50,569.68,557.50,560.00,3900,560.00
2012-05-14,566.50,572.00,550.00,569.00,9800,569.00
2012-05-11,572.50,585.10,562.00,562.00,10000,562.00
2012-05-10,576.50,585.00,576.50,585.00,28200,585.00
2012-05-09,586.00,590.00,570.50,583.00,12200,583.00
2012-05-08,591.50,597.63,590.00,590.00,16800,590.00
2012-05-04,592.50,600.00,589.10,595.00,35600,595.00
2012-05-03,570.00,591.88,570.00,590.00,133300,590.00
2012-05-02,555.00,558.00,530.62,545.00,269100,545.00
2012-05-01,565.00,572.00,555.00,556.50,21800,556.50
2012-04-30,572.00,578.25,560.00,563.18,8400,563.18
2012-04-27,574.50,580.00,570.00,575.00,16700,575.00
2012-04-26,575.00,583.00,570.00,570.00,12900,570.00
2012-04-25,575.00,584.13,575.00,576.00,41600,576.00
2012-04-24,575.00,585.00,575.00,575.00,10700,575.00
2012-04-23,580.00,589.50,575.00,575.00,4000,575.00
2012-04-20,580.00,583.38,580.00,583.38,17700,583.38
2012-04-19,596.00,600.00,581.00,581.00,26700,581.00
2012-04-18,600.00,604.00,595.00,597.50,6400,597.50
2012-04-17,598.50,601.44,595.00,595.50,14500,595.50
2012-04-16,602.00,605.14,602.00,603.00,10800,603.00
2012-04-13,611.00,611.25,601.50,602.50,17200,602.50
2012-04-12,595.50,620.00,592.38,615.00,36800,615.00
2012-04-11,590.00,592.00,585.00,591.41,16000,591.41
2012-04-10,602.00,608.19,599.03,599.50,8400,599.50
2012-04-05,593.00,605.00,593.00,605.00,22400,605.00
2012-04-04,601.20,601.20,590.50,597.50,40700,597.50
2012-04-03,594.00,600.63,594.00,599.50,19700,599.50
2012-04-02,601.12,602.75,591.85,596.00,38400,596.00
2012-03-30,600.00,603.44,593.68,596.00,27700,596.00
2012-03-29,600.00,604.00,592.50,602.00,209000,602.00
2012-03-28,601.50,601.50,595.00,600.00,30300,600.00
2012-03-27,602.50,602.50,590.62,600.50,140500,600.50
2012-03-26,600.00,601.70,591.68,596.06,7400,596.06
2012-03-23,605.00,605.00,597.12,603.00,9600,603.00
2012-03-22,608.13,608.13,592.25,605.00,3000,605.00
2012-03-21,600.00,605.00,594.19,605.00,15500,605.00
2012-03-20,599.50,599.50,586.10,595.00,13300,595.00
2012-03-19,599.50,599.50,587.00,589.00,18900,589.00
2012-03-16,600.00,600.00,583.94,595.50,35800,595.50
2012-03-15,594.50,595.00,581.68,595.00,7700,595.00
2012-03-14,581.50,589.50,581.50,584.00,4400,584.00
2012-03-13,581.00,590.00,579.87,590.00,42200,590.00
2012-03-12,580.00,589.00,580.00,589.00,21100,589.00
2012-03-09,570.00,575.00,570.00,572.00,14500,572.00
2012-03-08,570.00,579.50,565.00,565.00,11300,565.00
2012-03-07,570.00,570.00,563.20,569.00,7200,569.00
2012-03-06,564.50,576.28,560.15,570.00,55300,570.00
2012-03-05,556.50,556.50,545.68,556.00,7600,556.00
2012-03-02,545.00,553.00,545.00,553.00,5600,553.00
2012-03-01,557.00,558.50,542.50,558.50,4100,558.50
2012-02-29,557.00,557.00,550.00,550.00,1700,550.00
2012-02-28,555.00,560.00,551.10,560.00,10700,560.00
2012-02-27,555.00,555.00,547.74,554.00,9100,554.00
2012-02-24,557.75,558.13,547.74,558.13,4300,558.13
2012-02-23,559.50,559.81,550.00,550.00,8300,550.00
2012-02-22,560.00,569.81,547.09,547.09,81100,547.09
2012-02-21,565.50,574.00,562.00,562.00,10000,562.00
2012-02-20,565.00,568.81,556.25,562.00,19100,562.00
2012-02-17,560.00,560.97,555.00,558.50,7400,558.50
2012-02-16,560.00,564.38,555.87,555.87,21800,555.87
2012-02-15,560.00,568.10,553.10,563.50,26500,563.50
2012-02-14,548.00,560.00,537.14,552.60,25900,552.60
2012-02-13,535.00,541.50,526.68,541.50,22400,541.50
2012-02-10,525.00,535.00,522.75,526.68,14500,526.68
2012-02-09,506.00,525.00,506.00,525.00,43500,525.00
2012-02-08,510.00,510.00,500.50,502.50,10700,502.50
2012-02-07,517.40,520.00,511.75,520.00,19300,520.00
2012-02-06,507.44,517.81,507.44,510.87,5800,510.87
2012-02-03,510.00,518.16,510.00,518.16,11200,518.16
2012-02-02,506.18,516.00,506.18,515.00,38300,515.00
2012-02-01,500.00,511.50,500.00,511.50,132600,511.50
2012-01-31,510.00,514.50,495.50,495.50,215400,495.50
2012-01-30,506.75,506.75,500.00,504.50,45500,504.50
2012-01-27,505.00,505.00,496.25,505.00,44600,505.00
2012-01-26,498.00,500.00,495.31,500.00,8300,500.00
2012-01-25,495.00,500.00,495.00,496.46,27600,496.46
2012-01-24,495.00,502.75,495.00,495.00,5900,495.00
2012-01-23,500.00,500.99,495.00,498.38,16300,498.38
2012-01-20,510.00,510.00,497.75,498.50,79600,498.50
2012-01-19,510.00,510.00,495.75,500.00,18300,500.00
2012-01-18,510.00,510.00,503.00,510.00,6400,510.00
2012-01-17,505.00,510.00,501.50,501.50,5100,501.50
2012-01-16,505.00,505.00,500.00,500.00,2900,500.00
2012-01-13,506.40,506.40,506.20,506.20,700,506.20
2012-01-12,500.00,510.00,500.00,510.00,74700,510.00
2012-01-11,510.00,512.75,505.00,505.00,12000,505.00
2012-01-10,509.65,510.00,505.00,505.00,8500,505.00
2012-01-09,512.31,512.31,511.25,511.25,1700,511.25
2012-01-06,522.00,524.50,518.87,520.00,21700,520.00
2012-01-05,510.00,510.00,510.00,510.00,2400,510.00
2012-01-04,516.50,520.00,508.00,510.00,61300,510.00
2012-01-03,510.00,518.00,510.00,515.00,7700,515.00
2011-12-30,505.00,510.00,500.00,509.00,13900,509.00
2011-12-29,500.00,504.00,492.25,503.00,12900,503.00
2011-12-28,495.75,498.25,493.00,498.25,1900,498.25
2011-12-23,495.00,500.00,491.25,500.00,5800,500.00
2011-12-22,479.50,495.00,479.50,495.00,11300,495.00
2011-12-21,465.25,485.00,465.25,483.50,13700,483.50
2011-12-20,470.25,474.94,468.00,468.00,10000,468.00
2011-12-19,466.00,475.00,466.00,475.00,1900,475.00
2011-12-16,467.50,474.95,466.00,466.00,9400,466.00
2011-12-15,470.00,473.00,463.00,473.00,9200,473.00
2011-12-14,460.25,470.00,460.25,468.50,29000,468.50
2011-12-13,460.25,468.44,460.00,465.00,49100,465.00
2011-12-12,460.00,463.00,459.79,460.00,5800,460.00
2011-12-09,460.00,465.00,460.00,460.00,56900,460.00
2011-12-08,473.75,474.75,460.00,465.50,22800,465.50
2011-12-07,480.00,490.00,472.00,480.00,14300,480.00
2011-12-06,485.00,485.00,480.00,480.00,315800,480.00
2011-12-05,485.50,492.00,480.00,480.00,8300,480.00
2011-12-02,496.00,499.72,480.00,480.00,6700,480.00
2011-12-01,499.75,500.05,490.00,490.00,15200,490.00
2011-11-30,495.00,495.00,490.78,495.00,304800,495.00
2011-11-29,505.28,505.28,497.57,497.96,44700,497.96
2011-11-28,500.00,506.34,497.53,501.50,29100,501.50
2011-11-25,500.00,502.63,500.00,500.00,22900,500.00
2011-11-24,502.50,509.44,500.00,500.00,76900,500.00
2011-11-23,506.00,517.31,502.00,502.00,8200,502.00
2011-11-22,507.24,517.69,507.24,511.50,1000,511.50
2011-11-21,505.28,511.50,505.28,511.50,6600,511.50
2011-11-18,515.00,520.00,510.00,510.00,9900,510.00
2011-11-17,510.50,520.00,510.50,517.00,2200,517.00
2011-11-16,518.88,518.88,516.00,516.00,1200,516.00
2011-11-15,512.50,515.81,510.00,511.00,211200,511.00
2011-11-14,505.50,517.31,505.50,508.00,101800,508.00
2011-11-11,508.00,514.29,505.50,507.50,2900,507.50
2011-11-10,515.50,515.50,508.00,508.00,5700,508.00
2011-11-09,525.00,525.00,515.00,521.50,3300,521.50
2011-11-08,525.00,530.00,518.68,530.00,3300,530.00
2011-11-07,529.20,530.00,530.00,530.00,6000,530.00
2011-11-04,535.08,535.08,530.00,530.00,2600,530.00
2011-11-03,535.00,536.26,530.00,531.00,15200,531.00
2011-11-02,541.50,545.00,535.46,542.00,5700,542.00
2011-11-01,540.00,545.00,535.00,545.00,22800,545.00
2011-10-31,551.50,555.00,548.73,555.00,32600,555.00
2011-10-28,551.00,555.00,547.00,551.00,6800,551.00
2011-10-27,552.00,560.00,552.00,560.00,3600,560.00
2011-10-26,547.50,555.00,547.50,555.00,143400,555.00
2011-10-25,564.00,564.00,553.50,553.50,17900,553.50
2011-10-24,561.50,561.50,550.44,555.00,2600,555.00
2011-10-21,555.00,560.00,553.18,558.00,6000,558.00
2011-10-20,551.50,555.00,548.00,555.00,5100,555.00
2011-10-19,552.00,559.00,552.00,559.00,3200,559.00
2011-10-18,551.27,559.00,551.27,559.00,900,559.00
2011-10-17,555.00,562.50,553.50,562.50,9200,562.50
2011-10-14,550.00,558.00,550.00,558.00,2100,558.00
2011-10-13,553.00,557.00,544.50,557.00,7600,557.00
2011-10-12,545.00,559.00,539.14,559.00,11000,559.00
2011-10-11,535.00,545.00,526.99,545.00,15500,545.00
2011-10-10,533.38,535.00,533.38,535.00,900,535.00
2011-10-07,524.50,533.50,524.50,533.50,11600,533.50
2011-10-06,520.00,525.00,520.00,525.00,13000,525.00
2011-10-05,515.00,515.00,514.00,515.00,6000,515.00
2011-10-04,506.00,519.00,505.00,515.00,24100,515.00
2011-10-03,510.50,513.50,507.00,513.50,5300,513.50
2011-09-30,515.00,515.50,510.00,510.00,4600,510.00
2011-09-29,513.50,515.00,513.50,515.00,3500,515.00
2011-09-28,520.73,522.39,510.00,510.00,4600,510.00
2011-09-27,522.00,522.00,522.00,522.00,10500,522.00
2011-09-26,511.81,510.00,510.00,510.00,12300,510.00
2011-09-23,513.50,519.79,513.00,513.50,9200,513.50
2011-09-22,522.50,531.88,510.50,522.00,29400,522.00
2011-09-21,527.00,528.70,522.00,525.00,11600,525.00
2011-09-20,532.50,532.50,520.00,526.00,20800,526.00
2011-09-19,531.50,532.00,525.00,528.50,9900,528.50
2011-09-16,536.50,539.50,531.50,531.50,52300,531.50
2011-09-15,541.00,545.50,537.50,540.00,717400,540.00
2011-09-14,541.50,545.00,541.50,541.50,20600,541.50
2011-09-13,546.00,546.00,541.50,541.50,40300,541.50
2011-09-12,543.00,546.00,543.00,546.00,2100,546.00
2011-09-09,546.00,552.93,542.50,545.50,10700,545.50
2011-09-08,550.50,551.00,542.31,550.00,4200,550.00
2011-09-07,543.54,545.75,543.54,543.54,8800,543.54
2011-09-06,543.00,543.00,543.00,543.00,000,543.00
2011-09-05,542.26,545.00,542.26,545.00,5500,545.00
2011-09-02,541.60,552.00,541.60,552.00,2500,552.00
2011-09-01,546.00,550.00,540.72,550.00,4900,550.00
2011-08-31,545.00,550.00,535.94,550.00,3700,550.00
2011-08-30,535.00,544.00,533.50,544.00,3400,544.00
2011-08-26,530.00,533.00,526.60,533.00,2800,533.00
2011-08-25,533.44,533.44,526.68,531.00,22200,531.00
2011-08-24,514.50,533.00,514.50,530.00,19900,530.00
2011-08-23,510.00,505.88,509.05,510.00,3800,510.00
2011-08-22,477.40,494.50,477.40,490.50,7000,490.50
2011-08-19,479.75,488.00,477.20,488.00,11800,488.00
2011-08-18,479.00,479.50,475.00,479.50,4100,479.50
2011-08-17,480.00,481.25,480.00,481.00,3900,481.00
2011-08-16,488.00,488.00,488.00,488.00,1000,488.00
2011-08-15,479.00,489.00,479.00,489.00,3600,489.00
2011-08-12,470.00,474.50,460.64,474.50,7500,474.50
2011-08-11,470.00,470.00,470.00,470.00,1200,470.00
2011-08-10,455.00,470.00,455.00,469.50,134400,469.50
2011-08-09,433.00,449.75,420.00,445.00,21200,445.00
2011-08-08,465.00,465.00,440.00,440.50,12400,440.50
2011-08-05,495.00,495.00,463.00,475.00,153700,475.00
