Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,725.00,725.00,725.00,725.00,100,725.00
2012-08-02,725.00,725.00,725.00,725.00,100,725.00
2012-08-01,705.50,725.00,705.00,725.00,9300,725.00
2012-07-31,705.00,721.78,703.75,720.00,24700,720.00
2012-07-27,705.00,711.50,705.00,705.50,4500,705.50
2012-07-26,715.00,718.00,715.00,716.40,44400,716.40
2012-07-25,716.95,716.95,705.50,705.50,1100,705.50
2012-07-24,707.00,722.40,706.00,706.00,14500,706.00
2012-07-23,705.00,717.96,705.00,705.50,8900,705.50
2012-07-20,705.00,711.80,705.00,705.00,2000,705.00
2012-07-19,700.00,706.60,700.00,703.00,175200,703.00
2012-07-18,705.00,719.96,705.00,705.50,1400,705.50
2012-07-17,705.00,718.08,705.00,705.50,15100,705.50
2012-07-16,705.00,718.77,705.00,705.00,10100,705.00
2012-07-13,705.00,719.38,705.00,706.50,10100,706.50
2012-07-12,705.50,720.85,705.50,705.50,4500,705.50
2012-07-11,705.00,718.88,705.00,705.00,5600,705.00
2012-07-10,707.00,721.15,705.00,705.00,300,705.00
2012-07-09,705.00,715.00,705.00,705.00,32800,705.00
2012-07-06,705.00,721.53,705.00,710.00,12100,710.00
2012-07-05,705.00,710.00,705.00,705.00,4500,705.00
2012-07-04,706.00,719.25,705.00,705.00,3700,705.00
2012-07-03,724.00,724.00,705.00,706.00,11500,706.00
2012-07-02,700.00,708.78,700.00,705.00,40500,705.00
2012-06-29,710.00,716.65,700.00,700.00,4600,700.00
2012-06-28,701.00,718.00,701.00,715.00,11300,715.00
2012-06-27,715.00,715.90,700.00,700.00,3300,700.00
2012-06-26,720.00,720.00,701.75,710.00,19300,710.00
2012-06-25,722.00,722.00,701.10,722.00,2000,722.00
2012-06-22,701.00,715.00,701.00,715.00,5700,715.00
2012-06-21,700.00,715.00,700.00,700.00,2800,700.00
2012-06-20,724.00,724.00,706.50,718.40,14500,718.40
2012-06-19,715.00,720.00,706.25,712.75,2900,712.75
2012-06-18,710.00,715.00,710.00,710.00,32700,710.00
2012-06-15,715.00,723.93,701.00,705.00,32900,705.00
2012-06-14,720.00,730.00,707.50,709.50,11000,709.50
2012-06-13,719.50,719.50,711.39,713.00,3000,713.00
2012-06-12,720.00,731.18,705.00,713.00,79000,713.00
2012-06-11,725.00,749.50,725.00,740.00,2800,740.00
2012-06-08,720.00,749.50,720.00,728.27,1400,728.27
2012-06-07,710.00,750.00,704.00,720.00,14600,720.00
2012-06-06,705.00,720.00,697.90,715.00,11400,715.00
2012-06-01,720.00,720.00,706.87,720.00,2000,720.00
2012-05-31,721.00,725.00,710.00,710.00,2900,710.00
2012-05-30,727.13,728.94,726.69,728.94,900,728.94
2012-05-29,725.00,735.00,717.76,735.00,7300,735.00
2012-05-28,721.58,722.64,705.91,705.91,5600,705.91
2012-05-25,700.00,725.81,700.00,700.00,5700,700.00
2012-05-24,700.00,700.00,700.00,700.00,4100,700.00
2012-05-23,700.00,715.00,700.00,715.00,9600,715.00
2012-05-22,700.00,721.73,700.00,700.00,500,700.00
2012-05-21,697.66,705.00,697.66,700.00,7800,700.00
2012-05-18,700.00,709.50,700.00,700.00,18800,700.00
2012-05-17,715.00,721.13,700.00,700.00,12300,700.00
2012-05-16,735.00,735.00,715.00,717.19,3800,717.19
2012-05-14,730.00,730.82,712.70,715.00,4500,715.00
2012-05-11,725.00,730.00,700.00,730.00,3200,730.00
2012-05-10,700.00,725.00,700.00,725.00,27000,725.00
2012-05-09,722.50,722.50,705.00,707.50,8000,707.50
2012-05-08,720.00,723.63,702.50,714.00,31100,714.00
2012-05-04,710.00,718.75,710.00,710.50,25200,710.50
2012-05-03,710.00,719.26,710.00,710.50,7000,710.50
2012-05-02,717.50,717.50,710.00,710.00,50200,710.00
2012-05-01,720.00,723.13,710.00,710.00,7200,710.00
2012-04-30,725.00,725.00,710.00,725.00,700,725.00
2012-04-27,725.00,725.00,712.50,725.00,2700,725.00
2012-04-26,730.00,730.00,710.00,710.50,4400,710.50
2012-04-25,710.50,717.31,710.50,711.00,9000,711.00
2012-04-24,710.50,726.06,710.00,710.00,2200,710.00
2012-04-23,730.38,730.38,713.25,713.25,300,713.25
2012-04-20,735.00,735.00,710.00,715.31,2400,715.31
2012-04-19,710.50,723.38,710.00,710.00,1500,710.00
2012-04-18,722.00,730.00,710.50,726.06,5100,726.06
2012-04-17,710.50,730.38,710.00,730.38,53100,730.38
2012-04-16,711.00,735.00,701.05,735.00,10800,735.00
2012-04-13,715.50,730.50,715.50,730.50,3900,730.50
2012-04-12,712.00,720.00,712.50,712.50,2900,712.50
2012-04-11,705.00,720.00,705.00,707.00,5500,707.00
2012-04-10,735.00,738.19,710.00,710.00,29300,710.00
2012-04-05,713.47,735.83,730.00,730.00,9300,730.00
2012-04-04,727.00,727.00,710.00,710.50,12400,710.50
2012-04-03,717.00,725.00,707.95,715.50,13900,715.50
2012-04-02,720.50,725.00,708.10,717.00,4000,717.00
2012-03-30,720.00,727.00,709.00,715.00,13100,715.00
2012-03-29,725.00,725.00,706.00,720.00,129900,720.00
2012-03-28,710.00,725.00,703.37,725.00,11700,725.00
2012-03-27,710.00,715.00,688.87,710.00,81300,710.00
2012-03-26,705.13,705.13,686.45,686.45,18100,686.45
2012-03-23,680.00,710.00,680.00,710.00,6400,710.00
2012-03-22,698.13,700.00,700.00,700.00,6000,700.00
2012-03-21,680.00,697.50,680.00,685.00,900,685.00
2012-03-20,680.00,700.00,680.00,680.00,42500,680.00
2012-03-19,690.50,716.25,660.00,685.00,24500,685.00
2012-03-16,694.00,720.00,690.00,691.00,11700,691.00
2012-03-15,716.88,720.00,702.37,720.00,5800,720.00
2012-03-14,696.00,721.26,695.88,710.00,15800,710.00
2012-03-13,717.50,720.00,700.00,720.00,8300,720.00
2012-03-12,719.00,719.00,700.00,719.00,4300,719.00
2012-03-09,713.00,720.00,705.00,720.00,11800,720.00
2012-03-08,709.50,709.50,685.00,685.00,9600,685.00
2012-03-07,710.00,710.00,681.25,687.44,15000,687.44
2012-03-06,710.00,719.78,689.90,689.90,15700,689.90
2012-03-05,710.00,716.88,698.12,716.88,21000,716.88
2012-03-02,700.00,706.80,692.64,703.64,10100,703.64
2012-03-01,706.88,707.00,700.45,700.45,28500,700.45
2012-02-29,705.00,724.56,700.00,700.00,7800,700.00
2012-02-28,720.00,722.25,710.00,719.00,3700,719.00
2012-02-27,721.00,730.00,715.00,715.00,12100,715.00
2012-02-24,730.00,740.00,716.70,740.00,12000,740.00
2012-02-23,716.50,726.62,701.79,721.55,155000,721.55
2012-02-22,710.00,722.00,702.20,704.00,114400,704.00
