Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,9.08,9.30,9.01,9.19,66400,9.19
2012-08-02,9.09,9.30,8.92,9.19,342800,9.19
2012-08-01,9.30,9.30,9.07,9.20,297700,9.20
2012-07-31,9.41,9.41,9.12,9.30,84000,9.30
2012-07-27,9.20,9.20,9.04,9.05,788300,9.05
2012-07-26,9.24,9.24,8.90,8.92,277400,8.92
2012-07-25,9.11,9.39,8.92,9.05,411400,9.05
2012-07-24,9.06,9.28,9.00,9.05,250400,9.05
2012-07-23,9.07,9.24,8.96,9.09,578700,9.09
2012-07-20,9.00,9.48,9.00,9.10,1105900,9.10
2012-07-19,9.38,9.50,9.10,9.16,1439700,9.16
2012-07-18,9.25,9.40,9.10,9.15,569800,9.15
2012-07-17,9.30,9.74,9.25,9.25,900300,9.25
2012-07-16,9.31,10.25,9.31,9.39,811200,9.39
2012-07-13,9.31,9.88,9.31,9.45,259200,9.45
2012-07-12,9.52,9.52,9.52,9.52,398400,9.52
2012-07-11,9.45,9.95,9.45,9.60,289100,9.60
2012-07-10,9.50,10.00,9.35,9.44,856600,9.44
2012-07-09,9.40,9.68,9.25,9.26,96200,9.26
2012-07-06,9.31,9.99,9.30,9.40,689400,9.40
2012-07-05,9.26,9.93,9.26,9.35,989000,9.35
2012-07-04,9.04,9.58,9.04,9.35,471200,9.35
2012-07-03,9.64,9.64,9.02,9.12,1156000,9.12
2012-07-02,9.36,9.68,9.23,9.23,947900,9.23
2012-06-29,9.50,9.70,9.50,9.65,304600,9.65
2012-06-28,9.70,10.00,9.46,9.64,1748500,9.64
2012-06-27,9.25,9.66,9.13,9.65,953600,9.65
2012-06-26,9.05,9.49,9.00,9.07,209200,9.07
2012-06-25,9.70,9.70,9.00,9.01,425200,9.01
2012-06-22,9.50,9.74,9.15,9.45,406300,9.45
2012-06-21,10.00,10.00,9.57,9.65,575700,9.65
2012-06-20,10.75,10.75,9.61,9.99,1125100,9.99
2012-06-19,10.00,10.50,9.53,10.25,2344900,10.25
2012-06-18,9.50,9.90,9.34,9.75,1944700,9.75
2012-06-15,9.25,9.53,8.50,8.93,6129200,8.93
2012-06-14,8.50,9.03,8.36,9.03,2470200,9.03
2012-06-13,8.50,9.00,8.35,8.35,503700,8.35
2012-06-12,8.41,8.71,8.06,8.30,544800,8.30
2012-06-11,8.75,9.00,8.21,8.42,3095600,8.42
2012-06-08,8.55,9.01,8.55,8.65,536900,8.65
2012-06-07,8.75,8.98,8.41,8.57,2532000,8.57
2012-06-06,8.85,8.90,8.28,8.50,1076900,8.50
2012-06-01,8.27,9.07,8.01,8.60,1278800,8.60
2012-05-31,9.20,9.21,8.26,8.31,2445500,8.31
2012-05-30,9.00,9.50,9.00,9.03,1002300,9.03
2012-05-29,9.02,9.58,9.02,9.03,1093100,9.03
2012-05-28,9.03,9.60,9.00,9.00,127000,9.00
2012-05-25,9.02,9.55,9.01,9.06,873700,9.06
2012-05-24,9.02,9.61,9.00,9.00,410300,9.00
2012-05-23,9.41,9.54,9.00,9.01,1522600,9.01
2012-05-22,9.85,9.85,9.15,9.41,1414000,9.41
2012-05-21,9.36,9.75,9.06,9.23,1426800,9.23
2012-05-18,9.25,9.99,8.81,9.15,1872500,9.15
2012-05-17,9.84,9.84,9.15,9.35,2105400,9.35
2012-05-16,9.75,9.94,9.19,9.70,1484200,9.70
2012-05-14,9.77,10.15,9.77,9.78,397900,9.78
2012-05-11,9.81,10.20,9.76,9.90,1654900,9.90
2012-05-10,9.96,10.25,9.76,9.92,794500,9.92
2012-05-09,9.76,10.44,9.76,9.95,1179200,9.95
2012-05-08,10.25,10.50,9.81,9.84,1803600,9.84
2012-05-04,9.81,10.20,9.75,9.80,4126100,9.80
2012-05-03,10.50,10.50,9.82,9.92,1220400,9.92
2012-05-02,10.75,10.82,10.00,10.25,1751300,10.25
2012-05-01,11.00,11.00,10.25,10.75,937700,10.75
2012-04-30,10.75,11.00,10.56,10.82,538000,10.82
2012-04-27,11.00,11.05,10.50,11.00,1868100,11.00
2012-04-26,12.00,12.25,10.75,11.25,3696400,11.25
2012-04-25,11.00,11.95,11.00,11.88,1975100,11.88
2012-04-24,10.50,11.24,10.50,11.00,1267700,11.00
2012-04-23,10.50,10.99,10.35,10.99,1297500,10.99
2012-04-20,10.75,10.95,10.50,10.50,855800,10.50
2012-04-19,10.50,11.00,10.50,10.90,405400,10.90
2012-04-18,10.50,10.90,10.50,10.90,455100,10.90
2012-04-17,10.75,10.85,10.30,10.60,1083800,10.60
2012-04-16,11.00,11.00,10.25,11.00,1719300,11.00
2012-04-13,10.50,10.73,10.26,10.50,1318400,10.50
2012-04-12,10.15,10.45,10.00,10.25,1768300,10.25
2012-04-11,10.25,10.50,10.00,10.25,2610100,10.25
2012-04-10,9.93,10.35,9.90,10.00,1675500,10.00
2012-04-05,10.25,10.50,10.00,10.25,837700,10.25
2012-04-04,10.25,10.45,9.68,9.75,932000,9.75
2012-04-03,10.25,10.51,9.90,10.25,1202400,10.25
2012-04-02,10.25,10.40,9.88,10.00,1835200,10.00
2012-03-30,10.50,10.50,10.05,10.25,1060100,10.25
2012-03-29,10.25,10.68,10.25,10.40,1598600,10.40
2012-03-28,10.50,10.95,10.25,10.50,1106900,10.50
2012-03-27,11.00,11.00,10.50,10.50,1788800,10.50
2012-03-26,11.00,11.00,10.60,11.00,665400,11.00
2012-03-23,10.89,10.89,10.60,10.85,666900,10.85
2012-03-22,10.75,11.00,10.65,10.65,199500,10.65
2012-03-21,10.50,10.90,10.50,10.90,267400,10.90
2012-03-20,10.65,10.95,10.65,10.90,843300,10.90
2012-03-19,11.00,11.00,10.50,10.50,701600,10.50
2012-03-16,10.75,11.12,10.75,10.75,1193700,10.75
