Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,155.00,158.00,148.25,152.75,5429000,152.75
2012-06-26,159.00,161.25,153.25,157.52,6152900,157.52
2012-06-25,167.00,168.25,152.75,154.25,7953900,154.25
2012-06-22,168.00,171.20,165.50,167.60,4588400,167.60
2012-06-21,171.00,173.22,164.00,168.25,3297100,168.25
2012-06-20,172.00,174.00,167.25,170.27,4294000,170.27
2012-06-19,171.75,171.88,166.50,168.50,2343100,168.50
2012-06-18,172.00,178.00,163.25,170.91,4004400,170.91
2012-06-15,170.00,172.38,164.85,170.06,5111600,170.06
2012-06-14,176.50,178.06,166.30,168.39,10166900,168.39
2012-06-13,183.50,187.54,175.00,178.70,4609200,178.70
2012-06-12,183.00,187.50,178.05,184.00,4720000,184.00
2012-06-11,195.00,198.94,181.50,186.00,4741900,186.00
2012-06-08,189.00,189.98,183.15,186.50,3981900,186.50
2012-06-07,188.00,193.93,186.00,190.16,4725900,190.16
2012-06-06,191.75,193.00,181.00,183.81,5135000,183.81
2012-06-01,197.00,199.75,186.00,195.44,5791400,195.44
2012-05-31,200.50,202.31,192.44,195.94,3768800,195.94
2012-05-30,204.00,206.06,195.38,197.50,3623800,197.50
2012-05-29,192.50,209.00,188.93,206.75,5740500,206.75
2012-05-28,203.00,206.75,193.27,195.00,3599300,195.00
2012-05-25,207.75,207.85,197.00,197.00,3619000,197.00
2012-05-24,204.50,210.00,199.25,204.25,3363700,204.25
2012-05-23,213.50,216.35,196.92,202.60,4323200,202.60
2012-05-22,211.00,218.00,202.25,207.61,5427100,207.61
2012-05-21,192.75,215.60,192.75,207.00,7112000,207.00
2012-05-18,190.00,197.47,184.25,193.09,5447800,193.09
2012-05-17,189.75,201.40,187.07,191.94,5169700,191.94
2012-05-16,192.00,198.84,182.00,190.85,6872600,190.85
2012-05-14,211.00,215.25,191.75,197.77,7607700,197.77
2012-05-11,216.00,226.01,210.05,214.40,5630000,214.40
2012-05-10,203.25,222.02,197.30,203.00,12959600,203.00
2012-05-09,206.75,208.58,183.00,188.75,16844400,188.75
2012-05-08,215.00,226.75,200.91,204.75,8063900,204.75
2012-05-04,230.00,231.98,213.25,219.43,7030900,219.43
2012-05-03,233.50,234.98,226.50,229.50,3087300,229.50
2012-05-02,230.00,239.25,230.00,237.26,2996700,237.26
2012-05-01,238.00,242.50,228.25,235.00,4751600,235.00
2012-04-30,236.00,246.73,231.75,237.69,6823200,237.69
2012-04-27,225.75,229.20,222.95,226.72,2970700,226.72
2012-04-26,225.25,233.50,224.12,225.33,3607300,225.33
2012-04-25,227.00,235.69,226.50,232.85,3550800,232.85
2012-04-24,239.00,242.90,224.10,239.98,5962900,239.98
2012-04-23,221.50,239.06,215.25,220.30,10501100,220.30
2012-04-20,226.00,228.63,207.50,218.37,12418200,218.37
2012-04-19,235.00,237.75,229.25,229.75,4077600,229.75
2012-04-18,242.00,244.38,234.11,236.00,3954800,236.00
2012-04-17,243.75,245.50,239.45,241.63,3585400,241.63
2012-04-16,239.75,245.70,238.50,242.39,2385800,242.39
2012-04-13,243.32,246.23,240.75,242.00,2597700,242.00
2012-04-12,235.00,247.77,230.06,235.00,3547100,235.00
2012-04-11,238.00,243.16,230.00,235.10,6049300,235.10
2012-04-10,249.25,258.34,239.50,240.95,6053000,240.95
2012-04-05,246.00,254.10,239.00,245.33,6567400,245.33
2012-04-04,252.50,256.38,240.00,243.50,11229800,243.50
2012-04-03,265.00,265.00,254.50,254.75,2839900,254.75
2012-04-02,259.50,264.75,252.99,257.99,5502300,257.99
2012-03-30,256.00,266.73,254.75,262.25,5844700,262.25
2012-03-29,266.25,269.28,252.00,252.75,4778100,252.75
2012-03-28,267.00,273.60,261.00,265.00,3996400,265.00
2012-03-27,273.50,280.38,264.00,270.69,5647300,270.69
2012-03-26,255.25,274.63,250.00,269.58,6254100,269.58
2012-03-23,266.75,274.22,251.79,263.52,7031600,263.52
2012-03-21,251.25,257.75,250.00,250.73,4343900,250.73
2012-03-20,250.00,259.75,245.00,250.00,5414500,250.00
2012-03-19,265.25,268.79,253.00,260.00,5704500,260.00
2012-03-16,262.00,270.39,260.00,263.25,5040800,263.25
2012-03-15,259.00,276.25,251.31,255.60,6448700,255.60
2012-03-14,273.00,288.08,260.55,277.06,11993600,277.06
2012-03-13,245.00,277.92,222.00,260.70,22058500,260.70
2012-03-12,291.00,297.00,239.16,249.10,23806000,249.10
2012-03-09,290.00,297.68,274.21,286.50,8501400,286.50
2012-03-08,270.25,288.00,266.52,278.93,10290900,278.93
2012-03-07,260.00,292.00,257.67,279.00,21090100,279.00
2012-03-06,332.00,334.38,210.00,310.00,59013800,310.00
2012-03-05,347.00,360.68,337.10,349.00,6116900,349.00
2012-03-02,354.78,365.00,352.50,360.05,4455800,360.05
2012-03-01,344.00,358.00,341.06,354.57,4526300,354.57
2012-02-29,354.50,365.46,337.84,349.12,7835000,349.12
2012-02-28,336.64,375.98,330.00,359.62,15844300,359.62
2012-02-27,360.00,368.29,329.56,353.26,12585300,353.26
2012-02-24,361.00,372.20,348.25,360.31,11230300,360.31
2012-02-23,368.00,395.50,336.00,370.68,28774500,370.68
2012-02-22,415.00,440.39,355.42,415.00,41932600,415.00
2012-02-21,426.50,444.75,415.00,430.93,11001900,430.93
2012-02-20,436.00,465.00,420.00,432.66,19071000,432.66
2012-02-17,385.00,417.00,383.30,411.53,14080100,411.53
2012-02-16,378.00,383.70,366.10,380.00,11716800,380.00
2012-02-15,377.00,389.45,365.50,374.75,10106400,374.75
2012-02-14,397.00,400.64,365.25,384.63,17888000,384.63
2012-02-13,395.00,415.00,382.75,405.00,25873100,405.00
2012-02-10,345.00,388.50,335.30,370.87,23948500,370.87
2012-02-09,320.50,344.75,315.00,339.88,18395400,339.88
2012-02-08,313.00,322.00,310.50,315.00,6127300,315.00
2012-02-07,327.00,329.75,310.00,314.51,9198500,314.51
2012-02-06,305.25,343.75,305.00,327.81,17704100,327.81
2012-02-03,293.25,307.00,292.80,303.50,8857000,303.50
2012-02-02,281.75,299.00,280.00,293.00,11349900,293.00
2012-02-01,280.00,280.25,275.00,275.50,4472700,275.50
2012-01-31,279.75,282.00,277.00,277.17,6890700,277.17
2012-01-30,280.00,282.33,276.00,277.83,10880700,277.83
2012-01-27,278.50,278.50,274.00,275.23,2985400,275.23
2012-01-26,275.75,280.83,273.00,276.15,4301200,276.15
2012-01-25,278.00,279.50,269.00,273.68,6959400,273.68
2012-01-24,278.50,280.00,274.00,277.39,3449400,277.39
2012-01-23,280.00,282.43,273.00,280.00,7759400,280.00
2012-01-20,277.99,280.65,263.66,272.56,6548500,272.56
2012-01-19,277.00,281.75,272.77,274.83,4947700,274.83
2012-01-18,269.25,280.00,260.32,263.66,8549000,263.66
2012-01-17,278.00,290.83,258.05,262.00,10478500,262.00
2012-01-16,290.00,295.00,257.00,278.42,14884800,278.42
2012-01-13,282.75,300.00,263.75,292.15,18520100,292.15
2012-01-12,263.00,350.00,250.00,263.00,12724200,263.00
2012-01-11,270.00,278.77,242.50,270.00,30268200,270.00
2012-01-10,225.75,319.94,222.89,225.75,48217900,225.75
2012-01-09,205.25,221.25,198.50,221.00,18729000,221.00
2012-01-06,202.25,211.45,197.80,209.36,12142100,209.36
2012-01-05,190.00,207.12,189.35,200.00,9749100,200.00
2012-01-04,190.00,192.00,188.25,189.62,3897000,189.62
2012-01-03,190.00,192.76,188.00,189.88,5642500,189.88
2011-12-30,189.00,190.34,186.80,190.00,1441600,190.00
2011-12-29,187.50,190.36,186.55,188.35,2025700,188.35
2011-12-28,188.00,190.25,180.75,184.36,4615900,184.36
2011-12-23,189.00,191.20,180.75,189.00,3455800,189.00
2011-12-22,191.50,198.86,182.10,190.05,9063300,190.05
2011-12-21,197.00,202.46,188.25,196.49,8784000,196.49
2011-12-20,180.00,207.22,172.00,185.00,17356500,185.00
2011-12-19,210.73,225.54,171.00,195.10,46963400,195.10
2011-12-16,165.25,169.49,164.72,166.54,1973400,166.54
2011-12-15,170.75,171.00,163.50,169.90,3894800,169.90
2011-12-14,170.00,173.75,167.25,168.93,3809900,168.93
2011-12-13,172.00,176.50,170.00,172.50,4031500,172.50
2011-12-12,173.75,177.00,170.15,172.00,4796600,172.00
2011-12-09,165.75,173.05,162.60,167.38,4839100,167.38
2011-12-08,173.50,176.00,163.30,167.00,5217100,167.00
2011-12-07,171.75,177.00,169.50,172.50,3357800,172.50
2011-12-06,177.00,178.85,173.00,175.50,3976300,175.50
2011-12-05,176.49,181.00,173.31,177.00,5036600,177.00
2011-12-02,174.50,179.25,172.09,173.31,4813800,173.31
2011-12-01,169.00,175.10,167.25,169.87,5021700,169.87
2011-11-30,162.00,171.25,160.62,171.20,5188900,171.20
2011-11-29,161.00,165.75,159.31,162.76,3631100,162.76
2011-11-28,159.50,164.50,158.00,161.41,4381900,161.41
2011-11-25,160.25,167.90,152.35,155.95,9953500,155.95
2011-11-24,149.00,172.81,145.53,150.48,12149100,150.48
2011-11-23,156.50,155.13,144.60,148.75,10640900,148.75
2011-11-22,162.00,162.00,155.00,156.57,4651400,156.57
2011-11-21,170.00,176.00,157.84,165.06,7710800,165.06
2011-11-18,167.00,170.10,162.62,167.66,9540400,167.66
2011-11-17,182.00,182.00,160.00,168.19,14122100,168.19
2011-11-16,178.00,186.18,173.88,180.19,8259900,180.19
2011-11-15,176.75,192.02,164.23,173.88,13187000,173.88
2011-11-14,193.00,201.91,160.00,192.02,25155400,192.02
2011-11-11,147.50,189.38,147.50,177.20,34999700,177.20
2011-11-10,136.00,144.51,133.15,140.51,3968100,140.51
2011-11-09,141.50,144.50,130.02,137.50,6831800,137.50
2011-11-08,142.00,153.00,138.75,141.81,10850700,141.81
2011-11-07,132.25,136.41,131.75,133.00,2623200,133.00
2011-11-04,135.50,135.56,130.26,132.25,2322000,132.25
2011-11-03,130.25,134.75,128.35,133.50,1849700,133.50
2011-11-02,130.75,134.00,128.25,131.50,2260200,131.50
2011-11-01,132.00,132.74,125.25,128.59,4664300,128.59
2011-10-31,138.25,139.00,130.94,131.75,4674000,131.75
2011-10-28,141.00,141.00,134.91,137.59,3152600,137.59
2011-10-27,137.00,141.00,134.75,139.50,4870400,139.50
2011-10-26,137.00,137.44,132.40,135.94,2417800,135.94
2011-10-25,135.00,139.54,132.50,136.75,3584800,136.75
2011-10-24,139.00,139.72,132.92,134.53,10233200,134.53
2011-10-21,137.50,141.50,134.55,136.50,8496300,136.50
2011-10-20,135.50,139.25,135.00,136.00,2042600,136.00
2011-10-19,139.00,140.50,134.58,137.25,3750300,137.25
2011-10-18,134.00,136.00,129.85,135.25,3124800,135.25
2011-10-17,136.50,138.75,131.37,136.22,2660100,136.22
2011-10-14,131.50,136.75,129.08,134.25,3503300,134.25
2011-10-13,136.00,136.00,129.75,131.37,2783200,131.37
2011-10-12,135.50,136.98,132.83,135.70,3476300,135.70
2011-10-11,141.00,141.50,131.75,135.38,6332800,135.38
2011-10-10,134.75,140.28,134.12,138.12,4613800,138.12
2011-10-07,136.00,136.75,131.58,134.06,4447900,134.06
2011-10-06,132.50,138.65,132.25,135.49,5415100,135.49
2011-10-05,128.25,135.25,126.18,133.54,5281500,133.54
2011-10-04,136.00,136.00,119.00,126.80,9721300,126.80
2011-10-03,142.75,149.28,133.00,136.00,6546500,136.00
2011-09-30,145.50,149.18,143.50,144.75,4013300,144.75
2011-09-29,149.25,150.63,146.00,148.75,2024500,148.75
2011-09-28,150.40,150.40,146.75,149.20,3469000,149.20
2011-09-27,151.75,154.25,148.00,150.75,3612500,150.75
2011-09-26,150.25,152.50,145.00,149.25,3674100,149.25
2011-09-23,152.00,159.75,143.75,151.28,7380300,151.28
2011-09-22,156.50,162.81,148.40,156.02,5427200,156.02
2011-09-21,156.00,167.19,140.00,163.43,10175500,163.43
2011-09-20,147.44,153.50,140.42,152.45,30053000,152.45
2011-09-19,166.00,167.62,160.00,163.85,9017900,163.85
2011-09-16,177.75,177.75,165.75,171.55,9059900,171.55
2011-09-15,178.75,187.00,170.79,180.70,6533500,180.70
2011-09-14,185.75,185.75,167.00,174.98,12298000,174.98
2011-09-13,172.00,190.00,170.50,183.03,15312800,183.03
2011-09-12,158.50,171.75,152.00,166.40,12472300,166.40
2011-09-09,150.00,165.50,148.00,157.89,12810400,157.89
2011-09-08,136.75,150.05,135.25,150.00,9234300,150.00
2011-09-07,129.00,140.25,129.00,135.00,6080600,135.00
2011-09-06,132.00,132.00,126.05,129.75,4409700,129.75
2011-09-05,137.50,145.00,133.00,133.25,3273900,133.25
2011-09-02,137.75,137.75,133.00,134.98,6637900,134.98
2011-09-01,139.50,140.00,134.41,136.25,7475700,136.25
2011-08-31,139.00,144.00,136.50,138.23,7342500,138.23
2011-08-30,136.50,154.50,122.75,135.70,8846900,135.70
2011-08-26,126.00,131.00,119.25,130.50,3198100,130.50
2011-08-25,127.50,132.29,123.75,128.42,2003400,128.42
2011-08-24,122.00,131.50,122.00,128.50,1024200,128.50
2011-08-23,127.25,131.30,125.00,128.50,1902400,128.50
2011-08-22,126.00,131.45,125.00,128.44,1452000,128.44
2011-08-19,123.25,133.75,117.00,126.12,9680900,126.12
2011-08-18,142.00,150.00,125.00,134.18,15643400,134.18
2011-08-17,133.00,145.15,130.25,135.06,8160800,135.06
2011-08-16,134.50,136.75,128.75,132.96,5734100,132.96
2011-08-15,130.00,138.25,128.62,134.70,10270400,134.70
2011-08-12,128.50,130.00,125.25,127.74,3107500,127.74
2011-08-11,125.00,127.75,119.00,126.00,8447100,126.00
2011-08-10,117.50,138.75,114.00,120.50,20403500,120.50
2011-08-09,99.50,114.50,96.69,108.97,10902300,108.97
2011-08-08,97.00,111.39,90.00,101.18,11628000,101.18
2011-08-05,105.00,116.70,96.25,107.22,19291600,107.22
2011-08-04,133.00,137.18,87.00,101.02,21883300,101.02
2011-08-03,140.00,141.00,128.25,130.50,4720500,130.50
2011-08-02,139.00,140.50,135.00,139.31,3049900,139.31
2011-08-01,143.00,146.00,138.50,141.58,2611300,141.58
2011-07-29,142.00,142.75,137.50,139.00,2956700,139.00
2011-07-28,141.00,146.25,140.00,141.55,4813100,141.55
2011-07-27,147.00,147.00,141.50,142.97,1534500,142.97
2011-07-26,147.00,149.50,141.75,145.25,2885600,145.25
2011-07-25,147.00,151.90,144.25,147.24,3295900,147.24
2011-07-22,143.50,148.00,142.45,146.02,3092600,146.02
2011-07-21,144.75,147.00,139.00,143.00,1672700,143.00
2011-07-20,137.88,145.25,136.25,142.31,3189800,142.31
2011-07-19,138.75,140.00,135.00,138.52,2181200,138.52
2011-07-18,141.00,142.25,136.50,136.96,2729200,136.96
2011-07-15,141.25,144.75,140.50,140.50,1651100,140.50
2011-07-14,141.25,145.43,141.00,142.79,1924500,142.79
2011-07-13,142.25,146.75,140.28,141.81,2585900,141.81
2011-07-12,144.50,150.00,138.25,146.44,4526700,146.44
2011-07-11,144.25,152.75,144.00,146.98,4341900,146.98
2011-07-08,144.75,146.50,141.75,144.30,2951900,144.30
2011-07-07,144.00,147.77,141.02,143.75,3365000,143.75
2011-07-06,143.25,145.00,141.00,142.50,2018300,142.50
2011-07-05,142.25,146.50,141.38,143.29,2186200,143.29
2011-07-04,145.00,146.75,141.00,144.50,2685900,144.50
2011-07-01,137.75,148.00,137.75,143.25,4140300,143.25
2011-06-30,136.75,139.50,136.00,138.50,1920000,138.50
2011-06-29,130.00,138.50,129.50,137.00,5092600,137.00
2011-06-28,130.25,134.25,127.39,131.50,3229000,131.50
2011-06-27,135.50,136.60,127.97,130.50,3313000,130.50
2011-06-24,136.00,140.35,134.00,136.50,1910500,136.50
2011-06-23,141.00,141.01,130.75,134.25,5202800,134.25
2011-06-22,142.50,145.13,139.75,140.50,2222000,140.50
2011-06-21,143.75,145.00,141.00,141.00,1600100,141.00
2011-06-20,144.75,149.42,143.00,143.75,2059800,143.75
2011-06-17,143.00,149.50,137.32,146.25,3530000,146.25
2011-06-16,145.00,147.56,136.31,141.00,4845000,141.00
2011-06-15,149.00,150.61,144.50,145.25,1514700,145.25
2011-06-14,151.75,152.00,146.99,149.26,2031100,149.26
2011-06-13,145.00,151.25,144.25,147.50,2159200,147.50
2011-06-10,150.00,150.77,145.20,146.00,1673400,146.00
2011-06-09,154.00,154.00,144.50,149.00,2047600,149.00
2011-06-08,150.00,153.03,148.25,151.50,1535700,151.50
2011-06-07,152.00,153.48,147.50,150.00,1914800,150.00
2011-06-06,151.50,158.10,149.25,150.25,2951900,150.25
2011-06-03,152.00,155.17,150.00,152.44,1720400,152.44
2011-06-02,155.00,156.00,149.77,152.50,1591400,152.50
2011-06-01,159.00,160.41,154.25,157.64,2649300,157.64
2011-05-31,147.00,159.24,146.25,157.71,5224600,157.71
2011-05-27,145.00,151.25,143.00,150.96,3640300,150.96
2011-05-26,143.25,147.00,141.80,144.25,2078100,144.25
2011-05-25,145.75,146.06,139.75,143.49,7323500,143.49
2011-05-24,151.75,155.25,142.00,145.43,8428200,145.43
2011-05-23,156.00,160.51,151.11,152.00,7364300,152.00
2011-05-20,160.00,162.00,158.25,159.50,2228300,159.50
2011-05-19,161.25,162.00,157.03,158.04,2317700,158.04
2011-05-18,160.00,160.50,155.00,155.96,2434500,155.96
2011-05-17,157.00,160.19,156.20,156.75,3548100,156.75
2011-05-16,160.50,162.75,157.50,159.32,3192700,159.32
2011-05-13,159.00,161.50,158.75,159.51,3148700,159.51
2011-05-12,159.75,166.75,156.75,159.07,4086200,159.07
2011-05-11,159.00,167.00,156.56,158.66,4785100,158.66
2011-05-10,160.00,160.70,156.25,157.72,4276300,157.72
2011-05-09,160.00,190.93,151.00,159.40,2541800,159.40
