Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,75.00,80.00,75.00,77.75,105500,77.75
2012-08-02,75.00,80.00,75.00,77.75,156300,77.75
2012-08-01,75.00,78.00,75.00,78.00,449100,78.00
2012-07-31,77.75,77.94,75.50,75.50,409800,75.50
2012-07-27,76.50,77.00,76.25,76.25,31900,76.25
2012-07-26,75.00,78.00,75.00,76.50,1909300,76.50
2012-07-25,77.00,77.80,75.82,76.50,209500,76.50
2012-07-24,75.50,77.98,75.05,77.00,135700,77.00
2012-07-23,76.50,77.67,75.50,75.50,45000,75.50
2012-07-20,77.00,77.12,76.00,76.00,407300,76.00
2012-07-19,76.00,77.00,76.00,77.00,132700,77.00
2012-07-18,76.25,76.93,76.00,76.35,73300,76.35
2012-07-17,79.00,79.00,75.50,76.00,607400,76.00
2012-07-16,77.75,78.98,77.50,77.50,107500,77.50
2012-07-13,77.25,77.75,76.75,77.50,828700,77.50
2012-07-12,77.10,77.25,76.50,77.25,2755400,77.25
2012-07-11,79.75,79.75,78.55,79.06,1771000,79.06
2012-07-10,80.00,80.75,78.00,80.00,1093800,80.00
2012-07-09,79.50,79.50,76.89,79.50,272200,79.50
2012-07-06,73.00,79.00,73.00,79.00,784100,79.00
2012-07-05,75.25,76.00,75.25,75.75,746300,75.75
2012-07-04,74.75,75.75,74.75,75.50,208400,75.50
2012-07-03,75.50,76.00,75.25,75.75,132600,75.75
2012-07-02,75.00,76.00,74.00,75.50,2601900,75.50
2012-06-29,75.25,75.75,74.50,75.50,847800,75.50
2012-06-28,74.50,75.50,73.50,75.00,1192700,75.00
2012-06-27,74.50,74.50,73.00,74.50,562600,74.50
2012-06-26,74.50,74.50,73.00,73.00,1440100,73.00
2012-06-25,74.00,75.77,73.75,73.75,370900,73.75
2012-06-22,73.50,75.25,73.50,75.00,1003200,75.00
2012-06-21,74.75,75.00,72.55,74.50,582600,74.50
2012-06-20,75.00,75.00,74.27,75.00,90900,75.00
2012-06-19,74.00,75.00,73.25,74.50,109000,74.50
2012-06-18,72.00,73.00,71.25,73.00,123900,73.00
2012-06-15,73.00,76.00,70.00,70.00,1113400,70.00
2012-06-14,74.50,74.75,72.50,74.75,209300,74.75
2012-06-13,74.00,74.00,72.55,73.75,191900,73.75
2012-06-12,75.00,75.00,72.50,72.93,381400,72.93
2012-06-11,75.00,75.00,73.50,74.75,167400,74.75
2012-06-08,75.00,75.00,73.25,74.00,240900,74.00
2012-06-07,73.00,75.00,73.00,74.50,280600,74.50
2012-06-06,74.00,75.00,73.25,74.25,138600,74.25
2012-06-01,75.25,76.75,74.00,74.00,1173500,72.25
2012-05-31,75.50,82.00,75.50,77.00,2366800,75.18
2012-05-30,77.50,78.50,76.50,77.50,797400,75.67
2012-05-29,76.00,77.00,73.75,77.00,182400,75.18
2012-05-28,74.00,75.00,73.00,75.00,145400,73.23
2012-05-25,72.00,74.00,72.00,74.00,111400,72.25
2012-05-24,73.00,74.00,72.75,73.00,63300,71.27
2012-05-23,71.25,74.00,71.25,74.00,626500,72.25
2012-05-22,72.00,73.00,70.00,72.75,359900,71.03
2012-05-21,70.50,70.50,68.50,68.50,156500,66.88
2012-05-18,70.25,70.28,68.03,68.68,858100,67.06
2012-05-17,69.00,71.50,68.50,69.25,1214000,67.61
2012-05-16,70.50,70.53,69.00,70.00,299200,68.34
2012-05-14,70.75,71.00,70.25,70.50,513400,68.83
2012-05-11,70.50,71.00,70.25,70.25,191300,68.59
2012-05-10,71.00,72.75,70.50,71.25,232100,69.57
2012-05-09,71.00,72.00,70.00,71.75,449600,70.05
2012-05-08,71.50,72.72,70.50,70.50,378200,68.83
