Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,595.00,601.50,593.00,597.50,214000,596.00
2012-08-02,595.00,601.50,590.50,596.00,335100,596.00
2012-08-01,600.50,608.54,588.50,594.50,771600,594.50
2012-07-31,599.50,607.00,598.15,599.00,450800,599.00
2012-07-27,616.00,618.50,606.00,611.00,575900,611.00
2012-07-26,596.50,616.00,593.00,611.00,641700,611.00
2012-07-25,590.50,596.00,582.80,594.50,683300,594.50
2012-07-24,593.50,595.00,589.50,590.00,407500,590.00
2012-07-23,597.50,597.50,583.19,592.00,727000,592.00
2012-07-20,596.00,598.32,590.00,595.00,513600,595.00
2012-07-19,592.50,597.50,587.00,596.50,431900,596.50
2012-07-18,584.00,594.62,577.50,591.00,665900,591.00
2012-07-17,577.00,583.00,569.00,581.50,1479700,581.50
2012-07-16,576.00,578.50,566.50,575.00,354800,575.00
2012-07-13,568.00,577.00,564.50,575.50,325400,575.50
2012-07-12,568.50,571.83,561.83,565.50,440400,565.50
2012-07-11,570.50,575.00,565.50,569.00,505700,569.00
2012-07-10,564.50,578.00,562.00,571.00,894700,571.00
2012-07-09,564.50,569.00,558.00,559.00,581900,559.00
2012-07-06,563.50,569.00,561.50,566.00,323400,566.00
2012-07-05,561.50,568.12,556.00,561.00,587200,561.00
2012-07-04,562.50,562.50,553.50,560.50,466200,560.50
2012-07-03,555.00,561.50,552.50,560.50,659100,560.50
2012-07-02,552.00,557.00,542.83,553.00,754200,553.00
2012-06-29,543.00,555.00,542.28,550.50,525300,550.50
2012-06-28,533.00,539.00,526.62,536.00,644900,536.00
2012-06-27,531.50,533.00,523.00,531.50,298000,531.50
2012-06-26,527.50,529.00,523.00,526.00,359600,526.00
2012-06-25,530.25,531.33,524.00,524.00,465600,524.00
2012-06-22,522.00,522.50,515.51,519.50,482700,519.50
2012-06-21,524.00,528.00,520.00,524.00,1008600,524.00
2012-06-20,514.00,525.00,505.00,525.00,539200,525.00
2012-06-19,495.30,507.05,493.11,507.00,370400,507.00
2012-06-18,493.00,495.72,483.30,495.20,351000,495.20
2012-06-15,486.00,490.30,482.40,486.00,1002900,486.00
2012-06-14,480.20,486.00,475.90,486.00,483300,486.00
2012-06-13,480.80,483.30,471.84,480.60,720400,480.60
2012-06-12,487.40,490.00,477.00,479.20,615500,479.20
2012-06-11,493.60,497.80,488.30,489.20,325400,489.20
2012-06-08,486.60,488.50,482.20,487.50,314700,487.50
2012-06-07,483.40,489.00,480.50,488.30,421700,488.30
2012-06-06,481.30,484.40,470.70,481.20,702900,481.20
2012-06-01,487.50,492.70,475.40,478.20,257100,478.20
2012-05-31,482.50,489.50,482.50,489.10,671500,489.10
2012-05-30,484.70,487.82,480.50,483.50,324200,483.50
2012-05-29,487.70,490.69,484.30,487.97,479200,487.97
2012-05-28,485.30,488.85,480.40,483.00,289100,483.00
2012-05-25,480.00,486.10,474.90,480.00,333100,480.00
2012-05-24,476.40,483.70,474.80,480.10,484800,480.10
2012-05-23,479.00,480.00,473.30,474.30,373100,474.30
2012-05-22,486.50,486.70,476.10,480.10,648300,480.10
2012-05-21,474.30,481.00,473.20,475.70,577000,475.70
2012-05-18,479.40,481.60,474.10,475.90,484300,475.90
2012-05-17,489.70,495.10,483.00,483.00,413000,483.00
2012-05-16,483.70,490.70,477.50,487.10,519300,487.10
2012-05-14,491.80,495.70,484.10,487.50,454700,487.50
2012-05-11,493.20,498.10,488.00,494.50,1414300,494.50
2012-05-10,506.00,508.33,496.00,497.60,935600,497.60
2012-05-09,503.00,507.89,499.00,503.75,529800,503.75
2012-05-08,515.00,515.00,501.00,501.50,377100,501.50
2012-05-04,524.50,524.50,511.00,514.00,479700,514.00
2012-05-03,528.00,531.50,524.00,526.00,430100,526.00
2012-05-02,528.00,528.00,522.50,527.50,486400,527.50
2012-05-01,508.50,527.50,508.50,526.00,531700,526.00
2012-04-30,513.00,518.27,508.00,510.50,321200,510.50
2012-04-27,507.00,514.50,505.50,512.50,662800,512.50
2012-04-26,513.50,515.15,505.50,508.00,640400,508.00
2012-04-25,515.00,519.00,509.00,510.00,773100,510.00
2012-04-24,519.00,520.00,514.00,515.00,668700,515.00
2012-04-23,529.00,529.00,514.00,517.50,579000,517.50
2012-04-20,518.50,523.50,516.50,519.00,264600,519.00
2012-04-19,518.00,518.50,511.00,518.00,320600,518.00
2012-04-18,515.00,515.95,509.50,513.50,484100,513.50
2012-04-17,501.00,518.00,501.00,513.50,445500,513.50
2012-04-16,513.50,518.00,508.51,512.00,489400,512.00
2012-04-13,517.50,517.50,510.00,512.00,275600,512.00
2012-04-12,506.50,518.50,505.50,516.00,354200,516.00
2012-04-11,500.00,518.00,499.40,508.50,474500,508.50
2012-04-10,507.00,511.50,502.00,503.50,273000,503.50
2012-04-05,510.00,512.00,502.00,510.50,293100,510.50
