Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1290.00,1295.00,1255.00,1256.00,19500,1252.00
2012-08-02,1290.00,1295.00,1252.00,1252.00,36700,1252.00
2012-08-01,1282.00,1290.00,1263.00,1290.00,17300,1290.00
2012-07-31,1285.00,1296.93,1250.00,1280.00,39300,1280.00
2012-07-27,1276.00,1284.00,1271.75,1282.00,35600,1282.00
2012-07-26,1284.00,1286.00,1253.00,1270.00,73800,1270.00
2012-07-25,1331.00,1331.75,1286.00,1286.00,121900,1286.00
2012-07-24,1350.00,1366.00,1330.00,1337.00,141300,1337.00
2012-07-23,1363.00,1363.00,1345.00,1349.00,33900,1349.00
2012-07-20,1368.00,1384.00,1346.00,1375.00,84700,1375.00
2012-07-19,1338.00,1398.00,1338.00,1375.00,345800,1375.00
2012-07-18,1349.00,1364.31,1321.00,1330.00,247700,1330.00
2012-07-17,1318.00,1354.00,1306.00,1354.00,187600,1354.00
2012-07-16,1297.00,1314.00,1284.90,1310.00,170200,1310.00
2012-07-13,1275.00,1291.00,1275.00,1286.00,44500,1286.00
2012-07-12,1281.00,1281.00,1281.00,1281.00,18600,1281.00
2012-07-11,1258.00,1280.00,1258.00,1273.00,18800,1273.00
2012-07-10,1282.00,1296.09,1262.00,1266.00,46100,1266.00
2012-07-09,1254.00,1289.92,1250.00,1285.00,73900,1285.00
2012-07-06,1268.00,1268.00,1247.00,1260.00,30000,1260.00
2012-07-05,1259.00,1262.00,1245.00,1260.00,33400,1260.00
2012-07-04,1264.00,1275.00,1251.00,1254.00,36800,1254.00
2012-07-03,1263.00,1282.00,1249.16,1263.00,30600,1263.00
2012-07-02,1234.00,1274.00,1234.00,1253.00,26900,1253.00
2012-06-29,1268.00,1268.00,1230.00,1232.21,53100,1232.21
2012-06-28,1253.00,1263.00,1225.00,1248.00,138300,1248.00
2012-06-27,1230.00,1264.04,1218.00,1260.00,181000,1260.00
2012-06-26,1207.00,1242.00,1207.00,1220.54,101700,1220.54
2012-06-25,1208.00,1219.00,1204.00,1215.27,97000,1215.27
2012-06-22,1200.00,1212.60,1191.00,1207.64,78500,1207.64
2012-06-21,1184.00,1208.00,1175.76,1201.00,71700,1201.00
2012-06-20,1160.00,1180.00,1160.00,1180.00,54800,1180.00
2012-06-19,1136.00,1182.00,1135.00,1163.00,55900,1163.00
2012-06-18,1195.00,1201.36,1129.00,1131.00,78000,1131.00
2012-06-15,1248.00,1254.00,1194.70,1195.00,109600,1195.00
2012-06-14,1248.00,1264.00,1213.00,1254.00,32800,1254.00
2012-06-13,1237.00,1269.00,1237.00,1255.00,26500,1255.00
2012-06-12,1276.00,1276.00,1231.00,1236.00,31400,1236.00
2012-06-11,1257.00,1280.00,1257.00,1271.00,31500,1271.00
2012-06-08,1259.00,1262.00,1232.00,1242.00,15000,1242.00
2012-06-07,1265.00,1265.00,1233.00,1259.00,49800,1259.00
2012-06-06,1229.00,1266.00,1224.00,1255.00,49900,1255.00
2012-06-01,1263.00,1269.96,1219.00,1227.00,27200,1227.00
2012-05-31,1259.00,1283.00,1259.00,1267.00,66300,1267.00
2012-05-30,1263.00,1271.00,1250.00,1262.00,84500,1262.00
2012-05-29,1254.00,1277.25,1252.00,1262.00,69400,1262.00
2012-05-28,1187.00,1252.00,1161.75,1247.00,375900,1247.00
2012-05-25,1200.00,1218.00,1182.00,1192.00,43100,1192.00
2012-05-24,1205.00,1211.00,1195.80,1203.00,24800,1203.00
2012-05-23,1208.00,1220.00,1196.00,1198.00,25400,1198.00
2012-05-22,1229.00,1258.00,1183.00,1216.00,71100,1216.00
