Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,62.40,62.48,62.40,62.48,3600,62.48
2012-08-02,62.40,62.48,62.40,62.48,3600,62.48
2012-08-01,60.00,67.00,60.00,60.00,000,60.00
2012-07-31,64.40,64.40,62.40,62.40,1600,62.40
2012-07-27,63.88,63.88,61.05,63.88,5600,63.88
2012-07-26,60.00,63.88,60.00,61.05,1800,61.05
2012-07-25,63.88,63.88,60.00,60.00,2500,60.00
2012-07-24,60.62,63.88,60.00,60.00,8100,60.00
2012-07-23,60.00,64.30,60.00,64.30,3200,64.30
2012-07-20,59.00,64.38,59.00,60.00,16400,60.00
2012-07-19,60.50,62.00,58.62,59.25,19000,59.25
2012-07-18,58.62,62.25,58.62,58.62,13300,58.62
2012-07-17,62.25,62.25,58.62,58.62,1000,58.62
2012-07-16,62.35,62.35,58.62,58.62,18900,58.62
2012-07-13,61.50,62.25,59.25,62.25,9100,62.25
2012-07-12,60.70,62.00,59.37,61.63,16700,61.63
2012-07-11,59.50,59.69,59.50,59.69,19500,59.69
2012-07-10,59.00,59.50,59.00,59.50,24200,59.50
2012-07-09,61.75,61.75,60.00,61.00,21100,61.00
2012-07-06,61.38,61.75,61.38,61.75,11100,61.75
2012-07-05,58.69,60.05,58.05,60.05,57000,60.05
2012-07-04,60.00,62.00,60.00,62.00,17700,62.00
2012-07-03,61.00,62.00,60.00,60.00,4300,60.00
2012-07-02,63.00,63.00,60.00,60.00,20900,60.00
2012-06-29,63.90,64.50,59.00,59.00,48600,59.00
2012-06-28,61.50,64.00,61.50,64.00,7300,64.00
2012-06-27,61.50,61.50,61.50,61.50,000,61.50
2012-06-26,62.25,63.30,62.00,63.30,14800,63.30
2012-06-25,62.37,62.37,62.37,62.37,2500,62.37
2012-06-22,63.00,64.22,63.00,63.00,12000,63.00
2012-06-21,65.00,65.00,62.00,62.00,41000,62.00
2012-06-20,64.93,64.93,62.30,62.30,4600,62.30
2012-06-19,62.00,65.00,62.00,62.00,10300,62.00
2012-06-18,62.00,65.00,62.00,62.30,3900,62.30
2012-06-15,65.00,65.00,62.00,62.00,5400,62.00
2012-06-14,61.00,64.90,61.00,62.30,8500,62.30
2012-06-13,62.00,64.90,62.00,64.75,1800,64.75
2012-06-12,63.00,65.90,63.00,63.55,13000,63.55
2012-06-11,63.30,67.00,63.30,67.00,1800,67.00
2012-06-08,67.00,67.00,63.30,67.00,4000,67.00
2012-06-07,66.90,67.00,63.40,67.00,19700,67.00
2012-06-06,63.00,67.00,63.00,67.00,10700,67.00
