Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,502.00,502.00,496.30,498.10,16200,500.00
2012-08-01,495.20,500.50,494.80,500.00,21800,500.00
2012-07-31,495.80,503.50,495.80,496.70,69400,496.70
2012-07-30,497.00,502.50,492.51,502.50,50100,502.50
2012-07-27,489.40,501.00,489.40,501.00,118500,501.00
2012-07-26,480.00,494.00,479.30,494.00,101200,494.00
2012-07-25,472.50,487.40,468.57,484.00,300200,484.00
2012-07-24,474.10,479.10,472.90,477.70,23800,477.70
2012-07-23,480.80,480.80,472.50,474.00,40000,474.00
2012-07-20,491.50,491.50,483.80,484.10,22500,484.10
2012-07-19,479.50,493.10,479.50,493.10,71300,493.10
2012-07-18,484.00,489.34,476.60,480.60,31000,480.60
2012-07-17,484.10,484.50,480.70,480.70,27100,480.70
2012-07-16,481.90,485.10,477.50,484.70,37700,484.70
2012-07-13,479.90,483.00,475.05,480.70,72400,480.70
2012-07-12,476.00,476.00,472.50,476.00,19100,476.00
2012-07-11,478.00,483.90,477.50,478.30,134600,478.30
2012-07-10,477.00,481.80,476.00,477.80,55300,477.80
2012-07-09,472.50,479.80,472.50,476.00,72600,476.00
2012-07-06,476.70,477.00,472.50,475.00,84400,475.00
2012-07-05,473.10,480.60,471.63,475.00,31000,475.00
2012-07-04,476.00,481.40,475.00,481.40,41200,481.40
2012-07-03,473.50,482.80,473.50,482.80,60900,482.80
2012-07-02,471.50,475.64,467.50,474.50,53100,474.50
2012-06-29,464.80,472.50,463.70,472.50,25100,472.50
2012-06-28,464.00,464.00,455.40,460.30,39500,460.30
2012-06-27,463.90,467.50,460.50,465.00,230100,465.00
2012-06-26,456.90,469.40,455.00,460.20,174100,460.20
2012-06-25,459.30,463.82,455.10,459.80,33700,459.80
2012-06-22,463.00,466.40,458.50,466.40,48800,466.40
2012-06-21,467.00,468.50,463.00,468.50,41800,468.50
2012-06-20,464.80,469.50,464.80,468.00,38900,468.00
2012-06-19,462.70,470.30,458.30,469.70,122600,469.70
2012-06-18,465.00,465.00,459.00,462.80,47100,462.80
2012-06-15,460.60,467.00,453.79,453.90,205100,453.90
2012-06-14,464.10,467.50,460.00,463.50,63500,463.50
2012-06-13,457.00,464.00,457.00,464.00,103400,464.00
2012-06-12,457.20,458.00,454.80,457.00,244800,457.00
2012-06-11,465.00,465.00,458.10,458.50,84100,458.50
2012-06-08,466.80,466.80,463.00,464.90,17200,464.90
2012-06-07,464.30,472.50,463.90,466.00,103200,466.00
2012-06-06,458.60,466.90,456.40,466.90,65400,466.90
2012-06-01,463.90,464.50,457.50,457.90,56600,457.90
2012-05-31,464.50,467.10,461.86,463.70,26800,463.70
2012-05-30,474.60,474.60,461.00,462.50,31100,462.50
2012-05-29,465.00,479.50,462.00,473.50,47800,473.50
2012-05-28,464.90,465.00,460.00,464.00,84800,464.00
2012-05-25,461.80,461.80,454.20,458.20,71000,458.20
2012-05-24,455.10,459.80,453.30,455.50,20100,455.50
2012-05-23,456.10,459.15,454.00,454.00,50400,454.00
2012-05-22,463.50,466.00,458.00,464.10,102400,464.10
