Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,707.11,720.00,707.11,707.11,1100,718.00
2012-08-01,722.00,722.00,709.20,718.00,4300,718.00
2012-07-31,732.00,732.00,718.75,725.00,1900,725.00
2012-07-30,710.00,730.00,702.11,720.00,11400,720.00
2012-07-27,706.00,720.00,703.00,703.00,12800,703.00
2012-07-26,724.89,724.89,710.00,724.89,2800,724.89
2012-07-25,724.89,724.89,700.00,700.00,1000,700.00
2012-07-24,730.00,730.00,700.00,700.00,4100,700.00
2012-07-23,715.00,731.50,705.00,705.00,9800,705.00
2012-07-20,735.00,742.50,725.00,725.00,13100,725.00
2012-07-19,745.00,745.00,736.00,745.00,200,745.00
2012-07-18,765.89,765.89,742.00,743.89,1200,743.89
2012-07-17,770.89,770.89,744.89,744.89,6700,744.89
2012-07-16,747.00,772.89,742.00,743.00,4400,743.00
2012-07-13,752.00,752.00,747.76,748.00,5100,748.00
2012-07-12,749.73,769.89,749.73,751.00,2900,751.00
2012-07-11,760.00,773.89,759.00,770.20,5200,770.20
2012-07-10,759.00,773.89,759.00,768.00,400,768.00
2012-07-09,766.00,775.00,763.00,775.00,600,775.00
2012-07-06,750.00,750.00,750.00,750.00,100,750.00
2012-07-05,775.99,775.99,750.00,750.00,3400,750.00
2012-07-04,755.00,775.99,755.00,755.00,3500,755.00
2012-07-03,774.00,774.00,754.49,754.49,9800,754.49
2012-07-02,765.00,773.00,755.00,755.00,4900,755.00
2012-06-29,760.00,769.00,758.00,767.00,16000,767.00
2012-06-28,756.00,756.00,743.25,750.00,2200,750.00
2012-06-27,758.00,776.89,750.00,750.00,4400,750.00
2012-06-26,756.89,756.89,756.89,756.89,100,756.89
2012-06-25,756.89,756.89,756.89,756.89,600,756.89
2012-06-22,751.80,751.80,741.00,742.00,800,742.00
2012-06-21,755.00,761.10,745.00,745.00,1000,745.00
2012-06-20,770.00,770.00,752.00,769.00,12700,769.00
2012-06-19,779.89,779.89,760.00,760.00,2300,760.00
2012-06-18,770.00,778.00,755.00,777.89,1700,777.89
2012-06-15,781.50,781.50,750.00,750.00,3500,750.00
2012-06-14,778.00,785.00,775.00,775.00,6100,775.00
2012-06-13,786.00,788.49,770.00,777.00,3800,777.00
2012-06-12,759.00,783.00,759.00,783.00,500,783.00
2012-06-11,800.00,800.00,779.89,780.00,2500,780.00
2012-06-08,807.00,807.00,779.97,798.00,1500,798.00
2012-06-07,800.00,807.00,788.50,807.00,1400,807.00
2012-06-06,752.50,800.00,752.50,800.00,1500,800.00
2012-06-01,779.11,783.89,775.00,782.89,3200,782.89
2012-05-31,785.00,785.00,779.00,784.00,6400,784.00
2012-05-30,787.00,800.21,781.11,781.11,6000,781.11
2012-05-29,786.11,780.00,780.00,780.00,3000,780.00
2012-05-28,805.00,810.00,782.50,810.00,6300,810.00
2012-05-25,810.00,815.00,788.11,805.00,2500,805.00
2012-05-24,780.11,809.89,780.11,781.11,600,781.11
2012-05-23,800.00,807.89,780.00,780.00,3000,780.00
2012-05-22,815.00,819.89,800.48,815.00,1700,815.00
2012-05-21,820.00,835.89,801.00,803.50,9700,803.50
2012-05-14,855.00,855.00,832.11,855.00,4100,855.00
2012-05-11,868.00,870.00,835.00,870.00,2700,870.00
2012-05-10,861.50,868.00,861.50,868.00,1100,868.00
2012-05-09,840.00,861.50,840.00,861.50,2900,861.50
2012-05-08,872.89,873.72,852.00,852.00,4500,852.00
2012-05-04,852.50,857.89,850.00,850.00,5800,850.00
2012-05-03,889.00,890.00,889.00,890.00,1600,890.00
2012-05-02,860.00,882.00,855.00,855.00,5700,855.00
2012-05-01,859.00,882.98,854.00,879.00,5100,879.00
2012-04-30,860.00,884.00,850.00,850.00,4700,850.00
2012-04-27,860.00,883.89,857.25,867.00,3900,867.00
2012-04-26,872.00,880.49,850.00,850.00,3400,850.00
2012-04-25,859.00,883.49,859.00,865.00,6900,865.00
2012-04-24,859.00,883.49,858.00,858.00,3600,858.00
2012-04-23,883.00,912.89,880.00,880.00,5600,880.00
2012-04-20,911.89,911.89,910.89,910.89,1400,910.89
2012-04-19,901.00,911.89,898.11,898.11,17700,898.11
2012-04-18,895.00,913.00,895.00,908.00,4100,908.00
2012-04-17,895.00,912.00,894.00,907.00,800,907.00
2012-04-16,894.00,899.26,886.00,886.00,2900,886.00
2012-04-13,881.00,891.00,881.00,885.00,1700,885.00
2012-04-12,892.00,905.53,892.00,905.53,1700,905.53
2012-04-11,894.89,894.89,879.89,879.89,3800,879.89
2012-04-10,896.89,896.89,870.00,870.00,5900,870.00
2012-04-05,877.00,895.89,870.00,895.89,1600,895.89
2012-04-04,880.00,880.00,870.50,870.50,4500,870.50
2012-04-03,892.00,900.00,877.00,900.00,3600,900.00
2012-04-02,890.00,913.89,887.00,887.00,3300,887.00
2012-03-30,899.00,920.00,890.00,920.00,3300,920.00
2012-03-29,892.00,892.00,890.00,890.00,4600,890.00
2012-03-28,905.00,905.44,893.00,903.49,4700,903.49
2012-03-27,906.00,911.89,905.00,905.00,5100,905.00
2012-03-26,911.00,911.00,910.00,910.00,7400,910.00
2012-03-23,930.00,930.00,921.00,930.00,700,930.00
2012-03-22,929.89,934.89,910.00,930.00,5800,930.00
2012-03-21,917.00,930.00,917.00,930.00,4800,930.00
2012-03-20,930.00,949.89,918.00,918.00,400,918.00
2012-03-19,948.00,949.89,935.00,949.89,3500,949.89
2012-03-16,949.00,949.00,935.00,935.00,7600,935.00
2012-03-15,930.00,949.00,930.00,949.00,1900,949.00
2012-03-14,920.00,945.00,913.30,930.00,15000,930.00
2012-03-13,934.00,935.00,907.11,935.00,5700,935.00
2012-03-12,914.00,933.00,913.00,928.00,5800,928.00
2012-03-09,921.00,930.00,912.11,930.00,1500,930.00
2012-03-08,913.00,922.00,910.00,910.00,5100,910.00
2012-03-07,898.11,898.11,898.11,898.11,600,898.11
2012-03-06,920.00,938.89,905.50,906.11,2600,906.11
2012-03-05,921.11,938.89,921.11,925.11,2900,925.11
2012-03-02,938.89,938.89,924.11,930.11,1500,930.11
2012-03-01,938.89,938.89,938.89,938.89,1100,938.89
2012-02-29,911.11,905.00,905.00,905.00,100,905.00
2012-02-28,925.00,945.00,914.76,935.00,9300,935.00
2012-02-27,926.00,928.89,926.00,928.89,1600,928.89
2012-02-24,928.89,928.89,914.51,914.51,1900,914.51
2012-02-23,910.00,928.89,910.00,928.89,2200,928.89
2012-02-22,915.00,929.25,908.37,915.00,5900,915.00
2012-02-21,920.00,920.00,915.11,915.11,1900,915.11
2012-02-20,919.00,927.02,916.11,916.11,3200,916.11
2012-02-17,912.89,913.00,912.89,913.00,800,913.00
2012-02-16,930.00,930.00,896.11,896.11,4500,896.11
2012-02-15,913.89,913.89,905.11,905.11,1000,905.11
2012-02-14,902.11,906.00,900.11,900.11,1400,900.11
2012-02-13,908.00,913.89,902.11,913.89,5900,913.89
2012-02-10,909.00,909.00,894.11,894.11,2200,894.11
2012-02-09,886.51,915.07,886.51,910.00,11400,910.00
2012-02-08,908.49,908.49,886.51,886.51,1400,886.51
2012-02-07,890.00,910.00,890.00,910.00,2000,910.00
2012-02-06,915.00,915.00,915.00,915.00,300,915.00
2012-02-03,895.00,896.50,885.11,895.00,1700,895.00
2012-02-02,889.00,890.08,880.11,885.11,3300,885.11
2012-02-01,889.00,890.00,889.00,890.00,1200,890.00
2012-01-31,879.00,880.00,856.00,856.00,1600,856.00
2012-01-30,849.00,862.00,848.03,855.00,3400,855.00
2012-01-27,862.00,867.00,850.43,862.00,800,862.00
2012-01-26,842.00,862.00,825.50,862.00,2400,862.00
2012-01-25,827.00,849.00,825.11,833.00,3900,833.00
2012-01-24,822.00,842.78,822.00,823.11,7900,823.11
2012-01-23,818.00,846.61,806.11,835.89,5400,835.89
2012-01-20,816.89,816.89,805.35,815.00,3100,815.00
2012-01-19,810.00,810.00,810.00,810.00,200,810.00
2012-01-18,829.00,829.00,804.11,827.00,7100,827.00
2012-01-17,809.00,809.00,800.00,806.00,1500,806.00
2012-01-16,792.00,798.90,792.00,792.00,3000,792.00
2012-01-13,801.90,801.90,784.75,792.00,4800,792.00
2012-01-12,790.00,801.90,790.00,801.90,5400,801.90
2012-01-11,796.50,796.50,794.50,794.50,800,794.50
2012-01-09,792.00,792.00,780.00,789.00,2700,789.00
2012-01-06,797.50,801.00,780.00,792.00,7600,792.00
2012-01-05,802.00,802.00,780.11,802.00,2000,802.00
2012-01-04,785.00,785.00,780.11,780.11,12600,780.11
2012-01-03,785.00,813.00,776.11,801.89,5500,801.89
2011-12-30,780.00,800.00,775.00,800.00,3000,800.00
2011-12-29,815.89,815.89,783.81,815.89,1100,815.89
2011-12-28,800.00,805.00,800.00,805.00,2400,805.00
2011-12-23,816.89,816.89,805.00,805.00,100,805.00
2011-12-22,800.00,813.12,775.00,775.00,3000,775.00
2011-12-21,786.49,786.49,774.08,774.08,700,774.08
2011-12-20,815.00,815.00,760.00,775.00,6500,775.00
2011-12-19,780.00,815.00,760.00,780.00,1500,780.00
2011-12-16,807.89,807.89,790.00,790.00,1000,790.00
2011-12-15,790.11,812.89,790.11,812.89,1500,812.89
2011-12-14,825.00,825.00,795.11,825.00,1000,825.00
2011-12-13,813.00,813.00,805.00,805.00,500,805.00
2011-12-12,830.00,830.00,826.00,826.00,800,826.00
2011-12-09,824.00,835.00,813.00,813.00,3500,813.00
2011-12-08,850.00,850.00,824.00,824.00,1600,824.00
2011-12-07,862.00,862.00,829.10,829.10,4800,829.10
2011-12-06,862.00,862.00,862.00,862.00,2200,862.00
2011-12-05,835.00,860.90,824.00,825.00,8700,825.00
2011-12-02,863.00,863.00,835.00,835.00,1700,835.00
2011-12-01,836.90,861.00,861.00,861.00,1200,861.00
2011-11-30,836.90,836.90,836.90,836.90,1000,836.90
2011-11-28,815.00,838.00,815.00,838.00,4300,838.00
2011-11-25,834.89,835.89,834.89,835.89,300,835.89
