Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,79.97,80.03,78.77,80.03,53200,78.77
2012-08-01,79.99,79.99,78.77,78.77,116400,78.77
2012-07-31,80.25,80.25,78.50,78.50,78000,78.50
2012-07-30,79.75,79.75,78.97,78.97,58500,78.97
2012-07-27,78.76,80.20,80.00,80.00,69000,80.00
2012-07-26,78.24,79.90,77.22,78.00,105300,78.00
2012-07-25,77.26,78.50,78.50,78.50,268200,78.50
2012-07-24,77.75,79.15,77.00,77.00,220500,77.00
2012-07-23,77.75,78.94,77.75,77.75,21700,77.75
2012-07-20,77.75,79.41,77.75,77.75,116700,77.75
2012-07-19,77.55,78.99,77.50,77.50,33200,77.50
2012-07-18,78.99,78.99,77.00,77.00,115200,77.00
2012-07-17,78.25,79.24,77.00,77.00,136900,77.00
2012-07-16,77.25,79.14,77.00,77.00,227400,77.00
2012-07-13,78.50,79.00,76.62,79.00,45300,79.00
2012-07-12,78.00,78.25,78.25,78.25,107500,78.25
2012-07-11,77.47,78.40,76.00,76.00,82300,76.00
2012-07-10,77.50,78.41,77.00,77.00,153100,77.00
2012-07-09,77.34,77.75,76.00,76.00,54700,76.00
2012-07-06,76.26,77.35,76.00,76.00,114000,76.00
2012-07-05,77.50,78.07,76.50,76.50,72200,76.50
2012-07-04,77.93,77.93,76.00,76.00,185200,76.00
2012-07-03,76.25,77.94,76.00,76.00,150900,76.00
2012-07-02,77.00,77.01,75.50,75.50,179000,75.50
2012-06-29,78.00,78.25,77.50,78.12,169000,78.12
2012-06-28,77.50,78.00,77.00,78.00,140200,78.00
2012-06-27,77.50,78.22,77.00,77.50,85200,77.50
2012-06-26,78.75,78.75,78.00,78.00,145000,78.00
2012-06-25,78.00,78.25,77.75,77.75,64900,77.75
2012-06-22,77.50,78.25,77.00,77.00,188000,77.00
2012-06-21,78.75,78.99,78.00,78.00,169400,78.00
2012-06-20,79.75,79.75,78.50,78.50,110100,78.50
2012-06-19,79.75,79.75,79.75,79.75,140900,79.75
2012-06-18,79.50,81.00,78.26,78.50,125300,78.50
2012-06-15,80.49,81.00,78.75,78.75,99600,78.75
2012-06-14,80.50,81.00,79.50,81.00,99600,81.00
2012-06-13,80.50,80.50,79.41,80.50,148400,80.50
2012-06-12,79.25,81.25,79.25,81.25,110000,81.25
2012-06-11,79.25,81.25,79.00,81.25,32200,81.25
2012-06-08,81.75,81.75,79.00,81.50,24100,81.50
2012-06-07,81.25,81.75,78.50,81.75,115500,81.75
2012-06-06,80.50,80.50,78.01,80.50,42500,80.50
2012-06-01,80.22,80.50,78.75,78.75,150400,78.75
2012-05-31,80.50,80.50,78.50,78.50,155400,78.50
2012-05-30,79.75,80.00,79.25,80.00,138200,80.00
2012-05-29,80.00,82.00,79.61,81.75,169200,81.75
2012-05-28,79.75,81.24,79.75,79.75,119600,79.75
2012-05-25,81.25,81.50,79.50,79.50,111700,79.50
2012-05-24,80.00,82.00,79.74,82.00,189900,82.00
2012-05-23,78.75,80.41,78.25,78.25,103900,78.25
