Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,115.00,117.00,115.00,116.50,100400,116.50
2012-08-02,115.00,117.00,115.00,116.50,101000,116.50
2012-08-01,118.00,118.00,114.75,117.00,7700,117.00
2012-07-31,114.50,116.50,114.50,114.50,2600,114.50
2012-07-27,112.00,114.00,111.75,112.00,63600,112.00
2012-07-26,115.00,115.25,111.56,112.00,99600,112.00
2012-07-25,116.00,116.00,115.00,115.00,23300,115.00
2012-07-24,115.00,117.00,115.00,115.00,8000,115.00
2012-07-23,116.00,116.00,115.00,115.00,5000,115.00
2012-07-20,116.25,117.00,116.00,116.00,10200,116.00
2012-07-19,116.25,118.75,115.50,116.00,34200,116.00
2012-07-18,116.00,117.75,114.50,115.00,339900,115.00
2012-07-17,119.00,121.75,114.00,114.00,30200,114.00
2012-07-16,117.50,120.00,117.25,118.25,5100,118.25
2012-07-13,118.00,121.62,118.00,118.00,12900,118.00
2012-07-12,118.25,120.00,117.50,117.50,8200,117.50
2012-07-11,118.50,121.00,118.00,118.75,10600,118.75
2012-07-10,116.75,121.75,116.75,119.50,7200,119.50
2012-07-09,119.00,120.00,118.50,120.00,6500,120.00
2012-07-06,118.50,120.81,117.77,119.00,12600,119.00
2012-07-05,117.00,122.00,117.00,120.00,20800,120.00
2012-07-04,116.00,118.12,116.00,116.75,355600,116.75
2012-07-03,117.25,117.25,113.00,113.50,17200,113.50
2012-07-02,115.25,119.75,114.25,114.25,47400,114.25
2012-06-29,123.00,124.95,118.25,120.50,222700,120.50
2012-06-28,127.50,127.50,123.00,123.00,14900,123.00
2012-06-27,126.25,129.00,126.00,126.00,50200,126.00
2012-06-26,127.50,128.00,126.00,128.00,19000,128.00
2012-06-25,128.25,128.75,124.75,124.75,64700,124.75
2012-06-22,130.98,130.98,130.98,130.98,1500,130.98
2012-06-21,128.00,131.00,127.00,130.00,38900,130.00
2012-06-20,126.00,130.98,126.00,128.00,1712400,128.00
2012-06-19,125.75,132.00,125.75,129.50,67400,129.50
2012-06-18,118.25,125.75,118.25,122.75,33200,122.75
2012-06-15,125.00,125.00,118.00,122.00,71500,122.00
2012-06-14,122.25,124.75,120.50,124.50,172400,124.50
2012-06-13,124.75,125.00,121.00,121.00,115700,121.00
2012-06-12,122.00,123.00,122.00,123.00,15600,123.00
2012-06-11,123.25,123.25,122.00,122.00,18800,122.00
2012-06-08,120.00,121.00,115.00,118.50,72400,118.50
2012-06-07,120.00,121.56,115.00,115.00,4164300,115.00
2012-06-06,123.00,123.00,120.50,120.50,14300,120.50
2012-06-01,125.50,127.25,124.00,125.00,141100,125.00
2012-05-31,125.25,133.50,124.00,124.00,147000,124.00
2012-05-30,125.00,130.00,124.25,127.25,36100,127.25
2012-05-29,124.25,125.00,123.25,124.50,9000,124.50
2012-05-28,124.50,124.50,120.00,124.00,12900,124.00
2012-05-25,121.25,124.19,120.00,120.00,13600,120.00
2012-05-24,122.00,122.00,117.00,120.00,21300,120.00
2012-05-23,118.00,125.00,117.00,124.50,33900,124.50
2012-05-22,120.00,121.00,117.00,117.00,12900,117.00
2012-05-21,117.37,118.50,117.37,117.37,4000,117.37
2012-05-18,120.00,120.00,117.00,117.00,20200,117.00
2012-05-17,122.00,125.20,118.00,122.00,62000,122.00
2012-05-16,125.00,127.75,122.00,122.00,102100,122.00
