Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,202.90,210.20,202.90,205.30,890900,205.50
2012-08-02,202.90,210.20,202.90,205.50,1580300,205.50
2012-08-01,204.60,207.80,201.50,203.50,605400,203.50
2012-07-31,202.40,206.10,201.80,205.40,811900,205.40
2012-07-27,195.60,204.00,195.60,203.00,1849300,203.00
2012-07-26,189.80,198.40,189.00,195.60,1409100,195.60
2012-07-25,189.50,195.00,188.70,189.00,1354200,189.00
2012-07-24,193.00,194.03,190.00,190.30,765800,190.30
2012-07-23,195.00,198.10,189.40,192.21,1347800,192.21
2012-07-20,205.60,207.55,195.88,198.20,1780400,198.20
2012-07-19,202.00,219.40,202.00,205.80,4340700,205.80
2012-07-18,197.80,200.50,195.90,197.40,973200,197.40
2012-07-17,196.20,198.00,195.70,198.00,814500,198.00
2012-07-16,191.00,200.50,191.00,196.00,1362000,196.00
2012-07-13,189.90,193.70,189.00,191.60,1033000,191.60
2012-07-12,189.10,191.50,186.70,189.10,3749700,189.10
2012-07-11,197.50,198.80,187.30,189.40,1465100,189.40
2012-07-10,197.00,202.80,195.50,198.00,1103100,198.00
2012-07-09,198.50,200.20,196.20,196.20,959200,196.20
2012-07-06,205.90,213.10,197.80,197.80,1589900,197.80
2012-07-05,208.70,209.83,202.80,203.30,2481600,203.30
2012-07-04,220.00,220.00,204.50,208.00,2047000,208.00
2012-07-03,225.10,229.41,221.20,228.40,998100,228.40
2012-07-02,230.10,230.10,221.70,223.80,1234900,223.80
2012-06-29,227.20,230.70,215.59,229.20,1105700,229.20
2012-06-28,222.20,223.70,219.10,223.50,1076600,223.50
2012-06-27,225.30,225.71,218.40,221.50,1910100,221.50
2012-06-26,235.10,235.50,223.80,225.30,1781600,225.30
2012-06-25,245.60,247.90,234.10,234.30,1012200,234.30
2012-06-22,245.90,253.30,245.90,251.70,353800,251.70
2012-06-21,247.80,250.40,245.00,250.40,592600,250.40
2012-06-20,244.90,249.90,242.77,248.00,850600,248.00
2012-06-19,238.20,245.00,238.20,244.00,1097700,244.00
2012-06-18,241.10,243.69,236.50,239.00,1078400,239.00
2012-06-15,239.80,241.90,239.10,240.30,1179400,240.30
2012-06-14,235.50,240.70,235.50,239.30,605100,239.30
2012-06-13,239.80,241.28,234.30,236.48,696600,236.48
2012-06-12,242.80,244.15,238.00,240.20,635100,240.20
2012-06-11,243.60,246.20,242.70,243.70,637000,243.70
2012-06-08,243.60,244.90,239.90,240.30,930000,240.30
2012-06-07,248.30,249.90,244.00,245.60,1057100,245.60
2012-06-06,243.70,245.20,237.70,243.80,1773500,243.80
2012-06-01,241.90,245.00,235.10,239.50,1831800,239.50
2012-05-31,268.40,273.55,233.50,241.90,3542600,241.90
2012-05-30,276.19,280.80,275.00,275.90,391300,275.90
2012-05-29,282.90,285.10,276.80,279.70,509800,279.70
2012-05-28,282.30,282.30,278.40,280.60,308800,280.60
2012-05-25,278.60,282.50,275.50,277.64,441800,277.64
2012-05-24,281.60,282.10,278.00,278.60,511000,278.60
2012-05-23,281.40,283.60,279.20,280.23,414100,280.23
2012-05-22,279.20,283.60,277.10,283.50,424100,283.50
2012-05-21,271.10,279.60,271.10,276.51,619900,276.51
2012-05-18,276.00,277.40,273.00,274.00,572200,274.00
2012-05-17,282.10,282.80,277.20,280.30,375000,280.30
2012-05-16,279.90,282.80,276.30,281.50,528900,281.50
2012-05-14,281.60,285.70,279.90,285.40,737800,285.40
2012-05-11,275.50,284.30,275.50,283.10,631900,283.10
2012-05-10,274.30,277.20,273.10,276.30,601600,276.30
2012-05-09,270.70,273.18,268.97,272.30,635500,272.30
2012-05-08,273.40,277.10,270.40,270.40,695000,270.40
2012-05-04,277.30,278.12,271.60,272.70,675100,272.70
2012-05-03,278.50,280.67,276.10,277.70,539600,277.70
2012-05-02,280.10,282.10,275.60,278.00,630800,278.00
2012-05-01,273.00,279.10,271.90,279.10,944700,279.10
2012-04-30,275.00,276.20,270.80,275.10,604400,275.10
2012-04-27,269.50,275.30,268.14,275.30,944900,275.30
2012-04-26,272.20,272.80,268.10,270.60,539500,270.60
2012-04-25,271.70,273.20,270.00,273.00,909700,273.00
2012-04-24,272.50,272.81,264.50,271.00,891500,271.00
2012-04-23,283.40,284.95,271.05,271.70,1659400,271.70
2012-04-20,287.90,291.00,283.50,285.50,1322300,285.50
2012-04-19,290.00,292.10,285.50,287.15,1305900,287.15
2012-04-18,290.30,291.50,283.96,289.00,790000,289.00
2012-04-17,289.40,294.10,288.10,291.00,690600,291.00
2012-04-16,290.30,296.41,288.00,290.90,1318400,290.90
2012-04-13,299.40,300.20,291.20,291.20,1395300,291.20
2012-04-12,290.00,302.00,288.90,300.60,1272100,300.60
2012-04-11,297.00,297.95,289.70,295.30,1315500,295.30
2012-04-10,303.60,306.20,295.00,295.00,1544700,295.00
2012-04-05,300.00,308.90,297.99,308.40,2228300,308.40
2012-04-04,317.20,318.68,313.40,315.40,1478500,315.40
2012-04-03,318.00,322.07,315.30,319.00,714400,319.00
2012-04-02,311.00,317.70,309.40,317.70,915500,317.70
2012-03-30,305.00,314.10,304.80,312.00,762600,312.00
2012-03-29,306.40,308.40,301.00,303.00,738600,303.00
2012-03-28,308.70,311.30,305.60,307.50,526200,307.50
2012-03-27,310.50,314.00,306.90,309.80,485300,309.80
2012-03-26,305.40,313.90,303.80,310.50,806500,310.50
2012-03-23,306.60,309.10,300.60,304.50,707700,304.50
2012-03-22,308.30,310.50,303.20,306.00,790800,306.00
2012-03-21,310.70,311.70,304.40,309.50,1029800,309.50
2012-03-20,307.00,312.00,302.90,309.30,1159900,309.30
2012-03-19,296.70,308.90,295.69,307.50,991600,307.50
2012-03-16,297.30,308.20,295.68,295.80,3673300,295.80
2012-03-15,301.80,302.54,291.80,296.50,1106400,296.50
2012-03-14,307.20,310.90,301.30,302.00,1026800,302.00
2012-03-13,302.40,309.20,301.18,305.80,557500,305.80
2012-03-12,300.60,305.10,298.30,301.40,899600,301.40
2012-03-09,304.00,305.98,299.00,300.20,392000,300.20
2012-03-08,306.50,310.90,304.00,304.70,469800,304.70
2012-03-07,303.90,307.70,301.10,305.80,310500,305.80
2012-03-06,309.40,311.70,299.30,303.20,441000,303.20
2012-03-05,315.00,315.00,309.00,310.40,362100,310.40
2012-03-02,315.70,317.70,311.90,315.00,187000,315.00
2012-03-01,315.60,320.50,314.50,315.00,302200,315.00
2012-02-29,318.80,319.65,313.80,316.80,967000,316.80
2012-02-28,320.33,323.40,316.83,318.40,412800,318.40
2012-02-27,317.80,322.40,315.80,319.00,706500,319.00
2012-02-24,318.30,322.23,315.00,316.90,1044100,316.90
2012-02-23,318.10,319.70,311.00,317.90,324300,317.90
2012-02-22,319.20,320.90,311.30,318.90,349100,318.90
2012-02-21,319.70,320.00,316.08,318.50,364700,318.50
2012-02-20,324.40,325.30,318.50,319.50,542200,319.50
2012-02-17,319.60,325.50,319.50,323.00,778700,323.00
2012-02-16,320.90,320.90,313.90,318.20,339700,318.20
2012-02-15,325.00,326.10,317.96,322.90,350700,322.90
2012-02-14,323.50,326.30,321.10,322.10,294100,322.10
2012-02-13,327.00,328.00,323.80,325.00,320700,325.00
2012-02-10,324.70,328.00,322.55,325.00,619700,325.00
2012-02-09,326.60,328.80,323.10,325.00,1012100,325.00
2012-02-08,330.50,330.60,324.20,325.00,379100,325.00
2012-02-07,327.60,330.60,324.70,329.70,722800,329.70
2012-02-06,327.90,330.00,326.24,327.40,357100,327.40
2012-02-03,326.20,329.50,324.70,326.90,704400,326.90
2012-02-02,324.60,329.90,322.00,327.00,580500,327.00
2012-02-01,320.20,326.30,318.47,324.50,810800,324.50
2012-01-31,316.10,320.10,316.00,317.88,889300,317.88
2012-01-30,317.20,325.00,314.00,316.87,783900,316.87
2012-01-27,314.90,320.00,314.10,318.00,994700,318.00
2012-01-26,321.00,323.20,314.60,315.50,633100,315.50
2012-01-25,316.50,329.90,314.01,318.50,1459400,318.50
2012-01-24,314.60,317.10,305.10,308.00,445100,308.00
2012-01-23,312.50,320.40,312.50,316.00,432300,316.00
2012-01-20,311.90,313.00,302.20,313.00,486500,313.00
2012-01-19,304.20,315.10,304.10,311.20,604000,311.20
2012-01-18,299.30,305.40,298.20,305.40,348200,305.40
2012-01-17,297.20,301.04,293.20,299.00,494600,299.00
2012-01-16,303.70,304.00,294.00,295.60,413400,295.60
2012-01-13,308.00,308.00,300.90,304.60,474100,304.60
2012-01-12,285.70,307.10,284.70,301.10,820900,301.10
2012-01-11,290.60,295.20,290.20,293.30,427500,293.30
2012-01-10,296.50,298.14,289.50,289.50,541200,289.50
2012-01-09,293.50,296.10,290.30,295.00,231800,295.00
2012-01-06,288.70,298.50,288.54,292.60,380200,292.60
2012-01-05,302.50,303.20,287.80,288.70,459400,288.70
