Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,918.00,930.00,918.00,927.39,3100,922.00
2012-08-01,930.00,930.00,922.00,922.00,5500,922.00
2012-07-31,924.00,927.50,924.00,924.00,5500,924.00
2012-07-30,927.00,929.00,923.00,925.00,8900,925.00
2012-07-27,929.00,929.00,920.00,920.00,20400,920.00
2012-07-26,927.00,928.00,922.50,922.50,239400,922.50
2012-07-25,922.00,925.38,918.00,918.00,7900,918.00
2012-07-24,922.00,926.89,919.30,920.00,8500,920.00
2012-07-23,916.00,925.00,916.00,916.00,6400,916.00
2012-07-20,918.00,926.89,918.00,922.50,10300,922.50
2012-07-19,920.50,928.00,920.50,922.00,15200,922.00
2012-07-18,920.00,921.39,916.00,916.00,9300,916.00
2012-07-17,916.00,928.00,915.00,916.00,24700,916.00
2012-07-16,916.00,923.00,913.00,915.00,11100,915.00
2012-07-13,920.00,920.00,912.00,916.00,15300,916.00
2012-07-12,914.00,914.00,911.00,911.00,14200,911.00
2012-07-11,916.00,921.00,911.50,917.00,6400,917.00
2012-07-10,915.00,922.10,914.00,916.00,12900,916.00
2012-07-09,914.00,919.09,910.00,910.50,5200,910.50
2012-07-06,914.00,922.00,914.00,914.00,14700,914.00
2012-07-05,914.00,919.50,910.99,915.00,13400,915.00
2012-07-04,914.00,925.00,910.00,910.00,5200,910.00
2012-07-03,925.00,926.00,909.00,914.00,62300,914.00
2012-07-02,901.00,909.00,898.00,900.00,44900,900.00
2012-06-29,909.89,909.89,901.00,901.00,5100,901.00
2012-06-28,910.00,917.50,898.00,910.96,29700,910.96
2012-06-27,900.00,912.00,897.50,897.50,8300,897.50
2012-06-26,900.00,908.89,900.00,908.00,6900,908.00
2012-06-25,895.50,903.50,895.50,897.00,95700,897.00
2012-06-22,900.00,903.89,895.00,895.00,7100,895.00
2012-06-21,910.00,910.00,894.00,896.00,56800,896.00
2012-06-20,896.50,903.49,894.00,900.00,14000,900.00
2012-06-19,901.00,906.00,901.00,906.00,34600,906.00
2012-06-18,913.00,913.00,901.00,905.00,25300,905.00
2012-06-15,914.00,914.00,900.00,912.00,65300,912.00
2012-06-14,912.50,913.00,900.50,910.00,18300,910.00
2012-06-13,913.00,913.00,896.71,903.50,12700,903.50
2012-06-12,911.50,912.00,900.00,906.50,10100,906.50
2012-06-11,911.50,912.00,904.50,904.50,16800,904.50
2012-06-08,900.00,911.50,897.50,904.00,34300,904.00
2012-06-07,905.00,913.00,905.00,906.00,22100,906.00
2012-06-06,895.00,904.50,895.00,895.00,15800,895.00
2012-06-01,910.00,918.00,892.00,895.00,31300,895.00
2012-05-31,915.00,916.00,908.50,911.00,24900,911.00
2012-05-30,910.00,912.36,905.00,905.00,15500,905.00
2012-05-29,910.50,920.00,908.00,915.00,56700,915.00
2012-05-28,921.00,928.00,910.00,910.00,8300,910.00
2012-05-25,925.00,925.00,915.00,918.00,18800,918.00
2012-05-24,915.11,923.31,915.00,920.00,6200,920.00
2012-05-23,921.00,932.00,915.00,915.00,8900,915.00
2012-05-22,928.00,928.00,917.42,921.00,41800,921.00
2012-05-21,925.00,932.00,917.93,928.00,15900,928.00
2012-05-14,955.00,965.00,937.00,942.50,33000,942.50
2012-05-11,960.50,961.00,955.00,955.00,18100,955.00
2012-05-10,952.50,961.75,950.00,951.00,12900,951.00
2012-05-09,963.00,963.00,950.00,950.00,13700,950.00
2012-05-08,954.00,962.82,945.00,945.00,39300,945.00
2012-05-04,956.00,967.00,954.00,954.00,38300,954.00
2012-05-03,965.00,965.00,958.00,958.00,17900,958.00
2012-05-02,958.00,970.00,958.00,959.00,16500,959.00
2012-05-01,962.00,965.00,960.00,960.00,17500,960.00
2012-04-30,956.00,966.35,951.00,951.00,18700,951.00
2012-04-27,965.00,965.00,960.00,962.00,11700,962.00
2012-04-26,962.00,962.00,957.00,958.00,20000,958.00
2012-04-25,960.00,962.00,957.11,962.00,3700,962.00
2012-04-24,954.00,965.83,954.00,960.00,15900,960.00
2012-04-23,961.00,961.00,953.00,953.00,22500,953.00
2012-04-20,960.00,960.00,956.00,957.00,19600,957.00
2012-04-19,962.00,964.00,955.00,957.00,12900,957.00
2012-04-18,955.50,961.89,955.00,961.89,5000,961.89
2012-04-17,960.00,966.50,955.50,956.50,11200,956.50
2012-04-16,951.50,957.28,951.50,957.00,18300,957.00
2012-04-13,955.50,960.00,952.00,952.00,28100,952.00
2012-04-12,954.00,959.20,953.40,957.00,7800,957.00
2012-04-11,965.00,965.00,951.00,951.00,12100,951.00
2012-04-10,954.00,965.49,954.00,954.00,13600,954.00
2012-04-05,965.00,965.00,953.00,953.00,15300,953.00
2012-04-04,963.00,965.00,951.00,960.00,154000,960.00
2012-04-03,963.00,965.00,962.11,965.00,27600,965.00
2012-04-02,970.00,970.00,960.00,965.00,34000,965.00
