Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,133.00,133.00,131.69,132.50,40600,132.75
2012-08-01,132.00,133.00,131.69,132.75,105200,132.75
2012-07-31,132.76,132.89,132.00,132.89,81600,132.89
2012-07-30,132.75,133.75,131.01,133.75,61000,133.75
2012-07-27,131.00,131.00,129.25,131.00,72100,131.00
2012-07-26,129.00,130.75,128.88,130.75,66900,130.75
2012-07-25,129.00,129.52,128.00,128.00,53200,128.00
2012-07-24,128.25,130.00,128.25,128.75,50900,128.75
2012-07-23,130.00,130.75,129.00,129.21,97700,129.21
2012-07-20,132.00,133.00,131.00,131.00,93300,131.00
2012-07-19,131.50,132.95,130.70,132.95,51800,132.95
2012-07-18,129.71,131.94,129.71,131.11,80300,131.11
2012-07-17,130.89,131.00,129.25,131.00,160700,131.00
2012-07-16,131.00,132.00,129.50,132.00,116700,132.00
2012-07-13,130.00,131.00,129.38,131.00,124100,131.00
2012-07-12,129.50,129.50,128.00,128.00,48800,128.00
2012-07-11,129.75,130.50,129.01,129.01,56900,129.01
2012-07-10,129.75,130.75,129.40,130.75,36900,130.75
2012-07-09,129.19,130.00,129.19,130.00,48900,130.00
2012-07-06,130.50,130.75,128.75,129.75,89500,129.75
2012-07-05,130.00,131.00,129.65,130.75,73200,130.75
2012-07-04,129.55,130.75,129.55,130.75,102100,130.75
2012-07-03,130.00,131.00,129.31,131.00,54400,131.00
2012-07-02,129.50,130.00,127.75,129.25,91100,129.25
2012-06-29,128.50,129.45,126.75,128.23,81200,128.23
2012-06-28,127.25,127.25,126.00,127.00,118500,127.00
2012-06-27,126.00,126.50,125.25,126.00,60700,126.00
2012-06-26,127.50,127.91,127.00,127.06,52100,127.06
2012-06-25,127.50,127.90,126.75,126.75,59700,126.75
2012-06-22,127.40,128.00,126.50,126.50,60100,126.50
2012-06-21,127.50,129.00,126.50,126.50,81400,126.50
2012-06-20,128.50,128.99,127.01,128.99,32500,128.99
2012-06-19,127.50,127.70,126.26,127.70,58700,127.70
2012-06-18,126.00,127.92,126.00,126.99,144400,126.99
2012-06-15,127.50,127.50,125.50,126.00,63500,126.00
2012-06-14,126.50,126.50,125.25,126.00,29400,126.00
2012-06-13,126.00,127.00,126.00,127.00,56500,127.00
2012-06-12,125.25,127.00,124.74,127.00,110300,127.00
2012-06-11,127.00,128.70,126.25,127.00,25200,127.00
2012-06-08,127.00,127.00,125.30,127.00,95400,127.00
2012-06-07,125.00,127.00,123.51,127.00,85600,127.00
2012-06-06,122.50,124.50,122.50,124.50,64400,124.50
2012-06-01,123.50,123.50,121.01,122.50,63700,122.50
2012-05-31,123.75,124.20,121.74,123.19,84500,123.19
2012-05-30,123.50,125.00,122.75,123.49,93300,123.49
2012-05-29,126.00,126.50,125.69,126.00,21900,126.00
2012-05-28,125.00,127.00,125.00,126.00,16300,126.00
2012-05-25,125.75,126.00,124.01,125.20,27600,125.20
2012-05-24,124.00,125.75,123.00,125.75,110400,125.75
2012-05-23,123.75,125.25,122.50,122.50,27300,122.50
2012-05-22,125.00,125.75,123.00,125.50,112900,125.50
2012-05-21,123.75,125.00,122.62,125.00,58600,125.00
2012-05-14,126.50,128.00,125.11,127.50,135600,127.50
2012-05-11,126.50,128.00,125.61,128.00,91700,128.00
2012-05-10,126.25,127.50,125.25,127.50,55300,127.50
2012-05-09,127.50,127.50,125.26,126.75,77900,126.75
2012-05-08,126.00,129.00,125.25,127.00,64100,127.00
2012-05-04,130.25,130.75,127.00,127.00,62100,127.00
2012-05-03,130.25,132.00,129.00,129.00,76300,129.00
2012-05-02,132.00,132.00,130.51,132.00,120600,132.00
2012-05-01,130.00,132.00,129.00,132.00,146000,132.00
2012-04-30,130.00,130.87,129.00,130.25,90400,130.25
2012-04-27,130.50,131.05,129.51,130.50,83100,130.50
2012-04-26,129.75,130.50,128.75,128.75,100000,128.75
2012-04-25,129.75,130.00,128.75,130.00,76100,130.00
2012-04-24,129.50,129.75,127.50,127.75,144300,127.75
2012-04-23,129.00,129.50,127.75,128.49,119400,128.49
2012-04-20,130.50,131.00,129.21,131.00,49000,131.00
2012-04-19,128.75,129.62,128.75,129.35,82700,129.35
2012-04-18,128.00,129.50,128.00,129.50,67900,129.50
2012-04-17,127.50,129.50,127.00,127.75,45800,127.75
2012-04-16,126.99,129.00,126.75,128.75,33900,128.75
2012-04-13,128.50,129.25,126.76,127.50,38200,127.50
2012-04-12,128.50,129.50,126.75,129.50,97200,129.50
2012-04-11,128.00,128.50,125.50,128.50,97500,128.50
2012-04-10,129.25,131.00,128.00,128.00,99000,128.00
2012-04-05,132.50,132.50,130.01,132.00,106600,132.00
2012-04-04,132.00,134.00,130.50,130.50,31800,130.50
2012-04-03,131.40,134.14,131.40,134.00,124500,134.00
2012-04-02,130.50,133.00,129.84,131.25,91200,131.25
2012-03-30,129.31,132.00,128.50,131.00,126100,131.00
