Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,712.00,734.00,712.00,729.00,271700,726.50
2012-08-02,712.00,735.00,712.00,726.50,360400,726.50
2012-08-01,697.50,714.00,693.00,711.00,236200,711.00
2012-07-31,692.00,703.00,685.50,696.00,331900,696.00
2012-07-27,676.50,689.00,670.50,689.00,306700,689.00
2012-07-26,655.50,678.50,653.50,676.50,228700,676.50
2012-07-25,651.50,656.50,642.00,656.50,201300,656.50
2012-07-24,660.00,663.00,652.50,654.50,131800,654.50
2012-07-23,670.50,670.50,658.50,661.50,68900,661.50
2012-07-20,678.00,678.00,671.00,676.00,163500,676.00
2012-07-19,673.00,683.50,664.00,680.50,183800,680.50
2012-07-18,670.50,677.57,665.50,677.50,111800,677.50
2012-07-17,670.00,673.00,665.50,668.00,123700,668.00
2012-07-16,666.00,672.00,665.00,670.00,261700,670.00
2012-07-13,668.00,670.00,662.50,668.00,163500,668.00
2012-07-12,665.00,673.50,662.50,669.00,230200,669.00
2012-07-11,664.00,669.50,660.50,668.50,173600,668.50
2012-07-10,654.50,668.00,644.33,667.50,151800,667.50
2012-07-09,656.50,657.00,648.50,655.00,138100,655.00
2012-07-06,662.50,664.50,654.50,654.50,101700,654.50
2012-07-05,666.50,674.00,661.00,663.00,165200,663.00
2012-07-04,668.00,670.00,666.00,670.00,140700,670.00
2012-07-03,658.00,665.07,650.50,665.00,332800,665.00
2012-07-02,654.50,658.50,650.50,656.50,184400,656.50
2012-06-29,660.00,665.00,652.00,652.50,152900,652.50
2012-06-28,656.50,656.50,647.50,650.50,232200,650.50
2012-06-27,633.50,654.50,630.50,651.50,443400,651.50
2012-06-26,642.50,643.00,630.00,631.00,254800,631.00
2012-06-25,647.00,649.50,640.00,640.00,308200,640.00
2012-06-22,651.50,653.00,644.00,652.00,201000,652.00
2012-06-21,674.00,680.50,661.50,662.00,262500,662.00
2012-06-20,686.00,686.00,671.00,674.00,236900,674.00
2012-06-19,677.50,685.00,674.00,683.00,373700,683.00
2012-06-18,680.50,690.50,663.50,672.50,388000,672.50
2012-06-15,647.00,684.41,638.50,684.00,658700,684.00
2012-06-14,639.00,652.00,638.00,645.50,454800,645.50
2012-06-13,640.50,646.00,638.50,642.50,130200,642.50
2012-06-12,640.00,645.50,634.50,640.50,197900,640.50
2012-06-11,642.50,650.50,642.50,646.00,163100,646.00
2012-06-08,645.00,645.50,636.50,638.50,193200,638.50
2012-06-07,652.50,652.50,644.00,650.00,293900,650.00
2012-06-06,638.50,650.50,629.50,648.00,353800,648.00
2012-06-01,648.00,649.00,632.00,637.00,305300,637.00
2012-05-31,654.00,656.50,641.00,647.00,422600,647.00
2012-05-30,652.00,657.00,643.00,652.50,326100,652.50
2012-05-29,638.50,656.00,633.10,650.00,305200,650.00
2012-05-28,632.00,640.00,631.43,635.00,96400,635.00
2012-05-25,625.00,632.50,619.00,629.50,228900,629.50
2012-05-24,626.00,630.50,622.00,623.50,375100,623.50
2012-05-23,628.50,629.50,620.50,622.00,175400,622.00
2012-05-22,641.00,647.00,630.50,633.00,304500,633.00
2012-05-21,627.50,636.50,627.50,635.00,244400,635.00
2012-05-18,628.50,639.00,608.00,630.00,446300,630.00
2012-05-17,601.00,615.50,601.00,612.50,182800,612.50
2012-05-16,606.00,619.00,598.50,613.50,173400,613.50
2012-05-14,628.50,635.00,619.50,623.50,216400,623.50
2012-05-11,617.00,635.50,617.00,635.50,251600,635.50
2012-05-10,617.50,624.00,614.50,622.00,197600,622.00
2012-05-09,619.00,619.00,608.79,617.00,216700,617.00
2012-05-08,624.00,634.50,613.50,615.50,189300,615.50
2012-05-04,636.50,639.50,620.50,625.00,198400,625.00
2012-05-03,643.50,643.53,632.00,637.50,324400,637.50
2012-05-02,626.50,639.50,622.00,638.00,421200,638.00
2012-05-01,623.00,634.00,618.00,625.50,141300,625.50
2012-04-30,608.50,636.00,603.50,628.00,578400,628.00
2012-04-27,607.00,610.00,602.50,605.50,400300,605.50
2012-04-26,615.00,618.50,601.50,608.50,516200,608.50
2012-04-25,622.50,630.50,615.50,615.50,228800,615.50
2012-04-24,626.50,631.48,614.50,623.00,581900,623.00
2012-04-23,650.00,653.50,621.00,622.00,373500,622.00
2012-04-20,653.00,657.00,650.50,654.00,401300,654.00
2012-04-19,659.00,660.00,650.50,651.00,300900,651.00
2012-04-18,655.50,660.00,651.00,655.00,276600,655.00
2012-04-17,671.00,674.50,658.00,659.00,470500,659.00
2012-04-16,651.50,669.00,651.00,656.50,230600,656.50
2012-04-13,664.50,664.50,649.50,654.50,146200,654.50
2012-04-12,659.50,673.00,657.00,664.00,290700,664.00
2012-04-11,654.50,664.50,647.50,659.50,443500,659.50
2012-04-10,656.00,663.00,647.00,654.50,295800,654.50
2012-04-05,661.00,668.00,653.00,660.50,293400,660.50
2012-04-04,684.50,684.50,654.00,659.00,369400,659.00
