Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,297.25,309.00,297.25,309.00,9600,309.00
2012-08-02,297.25,309.00,297.25,309.00,11700,309.00
2012-08-01,308.50,310.00,300.38,310.00,13600,310.00
2012-07-31,302.00,309.25,302.00,302.00,33900,302.00
2012-07-27,297.00,309.25,297.00,302.00,23200,302.00
2012-07-26,309.25,309.25,297.00,297.00,21200,297.00
2012-07-25,301.00,301.00,297.00,297.00,124400,297.00
2012-07-24,303.00,303.00,297.00,297.00,9400,297.00
2012-07-23,300.00,310.25,297.00,297.00,142600,297.00
2012-07-20,312.00,312.00,305.25,306.25,8100,306.25
2012-07-19,310.00,318.00,302.00,311.75,39400,311.75
2012-07-18,314.00,315.16,311.50,315.16,6100,315.16
2012-07-17,315.25,319.50,312.00,312.00,178900,312.00
2012-07-16,315.25,317.43,315.00,315.52,65000,315.52
2012-07-13,319.00,321.69,316.00,316.50,403900,316.50
2012-07-12,319.25,321.75,319.25,320.00,16400,320.00
2012-07-11,322.00,323.95,318.50,320.00,43300,320.00
2012-07-10,322.50,326.62,320.75,323.00,53200,323.00
2012-07-09,320.00,323.00,320.00,323.00,49000,323.00
2012-07-06,318.25,322.53,318.25,319.00,40400,319.00
2012-07-05,322.00,322.00,318.25,320.00,19000,320.00
2012-07-04,318.25,323.00,318.25,323.00,5700,323.00
2012-07-03,322.50,322.50,319.00,322.50,12100,322.50
2012-07-02,322.25,322.50,318.00,320.00,23000,320.00
2012-06-29,319.00,322.04,319.00,320.50,43300,320.50
2012-06-28,319.75,320.25,318.00,318.00,27000,318.00
2012-06-27,319.75,323.62,318.00,320.00,163500,320.00
2012-06-26,320.00,327.75,320.00,320.00,28900,320.00
2012-06-25,325.00,325.62,319.50,319.50,22600,319.50
2012-06-22,325.00,326.25,320.84,324.00,11900,324.00
2012-06-21,324.00,327.75,320.00,325.00,331700,325.00
2012-06-20,329.25,330.00,322.75,325.00,31100,325.00
2012-06-19,326.50,327.00,319.27,325.00,65800,325.00
2012-06-18,320.75,323.50,320.75,322.00,33800,322.00
2012-06-15,319.75,324.00,319.75,322.50,56200,322.50
2012-06-14,320.25,323.88,319.94,320.00,35800,320.00
2012-06-13,320.25,327.22,319.75,320.50,57700,320.50
2012-06-12,323.75,326.96,322.00,324.75,154200,324.75
2012-06-11,328.50,328.50,320.84,326.50,2600,326.50
2012-06-08,327.25,327.25,323.00,325.25,14000,325.25
2012-06-07,322.75,325.75,321.25,325.00,35300,325.00
2012-06-06,320.00,329.50,319.00,329.50,65800,329.50
2012-06-01,328.25,328.50,319.50,319.50,28100,319.50
2012-05-31,319.00,332.37,317.50,332.25,201000,332.25
2012-05-30,313.25,316.00,310.00,316.00,107900,316.00
2012-05-29,315.75,322.00,314.75,320.00,50800,320.00
2012-05-28,320.00,320.00,315.00,315.00,15200,315.00
2012-05-25,318.00,319.86,315.02,318.00,10200,318.00
2012-05-24,318.00,318.00,314.00,315.50,41500,315.50
2012-05-23,320.25,327.28,319.00,320.00,25400,320.00
2012-05-22,327.00,328.50,321.09,328.50,23000,328.50
2012-05-21,324.75,325.00,320.59,324.00,82700,324.00
2012-05-18,323.00,324.25,320.75,322.50,38400,322.50
2012-05-17,321.00,325.75,321.00,323.25,47000,323.25
2012-05-16,325.00,326.75,320.85,325.00,62900,325.00
2012-05-14,321.00,326.02,315.00,320.00,49400,320.00
2012-05-11,325.00,341.00,322.00,322.00,40000,322.00
2012-05-10,324.50,329.33,322.00,323.00,30500,323.00
2012-05-09,325.00,326.75,322.00,324.25,33600,324.25
2012-05-08,325.00,328.59,324.62,325.00,30200,325.00
2012-05-04,326.75,329.17,324.50,328.00,24900,328.00
2012-05-03,323.25,330.00,323.00,330.00,54700,330.00
2012-05-02,326.75,329.00,325.25,329.00,31900,329.00
2012-05-01,321.25,333.00,321.25,330.00,170400,330.00
2012-04-30,329.00,330.00,323.50,330.00,10000,330.00
2012-04-27,324.75,329.00,322.50,329.00,18400,329.00
2012-04-26,324.50,333.25,323.53,328.00,45300,328.00
2012-04-25,321.25,324.75,319.00,324.75,55300,324.75
2012-04-24,320.00,323.00,314.25,323.00,583600,323.00
2012-04-23,311.50,323.25,308.50,320.00,941700,320.00
2012-04-20,318.25,318.25,312.00,313.50,270900,313.50
2012-04-19,319.00,324.75,313.50,320.00,175700,320.00
2012-04-18,322.25,322.50,313.00,316.25,791300,316.25
2012-04-17,319.00,319.00,311.75,315.00,326200,315.00
2012-04-16,320.25,322.70,315.15,317.50,110000,317.50
2012-04-13,326.00,326.75,320.00,323.00,289400,323.00
2012-04-12,326.00,328.75,323.30,326.00,101900,326.00
2012-04-11,326.25,326.75,321.25,325.00,73500,325.00
2012-04-10,330.00,333.50,325.00,325.00,39400,325.00
2012-04-05,331.50,334.14,328.80,331.75,632300,331.75
2012-04-04,331.00,335.00,326.50,333.00,68800,333.00
2012-04-03,330.00,334.27,330.00,332.00,122900,332.00
2012-04-02,338.25,342.00,330.00,332.00,153800,332.00
2012-03-30,340.75,340.75,334.00,335.00,26000,335.00
2012-03-29,338.00,340.00,334.00,340.00,288600,340.00
2012-03-28,338.00,342.00,337.59,342.00,33400,342.00
2012-03-27,339.75,342.00,337.50,340.50,54500,340.50
2012-03-26,343.75,344.00,337.50,344.00,52200,344.00
2012-03-23,339.25,344.00,334.25,344.00,77500,344.00
2012-03-22,338.00,340.00,334.50,340.00,66400,340.00
2012-03-21,345.00,345.00,337.50,337.50,104800,337.50
2012-03-20,335.00,345.00,333.00,345.00,38600,345.00
2012-03-19,338.75,338.75,335.00,337.00,42700,337.00
2012-03-16,335.00,337.75,332.50,337.75,81100,337.75
2012-03-15,324.00,336.00,321.38,336.00,81100,336.00
2012-03-14,317.00,326.75,317.00,323.50,53600,323.50
2012-03-13,316.50,319.75,314.88,317.25,241600,317.25
2012-03-12,316.75,319.00,313.00,319.00,22800,319.00
2012-03-09,312.00,317.00,312.00,317.00,5000,317.00
2012-03-08,316.00,316.00,312.55,314.25,75700,314.25
2012-03-07,310.66,313.00,310.66,313.00,33200,313.00
2012-03-06,312.00,316.75,312.00,313.50,326200,313.50
2012-03-05,308.00,312.41,308.00,311.00,28100,311.00
2012-03-02,312.75,313.75,310.71,313.75,14700,313.75
2012-03-01,312.75,314.00,310.36,311.00,18000,311.00
2012-02-29,312.75,313.00,308.94,313.00,29900,313.00
2012-02-28,310.00,314.00,310.00,312.00,7000,312.00
2012-02-27,311.50,314.00,310.25,314.00,54300,314.00
2012-02-24,314.75,314.75,309.78,314.75,16800,314.75
2012-02-23,311.72,316.00,310.25,310.25,33900,310.25
2012-02-22,312.75,318.00,311.58,313.50,61200,313.50
2012-02-21,315.00,315.00,311.00,314.50,23100,314.50
2012-02-20,309.75,317.75,305.55,313.00,52000,313.00
2012-02-17,310.00,311.00,308.00,310.75,25700,310.75
2012-02-16,310.00,310.00,307.00,307.00,16200,307.00
2012-02-15,311.25,312.00,308.23,311.75,18800,311.75
2012-02-14,309.00,312.00,305.48,311.25,21700,311.25
2012-02-13,310.25,311.75,302.95,310.00,19000,310.00
2012-02-10,305.00,310.00,299.29,310.00,22400,310.00
2012-02-09,305.00,306.00,301.14,305.00,114900,305.00
2012-02-08,301.50,306.00,300.75,305.50,43300,305.50
2012-02-07,299.75,300.38,296.00,300.25,43100,300.25
2012-02-06,299.50,299.50,296.24,299.00,26100,299.00
2012-02-03,297.00,300.00,296.47,297.00,10100,297.00
2012-02-02,297.02,297.50,297.02,297.50,28600,297.50
2012-02-01,299.75,300.00,299.50,300.00,7600,300.00
2012-01-31,296.50,298.75,296.25,296.25,15600,296.25
2012-01-30,296.25,297.98,296.25,296.25,37100,296.25
2012-01-27,295.25,300.00,295.25,299.00,36200,299.00
2012-01-26,296.75,297.00,292.67,297.00,13800,297.00
2012-01-25,291.75,297.00,286.17,297.00,55300,297.00
2012-01-24,290.75,292.00,286.41,292.00,13000,292.00
2012-01-23,285.00,290.25,281.73,290.00,44000,290.00
2012-01-20,277.00,285.00,277.00,283.00,91700,283.00
2012-01-19,276.00,278.75,275.42,278.75,16900,278.75
2012-01-18,272.00,278.47,272.00,278.00,38200,278.00
2012-01-17,268.00,274.00,267.62,271.25,179200,271.25
2012-01-16,267.00,268.00,265.00,268.00,13900,268.00
2012-01-13,267.00,269.00,261.75,268.00,139100,268.00
2012-01-12,261.50,267.00,261.00,267.00,81100,267.00
2012-01-11,252.00,261.50,251.54,261.50,34100,261.50
2012-01-10,258.50,258.75,253.85,257.25,22100,257.25
2012-01-09,256.75,261.75,254.60,261.00,26900,261.00
2012-01-06,254.00,257.75,254.00,254.75,35900,254.75
2012-01-05,254.00,254.00,252.00,252.75,28900,252.75
2012-01-04,253.25,255.75,252.00,253.00,96700,253.00
2012-01-03,251.25,255.00,250.75,255.00,16000,255.00
2011-12-30,250.00,254.00,250.00,250.00,12900,250.00
2011-12-29,250.25,252.73,250.25,250.25,2500,250.25
2011-12-28,251.25,256.75,250.00,252.00,3800,252.00
2011-12-23,251.50,252.14,251.50,252.14,1000,252.14
2011-12-22,250.75,258.00,250.75,254.25,20000,254.25
2011-12-21,250.75,253.44,250.75,252.25,8600,252.25
2011-12-20,250.50,255.00,250.50,255.00,5100,255.00
2011-12-19,252.00,254.50,251.25,254.00,26400,254.00
2011-12-16,252.25,255.75,248.75,248.75,20800,248.75
2011-12-15,257.00,257.00,250.00,250.00,155300,250.00
2011-12-14,256.00,259.38,253.25,255.25,53100,255.25
2011-12-13,265.00,265.00,256.25,256.25,35100,256.25
2011-12-12,259.75,261.00,252.00,255.25,89600,255.25
2011-12-09,258.00,259.00,257.25,259.00,6700,259.00
2011-12-08,255.25,259.00,251.50,257.25,17100,257.25
2011-12-07,252.25,256.00,249.86,256.00,33300,256.00
2011-12-06,250.50,252.75,249.10,251.00,201300,251.00
2011-12-05,248.25,254.00,248.25,253.00,111200,253.00
2011-12-02,245.00,251.28,245.00,249.38,54700,249.38
2011-12-01,253.00,253.00,244.77,245.00,66200,245.00
2011-11-30,237.25,254.25,234.00,254.25,187200,254.25
2011-11-29,235.00,238.36,235.00,238.36,65800,238.36
2011-11-28,235.50,238.00,234.91,238.00,40000,238.00
2011-11-25,236.00,236.94,233.62,235.00,173600,235.00
2011-11-24,236.25,239.70,235.00,235.00,81300,235.00
2011-11-23,239.25,242.50,236.00,238.00,90400,238.00
2011-11-22,246.25,247.50,244.50,245.00,138500,245.00
2011-11-21,242.00,248.81,240.10,244.78,16900,244.78
2011-11-18,240.00,242.00,238.93,242.00,269400,242.00
2011-11-17,241.50,245.75,241.50,245.00,70000,245.00
2011-11-16,243.00,244.00,240.38,244.00,41900,244.00
2011-11-15,245.00,245.56,242.00,242.00,84800,242.00
2011-11-14,248.00,248.60,246.25,246.75,15500,246.75
2011-11-11,245.50,248.00,245.06,248.00,19800,248.00
2011-11-10,247.50,247.75,245.75,247.25,13500,247.25
2011-11-09,252.50,252.50,252.50,252.50,000,252.50
2011-11-08,249.00,252.75,249.00,252.75,7800,252.75
2011-11-07,252.00,252.00,250.00,252.00,24000,252.00
2011-11-04,255.38,255.38,255.00,255.00,215600,255.00
2011-11-03,255.00,255.50,252.50,255.25,126400,255.25
2011-11-02,261.50,261.50,257.25,257.25,24500,257.25
2011-11-01,262.00,263.00,261.00,261.75,4300,261.75
2011-10-31,267.00,267.25,260.25,267.25,36100,267.25
2011-10-28,270.00,270.75,267.00,267.25,82100,267.25
2011-10-27,268.00,277.00,267.25,272.00,84100,272.00
2011-10-26,263.00,267.25,263.00,265.50,363500,265.50
2011-10-25,254.00,265.00,253.00,263.25,96500,263.25
2011-10-24,250.00,253.25,245.75,253.00,39300,253.00
2011-10-21,247.50,250.00,245.00,250.00,41900,250.00
2011-10-20,249.00,250.00,246.00,246.00,13400,246.00
2011-10-19,247.00,250.00,246.00,250.00,18700,250.00
2011-10-18,247.25,247.25,243.06,246.00,45400,246.00
2011-10-17,246.50,247.50,246.50,247.50,48500,247.50
2011-10-14,245.50,249.00,245.50,247.75,12000,247.75
2011-10-13,244.50,245.02,242.75,242.75,11700,242.75
2011-10-12,242.75,248.00,242.50,245.00,217700,245.00
2011-10-11,242.25,246.00,242.25,245.25,29100,245.25
2011-10-10,243.25,245.75,243.25,244.50,43900,244.50
2011-10-07,247.75,248.00,240.25,240.25,83800,240.25
2011-10-06,243.00,248.25,241.19,248.25,160100,248.25
2011-10-05,241.50,243.00,238.00,243.00,290600,243.00
2011-10-04,240.25,241.25,240.00,240.00,155000,240.00
2011-10-03,239.50,243.00,239.50,243.00,289400,243.00
2011-09-30,237.25,247.25,237.25,242.75,51000,242.75
2011-09-29,237.00,247.00,236.75,244.50,40500,244.50
2011-09-28,237.50,240.00,235.25,239.75,21100,239.75
2011-09-27,237.00,240.00,236.22,240.00,334200,240.00
2011-09-26,236.50,239.50,235.00,235.00,306300,235.00
2011-09-23,240.25,241.00,236.25,241.00,29200,241.00
2011-09-22,248.00,249.75,240.50,240.50,49100,240.50
2011-09-21,248.00,250.50,248.00,250.50,98000,250.50
2011-09-20,244.00,251.50,242.25,250.00,56900,250.00
2011-09-19,242.00,245.00,240.00,245.00,37300,245.00
2011-09-16,239.50,245.50,236.75,243.00,42200,243.00
2011-09-15,236.75,240.00,236.75,239.75,239400,239.75
2011-09-14,232.00,239.00,232.00,237.68,138700,237.68
2011-09-13,235.00,238.00,233.25,235.00,30300,235.00
2011-09-12,240.00,240.00,234.00,235.25,36900,235.25
2011-09-09,252.50,252.75,240.25,240.25,76600,240.25
2011-09-08,257.00,258.50,252.50,255.75,57700,255.75
2011-09-07,264.00,264.00,258.25,258.25,70900,258.25
2011-09-06,262.00,264.00,260.75,262.25,45300,262.25
2011-09-05,266.00,267.50,262.25,263.00,204900,263.00
2011-09-02,270.00,271.00,266.50,266.50,120000,266.50
2011-09-01,274.50,274.50,270.50,272.50,75800,272.50
2011-08-31,273.00,278.75,269.73,276.00,73200,276.00
2011-08-30,269.75,271.00,268.25,271.00,48200,271.00
2011-08-26,268.00,269.00,265.75,266.00,284300,266.00
2011-08-25,269.75,272.00,268.00,268.50,401000,268.50
2011-08-24,270.50,271.25,268.38,270.75,171700,270.75
2011-08-23,269.00,273.75,269.00,269.75,167700,269.75
2011-08-22,271.00,271.00,268.75,269.00,3300,269.00
2011-08-19,271.75,271.75,269.25,270.00,1575600,270.00
2011-08-18,272.25,276.50,268.25,273.38,471100,273.38
2011-08-17,270.50,277.75,270.50,277.00,754600,277.00
2011-08-16,275.00,278.00,270.75,276.00,336300,276.00
2011-08-15,274.00,278.00,274.00,276.00,28500,276.00
2011-08-12,266.25,275.00,266.25,275.00,268200,275.00
2011-08-11,273.75,273.75,267.00,268.00,21300,268.00
2011-08-10,282.00,285.00,267.25,272.00,256700,272.00
2011-08-09,278.00,282.75,264.75,280.00,127300,280.00
2011-08-08,304.00,306.00,275.00,281.25,606700,281.25
2011-08-05,317.00,319.25,292.00,313.25,137100,313.25
2011-08-04,355.25,357.90,325.00,351.65,129100,351.65
2011-08-03,365.00,369.50,355.00,361.25,76500,361.25
2011-08-02,373.50,373.50,365.00,365.00,44300,365.00
2011-08-01,372.75,372.75,365.29,372.50,25400,372.50
2011-07-29,372.00,372.25,367.50,369.25,124400,369.25
2011-07-28,375.00,377.00,371.80,375.75,117900,375.75
2011-07-27,375.75,375.75,371.75,373.46,10900,373.46
2011-07-26,365.00,372.00,362.00,372.00,183300,372.00
2011-07-25,358.00,364.00,358.00,362.00,1086200,362.00
2011-07-22,365.00,365.00,360.00,360.25,43400,360.25
2011-07-21,358.50,362.31,358.50,360.00,19900,360.00
2011-07-20,360.00,364.75,358.00,362.00,23500,362.00
2011-07-19,360.50,366.25,360.00,360.00,62800,360.00
2011-07-18,364.00,370.00,363.00,365.00,37800,365.00
2011-07-15,360.00,370.00,360.00,368.00,17700,368.00
2011-07-14,360.00,365.00,360.00,361.50,13400,361.50
2011-07-13,360.00,365.75,360.00,360.25,19600,360.25
2011-07-12,366.50,366.50,360.00,365.00,10800,365.00
2011-07-11,371.75,371.75,364.25,368.00,25800,368.00
2011-07-08,373.50,375.50,368.00,371.00,30600,371.00
2011-07-07,376.00,376.00,367.00,371.25,54000,371.25
2011-07-06,375.00,375.00,367.99,372.00,54000,372.00
2011-07-05,368.00,378.00,368.00,376.75,23600,376.75
2011-07-04,366.00,370.00,360.26,370.00,48900,370.00
2011-07-01,349.75,364.00,343.75,363.00,47000,363.00
2011-06-30,343.50,350.00,343.50,347.75,64400,347.75
2011-06-29,348.25,350.00,345.25,347.75,77800,347.75
2011-06-28,337.25,348.50,337.25,348.50,156400,348.50
2011-06-27,340.00,344.23,338.50,338.50,21700,338.50
2011-06-24,347.00,347.50,340.00,340.00,22900,340.00
2011-06-23,347.00,347.00,342.50,346.00,22100,346.00
2011-06-22,343.50,348.50,339.75,346.75,63200,346.75
2011-06-21,345.25,345.26,337.75,338.25,41300,338.25
2011-06-20,346.00,349.75,345.00,347.00,37600,347.00
2011-06-17,350.00,353.25,348.00,348.00,48100,348.00
2011-06-16,359.25,359.25,350.50,350.50,69000,350.50
2011-06-15,362.25,362.25,358.25,358.44,30800,358.44
2011-06-14,364.00,366.25,358.00,363.50,99600,363.50
2011-06-13,366.25,368.00,358.00,358.00,20400,358.00
2011-06-10,370.25,370.25,364.50,368.00,43600,368.00
2011-06-09,373.00,373.00,368.25,371.00,32000,371.00
2011-06-08,373.75,376.25,369.00,369.00,60600,369.00
2011-06-07,374.00,380.00,371.00,377.50,43200,377.50
2011-06-06,379.50,379.50,371.50,379.50,36800,379.50
2011-06-03,379.75,379.75,370.00,376.75,91500,376.75
2011-06-02,382.00,382.00,371.25,379.00,97400,379.00
2011-06-01,390.00,392.00,375.25,379.25,474000,379.25
2011-05-31,373.00,397.00,372.00,393.50,943300,393.50
2011-05-27,362.75,373.00,360.50,372.00,88000,372.00
2011-05-26,357.00,369.00,354.50,369.00,202800,369.00
2011-05-25,350.00,359.75,340.00,355.00,220000,355.00
2011-05-24,356.00,359.24,350.00,350.00,124100,350.00
2011-05-23,358.00,365.00,355.43,357.75,118400,357.75
2011-05-20,350.00,364.25,347.25,364.25,194500,364.25
2011-05-19,338.00,349.00,334.69,349.00,51700,349.00
2011-05-18,321.00,336.25,321.00,334.00,373900,334.00
2011-05-17,326.00,326.00,320.00,323.50,66300,323.50
2011-05-16,325.25,326.50,320.50,326.00,42100,326.00
2011-05-13,325.00,337.31,320.00,320.00,54100,320.00
2011-05-12,322.25,327.50,321.00,324.00,38300,324.00
2011-05-11,335.75,335.75,320.00,320.00,83700,320.00
2011-05-10,334.00,340.00,334.00,338.33,41500,338.33
2011-05-09,335.00,338.50,335.00,335.77,41000,335.77
2011-05-06,335.50,339.50,335.00,338.25,23600,338.25
2011-05-05,340.00,342.00,335.00,335.00,918300,335.00
2011-05-04,337.25,342.00,331.00,342.00,198800,342.00
2011-05-03,342.00,342.00,337.00,341.00,41600,341.00
2011-04-28,338.00,340.50,336.50,336.50,106600,336.50
2011-04-27,336.50,341.25,336.50,340.50,34300,340.50
2011-04-26,332.00,341.50,332.00,341.50,160900,341.50
2011-04-21,334.00,339.00,332.00,335.00,60000,335.00
2011-04-20,326.75,338.00,326.50,338.00,60000,338.00
2011-04-19,326.50,328.50,325.75,327.00,46400,327.00
2011-04-18,330.00,330.75,322.50,323.00,118600,323.00
2011-04-15,332.50,332.75,330.00,330.50,34000,330.50
2011-04-14,337.00,341.00,330.00,340.90,79000,340.90
2011-04-13,344.25,344.25,337.00,339.00,83900,339.00
2011-04-12,342.75,342.75,337.25,338.00,82900,338.00
2011-04-11,343.25,343.29,337.50,341.75,88600,341.75
2011-04-08,343.00,345.00,338.50,345.00,45200,345.00
2011-04-07,345.50,345.50,339.00,344.00,107400,344.00
2011-04-06,345.00,345.00,338.00,345.00,131100,345.00
2011-04-05,346.50,346.50,338.25,344.25,106600,344.25
2011-04-04,342.50,350.00,340.62,343.75,262500,343.75
2011-04-01,350.00,350.00,332.25,341.00,235300,341.00
2011-03-31,350.00,350.00,340.00,346.50,107200,346.50
2011-03-30,346.25,350.00,342.75,350.00,152800,350.00
2011-03-29,338.25,346.00,333.47,341.50,175800,341.50
2011-03-28,335.00,342.00,334.25,335.00,188900,335.00
2011-03-25,324.75,335.00,321.00,331.74,388400,331.74
2011-03-24,319.75,325.00,317.00,319.50,136800,319.50
2011-03-23,315.00,320.25,313.25,320.25,136600,320.25
2011-03-22,308.75,317.75,305.25,316.25,172000,316.25
