Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,198.00,198.00,196.00,196.00,10700,199.00
2012-08-02,195.00,199.00,195.00,199.00,23700,199.00
2012-08-01,196.00,198.00,195.50,196.00,33300,196.00
2012-07-31,196.50,197.00,193.50,197.00,36100,197.00
2012-07-27,192.00,197.75,192.00,197.50,27800,197.50
2012-07-26,194.00,198.00,193.21,198.00,94100,198.00
2012-07-25,191.50,198.00,191.50,198.00,38300,198.00
2012-07-24,194.50,194.50,191.00,191.00,66100,191.00
2012-07-23,194.75,196.25,192.00,195.00,21500,195.00
2012-07-20,192.75,198.00,192.75,198.00,104900,198.00
2012-07-19,191.00,194.25,190.00,194.25,33100,194.25
2012-07-18,187.50,191.75,187.11,190.50,245800,190.50
2012-07-17,187.50,192.00,186.00,190.00,334300,190.00
2012-07-16,189.25,190.75,187.50,190.00,19100,190.00
2012-07-13,189.25,192.00,189.25,189.75,222700,189.75
2012-07-12,191.25,191.50,191.25,191.25,14600,191.25
2012-07-11,190.00,191.00,184.76,191.00,43300,191.00
2012-07-10,183.25,187.50,183.25,186.75,278100,186.75
2012-07-09,186.75,189.75,182.25,187.00,111800,187.00
2012-07-06,182.00,188.50,182.00,188.50,27500,188.50
2012-07-05,186.50,187.00,182.00,187.00,40700,187.00
2012-07-04,188.25,188.25,183.00,184.00,34100,184.00
2012-07-03,184.50,188.75,184.50,188.50,88300,188.50
2012-07-02,185.00,188.00,185.00,187.25,168800,187.25
2012-06-29,185.75,185.75,183.00,184.50,44800,184.50
2012-06-28,183.50,187.50,182.00,187.50,121500,187.50
2012-06-27,184.00,184.00,182.23,183.50,166100,183.50
2012-06-26,184.50,187.25,184.50,185.25,190000,185.25
2012-06-25,185.00,185.00,181.25,181.25,85700,181.25
2012-06-22,186.50,187.25,181.00,185.00,144400,185.00
2012-06-21,193.00,193.00,185.61,187.50,73300,187.50
2012-06-20,192.50,193.00,189.00,190.50,112600,190.50
2012-06-19,187.00,193.00,185.25,193.00,134600,193.00
2012-06-18,184.75,189.75,183.50,183.50,114300,183.50
2012-06-15,182.00,188.36,180.25,188.25,401500,188.25
2012-06-14,177.00,182.00,177.00,178.00,102300,178.00
2012-06-13,175.00,178.00,175.00,177.50,64500,177.50
2012-06-12,178.50,179.75,174.00,175.00,90900,175.00
2012-06-11,183.25,185.26,178.00,182.00,243700,182.00
2012-06-08,174.50,187.00,174.50,180.75,185700,180.75
2012-06-07,177.00,179.75,175.50,175.50,52900,175.50
2012-06-06,174.00,182.00,173.00,177.25,174800,177.25
2012-06-01,166.75,173.00,166.75,173.00,84700,173.00
2012-05-31,168.00,170.00,167.88,170.00,95700,170.00
2012-05-30,166.00,168.92,166.00,167.50,141600,167.50
2012-05-29,165.00,168.50,165.00,166.00,121400,166.00
2012-05-28,172.75,172.75,164.00,164.00,30200,164.00
2012-05-25,170.25,172.70,169.00,169.00,59200,169.00
2012-05-24,170.00,171.00,168.00,168.00,129000,168.00
2012-05-23,173.75,174.75,168.75,168.75,292200,168.75
2012-05-22,178.50,178.50,173.00,174.00,71300,174.00
2012-05-21,179.50,179.50,175.25,176.75,125200,176.75
2012-05-18,181.75,181.75,177.00,177.00,29900,177.00
2012-05-17,180.00,180.75,178.50,180.00,23300,180.00
2012-05-16,180.00,181.75,174.25,178.25,211600,178.25
2012-05-14,182.50,184.50,180.25,184.50,80800,184.50
2012-05-11,181.25,185.00,180.50,184.75,49600,184.75
2012-05-10,182.00,183.75,180.00,183.50,73600,183.50
2012-05-09,180.00,183.00,179.25,182.00,154600,182.00
2012-05-08,184.25,186.75,180.00,180.25,309600,180.25
2012-05-04,183.50,184.50,179.75,181.00,86000,181.00
2012-05-03,184.00,185.50,181.75,184.75,148500,184.75
2012-05-02,186.00,189.00,183.25,184.75,353700,184.75
2012-05-01,188.25,191.25,187.00,188.25,67800,188.25
