Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,501.00,506.50,495.00,500.00,8300,503.30
2012-08-01,506.00,507.00,502.75,503.30,8400,503.30
2012-07-31,503.00,505.50,503.00,505.50,9500,505.50
2012-07-30,501.50,507.00,496.00,507.00,14400,507.00
2012-07-27,494.00,496.00,489.51,496.00,13600,496.00
2012-07-26,484.23,490.50,484.23,490.50,13200,490.50
2012-07-25,485.00,488.99,483.20,488.00,19500,488.00
2012-07-24,480.25,485.00,480.25,485.00,1900,485.00
2012-07-23,485.00,485.49,481.49,482.98,17200,482.98
2012-07-20,489.75,495.90,486.00,486.00,6900,486.00
2012-07-19,490.00,496.08,486.00,490.00,27000,490.00
2012-07-18,487.00,490.00,484.00,490.00,66300,490.00
2012-07-17,486.00,486.50,484.50,484.50,4200,484.50
2012-07-16,484.00,486.45,484.00,484.73,13100,484.73
2012-07-13,488.00,488.00,485.70,487.00,15800,487.00
2012-07-12,490.25,492.00,485.00,485.00,47000,485.00
2012-07-11,491.50,492.00,489.39,491.50,24300,491.50
2012-07-10,490.00,494.75,490.00,490.00,18800,490.00
2012-07-09,493.29,495.00,489.25,495.00,700,495.00
2012-07-06,497.19,497.19,491.25,491.25,1300,491.25
2012-07-05,487.75,495.00,487.75,495.00,5600,495.00
2012-07-04,494.75,495.00,489.00,495.00,3300,495.00
2012-07-03,495.00,495.00,490.50,495.00,36700,495.00
2012-07-02,490.50,495.71,485.00,493.75,20700,493.75
2012-06-29,484.25,490.00,483.65,490.00,32200,490.00
2012-06-28,477.00,477.00,474.25,474.25,14300,474.25
2012-06-27,471.25,476.60,471.25,475.00,7700,475.00
2012-06-26,472.86,474.50,469.26,473.98,6900,473.98
2012-06-25,473.00,475.48,473.00,473.00,7400,473.00
2012-06-22,473.00,476.00,473.00,473.25,19900,473.25
2012-06-21,480.25,480.25,476.11,478.00,10400,478.00
2012-06-20,476.00,480.25,470.88,480.25,16800,480.25
2012-06-19,473.75,476.00,468.00,476.00,18800,476.00
2012-06-18,474.50,475.00,466.25,470.50,34100,470.50
2012-06-15,470.00,473.79,468.00,468.00,15800,468.00
2012-06-14,470.00,475.50,469.50,473.00,78000,473.00
2012-06-13,475.00,475.00,468.50,468.50,8400,468.50
2012-06-12,472.00,477.00,472.00,477.00,36400,477.00
2012-06-11,484.00,484.00,477.50,481.50,2300,481.50
2012-06-08,474.00,475.00,466.35,475.00,21600,475.00
2012-06-07,467.00,475.00,467.00,474.00,14500,474.00
2012-06-06,465.25,472.00,465.25,472.00,10800,472.00
2012-06-01,470.00,471.99,462.70,462.70,20300,462.70
2012-05-31,469.00,472.90,469.00,469.50,20900,469.50
2012-05-30,469.00,469.00,467.50,468.60,14100,468.60
2012-05-29,477.50,479.31,474.25,477.50,18200,477.50
2012-05-28,473.00,475.00,467.76,475.00,12300,475.00
2012-05-25,475.75,475.75,470.25,470.25,3400,470.25
2012-05-24,474.00,475.50,468.00,475.50,5200,475.50
2012-05-23,473.25,476.99,472.19,473.00,14600,473.00
2012-05-22,471.75,475.00,471.75,475.00,15800,475.00
2012-05-21,466.00,468.88,463.50,468.88,10400,468.88
2012-05-14,470.00,473.99,469.00,471.10,35500,471.10
2012-05-11,479.25,484.33,479.25,480.50,12800,480.50
2012-05-10,479.25,483.22,479.00,479.00,3900,479.00
2012-05-09,490.25,490.25,478.00,478.00,17000,478.00
2012-05-08,495.75,498.67,490.50,490.50,15500,490.50
2012-05-04,495.50,503.60,495.00,495.25,12800,495.25
2012-05-03,507.50,509.50,501.50,509.00,23700,509.00
2012-05-02,509.50,510.00,500.50,505.00,17900,505.00
2012-05-01,504.00,510.00,503.36,510.00,8900,510.00
2012-04-30,504.00,508.00,500.00,500.00,25100,500.00
2012-04-27,500.50,505.50,496.11,505.50,27900,505.50
2012-04-26,500.50,509.50,498.25,500.00,6300,500.00
2012-04-25,500.00,510.00,500.00,500.00,8400,500.00
2012-04-24,499.75,500.00,496.00,500.00,1200,500.00
2012-04-23,497.00,504.50,495.00,504.50,14800,504.50
2012-04-20,502.00,502.00,497.00,497.00,11100,497.00
2012-04-19,499.75,506.00,498.50,498.50,7500,498.50
2012-04-18,503.00,508.00,503.00,505.99,12400,505.99
2012-04-17,503.00,507.95,503.00,503.50,5100,503.50
2012-04-16,501.01,509.50,501.01,509.50,2800,509.50
2012-04-13,497.25,504.00,497.25,501.00,7500,501.00
2012-04-12,511.00,511.00,500.00,504.51,4300,504.51
2012-04-11,499.50,506.00,497.00,506.00,6400,506.00
2012-04-10,500.50,504.49,500.00,501.00,4400,501.00
2012-04-05,511.00,514.50,505.51,513.49,36400,513.49
2012-04-04,525.00,529.99,506.50,506.50,10800,506.50
2012-04-03,529.03,540.00,529.03,540.00,9400,540.00
2012-04-02,538.00,538.00,528.00,528.00,11000,528.00
2012-03-30,537.00,537.00,525.00,525.00,17100,525.00
2012-03-29,534.50,540.85,530.53,533.00,31400,533.00
2012-03-28,531.50,545.50,531.00,541.49,17800,541.49
2012-03-27,538.00,538.00,531.00,535.00,9800,535.00
2012-03-26,530.46,530.55,523.00,530.55,8000,530.55
2012-03-23,529.50,531.50,522.51,531.50,14500,531.50
2012-03-22,527.00,534.00,527.00,534.00,6100,534.00
2012-03-21,527.50,532.50,526.36,532.50,12200,532.50
2012-03-20,530.00,533.50,527.36,527.36,17900,527.36
2012-03-19,534.50,538.00,527.36,538.00,8300,538.00
2012-03-16,531.00,535.00,531.00,535.00,3400,535.00
2012-03-15,532.50,534.50,526.00,529.50,5500,529.50
2012-03-14,533.00,534.50,529.00,534.50,9600,534.50
2012-03-13,529.50,533.00,524.50,530.50,17200,530.50
2012-03-12,524.50,527.00,518.00,527.00,16000,527.00
2012-03-09,519.50,527.00,519.49,527.00,15300,527.00
2012-03-08,514.50,520.00,514.50,515.00,10400,515.00
2012-03-07,500.00,515.00,500.00,500.00,000,500.00
2012-03-06,523.00,523.00,504.50,504.50,11100,504.50
2012-03-05,527.00,527.00,517.00,517.00,5400,517.00
2012-03-02,525.00,525.00,521.00,521.00,8800,521.00
2012-03-01,528.99,528.99,523.00,525.00,13700,525.00
2012-02-29,527.00,529.49,527.00,527.00,8200,527.00
2012-02-28,525.50,529.00,524.00,529.00,15500,529.00
2012-02-27,521.50,521.50,517.50,521.50,15400,521.50
2012-02-24,527.84,527.84,523.50,523.50,3900,523.50
2012-02-23,525.00,528.50,520.50,520.50,14200,520.50
2012-02-22,523.00,523.00,520.00,522.49,23800,522.49
2012-02-21,520.00,523.00,520.00,522.00,10500,522.00
2012-02-20,523.00,523.00,516.00,522.00,15500,522.00
2012-02-17,523.00,523.00,523.00,523.00,9300,523.00
2012-02-16,518.00,519.00,511.00,519.00,279000,519.00
2012-02-15,528.25,529.00,523.00,526.75,14600,526.75
2012-02-14,527.24,531.00,524.00,524.00,50900,524.00
2012-02-13,531.78,531.78,525.35,525.35,14400,525.35
2012-02-10,533.00,533.00,524.00,533.00,15900,533.00
2012-02-09,533.50,539.99,533.00,533.00,8200,533.00
2012-02-08,535.00,537.50,530.00,531.00,21100,531.00
2012-02-07,531.00,531.00,531.00,531.00,4700,531.00
2012-02-06,526.00,532.69,526.00,526.00,4400,526.00
2012-02-03,524.00,531.00,524.00,531.00,10900,531.00
2012-02-02,510.50,521.28,510.00,515.00,5800,515.00
2012-02-01,512.00,518.00,509.53,518.00,19500,518.00
2012-01-31,504.00,506.00,495.25,495.25,154900,495.25
2012-01-30,503.00,504.00,492.76,499.00,34400,499.00
2012-01-27,494.92,505.99,494.92,505.00,5300,505.00
2012-01-26,503.00,504.00,500.99,500.99,15600,500.99
2012-01-25,493.25,506.00,489.00,489.00,3500,489.00
2012-01-24,492.00,492.04,492.00,492.00,9900,492.00
2012-01-23,490.25,499.00,488.26,497.00,21400,497.00
2012-01-20,492.00,494.75,488.42,494.75,7000,494.75
2012-01-19,491.00,494.00,490.25,494.00,16400,494.00
2012-01-18,487.00,490.75,483.35,487.00,10400,487.00
2012-01-17,491.50,491.50,491.50,491.50,11000,491.50
2012-01-16,480.25,484.38,477.01,480.00,9100,480.00
2012-01-13,485.00,485.00,480.00,483.25,8500,483.25
2012-01-12,485.00,489.00,481.26,489.00,31100,489.00
2012-01-11,480.00,480.50,475.25,475.25,14300,475.25
2012-01-09,475.00,477.61,472.00,472.00,12900,472.00
2012-01-06,480.75,480.75,475.00,475.00,17400,475.00
2012-01-05,476.75,482.74,475.51,478.00,12100,478.00
2012-01-04,485.50,485.50,480.00,480.00,26100,480.00
2012-01-03,479.52,484.99,479.52,484.99,5100,484.99
2011-12-30,470.00,470.00,469.50,469.50,1300,469.50
2011-12-29,469.52,469.52,465.25,465.25,4400,465.25
2011-12-28,469.00,469.00,468.12,469.00,1700,469.00
2011-12-23,469.74,469.74,465.00,465.00,4600,465.00
2011-12-22,469.74,469.74,462.01,462.01,4400,462.01
2011-12-21,463.50,464.55,460.00,460.00,174400,460.00
2011-12-20,461.00,461.00,455.25,459.84,70600,459.84
2011-12-19,463.75,465.00,455.00,465.00,27200,465.00
2011-12-16,462.00,466.81,458.01,459.25,8100,459.25
2011-12-15,460.00,460.00,458.00,458.00,8100,458.00
2011-12-14,461.00,466.00,458.00,466.00,27900,466.00
2011-12-13,464.75,468.04,463.00,463.00,8100,463.00
2011-12-12,463.00,472.73,463.00,463.00,9400,463.00
