Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,45.56,45.56,44.25,44.68,18100,44.68
2012-08-02,44.25,45.56,44.25,44.68,18100,44.68
2012-08-01,45.25,45.25,44.00,45.25,22000,45.25
2012-07-31,44.00,45.00,43.62,45.00,52700,45.00
2012-07-27,42.50,42.75,41.00,42.00,155700,42.00
2012-07-26,42.50,43.26,42.50,43.00,329200,43.00
2012-07-25,42.00,42.00,41.50,41.50,1201700,41.50
2012-07-24,40.50,42.00,40.50,41.50,164600,41.50
2012-07-23,39.50,39.79,39.36,39.50,130800,39.50
2012-07-20,39.00,40.00,39.00,40.00,45600,40.00
2012-07-19,38.25,40.25,38.00,39.00,21500,39.00
2012-07-18,37.50,38.00,37.50,38.00,88300,38.00
2012-07-17,38.50,39.50,37.00,38.00,4257200,38.00
2012-07-16,40.50,42.00,38.50,38.50,972200,38.50
2012-07-13,39.50,42.42,39.50,42.00,77500,42.00
2012-07-12,39.50,39.94,39.50,39.50,9500,39.50
2012-07-11,40.75,41.50,39.75,39.75,90400,39.75
2012-07-10,40.50,41.50,40.50,40.50,32400,40.50
2012-07-09,41.00,42.50,40.50,40.50,28700,40.50
2012-07-06,42.00,42.50,41.00,41.75,23100,41.75
2012-07-05,41.00,42.50,41.00,42.25,53500,42.25
2012-07-04,42.00,42.61,40.50,41.00,147700,41.00
2012-07-03,42.00,43.00,42.00,42.00,211800,42.00
2012-07-02,43.50,46.00,42.00,42.00,326300,42.00
2012-06-29,43.00,45.00,43.00,44.75,87700,44.75
2012-06-28,43.00,43.27,42.25,42.25,198100,42.25
2012-06-27,43.00,43.50,42.75,42.75,25800,42.75
2012-06-26,44.00,44.50,43.25,43.25,26300,43.25
2012-06-25,44.50,45.20,43.00,43.00,52700,43.00
2012-06-22,44.00,45.75,44.00,44.00,43400,44.00
2012-06-21,44.00,44.94,44.00,44.00,22100,44.00
2012-06-20,45.50,45.50,44.00,45.50,4800,45.50
2012-06-19,45.00,46.01,44.00,44.92,433400,44.92
2012-06-18,43.50,45.50,42.96,45.50,141200,45.50
2012-06-15,43.25,46.50,43.00,43.75,399400,43.75
2012-06-14,43.50,43.75,42.62,43.75,74600,43.75
2012-06-13,40.00,43.28,40.00,43.25,177300,43.25
2012-06-12,39.50,40.62,39.00,39.00,514700,39.00
2012-06-11,40.50,41.11,39.50,39.75,607200,39.75
2012-06-08,40.00,40.50,39.00,40.42,36300,40.42
2012-06-07,40.00,40.75,40.00,40.00,7600,40.00
2012-06-06,40.50,40.61,40.00,40.00,168800,40.00
2012-06-01,40.00,40.34,40.00,40.34,19400,40.34
2012-05-31,40.00,40.50,39.00,40.00,265200,40.00
2012-05-30,40.00,40.31,39.00,40.00,104200,40.00
2012-05-29,42.00,43.04,41.50,42.00,186200,39.50
2012-05-28,42.00,43.25,41.50,41.50,126400,39.03
2012-05-25,41.50,42.00,41.50,41.50,72200,39.03
2012-05-24,42.00,43.03,41.75,41.75,269000,39.26
2012-05-23,42.00,42.59,41.50,41.75,45500,39.26
2012-05-22,41.00,42.82,41.00,41.50,316700,39.03
2012-05-21,41.50,42.20,40.88,41.50,986800,39.03
2012-05-18,42.00,43.50,41.07,42.11,595600,39.60
2012-05-17,41.25,42.00,40.25,40.25,36400,37.85
2012-05-16,43.00,43.78,41.50,41.50,70900,39.03
2012-05-14,43.25,44.63,43.00,43.00,38400,40.44
2012-05-11,45.25,46.00,43.25,44.00,285900,41.38
2012-05-10,45.75,45.75,43.38,45.25,28600,42.56
2012-05-09,45.50,46.00,45.50,46.00,31300,43.26
2012-05-08,45.25,45.69,43.25,43.75,55800,41.15
2012-05-04,44.75,45.75,43.22,43.25,142700,40.68
2012-05-03,45.25,46.00,44.00,44.25,168900,41.62
2012-05-02,47.00,47.00,45.25,45.50,156100,42.79
2012-05-01,46.25,48.00,46.00,47.00,666900,44.20
2012-04-30,47.00,47.88,46.12,47.50,108200,44.67
2012-04-27,45.69,47.75,45.69,47.25,88000,44.44
2012-04-26,47.50,47.50,46.25,46.25,13300,43.50
2012-04-25,45.75,47.00,45.50,45.50,13700,42.79
2012-04-24,47.50,47.50,45.50,45.75,18300,43.03
2012-04-23,47.75,48.75,45.50,45.75,46300,43.03
2012-04-20,47.21,48.53,47.21,48.25,2800,45.38
2012-04-19,47.25,48.25,47.25,48.00,18000,45.14
2012-04-18,47.50,49.00,47.44,48.50,29600,45.61
2012-04-17,47.50,48.78,47.38,48.75,38400,45.85
2012-04-16,47.25,49.00,47.25,49.00,19500,46.08
2012-04-13,49.00,49.00,47.25,47.25,235700,44.44
2012-04-12,48.50,49.00,48.50,48.75,75500,45.85
2012-04-11,49.00,50.16,47.25,49.00,112100,46.08
2012-04-10,48.25,50.75,47.44,48.50,153100,45.61
2012-04-05,48.50,49.34,47.50,47.50,147800,44.67
2012-04-04,50.00,51.00,48.25,48.25,237200,45.38
2012-04-03,48.00,51.28,48.00,49.25,2129300,46.32
2012-04-02,53.50,53.73,51.25,51.25,190500,48.20
2012-03-30,50.00,55.50,49.75,53.00,347500,49.85
2012-03-29,45.00,49.56,45.00,49.25,225600,46.32
2012-03-28,44.00,44.84,43.88,44.50,632000,41.85
2012-03-27,43.75,44.50,43.00,44.50,496300,41.85
2012-03-26,44.82,45.00,43.31,43.75,177400,41.15
2012-03-23,45.25,45.94,44.50,45.00,48900,42.32
2012-03-22,45.94,46.00,45.92,46.00,31000,43.26
2012-03-21,48.00,48.11,46.00,46.75,79800,43.97
2012-03-20,50.00,50.00,48.00,48.00,267000,45.14
2012-03-19,49.50,50.25,49.05,50.25,57600,47.26
2012-03-16,49.00,49.34,48.00,48.00,737400,45.14
2012-03-15,47.75,49.00,47.50,48.50,74400,45.61
2012-03-14,46.50,48.00,46.50,47.50,159000,44.67
2012-03-13,47.00,47.75,45.78,47.75,39600,44.91
2012-03-12,47.00,47.00,46.75,46.75,800,43.97
2012-03-09,47.00,47.00,45.97,46.75,25400,43.97
2012-03-08,46.50,46.50,45.40,46.07,76100,43.33
2012-03-07,46.00,47.00,45.75,46.07,31200,43.33
2012-03-06,45.50,45.94,45.25,45.25,96200,42.56
2012-03-05,45.50,46.00,44.46,45.60,108400,42.89
2012-03-02,45.50,46.31,45.31,45.50,19400,42.79
2012-03-01,46.75,46.75,44.66,46.00,234800,43.26
2012-02-29,45.00,46.22,44.50,45.00,103200,42.32
2012-02-28,45.00,45.50,44.19,45.50,98900,42.79
2012-02-27,44.50,44.50,44.00,44.50,226600,41.85
2012-02-24,44.25,45.00,43.75,44.50,2115200,41.85
2012-02-23,43.50,44.92,42.73,42.73,75200,40.19
2012-02-22,43.00,44.75,42.88,44.75,1343500,42.09
2012-02-21,42.75,42.75,42.00,42.66,538600,40.12
2012-02-20,41.50,42.92,41.50,41.78,32600,39.29
2012-02-17,42.69,42.69,41.98,42.59,42500,40.05
2012-02-16,42.50,42.97,42.20,42.97,20000,40.41
2012-02-15,42.00,42.38,41.50,42.00,38700,39.50
2012-02-14,41.53,42.34,41.53,42.34,20000,39.82
2012-02-13,41.00,42.00,40.12,42.00,126800,39.50
2012-02-10,40.50,41.00,40.28,41.00,44300,38.56
2012-02-09,41.25,41.31,40.50,40.50,57900,38.09
2012-02-08,42.00,42.50,41.00,41.00,32700,38.56
2012-02-07,42.50,42.97,42.47,42.50,22600,39.97
2012-02-06,44.00,44.94,40.97,41.00,381600,38.56
2012-02-03,43.31,44.00,43.06,43.78,1642700,41.17
2012-02-02,44.00,44.70,43.00,43.00,104700,40.44
2012-02-01,43.50,44.50,43.12,44.50,635600,41.85
2012-01-31,41.00,43.35,41.00,43.25,439900,40.68
2012-01-30,39.50,40.50,38.62,40.50,53900,38.09
2012-01-27,39.40,39.78,39.40,39.78,9500,37.41
2012-01-26,39.75,40.00,39.60,39.75,38700,37.38
2012-01-25,37.00,40.00,37.00,40.00,133200,37.62
2012-01-24,34.50,40.00,34.50,38.00,459900,35.74
2012-01-23,32.50,34.50,32.50,34.50,173900,32.45
2012-01-20,33.25,33.50,32.61,33.50,30200,31.51
2012-01-19,32.50,33.00,32.50,32.50,460700,30.57
2012-01-18,32.50,33.00,32.50,32.83,202900,30.87
2012-01-17,33.00,33.38,32.50,32.50,578300,30.57
2012-01-16,32.50,33.36,32.50,33.36,58700,31.37
2012-01-13,32.75,33.25,32.50,33.00,70600,31.04
2012-01-12,32.25,32.78,31.84,32.25,236800,30.33
2012-01-11,32.50,33.00,32.50,32.75,66200,30.80
2012-01-10,33.50,33.84,32.03,32.50,215500,30.57
2012-01-09,33.75,34.02,33.00,33.75,151800,31.74
2012-01-06,33.54,33.85,33.54,33.85,24800,31.84
2012-01-05,34.50,34.68,33.75,34.50,171200,32.45
2012-01-04,34.25,35.19,34.05,34.50,79600,32.45
2012-01-03,36.25,36.25,34.00,34.75,73400,32.68
2011-12-30,36.25,37.25,35.50,35.50,211700,33.39
2011-12-29,36.00,37.00,36.00,36.00,000,33.86
2011-12-28,36.00,36.50,36.00,36.50,117400,34.33
2011-12-23,36.25,36.25,36.18,36.18,1100,34.03
2011-12-22,38.00,38.00,36.25,36.25,253000,34.09
2011-12-21,37.50,37.50,37.00,37.00,8700,34.80
2011-12-20,37.50,37.75,37.00,37.00,112300,34.80
2011-12-19,38.00,38.50,38.00,38.50,88200,36.21
2011-12-16,38.50,38.90,38.00,38.25,44000,35.97
2011-12-15,39.05,39.05,38.17,38.63,20900,36.33
2011-12-14,38.00,39.50,38.00,38.75,73700,36.44
2011-12-13,39.00,39.00,38.50,38.50,60600,36.21
2011-12-12,39.60,39.60,38.25,38.25,9400,35.97
2011-12-09,39.60,39.60,38.75,38.75,16200,36.44
2011-12-08,38.00,38.50,38.00,38.50,758600,36.21
2011-12-07,38.50,39.71,38.25,38.25,33000,35.97
2011-12-06,38.00,39.68,38.00,39.00,100000,36.68
2011-12-05,39.00,39.50,37.65,38.00,96800,35.74
