Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,59.75,59.75,58.00,59.35,3100,59.75
2012-08-02,59.75,59.75,58.00,59.75,4200,59.75
2012-08-01,57.25,59.50,57.25,59.50,1000,59.50
2012-07-31,59.50,59.75,58.19,59.75,15100,59.75
2012-07-27,55.00,60.00,55.00,57.00,2032900,57.00
2012-07-26,55.00,57.75,55.00,55.00,75000,55.00
2012-07-25,60.00,60.00,55.47,57.50,133500,57.50
2012-07-24,57.75,62.81,56.18,60.00,452900,60.00
2012-07-23,56.00,57.28,56.00,57.25,18500,57.25
2012-07-20,56.00,56.75,55.50,56.00,148800,56.00
2012-07-19,57.00,57.50,56.00,56.00,86700,56.00
2012-07-18,58.25,58.50,57.00,57.25,76400,57.25
2012-07-17,60.50,61.00,58.25,58.25,133100,58.25
2012-07-16,60.50,61.00,60.50,60.50,7700,60.50
2012-07-13,61.50,61.75,60.75,60.75,226000,60.75
2012-07-12,61.50,62.12,61.00,61.50,76400,61.50
2012-07-11,63.00,63.50,62.00,62.00,50000,62.00
2012-07-10,63.00,64.00,63.00,64.00,3000,64.00
2012-07-09,63.00,63.25,63.00,63.00,40800,63.00
2012-07-06,64.00,65.00,63.25,64.00,40800,64.00
2012-07-05,63.25,65.25,63.25,64.75,117900,64.75
2012-07-04,62.94,64.00,62.94,63.50,25000,63.50
2012-07-03,64.50,65.00,63.50,65.00,28400,65.00
2012-07-02,63.25,64.40,63.10,63.50,134200,63.50
2012-06-29,63.75,63.75,62.75,63.25,163100,63.25
2012-06-28,66.00,66.19,64.00,64.00,116500,64.00
2012-06-27,65.50,66.50,65.50,66.00,189700,66.00
2012-06-26,67.75,67.75,66.22,66.75,106400,66.75
2012-06-25,69.00,69.00,66.25,66.50,14700,66.50
2012-06-22,67.25,68.75,66.75,68.75,43200,68.75
2012-06-21,68.00,68.00,66.50,68.00,69300,68.00
2012-06-20,69.00,69.00,66.50,68.00,74000,68.00
2012-06-19,71.00,71.00,67.75,69.00,2065700,69.00
2012-06-18,66.00,72.00,64.50,70.50,313500,70.50
2012-06-15,63.00,67.29,62.50,67.25,1312800,67.25
2012-06-14,61.75,63.50,61.62,62.25,102800,62.25
2012-06-13,61.75,63.00,60.25,63.00,25500,63.00
2012-06-12,60.00,60.50,59.89,60.00,1052400,60.00
2012-06-11,60.50,61.25,59.25,60.50,657900,60.50
2012-06-08,59.00,60.75,59.00,60.00,111400,60.00
2012-06-07,60.25,60.50,60.00,60.00,362400,60.00
2012-06-06,60.75,61.00,60.00,60.25,250500,60.25
2012-06-01,61.75,61.75,61.50,61.50,23500,61.50
2012-05-31,62.00,63.00,61.50,63.00,277200,63.00
2012-05-30,60.75,61.00,60.75,60.75,334500,60.75
2012-05-29,60.00,62.50,58.50,61.75,855700,61.75
2012-05-28,60.00,60.77,58.75,58.75,17000,58.75
2012-05-25,60.50,61.25,59.50,60.25,205200,60.25
2012-05-24,60.75,62.00,60.25,62.00,62300,62.00
2012-05-23,64.00,65.00,60.00,60.75,152500,60.75
2012-05-22,62.50,63.94,61.50,63.00,142700,63.00
2012-05-21,64.00,64.00,62.00,63.25,58500,63.25
2012-05-18,67.00,67.00,63.00,63.25,131600,63.25
2012-05-17,67.00,67.00,65.00,66.00,71700,66.00
2012-05-16,67.00,67.00,66.00,66.00,91900,66.00
2012-05-14,65.00,70.00,64.25,69.00,918700,69.00
2012-05-11,66.25,66.50,65.00,65.00,183600,65.00
2012-05-10,67.50,68.00,66.00,66.00,145800,66.00
2012-05-09,66.00,68.00,66.00,67.00,188800,67.00
2012-05-08,68.00,68.15,66.50,66.50,174300,66.50
2012-05-04,66.50,70.00,64.25,69.50,1086400,69.50
2012-05-03,68.00,68.00,64.00,67.00,462600,67.00
2012-05-02,69.00,70.50,67.00,67.25,650300,67.25
2012-05-01,69.50,69.50,67.00,68.25,555000,68.25
2012-04-30,69.50,70.00,69.50,70.00,11000,70.00
2012-04-27,70.50,70.50,69.65,69.75,33000,69.75
2012-04-26,70.00,71.00,70.00,70.38,495500,70.38
2012-04-25,72.00,72.00,70.00,70.00,246300,70.00
2012-04-24,70.50,72.00,70.50,72.00,26100,72.00
2012-04-23,71.00,71.84,70.46,71.00,40800,71.00
2012-04-20,71.67,72.25,70.75,71.50,239700,71.50
2012-04-19,69.75,70.72,69.75,70.41,24800,70.41
2012-04-18,69.50,70.59,69.50,69.94,199000,69.94
2012-04-17,69.00,69.50,69.00,69.50,32800,69.50
2012-04-16,70.00,70.66,69.00,70.25,162400,70.25
2012-04-13,70.00,70.00,69.34,70.00,98500,70.00
2012-04-12,69.00,70.28,68.50,69.50,83900,69.50
2012-04-11,69.00,69.50,68.45,69.00,69000,69.00
2012-04-10,70.00,70.00,69.50,69.50,25800,69.50
2012-04-05,69.50,70.38,69.25,69.50,53800,69.50
2012-04-04,69.48,69.75,69.48,69.75,21000,69.75
2012-04-03,69.94,70.25,69.57,70.25,18100,70.25
2012-04-02,71.50,71.50,69.25,70.00,375900,70.00
2012-03-30,69.50,71.00,68.50,70.25,260200,70.25
2012-03-29,69.50,70.00,68.40,69.50,6419100,69.50
2012-03-28,69.75,69.85,68.75,68.75,110800,68.75
2012-03-27,69.00,69.75,69.00,69.00,252200,69.00
2012-03-26,69.00,69.83,69.00,69.12,43200,69.12
2012-03-23,69.00,69.62,69.00,69.00,22900,69.00
2012-03-22,69.50,69.70,69.00,69.00,7900,69.00
2012-03-21,69.00,69.25,69.00,69.00,299300,69.00
2012-03-20,68.25,69.19,68.00,69.00,191700,69.00
2012-03-19,68.00,69.25,68.00,68.50,79300,68.50
2012-03-16,68.25,71.00,68.00,68.00,99400,68.00
2012-03-15,69.00,70.40,68.50,68.50,57300,68.50
2012-03-14,66.00,70.38,66.00,69.00,381500,69.00
2012-03-13,66.25,67.03,66.00,66.25,10800,66.25
2012-03-12,65.50,67.12,65.50,66.25,13500,66.25
2012-03-09,66.00,66.00,65.83,66.00,23900,66.00
2012-03-08,67.25,68.00,65.60,68.00,31100,68.00
2012-03-07,67.75,68.00,65.66,68.00,28200,68.00
2012-03-06,66.77,68.00,63.88,68.00,174300,68.00
2012-03-05,65.00,65.00,63.90,65.00,17600,65.00
2012-03-02,64.00,65.00,63.46,65.00,80600,65.00
2012-03-01,63.00,65.00,63.00,64.00,4813700,64.00
2012-02-29,62.00,62.50,60.50,62.00,699700,62.00
2012-02-28,62.00,62.25,60.50,62.00,23900,62.00
2012-02-27,62.00,62.25,60.46,62.00,443700,62.00
2012-02-24,62.00,62.50,61.50,62.00,218200,62.00
2012-02-23,61.75,62.00,61.12,62.00,106200,62.00
2012-02-22,61.00,61.75,60.50,60.50,61500,60.50
2012-02-21,62.00,63.00,61.00,61.75,410800,61.75
2012-02-20,63.09,63.09,61.52,63.09,16300,63.09
2012-02-17,63.50,63.50,61.53,63.25,4300,63.25
2012-02-16,63.00,63.50,62.63,63.00,578300,63.00
2012-02-15,62.00,63.00,61.00,63.00,273900,63.00
2012-02-14,63.00,63.00,63.00,63.00,517000,63.00
2012-02-13,63.00,63.50,61.73,63.50,456100,63.50
2012-02-10,63.00,63.50,63.00,63.00,69500,63.00
2012-02-09,63.00,63.90,63.00,63.50,51900,63.50
2012-02-08,64.00,64.00,63.50,63.50,1203700,63.50
2012-02-07,63.00,63.38,63.00,63.25,322200,63.25
2012-02-06,63.00,63.75,63.00,63.00,18300,63.00
2012-02-03,63.00,64.00,63.00,63.00,399200,63.00
2012-02-02,64.00,64.00,63.00,63.25,165600,63.25
2012-02-01,63.12,63.12,63.12,63.12,21800,63.12
2012-01-31,64.00,64.00,63.00,63.21,27300,63.21
2012-01-30,61.50,63.00,61.06,63.00,69800,63.00
2012-01-27,60.00,61.06,60.00,61.06,181700,61.06
2012-01-26,60.00,60.00,59.69,60.00,13900,60.00
2012-01-25,59.00,59.72,59.00,59.50,108400,59.50
2012-01-24,58.12,58.12,58.12,58.12,1700,58.12
2012-01-23,58.25,58.50,58.25,58.25,33600,58.25
2012-01-20,58.59,58.88,58.00,58.88,2028100,58.88
2012-01-19,57.00,58.75,57.00,58.75,294700,58.75
2012-01-18,58.00,58.25,56.00,57.50,741700,57.50
2012-01-17,57.00,57.12,55.00,56.50,241600,56.50
2012-01-16,57.00,57.50,57.00,57.00,110700,57.00
2012-01-13,57.15,57.15,57.12,57.12,11900,57.12
2012-01-12,57.88,58.00,57.12,58.00,59100,58.00
2012-01-11,58.00,58.00,57.26,58.00,7700,58.00
2012-01-10,57.80,57.80,57.00,57.80,41800,57.80
2012-01-09,57.00,57.78,56.44,57.00,100500,57.00
2012-01-06,57.12,57.12,57.12,57.12,4600,57.12
2012-01-05,58.75,58.75,58.00,58.25,6500,58.25
2012-01-04,53.00,57.00,53.00,57.00,343900,57.00
2012-01-03,57.00,57.75,57.00,57.75,191700,57.75
2011-12-30,54.00,59.75,54.00,54.00,000,54.00
2011-12-29,56.43,56.43,56.43,56.43,3500,56.43
2011-12-28,57.75,57.75,56.21,57.75,5700,57.75
