Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,496.00,496.00,490.00,490.50,19200,262.00
2008-09-30,255.00,262.00,253.00,262.00,155100,262.00
2008-09-29,269.00,269.00,264.00,267.75,42600,267.75
2008-09-26,273.00,273.00,273.00,274.50,28500,274.50
2008-09-25,283.00,283.00,276.50,280.00,59500,280.00
2008-09-24,280.00,280.00,279.00,279.00,17900,279.00
2008-09-23,282.00,282.00,278.00,282.00,34200,282.00
2008-09-22,297.00,297.00,283.00,287.00,45500,287.00
2008-09-19,288.00,298.00,288.00,298.00,104000,298.00
2008-09-18,278.00,282.50,278.00,278.00,45300,278.00
2008-09-17,280.00,281.50,277.00,277.00,73200,277.00
2008-09-16,283.00,284.50,279.00,281.00,26200,281.00
2008-09-15,293.00,293.00,288.00,293.00,24800,293.00
2008-09-12,297.00,297.00,297.00,299.50,6000,299.50
2008-09-11,293.00,293.00,293.00,295.00,7800,295.00
2008-09-10,300.00,300.00,300.00,300.00,14500,300.00
2008-09-09,300.00,302.00,298.00,299.50,85000,299.50
2008-09-08,305.00,305.00,301.00,301.00,11100,301.00
2008-09-05,294.00,301.50,294.00,297.50,14900,297.50
2008-09-04,302.00,302.00,301.00,299.00,32900,299.00
2008-09-03,303.00,303.00,301.00,302.50,19400,302.50
2008-09-02,303.00,304.00,303.00,305.00,36600,305.00
2008-09-01,300.00,306.00,300.00,304.25,25200,304.25
2008-08-29,303.50,303.50,303.50,303.50,900,303.50
2008-08-28,302.50,303.00,302.50,301.50,16000,301.50
2008-08-27,306.00,306.00,298.00,298.00,42400,298.00
2008-08-26,301.00,301.00,301.00,302.50,11000,302.50
2008-08-22,296.00,304.25,296.00,304.50,75600,304.50
2008-08-21,296.00,301.00,296.00,298.50,19900,298.50
2008-08-20,297.00,297.00,297.00,297.00,12800,297.00
2008-08-19,300.00,300.00,295.00,298.00,36500,298.00
2008-08-18,303.00,303.00,301.00,303.25,28600,303.25
2008-08-15,306.00,306.00,302.00,305.50,21400,305.50
2008-08-14,303.00,305.00,298.25,300.25,63800,300.25
2008-08-13,299.50,299.50,299.00,300.50,9000,300.50
2008-08-12,296.00,301.00,296.00,299.00,79500,299.00
2008-08-11,295.00,299.00,295.00,297.00,26800,297.00
2008-08-08,294.00,294.00,294.00,296.00,16400,296.00
2008-08-07,295.00,295.00,294.00,296.00,45000,296.00
2008-08-06,295.00,300.50,295.00,298.25,44800,298.25
2008-08-05,289.00,294.75,289.00,293.75,131500,293.75
2008-08-04,294.00,294.00,290.00,291.50,15600,291.50
2008-08-01,292.00,292.00,291.00,292.50,148500,292.50
2008-07-31,297.50,298.00,295.50,298.00,49700,298.00
2008-07-30,300.50,301.00,295.25,299.00,39300,299.00
2008-07-29,296.00,296.00,292.00,294.50,21900,294.50
2008-07-28,297.00,297.00,295.00,297.00,158800,297.00
2008-07-25,297.00,297.00,295.00,295.00,14000,295.00
2008-07-24,300.25,303.00,300.00,302.00,49500,302.00
2008-07-23,286.00,304.00,286.00,304.00,281100,304.00
2008-07-22,281.00,290.00,281.00,290.00,46900,290.00
2008-07-21,283.00,285.00,282.00,282.50,26900,282.50
2008-07-18,278.00,283.00,277.00,277.00,28200,277.00
2008-07-17,272.00,278.00,272.00,278.00,107400,278.00
2008-07-16,268.00,268.00,264.25,269.00,17200,269.00
2008-07-15,272.00,275.00,265.00,270.00,29800,270.00
2008-07-14,276.00,281.00,276.00,278.25,17300,278.25
2008-07-11,276.00,276.00,272.50,275.25,30400,275.25
2008-07-10,270.00,275.00,268.00,273.00,56300,273.00
2008-07-09,275.00,277.75,271.00,274.00,56100,274.00
2008-07-08,266.25,266.50,266.00,270.25,27400,270.25
2008-07-07,274.00,275.00,270.25,274.50,42600,274.50
2008-07-04,272.00,280.00,272.00,280.00,10300,280.00
2008-07-03,272.00,272.00,271.00,271.00,49300,271.00
2008-07-02,278.00,283.50,278.00,283.50,28200,283.50
2008-07-01,281.00,281.00,280.00,281.50,54900,281.50
2008-06-30,283.00,287.50,283.00,283.00,39800,283.00
2008-06-27,287.00,290.00,287.00,289.25,13700,289.25
2008-06-26,290.00,297.00,288.50,297.00,72900,297.00
2008-06-25,290.25,290.25,290.00,292.75,56800,292.75
2008-06-24,292.25,292.25,287.25,287.25,145900,287.25
2008-06-23,300.00,300.00,300.00,295.75,7700,295.75
2008-06-20,303.75,303.75,292.25,292.25,21100,292.25
2008-06-19,298.25,298.25,296.50,296.50,41400,296.50
2008-06-18,304.00,312.00,303.00,302.75,68100,302.75
2008-06-17,310.00,313.75,302.50,313.75,64200,313.75
2008-06-16,301.00,301.25,300.00,305.25,25500,305.25
2008-06-13,304.00,304.00,304.00,304.00,2000,304.00
