Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,84.00,86.30,83.00,83.00,800,85.00
2012-08-02,83.00,86.30,83.00,85.00,63900,85.00
2012-08-01,83.00,86.53,83.00,83.00,10000,83.00
2012-07-31,88.00,88.00,83.97,86.50,10300,86.50
2012-07-27,83.75,84.30,83.22,84.30,28700,84.30
2012-07-26,83.00,84.00,81.12,82.50,157800,82.50
2012-07-25,81.00,82.20,80.00,80.00,42500,80.00
2012-07-24,80.75,81.76,80.00,80.00,31000,80.00
2012-07-23,82.66,83.30,82.25,82.25,49700,82.25
2012-07-20,84.00,84.00,81.00,81.00,12700,81.00
2012-07-19,80.00,84.00,80.00,82.00,42500,82.00
2012-07-18,82.75,82.75,77.25,79.75,21100,79.75
2012-07-17,77.00,82.29,77.00,77.00,22800,77.00
2012-07-16,77.25,82.75,77.25,79.00,12700,79.00
2012-07-13,77.25,82.25,77.25,80.00,29200,80.00
2012-07-12,79.00,81.56,79.00,79.00,22700,79.00
2012-07-11,81.00,82.00,80.00,80.25,81400,80.25
2012-07-10,81.00,82.43,81.00,81.00,40700,81.00
2012-07-09,81.00,82.90,81.00,81.00,21100,81.00
2012-07-06,81.00,83.73,80.00,81.00,55700,81.00
2012-07-05,81.00,83.40,81.00,81.25,105600,81.25
2012-07-04,81.00,83.00,81.00,81.25,13100,81.25
2012-07-03,81.00,83.00,81.00,81.00,24800,81.00
2012-07-02,80.60,84.20,80.00,80.00,22100,80.00
2012-06-29,80.90,84.33,80.90,82.00,70800,82.00
2012-06-28,81.90,82.75,81.25,82.75,112700,82.75
2012-06-27,80.25,83.20,80.25,82.00,54100,82.00
2012-06-26,82.38,83.00,82.38,83.00,91500,83.00
2012-06-25,78.00,83.43,78.00,81.60,89900,81.60
2012-06-22,81.00,82.60,78.62,80.92,93100,80.92
2012-06-21,80.50,82.31,80.25,81.00,67400,81.00
2012-06-20,76.25,79.66,76.25,78.50,184000,78.50
2012-06-19,86.00,86.00,76.00,76.00,73900,76.00
2012-06-18,84.00,85.50,79.00,79.00,40800,79.00
2012-06-15,82.00,82.00,77.25,79.00,1341800,79.00
2012-06-14,77.00,82.00,77.00,77.00,347800,77.00
2012-06-13,81.25,82.00,77.00,80.00,158600,80.00
2012-06-12,74.00,80.90,73.00,75.00,404800,75.00
2012-06-11,76.00,78.13,68.88,70.25,715200,70.25
2012-06-08,74.00,80.25,74.00,75.00,115200,75.00
2012-06-07,73.25,76.95,73.25,74.00,202300,74.00
2012-06-06,73.25,76.40,73.25,73.25,120900,73.25
