Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,72.75,74.00,71.75,74.00,441700,74.00
2012-08-02,72.75,74.00,71.75,74.00,1342300,74.00
2012-08-01,71.90,73.45,71.90,72.80,923200,72.80
2012-07-31,73.00,73.00,71.00,71.65,784400,71.65
2012-07-27,72.90,73.00,71.00,73.00,741700,73.00
2012-07-26,71.00,72.45,70.50,72.45,860700,72.45
2012-07-25,70.90,71.15,70.10,71.15,732300,71.15
2012-07-24,70.00,70.95,70.00,70.00,273100,70.00
2012-07-23,70.00,70.95,69.50,70.00,951200,70.00
2012-07-20,72.90,72.90,70.00,70.30,445700,70.30
2012-07-19,71.00,72.10,71.00,71.90,693400,71.90
2012-07-18,70.00,71.65,70.00,71.40,2470200,71.40
2012-07-17,71.60,71.60,70.85,71.35,1254700,71.35
2012-07-16,71.45,72.00,70.85,71.25,654300,71.25
2012-07-13,70.95,71.25,70.60,70.75,4629100,70.75
2012-07-12,70.50,70.50,70.50,70.95,967300,70.95
2012-07-11,71.30,71.70,70.70,71.30,1199500,71.30
2012-07-10,70.00,72.00,70.00,70.90,942100,70.90
2012-07-09,71.90,71.90,70.38,71.25,751900,71.25
2012-07-06,71.45,71.95,71.05,71.60,610100,71.60
2012-07-05,72.70,72.70,71.00,71.20,687800,71.20
2012-07-04,73.00,73.00,71.90,71.90,687100,71.90
2012-07-03,74.00,74.00,72.00,73.00,1124300,73.00
2012-07-02,72.00,74.00,71.00,74.00,2059900,74.00
2012-06-29,72.00,73.15,71.20,72.00,2401000,72.00
2012-06-28,71.50,72.00,70.00,70.45,478500,70.45
2012-06-27,71.30,72.30,70.85,71.55,5490300,71.55
2012-06-26,71.75,73.60,71.45,71.90,1887900,71.90
2012-06-25,72.50,73.35,72.05,72.05,2462800,72.05
2012-06-22,73.00,74.00,72.95,72.95,610800,72.95
2012-06-21,73.25,75.00,71.80,73.85,1380500,73.85
2012-06-20,74.20,75.00,72.75,73.10,817300,73.10
2012-06-19,73.00,74.90,71.75,73.10,544600,73.10
2012-06-18,73.50,73.60,72.18,72.35,567500,72.35
2012-06-15,74.75,74.85,71.96,72.00,2142600,72.00
2012-06-14,74.45,75.00,73.75,74.70,790600,74.70
2012-06-13,72.95,74.85,72.95,74.45,856400,74.45
2012-06-12,73.55,73.85,72.80,73.05,1079500,73.05
2012-06-11,75.35,75.35,73.05,73.80,858500,73.80
2012-06-08,74.95,75.30,73.05,74.05,1304000,74.05
2012-06-07,74.40,75.40,74.35,75.10,1485200,75.10
2012-06-06,73.35,76.70,73.30,74.65,5412700,74.65
2012-06-01,74.70,75.07,73.00,73.85,2358900,73.85
2012-05-31,72.60,76.85,72.30,73.05,11629300,73.05
2012-05-30,73.50,73.61,71.35,71.90,1211500,71.90
2012-05-29,73.85,73.95,71.80,73.50,1253500,73.50
2012-05-28,73.75,74.75,70.65,72.75,745000,72.75
2012-05-25,72.70,73.10,70.65,72.90,2056700,72.90
2012-05-24,72.25,74.65,69.60,73.00,1708400,73.00
2012-05-23,70.10,73.25,70.10,71.10,733200,71.10
2012-05-22,71.40,72.95,70.00,70.55,927100,70.55
2012-05-21,72.05,72.40,70.50,71.40,484900,71.40
2012-05-18,74.25,74.25,71.44,72.50,841600,72.50
2012-05-17,72.70,74.00,71.80,72.75,1531000,72.75
2012-05-16,70.50,74.00,69.25,73.00,2758600,73.00
2012-05-14,71.05,73.80,70.75,72.95,889900,72.95
2012-05-11,71.75,73.35,71.00,72.25,665300,72.25
2012-05-10,71.30,72.45,71.05,71.55,302400,71.55
2012-05-09,72.00,72.65,71.00,71.30,599000,71.30
2012-05-08,71.90,75.25,71.00,71.15,1581600,71.15
2012-05-04,72.30,73.50,70.10,71.00,565100,71.00
2012-05-03,73.30,74.00,72.50,73.00,2337400,73.00
2012-05-02,74.80,74.95,73.15,73.95,471000,73.95
2012-05-01,72.75,74.70,72.60,74.00,674800,74.00
2012-04-30,74.60,74.60,72.30,73.35,494500,73.35
2012-04-27,72.30,74.05,72.10,73.35,594700,73.35
2012-04-26,71.30,73.15,71.15,73.15,2730200,73.15
2012-04-25,72.90,73.10,71.00,71.10,3604700,71.10
2012-04-24,76.30,76.30,73.80,74.00,4512100,74.00
2012-04-23,75.50,75.50,74.05,75.00,2459500,75.00
2012-04-20,75.00,76.00,75.00,75.10,3126500,75.10
2012-04-19,75.75,76.00,75.00,75.15,2345500,75.15
2012-04-18,76.50,77.35,75.15,75.50,1983000,75.50
2012-04-17,75.00,77.00,75.00,77.00,629700,77.00
2012-04-16,76.25,76.86,74.00,75.25,1715600,75.25
2012-04-13,76.00,77.05,75.07,76.90,7535600,76.90
2012-04-12,75.45,78.00,75.00,76.80,883100,76.80
2012-04-11,74.45,76.10,74.25,76.10,2504600,76.10
2012-04-10,75.36,75.75,73.90,75.40,1537000,75.40
2012-04-05,74.30,75.60,72.95,75.60,1048600,75.60
2012-04-04,74.10,74.90,72.95,74.25,11944900,74.25
2012-04-03,72.55,74.90,72.15,73.55,5855900,73.55
2012-04-02,72.00,73.00,71.60,72.50,662200,72.50
2012-03-30,73.25,73.34,71.50,72.40,2031700,72.40
2012-03-29,72.10,73.50,71.27,71.85,30044200,71.85
2012-03-28,72.20,73.50,71.60,72.10,4036700,72.10
2012-03-27,75.50,75.50,72.55,74.45,838500,74.45
2012-03-26,74.00,75.50,73.00,74.40,354800,74.40
2012-03-23,75.50,75.50,72.65,73.50,4862500,73.50
2012-03-22,77.45,77.45,74.90,74.90,517700,74.90
2012-03-21,76.60,77.00,76.00,76.80,1308300,76.80
2012-03-20,76.40,77.00,76.00,76.80,599100,76.80
2012-03-19,77.35,77.60,75.35,76.95,711200,76.95
2012-03-16,75.50,77.65,75.50,76.50,2151200,76.50
2012-03-15,78.95,79.15,75.05,75.95,684900,75.95
2012-03-14,78.75,79.70,77.00,78.00,3859600,78.00
2012-03-13,75.65,79.00,75.65,79.00,662000,79.00
2012-03-12,75.50,76.45,75.50,76.00,130100,76.00
2012-03-09,74.90,76.60,74.90,76.15,394900,76.15
2012-03-08,75.00,76.50,75.00,75.30,405100,75.30
2012-03-07,74.50,76.15,74.42,75.05,498300,75.05
2012-03-06,73.10,75.95,73.00,75.00,906300,75.00
2012-03-05,75.95,76.65,74.95,75.00,489600,75.00
2012-03-02,74.85,75.95,74.85,75.75,486800,75.75
2012-03-01,74.50,75.90,74.00,75.25,305900,75.25
2012-02-29,74.10,75.42,74.10,75.00,181700,75.00
2012-02-28,72.25,75.95,72.25,74.50,1377100,74.50
2012-02-27,72.90,74.00,72.11,72.75,315800,72.75
2012-02-24,74.00,74.90,73.10,73.70,601100,73.70
2012-02-23,73.50,75.05,72.20,73.00,357300,73.00
2012-02-22,73.80,74.00,72.15,73.00,422400,73.00
2012-02-21,74.20,75.00,73.15,73.75,1787800,73.75
2012-02-20,74.85,75.21,73.50,74.06,672200,74.06
2012-02-17,75.65,75.95,73.95,75.00,577100,75.00
2012-02-16,74.15,76.20,72.50,73.20,378300,73.20
2012-02-15,78.00,78.00,74.05,74.50,699300,74.50
2012-02-14,76.50,76.50,74.45,75.25,3520500,75.25
2012-02-13,74.25,77.05,74.25,75.00,386400,75.00
2012-02-10,74.75,75.75,72.50,73.30,387000,73.30
2012-02-09,75.00,75.00,72.05,74.25,5188700,74.25
2012-02-08,75.05,76.00,72.60,74.30,493200,74.30
2012-02-07,75.80,76.65,74.55,76.00,1086100,76.00
2012-02-06,75.35,76.55,72.10,75.50,1183100,75.50
2012-02-03,75.50,75.59,73.65,75.50,1010800,75.50
2012-02-02,72.90,74.55,72.00,73.60,6973500,73.60
2012-02-01,73.20,73.20,72.00,72.75,1954500,72.75
2012-01-31,73.05,76.00,72.50,73.40,1430300,73.40
2012-01-30,75.40,75.57,72.63,73.70,712500,73.70
2012-01-27,73.85,74.75,73.55,74.00,2603000,74.00
2012-01-26,74.85,75.47,73.99,74.50,2858400,74.50
2012-01-25,75.70,75.70,73.95,74.00,675300,74.00
2012-01-24,79.95,79.95,73.68,74.50,1222200,74.50
2012-01-23,75.30,78.35,75.30,76.20,1141700,76.20
2012-01-20,77.25,77.45,76.20,76.20,783400,76.20
2012-01-19,74.50,77.00,74.50,75.95,1158600,75.95
2012-01-18,73.75,76.50,73.75,74.50,960900,74.50
2012-01-17,74.50,75.45,73.60,74.25,250000,74.25
2012-01-16,74.50,75.00,74.15,74.20,235200,74.20
2012-01-13,73.80,75.60,73.80,75.00,881800,75.00
2012-01-12,71.75,74.00,71.40,73.00,357500,73.00
2012-01-11,74.45,74.45,71.50,71.75,298500,71.75
2012-01-10,74.05,74.05,72.00,72.00,473700,72.00
2012-01-09,72.55,73.50,72.00,72.00,315400,72.00
2012-01-06,73.30,74.50,70.90,72.60,372400,72.60
2012-01-05,75.75,75.75,73.00,73.00,602200,73.00
2012-01-04,75.75,75.75,74.45,74.60,418700,74.60
2012-01-03,77.65,77.65,73.80,75.50,1519200,75.50
2011-12-30,74.15,76.50,74.00,76.50,154100,76.50
2011-12-29,74.40,74.40,74.00,74.15,98700,74.15
2011-12-28,72.50,74.25,72.50,74.25,238600,74.25
2011-12-23,72.50,73.45,72.15,73.45,167200,73.45
