Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,212.30,212.60,206.70,207.80,664400,208.00
2012-08-02,212.30,212.60,206.70,208.00,1044900,208.00
2012-08-01,208.80,211.80,207.60,210.30,475900,210.30
2012-07-31,212.30,212.30,206.00,208.10,785600,208.10
2012-07-27,195.50,203.60,194.10,203.20,630100,203.20
2012-07-26,192.70,198.30,192.00,194.84,1108000,194.84
2012-07-25,191.00,194.80,190.20,192.50,839900,192.50
2012-07-24,188.50,192.20,187.50,190.40,1144400,190.40
2012-07-23,193.00,194.50,189.10,189.10,1430700,189.10
2012-07-20,188.60,199.40,188.60,195.00,2458500,195.00
2012-07-19,188.10,190.40,186.80,188.40,1125600,188.40
2012-07-18,173.50,195.80,173.20,187.00,4236000,187.00
2012-07-17,165.90,168.00,165.40,167.00,569000,167.00
2012-07-16,166.10,167.40,163.80,167.00,702400,167.00
2012-07-13,160.80,166.10,160.00,166.00,1010500,166.00
2012-07-12,163.00,163.00,159.80,160.60,1033300,160.60
2012-07-11,162.50,163.50,161.70,163.10,1156400,163.10
2012-07-10,161.00,163.10,160.00,163.00,1802500,163.00
2012-07-09,165.00,165.80,160.20,160.20,9043700,160.20
2012-07-06,165.00,166.90,163.80,164.80,9538700,164.80
2012-07-05,162.50,165.00,161.20,164.00,1120800,164.00
2012-07-04,160.10,163.90,159.54,161.90,570600,161.90
2012-07-03,154.20,160.50,154.10,159.70,652700,159.70
2012-07-02,156.90,156.90,152.60,153.60,739000,153.60
2012-06-29,154.90,156.20,153.00,156.00,1862100,156.00
2012-06-28,151.00,152.30,148.80,151.90,1321900,151.90
2012-06-27,156.00,156.00,148.10,150.90,901200,150.90
2012-06-26,158.10,160.50,154.60,159.80,1196100,159.80
2012-06-25,156.50,161.48,156.00,158.50,2426900,158.50
2012-06-22,157.00,160.00,154.40,159.30,1428700,159.30
2012-06-21,160.50,161.90,157.20,157.50,893800,157.50
2012-06-20,154.30,161.30,152.50,160.70,2044300,160.70
2012-06-19,150.50,155.51,150.20,153.70,1049500,153.70
2012-06-18,154.50,154.85,145.10,151.10,2924100,151.10
2012-06-15,140.40,153.79,140.40,153.70,4310800,153.70
2012-06-14,137.80,141.20,136.10,140.70,1287400,140.70
2012-06-13,140.70,141.50,137.20,137.50,1057200,137.50
2012-06-12,138.50,140.60,137.20,140.60,921800,140.60
2012-06-11,143.70,144.90,137.90,139.00,862200,139.00
2012-06-08,143.00,143.00,139.00,141.30,910200,141.30
2012-06-07,140.90,145.20,138.90,138.90,1139300,138.90
2012-06-06,142.40,144.40,138.40,139.60,1465300,139.60
2012-06-01,139.50,141.30,136.20,140.10,1820900,140.10
2012-05-31,145.00,147.40,137.40,138.80,1905200,138.80
2012-05-30,147.50,150.00,144.40,144.40,1265300,144.40
2012-05-29,146.50,149.67,145.90,148.20,1584500,148.20
2012-05-28,144.20,150.20,142.43,146.00,1259200,146.00
2012-05-25,140.60,146.80,139.80,144.20,3957200,144.20
2012-05-24,151.50,152.50,143.10,144.00,3433000,144.00
2012-05-23,160.20,166.90,150.50,151.10,4304400,151.10
2012-05-22,160.53,180.00,147.90,168.61,7889900,168.61
2012-05-21,227.40,231.80,225.58,227.40,518800,227.40
2012-05-18,226.30,230.40,222.20,226.80,893200,226.80
2012-05-17,236.40,238.50,225.60,226.60,917400,226.60
2012-05-16,237.60,239.20,234.80,235.80,1203600,235.80
2012-05-14,245.30,249.90,244.20,249.00,536900,249.00
2012-05-11,245.20,249.60,244.50,248.40,484200,248.40
2012-05-10,249.70,250.30,244.50,245.30,1009300,245.30
2012-05-09,249.40,249.80,245.90,249.00,1135600,249.00
2012-05-08,248.00,251.50,246.60,249.00,1805000,249.00
2012-05-04,249.90,251.40,246.60,247.00,870700,247.00
2012-05-03,250.70,253.50,249.50,251.00,691400,251.00
2012-05-02,253.40,255.60,249.00,250.70,1057500,250.70
2012-05-01,251.50,254.00,247.90,252.00,392600,252.00
2012-04-30,252.50,254.50,247.48,252.50,2088100,252.50
2012-04-27,243.20,252.40,240.76,251.10,1028600,251.10
2012-04-26,243.40,245.80,238.90,244.60,773400,244.60
2012-04-25,235.00,242.20,233.10,241.70,877800,241.70
2012-04-24,237.80,239.80,232.70,233.70,1050500,233.70
2012-04-23,242.50,243.30,232.40,236.80,990200,236.80
2012-04-20,235.10,243.80,234.10,243.30,1239000,243.30
2012-04-19,238.10,239.50,230.30,235.60,1276700,235.60
2012-04-18,228.20,237.42,223.80,237.40,1574300,237.40
2012-04-17,221.20,227.50,218.20,227.00,1295400,227.00
2012-04-16,224.90,226.70,222.50,224.00,1213100,224.00
2012-04-13,223.80,227.40,223.80,225.50,681900,225.50
2012-04-12,224.50,226.90,223.50,224.40,803500,224.40
2012-04-11,221.10,226.10,219.40,224.10,720900,224.10
2012-04-10,229.00,230.10,221.00,221.00,884500,221.00
2012-04-05,230.70,232.60,225.30,231.20,867800,231.20
2012-04-04,238.20,239.20,227.70,230.00,995900,230.00
2012-04-03,234.90,241.70,234.90,238.80,750000,238.80
2012-04-02,234.70,236.00,230.80,234.70,860100,234.70
2012-03-30,235.70,238.70,233.00,233.50,1269400,233.50
2012-03-29,238.00,238.40,232.30,235.20,1796700,235.20
2012-03-28,239.10,240.00,236.70,239.10,1073500,239.10
2012-03-27,240.50,240.50,237.70,239.00,1359900,239.00
2012-03-26,240.00,240.90,237.00,239.00,818500,239.00
2012-03-23,240.40,241.60,236.80,238.40,1483500,238.40
2012-03-22,245.50,245.50,238.70,239.80,986600,239.80
2012-03-21,248.90,252.30,244.90,246.20,719100,246.20
2012-03-20,255.40,255.40,246.80,248.40,1426100,248.40
2012-03-19,255.40,257.00,250.00,255.70,1310300,255.70
2012-03-16,244.70,256.80,241.76,253.35,5312900,253.35
2012-03-15,236.50,246.40,236.50,242.70,2637600,242.70
2012-03-14,237.50,240.00,231.00,238.22,2033100,238.22
2012-03-13,231.50,237.10,229.00,235.80,1360500,235.80
2012-03-12,220.50,230.50,220.50,229.90,1607700,229.90
2012-03-09,218.80,223.80,217.20,220.40,1749100,220.40
2012-03-08,222.70,227.20,218.10,218.50,1734400,218.50
2012-03-07,215.00,227.70,215.00,222.00,2358800,222.00
2012-03-06,219.00,221.40,214.10,220.44,5440700,220.44
2012-03-05,220.00,221.70,218.10,220.33,2049200,220.33
2012-03-02,220.20,223.00,218.90,219.33,14273400,219.33
2012-03-01,222.00,223.50,219.50,221.20,1690900,221.20
2012-02-29,224.00,225.00,220.70,222.60,820000,222.60
2012-02-28,224.00,226.60,222.90,225.00,794800,225.00
2012-02-27,227.50,227.78,222.60,224.20,481600,224.20
2012-02-24,226.60,235.00,226.10,228.40,4628300,228.40
2012-02-23,223.60,226.86,219.80,224.20,981100,224.20
2012-02-22,227.00,228.89,223.60,224.40,1123200,224.40
2012-02-21,235.90,235.90,219.60,229.58,2859600,229.58
2012-02-20,248.90,248.90,233.60,241.36,1671800,241.36
2012-02-17,246.20,250.30,246.10,249.30,385200,249.30
2012-02-16,242.90,249.00,237.70,244.90,788700,244.90
2012-02-15,250.00,251.10,243.40,243.80,3313700,243.80
2012-02-14,250.00,251.90,244.90,250.00,1293900,250.00
2012-02-13,252.60,257.80,245.80,250.10,5772100,250.10
2012-02-10,244.70,253.41,243.80,251.80,3138000,251.80
2012-02-09,240.10,246.70,229.74,245.17,2387800,245.17
2012-02-08,254.50,275.50,236.68,244.77,5500000,244.77
2012-02-07,286.00,286.80,275.00,275.00,990200,275.00
2012-02-06,291.00,291.00,282.61,284.90,670600,284.90
2012-02-03,290.00,295.50,284.30,290.40,1495800,290.40
2012-02-02,292.00,294.00,289.10,289.10,1195900,289.10
2012-02-01,285.70,297.00,282.60,292.40,787400,292.40
2012-01-31,280.70,288.00,275.61,283.90,1015600,283.90
2012-01-30,292.70,297.60,286.10,286.37,689500,286.37
2012-01-27,299.50,304.70,293.30,294.70,1014100,294.70
2012-01-26,298.20,299.90,290.20,293.60,648800,293.60
2012-01-25,304.00,304.00,297.00,298.90,236300,298.90
2012-01-24,306.20,306.20,297.80,302.50,376500,302.50
2012-01-23,309.50,312.90,308.10,310.50,203900,310.50
2012-01-20,310.00,312.70,304.40,310.00,270900,310.00
2012-01-19,306.30,314.60,303.30,308.10,634300,308.10
2012-01-18,302.50,313.20,302.50,305.00,556200,305.00
2012-01-17,306.40,306.40,298.60,303.40,365300,303.40
2012-01-16,301.00,301.80,298.40,301.00,424900,301.00
2012-01-13,302.20,305.00,295.70,300.90,549000,300.90
2012-01-12,298.00,306.40,298.00,305.18,842100,305.18
2012-01-11,300.00,300.66,295.80,299.20,748200,299.20
2012-01-10,300.40,302.00,298.60,300.00,979800,300.00
2012-01-09,299.80,302.20,297.20,300.00,1502400,300.00
2012-01-06,299.60,300.58,294.40,299.00,410700,299.00
2012-01-05,309.00,311.00,297.70,299.00,625000,299.00
2012-01-04,307.30,314.60,306.80,309.40,722300,309.40
2012-01-03,291.00,308.40,289.90,308.40,686200,308.40
2011-12-30,298.00,298.00,286.60,286.60,161700,286.60
2011-12-29,298.10,298.10,293.30,298.00,151100,298.00
2011-12-28,298.90,300.30,294.90,297.90,421100,297.90
2011-12-23,285.00,296.00,283.70,284.62,130900,284.62
2011-12-22,285.60,288.23,280.90,283.80,484700,283.80
2011-12-21,292.50,293.72,279.57,281.61,1184300,281.61
2011-12-20,284.80,290.40,282.90,290.00,471700,290.00
2011-12-19,285.30,285.70,281.70,283.90,516100,283.90
2011-12-16,288.50,292.27,286.10,287.30,875400,287.30
2011-12-15,285.00,288.60,280.40,286.60,615900,286.60
2011-12-14,288.60,294.40,280.30,283.10,2062200,283.10
2011-12-13,294.50,299.90,289.60,290.50,2137400,290.50
2011-12-12,300.00,302.50,294.50,294.50,1183200,294.50
2011-12-09,290.00,302.50,288.00,300.00,1956500,300.00
2011-12-08,296.50,296.50,289.40,291.57,2135700,291.57
2011-12-07,282.60,297.00,282.60,294.60,1724500,294.60
2011-12-06,280.60,285.56,278.30,281.80,913200,281.80
2011-12-05,270.30,287.10,270.30,280.60,1606900,280.60
2011-12-02,253.20,270.20,253.20,270.00,3872600,270.00
2011-12-01,259.90,260.80,255.00,255.90,2667000,255.90
2011-11-30,243.60,259.30,242.30,258.50,3330800,258.50
2011-11-29,239.90,250.00,239.60,248.90,662000,248.90
2011-11-28,237.00,241.60,236.57,240.00,560700,240.00
2011-11-25,236.00,240.50,228.10,234.70,1749600,234.70
2011-11-24,228.10,245.40,228.10,236.70,1473800,236.70
2011-11-23,229.00,233.30,221.87,229.60,2245500,229.60
2011-11-22,244.70,242.48,205.20,225.10,5668600,225.10
2011-11-21,257.40,261.91,249.00,249.50,1021800,249.50
2011-11-18,260.40,265.00,255.50,260.00,712300,260.00
2011-11-17,267.50,269.40,262.10,266.00,1106000,266.00
2011-11-16,267.00,271.60,263.90,267.50,1233500,267.50
2011-11-15,264.50,270.50,260.10,266.50,1347900,266.50
2011-11-14,272.70,274.64,263.20,267.00,1101500,267.00
2011-11-11,255.60,269.30,248.00,267.10,1982300,267.10
2011-11-10,215.10,282.68,215.10,256.00,4914400,256.00
2011-11-09,273.00,273.00,210.00,218.95,4230800,218.95
2011-11-08,299.20,299.20,263.20,270.20,3719500,270.20
2011-11-07,320.00,320.19,296.00,297.10,1749600,297.10
2011-11-04,326.40,329.25,315.70,322.40,1669400,322.40
2011-11-03,333.90,334.90,314.90,324.30,5635800,324.30
2011-11-02,340.90,341.90,332.00,333.50,1473400,333.50
2011-11-01,340.50,358.40,330.60,338.00,1328700,338.00
2011-10-31,240.00,350.04,240.00,350.00,5508600,350.00
2011-10-28,482.70,486.90,477.10,485.30,378200,485.30
2011-10-27,477.50,487.80,477.50,480.20,275600,480.20
2011-10-26,471.90,472.20,465.80,472.00,231000,472.00
2011-10-25,469.40,473.60,465.80,470.70,347100,470.70
2011-10-24,474.10,474.10,465.30,470.60,316600,470.60
2011-10-21,460.20,472.60,458.20,470.10,223900,470.10
2011-10-20,454.10,464.90,448.00,459.40,252600,459.40
2011-10-19,449.60,464.00,449.60,463.00,851900,463.00
2011-10-18,452.40,452.80,447.70,448.80,408100,448.80
2011-10-17,465.00,468.50,449.90,452.50,422100,452.50
2011-10-14,451.60,461.02,445.90,460.90,543500,460.90
2011-10-13,459.00,461.26,448.20,453.80,250300,453.80
2011-10-12,459.70,463.90,453.00,459.90,344700,459.90
2011-10-11,462.80,468.50,459.00,462.70,134800,462.70
2011-10-10,461.50,468.40,460.80,466.10,198600,466.10
2011-10-07,465.20,469.80,457.90,462.90,208500,462.90
2011-10-06,460.00,463.50,458.50,460.30,402700,460.30
2011-10-05,462.70,463.00,453.20,458.60,273800,458.60
2011-10-04,457.70,460.60,450.10,455.40,363700,455.40
2011-10-03,454.50,464.50,449.60,464.50,251600,464.50
2011-09-30,473.40,473.40,454.30,459.20,380800,459.20
2011-09-29,482.30,482.30,469.40,472.10,190800,472.10
2011-09-28,482.90,487.20,482.10,482.10,240400,482.10
2011-09-27,481.10,485.90,477.00,482.60,255700,482.60
2011-09-26,457.70,472.20,452.90,471.90,240100,471.90
2011-09-23,464.50,469.50,454.50,460.70,235600,460.70
2011-09-22,480.30,480.95,464.60,465.60,231800,465.60
2011-09-21,483.00,493.40,479.80,490.30,274800,490.30
2011-09-20,479.90,483.20,478.60,478.60,321600,478.60
2011-09-19,481.50,484.26,474.20,479.90,225800,479.90
2011-09-16,482.00,492.30,477.00,487.70,458300,487.70
2011-09-15,468.30,480.10,468.30,480.00,270200,480.00
2011-09-14,463.00,475.50,463.00,468.30,355600,468.30
2011-09-13,483.30,484.80,469.70,471.80,461300,471.80
2011-09-12,477.70,483.20,472.50,476.50,262000,476.50
2011-09-09,484.70,490.90,483.40,486.00,286000,486.00
2011-09-08,474.60,491.10,471.80,488.10,516200,488.10
2011-09-07,472.00,481.10,467.10,475.00,522200,475.00
2011-09-06,456.10,472.60,456.10,462.60,705200,462.60
2011-09-05,457.00,461.50,454.60,457.40,323100,457.40
2011-09-02,469.00,469.00,458.00,462.60,209300,462.60
2011-09-01,462.70,471.80,459.60,470.80,316600,470.80
2011-08-31,447.30,464.30,443.30,464.30,518500,464.30
2011-08-30,448.80,455.50,443.90,447.40,176700,447.40
2011-08-26,447.30,448.00,436.70,445.00,211900,445.00
2011-08-25,457.50,461.80,441.70,448.00,387400,448.00
2011-08-24,461.50,461.50,451.90,457.30,738900,457.30
2011-08-23,454.00,462.50,447.00,450.20,247800,450.20
2011-08-22,442.40,455.90,442.40,450.30,87300,450.30
2011-08-19,442.90,445.10,421.70,443.90,620300,443.90
2011-08-18,455.00,455.00,429.70,440.60,595200,440.60
2011-08-17,460.70,463.10,452.30,455.00,253400,455.00
2011-08-16,462.30,465.60,453.60,459.10,286600,459.10
2011-08-15,467.20,471.70,459.50,467.40,167600,467.40
2011-08-12,444.00,467.90,425.90,462.50,713200,462.50
2011-08-11,452.70,457.90,434.10,445.20,1006000,445.20
2011-08-10,464.30,467.70,440.90,443.00,1295000,443.00
2011-08-09,429.80,464.70,415.40,456.20,991600,456.20
2011-08-08,443.30,457.10,422.90,427.80,420500,427.80
2011-08-05,449.40,457.00,434.70,451.50,654700,451.50
2011-08-04,473.20,476.10,452.00,452.00,379300,452.00
