Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,785.00,797.50,762.00,769.00,171200,768.00
2012-08-02,785.00,797.50,762.00,768.00,216600,768.00
2012-08-01,776.50,790.00,772.86,787.00,216200,787.00
2012-07-31,777.00,784.50,766.00,780.00,395800,780.00
2012-07-27,748.50,760.00,739.50,755.50,241700,755.50
2012-07-26,731.00,747.58,721.50,747.50,169900,747.50
2012-07-25,730.00,739.50,724.50,729.50,229700,729.50
2012-07-24,736.50,740.00,727.00,730.00,152400,730.00
2012-07-23,757.50,759.00,729.00,734.00,237300,734.00
2012-07-20,762.00,775.00,752.50,767.00,390700,767.00
2012-07-19,728.00,763.00,728.00,761.00,337800,761.00
2012-07-18,740.00,740.00,719.00,723.50,164000,723.50
2012-07-17,732.50,745.50,727.50,730.50,179300,730.50
2012-07-16,722.50,734.50,711.00,730.00,295800,730.00
2012-07-13,710.00,722.50,705.50,714.50,361500,714.50
2012-07-12,723.00,729.50,703.50,704.50,198400,704.50
2012-07-11,737.00,737.00,722.50,724.00,209900,724.00
2012-07-10,719.00,746.50,716.50,743.00,344500,743.00
2012-07-09,736.00,739.00,711.50,714.50,393900,714.50
2012-07-06,749.50,754.00,734.50,737.50,271800,737.50
2012-07-05,752.00,771.50,747.50,755.00,355900,755.00
2012-07-04,764.50,767.00,738.50,755.50,494600,755.50
2012-07-03,741.50,769.50,741.00,767.00,477900,767.00
2012-07-02,717.50,743.50,700.50,740.50,391700,740.50
2012-06-29,707.00,730.50,701.50,721.50,587200,721.50
2012-06-28,697.50,703.00,680.50,688.00,467000,688.00
2012-06-27,694.00,701.00,684.50,695.00,837900,695.00
2012-06-26,707.50,707.50,688.50,693.50,794200,693.50
2012-06-25,726.00,732.50,701.50,703.50,462200,703.50
2012-06-22,756.50,756.50,728.50,730.50,429400,730.50
2012-06-21,774.50,775.00,758.50,759.50,350100,759.50
2012-06-20,781.00,782.50,770.00,776.58,379100,776.58
2012-06-19,778.00,787.00,770.00,778.08,360100,778.08
2012-06-18,783.00,786.80,759.50,772.50,326500,772.50
2012-06-15,755.50,779.50,752.50,775.00,1004700,775.00
2012-06-14,742.50,756.50,736.50,748.50,1573800,748.50
2012-06-13,767.50,769.00,742.00,749.00,871800,749.00
2012-06-12,785.50,785.50,759.00,762.00,619900,762.00
2012-06-11,810.50,815.00,777.00,782.50,270300,782.50
2012-06-08,805.00,805.00,788.50,791.50,300300,791.50
2012-06-07,795.00,822.50,787.00,809.50,1531200,809.50
2012-06-06,791.00,802.50,782.50,797.00,699200,797.00
2012-06-01,830.50,835.50,784.00,797.00,561200,797.00
2012-05-31,809.50,843.00,809.50,835.00,1038400,835.00
2012-05-30,810.50,819.00,804.50,814.50,773600,814.50
2012-05-29,787.50,825.00,787.50,821.00,454000,821.00
2012-05-28,786.00,799.00,786.00,790.00,212500,790.00
2012-05-25,781.00,790.50,762.50,789.00,404400,789.00
2012-05-24,759.50,785.00,743.50,785.00,544100,785.00
2012-05-23,754.00,767.00,744.50,750.00,510600,750.00
2012-05-22,740.50,769.50,740.50,767.50,565900,767.50
2012-05-21,719.00,742.00,719.00,739.00,193000,739.00
2012-05-18,737.50,739.00,720.72,724.00,359300,724.00
2012-05-17,772.50,780.00,752.50,752.50,260500,752.50
2012-05-16,770.50,785.50,756.00,774.50,225600,774.50
2012-05-14,812.00,812.00,777.00,783.45,587600,783.45
2012-05-11,801.00,818.80,795.00,816.50,635200,816.50
2012-05-10,810.00,811.00,790.62,803.00,923300,803.00
2012-05-09,835.00,835.00,785.50,800.00,753700,800.00
2012-05-08,881.00,883.00,829.50,831.00,479300,831.00
2012-05-04,920.00,924.50,877.50,881.00,260100,881.00
2012-05-03,941.00,943.50,917.50,926.50,344900,926.50
2012-05-02,950.00,954.50,932.00,936.00,400500,936.00
2012-05-01,946.50,950.00,937.50,947.50,124100,947.50
2012-04-30,960.00,960.00,941.00,951.00,236400,951.00
2012-04-27,940.50,959.50,939.50,954.00,295000,954.00
2012-04-26,930.00,945.09,927.50,945.00,214400,945.00
2012-04-25,914.00,930.09,913.00,930.00,243600,930.00
2012-04-24,893.00,915.50,893.00,910.00,240500,910.00
2012-04-23,914.50,914.50,889.50,892.00,219800,892.00
2012-04-20,913.00,929.00,907.50,917.50,258500,917.50
2012-04-19,920.00,926.50,912.50,916.00,311800,916.00
2012-04-18,920.00,920.00,900.00,912.00,492300,912.00
2012-04-17,893.50,913.00,890.00,906.00,595300,906.00
2012-04-16,897.00,903.00,890.00,890.00,543700,890.00
2012-04-13,910.00,910.00,895.50,895.50,620700,895.50
2012-04-12,903.50,917.50,898.50,907.00,779000,907.00
2012-04-11,889.50,907.50,889.50,905.00,418000,905.00
2012-04-10,915.50,915.50,893.50,893.50,544300,893.50
2012-04-05,914.50,926.50,910.00,920.00,378900,920.00
2012-04-04,941.00,941.00,910.50,913.50,340200,913.50
2012-04-03,945.50,946.00,935.00,941.00,338900,941.00
2012-04-02,954.00,959.50,937.50,940.50,424300,940.50
2012-03-30,924.00,951.00,924.00,947.50,395000,947.50
2012-03-29,943.00,945.50,919.50,922.00,283900,922.00
2012-03-28,943.50,953.00,937.00,941.00,277200,941.00
2012-03-27,955.00,956.00,943.50,949.00,383400,949.00
2012-03-26,929.50,951.00,921.00,948.50,263400,948.50
2012-03-23,917.00,925.00,909.50,922.50,283700,922.50
2012-03-22,934.50,934.50,902.00,910.50,442500,910.50
2012-03-21,955.00,958.50,910.00,927.50,731800,927.50
2012-03-20,957.50,957.50,940.00,945.00,774200,945.00
