Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,137.40,138.20,136.10,137.00,797000,137.00
2012-08-02,137.40,138.70,136.00,137.00,1268300,137.00
2012-08-01,138.50,138.50,136.80,137.70,902600,137.70
2012-07-31,137.00,138.10,136.30,138.00,852900,138.00
2012-07-27,135.00,139.00,133.30,136.70,2339100,136.70
2012-07-26,132.70,134.00,130.30,134.00,1137700,134.00
2012-07-25,130.20,132.30,127.05,131.90,1875100,131.90
2012-07-24,133.00,133.00,130.00,130.00,793100,130.00
2012-07-23,134.70,136.10,130.40,131.00,769400,131.00
2012-07-20,134.40,136.60,133.07,135.50,1393300,135.50
2012-07-19,129.20,134.40,126.50,134.10,1636200,134.10
2012-07-18,130.80,130.80,127.20,127.20,590800,127.20
2012-07-17,129.80,130.70,128.00,129.90,703200,129.90
2012-07-16,130.00,130.00,127.00,129.00,778800,129.00
2012-07-13,124.80,129.80,124.80,129.80,716400,129.80
2012-07-12,125.10,126.00,123.20,124.00,881600,124.00
2012-07-11,129.90,129.90,125.20,125.30,658100,125.30
2012-07-10,128.90,130.60,127.00,129.90,774800,129.90
2012-07-09,126.50,128.00,125.60,126.21,1361100,126.21
2012-07-06,127.70,127.70,125.90,126.00,518900,126.00
2012-07-05,128.70,129.90,127.00,127.00,1322900,127.00
2012-07-04,129.60,129.70,127.81,129.50,183300,129.50
2012-07-03,129.50,129.60,128.50,129.00,885800,129.00
2012-07-02,127.90,129.80,127.03,128.80,873600,128.80
2012-06-29,128.00,128.90,126.80,127.50,677800,127.50
2012-06-28,127.40,127.78,124.20,125.80,454400,125.80
2012-06-27,124.10,128.00,122.90,128.00,739500,128.00
2012-06-26,123.30,124.60,122.50,124.00,478400,124.00
2012-06-25,123.50,124.40,122.90,123.50,818200,123.50
2012-06-22,124.50,124.70,122.80,124.30,626100,124.30
2012-06-21,126.20,127.20,124.60,125.00,629500,125.00
2012-06-20,123.80,126.70,121.49,126.40,1462600,126.40
2012-06-19,121.80,123.70,120.90,123.10,608900,123.10
