Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,390.00,390.00,365.00,375.00,3200,375.00
2012-08-02,390.00,390.00,365.00,375.00,10500,375.00
2012-08-01,385.00,385.00,369.26,369.26,68300,369.26
2012-07-31,378.25,390.00,378.25,390.00,1400,390.00
2012-07-27,370.00,380.50,367.00,367.00,9700,367.00
2012-07-26,380.00,380.00,374.83,380.00,1200,380.00
2012-07-25,382.50,382.50,382.50,382.50,000,382.50
2012-07-24,380.00,380.00,371.50,380.00,14600,380.00
2012-07-23,372.00,381.10,372.00,372.00,500,372.00
2012-07-20,370.00,385.00,370.00,380.00,23800,380.00
2012-07-19,380.00,385.00,371.00,382.00,30900,382.00
2012-07-18,365.00,372.90,365.00,371.50,11500,371.50
2012-07-17,366.00,370.00,365.00,365.00,29200,365.00
2012-07-16,370.00,379.50,366.00,366.00,7600,366.00
2012-07-13,370.00,389.91,370.00,370.00,2700,370.00
2012-07-12,370.00,370.00,370.00,370.00,11300,370.00
2012-07-11,370.00,377.90,370.00,372.00,400,372.00
2012-07-10,400.00,400.00,376.00,377.00,9100,377.00
2012-07-09,379.75,387.95,379.75,379.75,2400,379.75
2012-07-06,382.80,388.57,379.75,379.75,4800,379.75
2012-07-05,380.00,394.25,380.00,381.00,4100,381.00
2012-07-04,380.00,400.00,380.00,400.00,6100,400.00
2012-07-03,400.00,400.00,392.00,393.00,900,393.00
2012-07-02,400.00,400.00,393.00,395.00,135700,395.00
2012-06-29,397.00,410.00,392.50,410.00,5500,410.00
2012-06-28,406.70,408.25,408.25,408.25,50300,408.25
2012-06-27,410.00,410.00,395.00,395.00,3300,395.00
2012-06-26,395.00,395.00,395.00,395.00,13000,395.00
2012-06-25,393.50,403.94,393.50,403.00,6000,403.00
2012-06-22,414.17,414.17,397.87,405.45,13100,405.45
2012-06-21,390.00,405.00,390.00,398.00,15600,398.00
2012-06-20,410.00,410.00,392.50,410.00,67800,410.00
2012-06-19,406.00,413.88,400.00,406.00,213400,406.00
2012-06-18,406.00,415.00,390.00,400.00,46600,400.00
2012-06-15,395.00,406.24,388.00,406.00,76800,406.00
2012-06-14,392.75,395.00,385.12,387.00,5900,387.00
2012-06-13,390.25,404.00,380.00,398.00,218100,398.00
2012-06-12,371.03,380.00,370.00,375.00,8600,375.00
2012-06-11,365.00,379.00,365.00,379.00,15000,379.00
2012-06-08,362.25,377.78,360.00,362.00,113800,362.00
2012-06-07,350.00,352.25,350.00,350.00,3200,350.00
2012-06-06,354.75,354.99,345.00,345.00,34100,345.00
2012-06-01,350.00,352.00,348.00,350.00,63300,350.00
2012-05-31,348.50,371.00,339.00,339.00,12600,339.00
2012-05-30,350.00,357.00,350.00,350.00,20100,350.00
2012-05-29,360.00,360.00,350.00,350.00,16400,350.00
2012-05-28,350.00,370.90,350.00,350.00,1500,350.00
2012-05-25,350.00,371.00,348.00,348.00,6800,348.00
2012-05-24,355.00,356.32,350.00,350.00,5900,350.00
2012-05-23,360.00,369.40,355.00,355.00,2900,355.00
2012-05-22,360.00,360.00,358.02,360.00,134400,360.00
2012-05-21,360.00,360.00,360.00,360.00,100,360.00
2012-05-18,360.00,374.73,360.00,365.00,21700,365.00
2012-05-17,365.00,374.44,365.00,365.00,6100,365.00
2012-05-16,370.00,378.00,368.00,368.00,6300,368.00
2012-05-14,375.00,375.00,372.00,375.00,2400,375.00
2012-05-11,385.25,385.50,380.00,385.50,113400,385.50
2012-05-10,370.00,382.63,370.00,380.00,10000,380.00
2012-05-09,360.00,371.01,360.00,370.00,25800,370.00
2012-05-08,370.00,374.03,360.00,360.00,10900,360.00
2012-05-04,380.00,395.96,375.00,375.00,925200,375.00
2012-05-03,385.75,386.00,380.00,381.00,167000,381.00
2012-05-02,385.00,385.00,380.00,380.00,59100,380.00
2012-05-01,385.98,398.88,380.00,380.00,7800,380.00
2012-04-30,380.25,395.00,380.25,395.00,16900,395.00
2012-04-27,385.25,392.00,380.72,381.00,20300,381.00
2012-04-26,390.00,395.00,380.00,380.00,9600,380.00
2012-04-25,381.55,390.00,375.50,385.00,8000,385.00
2012-04-24,395.00,395.00,380.00,380.00,3300,380.00
2012-04-23,381.85,390.50,381.85,385.45,7500,385.45
2012-04-20,395.00,395.00,381.50,382.09,6900,382.09
2012-04-19,385.00,388.20,385.00,386.46,600,386.46
2012-04-18,385.00,396.41,385.00,395.53,6500,395.53
2012-04-17,390.00,395.61,380.00,395.00,37900,395.00
2012-04-16,393.00,395.98,393.00,395.98,5300,395.98
2012-04-13,381.00,393.00,381.00,390.00,8000,390.00
2012-04-12,380.00,395.00,380.00,383.72,11800,383.72
2012-04-11,382.50,384.49,367.95,370.00,17500,370.00
2012-04-10,366.25,378.45,366.25,374.00,13700,374.00
2012-04-05,390.00,397.75,385.50,385.50,11500,385.50
2012-04-04,385.25,395.95,385.25,385.50,5600,385.50
2012-04-03,390.00,397.50,384.34,385.25,19500,385.25
2012-04-02,395.00,395.00,394.00,395.00,28900,395.00
2012-03-30,398.50,414.00,393.08,414.00,462500,414.00
2012-03-29,405.00,407.50,405.00,407.00,17800,407.00
2012-03-28,405.00,410.00,401.87,405.00,14800,405.00
2012-03-27,402.40,405.00,400.00,405.00,17500,405.00
2012-03-26,400.00,407.50,395.00,400.50,42300,400.50
2012-03-23,415.00,415.00,395.00,415.00,13600,415.00
2012-03-22,412.00,415.00,400.79,415.00,2700,415.00
2012-03-21,400.00,415.10,396.87,405.00,8500,405.00
2012-03-20,400.00,415.00,398.50,415.00,27400,415.00
2012-03-19,400.00,406.64,400.00,400.00,17100,400.00
2012-03-16,395.00,415.00,395.00,400.00,57400,400.00
2012-03-15,395.00,415.00,395.00,410.00,35700,410.00
2012-03-14,399.00,420.00,399.00,410.00,4500,410.00
2012-03-13,405.00,420.00,405.00,420.00,3300,420.00
2012-03-12,400.00,420.00,400.00,420.00,2600,420.00
2012-03-09,401.15,415.00,395.00,410.00,96400,410.00
2012-03-08,400.00,420.00,400.00,401.00,878000,401.00
2012-03-07,400.00,418.00,400.00,400.00,9900,400.00
2012-03-06,410.00,412.00,400.00,405.00,22500,405.00
2012-03-05,400.00,401.50,400.00,400.00,1000,400.00
2012-03-02,400.00,401.87,400.00,401.25,2800,401.25
2012-03-01,400.00,409.58,400.00,409.58,200,409.58
2012-02-29,400.00,407.98,400.00,400.00,11600,400.00
2012-02-28,400.00,410.00,400.00,410.00,680900,410.00
2012-02-27,405.00,412.50,405.00,406.87,3400,406.87
2012-02-24,406.00,412.00,406.00,412.00,6300,412.00
2012-02-23,413.00,416.50,403.94,415.00,9800,415.00
2012-02-22,415.00,417.50,406.89,415.00,38200,415.00
2012-02-21,413.13,413.13,401.87,413.13,2400,413.13
2012-02-20,415.00,415.00,408.00,408.00,17600,408.00
2012-02-17,407.50,413.13,400.00,413.13,54400,413.13
2012-02-16,415.00,415.00,405.00,410.50,74500,410.50
2012-02-15,400.00,416.80,400.00,406.75,41500,406.75
2012-02-14,416.80,416.80,402.00,402.00,2700,402.00
2012-02-13,402.00,416.40,402.00,416.40,4100,416.40
2012-02-10,415.00,420.00,400.00,420.00,21800,420.00
2012-02-09,401.87,407.00,401.87,407.00,1400,407.00
2012-02-08,400.00,415.00,400.00,415.00,107900,415.00
2012-02-07,400.00,407.50,400.00,400.00,17100,400.00
2012-02-06,400.00,415.00,400.00,415.00,9600,415.00
2012-02-03,410.00,415.00,396.20,415.00,9600,415.00
2012-02-02,395.00,410.00,395.00,409.00,42200,409.00
2012-02-01,410.00,412.75,402.50,406.50,18100,406.50
2012-01-31,395.00,405.00,385.00,385.00,5900,385.00
2012-01-30,402.00,402.25,400.00,400.00,56900,400.00
2012-01-27,402.00,402.00,395.00,395.00,6800,395.00
2012-01-26,410.00,410.00,396.87,396.87,4700,396.87
2012-01-25,395.00,402.50,395.00,396.87,3000,396.87
2012-01-24,395.00,425.00,395.00,395.00,000,395.00
2012-01-23,395.00,408.03,395.00,400.00,40200,400.00
2012-01-20,395.00,400.00,395.00,400.00,9600,400.00
2012-01-19,395.00,408.03,386.87,408.03,15400,408.03
2012-01-18,380.00,395.00,375.00,395.00,17200,395.00
2012-01-17,378.00,378.00,375.37,375.37,3800,375.37
2012-01-16,375.00,375.37,367.50,375.00,7000,375.00
2012-01-13,375.00,376.50,348.00,375.00,2900,375.00
2012-01-12,376.50,379.50,355.00,379.50,2400,379.50
2012-01-11,371.13,371.13,357.37,357.37,1900,357.37
2012-01-10,374.00,374.00,355.00,363.00,58300,363.00
2012-01-09,357.37,364.50,355.00,355.00,9500,355.00
2012-01-06,370.00,370.00,360.00,361.00,10900,361.00
2012-01-05,357.06,359.00,355.00,355.00,30900,355.00
2012-01-04,359.04,364.00,354.57,358.00,43600,358.00
2012-01-03,372.00,372.00,355.00,355.00,4400,355.00
2011-12-30,372.00,372.00,359.04,359.04,3400,359.04
