Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,322.50,327.80,317.00,317.70,1454800,317.90
2012-08-02,322.50,327.80,317.00,317.90,2247100,317.90
2012-08-01,318.60,323.90,316.80,323.60,1742300,323.60
2012-07-31,322.30,323.30,318.04,318.40,1399200,318.40
2012-07-27,317.80,318.50,311.20,317.20,1775100,317.20
2012-07-26,304.20,315.70,301.70,314.90,1586500,314.90
2012-07-25,299.90,307.10,299.70,305.70,1229200,305.70
2012-07-24,307.80,308.50,299.97,301.10,1919500,301.10
2012-07-23,308.60,312.28,304.20,307.20,2219000,307.20
2012-07-20,317.60,317.80,313.00,313.40,2434200,313.40
2012-07-19,314.10,319.00,312.60,318.80,1869000,318.80
2012-07-18,311.50,311.90,304.70,311.10,1537200,311.10
2012-07-17,311.90,314.10,307.40,308.40,1584300,308.40
2012-07-16,311.20,314.40,310.20,312.50,1902200,312.50
2012-07-13,309.30,312.60,307.90,309.90,2632900,309.90
2012-07-12,316.90,316.90,307.90,309.90,1955300,309.90
2012-07-11,305.20,317.90,303.60,314.80,3530200,314.80
2012-07-10,309.00,330.13,307.40,311.10,2982600,311.10
2012-07-09,314.20,315.20,307.00,309.70,2167200,309.70
2012-07-06,320.00,324.43,313.50,313.60,2222000,313.60
2012-07-05,331.80,331.80,323.40,325.90,2101000,325.90
2012-07-04,336.00,336.10,321.37,331.00,2547600,331.00
2012-07-03,338.30,340.50,334.20,334.80,2038500,334.80
2012-07-02,340.30,343.80,337.50,339.80,1335300,339.80
2012-06-29,340.50,340.90,334.20,337.50,1907300,337.50
2012-06-28,346.60,347.70,328.32,330.90,3491300,330.90
2012-06-27,345.00,346.20,330.50,345.50,2169500,345.50
2012-06-26,359.30,361.00,354.30,359.70,3195100,359.70
2012-06-25,367.80,372.53,356.80,357.00,2622300,357.00
2012-06-22,373.20,375.60,371.00,372.00,1283100,372.00
2012-06-21,375.30,380.70,372.90,374.70,1822500,374.70
2012-06-20,369.40,377.10,368.90,376.60,2876500,376.60
2012-06-19,361.30,369.70,359.90,368.40,1736900,368.40
2012-06-18,375.50,375.50,358.00,362.20,2524500,362.20
2012-06-15,350.30,365.72,349.40,365.50,9732300,365.50
2012-06-14,352.60,358.40,342.90,350.00,2809700,350.00
2012-06-13,347.80,354.30,345.50,354.10,2480100,354.10
2012-06-12,336.60,348.50,336.60,346.50,2681900,346.50
2012-06-11,340.90,346.60,336.50,337.30,2369700,337.30
2012-06-08,338.50,338.50,331.30,335.20,1786400,335.20
2012-06-07,341.00,344.60,335.10,339.90,3108800,339.90
2012-06-06,336.10,344.05,335.90,340.90,2147100,340.90
2012-06-01,343.70,344.00,330.70,334.50,1446900,334.50
2012-05-31,344.20,346.70,336.20,340.40,1999300,340.40
2012-05-30,349.90,351.40,342.20,344.20,1365100,344.20
2012-05-29,343.80,351.70,343.80,351.50,1490100,351.50
2012-05-28,346.60,348.90,342.10,343.70,1194800,343.70
2012-05-25,340.70,343.40,336.80,341.20,1605600,341.20
2012-05-24,336.00,345.20,334.50,339.00,2637700,339.00
2012-05-23,345.50,345.50,334.10,334.90,3596100,334.90
2012-05-22,349.60,350.15,341.50,348.40,1825600,348.40
2012-05-21,339.90,346.00,338.50,343.60,1764200,343.60
2012-05-18,340.20,344.92,336.70,338.40,2199700,338.40
2012-05-17,345.80,348.80,339.20,342.00,3638700,342.00
2012-05-16,332.50,337.70,327.70,336.50,3449200,336.50
2012-05-14,348.20,348.20,341.50,344.60,1552500,344.60
2012-05-11,345.80,351.10,343.80,349.60,2148200,349.60
2012-05-10,348.20,349.80,339.60,347.10,2801200,347.10
2012-05-09,352.10,352.20,340.20,345.80,2235400,345.80
2012-05-08,361.60,365.00,349.20,350.10,2392800,350.10
2012-05-04,375.70,375.70,359.10,362.20,2067200,362.20
2012-05-03,378.40,381.30,373.00,375.00,1455000,375.00
2012-05-02,385.00,385.90,372.80,376.50,1280600,376.50
2012-05-01,381.60,384.00,378.80,384.00,338600,384.00
2012-04-30,384.50,385.00,377.50,379.70,1975900,379.70
2012-04-27,366.50,384.00,364.00,382.90,1662900,382.90
2012-04-26,375.40,376.20,363.10,369.00,1426400,369.00
2012-04-25,370.30,373.90,366.60,372.60,1348900,372.60
2012-04-24,369.40,373.75,364.60,367.20,1502700,367.20
2012-04-23,377.90,378.20,363.10,365.00,1299800,365.00
2012-04-20,379.10,382.80,376.10,379.60,1456900,379.60
2012-04-19,378.10,380.40,372.30,376.50,1743800,376.50
2012-04-18,378.00,380.00,370.80,374.10,1293400,374.10
2012-04-17,369.70,377.80,369.12,377.80,1817300,377.80
2012-04-16,368.60,371.20,364.00,369.20,2069600,369.20
2012-04-13,378.00,379.90,370.20,372.40,2221500,372.40
2012-04-12,368.70,379.70,364.00,376.20,2504000,376.20
2012-04-11,360.30,368.60,360.30,366.90,2373700,366.90
2012-04-10,374.50,375.00,361.60,361.60,2317400,361.60
2012-04-05,383.70,387.50,374.33,378.60,2063800,378.60
2012-04-04,397.80,397.80,381.10,382.60,2253800,382.60
2012-04-03,395.40,400.30,393.40,396.50,3614900,396.50
2012-04-02,391.70,393.70,385.30,392.80,2062100,392.80
2012-03-30,389.80,394.40,388.00,392.80,2098300,392.80
2012-03-29,396.10,398.80,387.20,387.80,2479600,387.80
2012-03-28,405.10,407.30,393.50,394.60,3397600,394.60
2012-03-27,410.00,418.10,408.00,409.10,2214800,409.10
2012-03-26,415.20,417.20,405.50,408.90,4124100,408.90
2012-03-23,417.20,422.40,412.50,417.80,1088500,417.80
2012-03-22,417.80,421.30,413.30,415.30,1449600,415.30
2012-03-21,423.60,426.60,421.66,422.00,1433400,422.00
2012-03-20,423.40,427.00,421.50,424.00,1662300,424.00
2012-03-19,429.70,429.80,422.40,425.00,2441500,425.00
2012-03-16,413.00,431.67,404.30,431.50,5634300,431.50
2012-03-15,403.60,413.50,402.70,412.20,2037600,412.20
2012-03-14,396.00,412.50,394.10,403.00,2890200,403.00
2012-03-13,398.40,401.50,391.60,394.00,2874100,394.00
2012-03-12,397.40,399.30,394.30,394.90,863300,394.90
2012-03-09,399.60,401.20,393.90,395.80,1176600,395.80
2012-03-08,399.30,402.50,391.50,397.70,1911300,397.70
2012-03-07,382.50,397.20,380.80,394.40,4356500,394.40
2012-03-06,399.70,401.70,380.40,380.60,3802700,380.60
2012-03-05,401.90,408.30,393.10,400.90,3320900,400.90
2012-03-02,398.00,406.93,395.00,404.70,1979600,404.70
2012-03-01,386.50,399.10,381.40,397.30,2061200,397.30
2012-02-29,387.00,389.90,382.70,384.80,3067800,384.80
2012-02-28,390.70,393.50,384.60,388.10,1891800,388.10
2012-02-27,392.10,393.00,383.50,387.50,2089100,387.50
2012-02-24,393.10,397.60,389.60,395.00,1921200,395.00
2012-02-23,393.30,395.30,386.93,390.00,1806100,390.00
2012-02-22,398.10,399.60,392.60,395.10,1752200,395.10
2012-02-21,390.70,399.10,386.70,395.80,2390500,395.80
2012-02-20,387.20,389.88,381.50,389.60,900900,389.60
2012-02-17,379.30,385.20,378.50,382.50,1714700,382.50
2012-02-16,375.30,378.10,371.50,378.00,1981500,378.00
2012-02-15,369.60,378.60,366.10,377.20,3627100,377.20
2012-02-14,367.90,372.10,364.00,366.10,1824800,366.10
2012-02-13,370.40,372.70,365.76,368.10,1864300,368.10
2012-02-10,372.00,377.00,365.00,366.60,3417800,366.60
2012-02-09,387.40,390.30,379.85,381.40,3221700,381.40
