Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,13.01,13.65,13.00,13.28,124500,13.72
2012-08-02,13.00,13.72,13.00,13.72,127300,13.72
2012-08-01,13.75,13.75,12.94,13.75,23900,13.75
2012-07-31,13.00,13.50,12.60,13.50,702000,13.50
2012-07-27,13.60,14.19,13.25,13.25,57900,13.25
2012-07-26,13.25,13.75,13.00,13.25,234800,13.25
2012-07-25,13.25,13.75,13.24,13.75,1648000,13.75
2012-07-24,13.25,14.20,12.75,13.00,619000,13.00
2012-07-23,13.25,13.81,13.25,13.25,316700,13.25
2012-07-20,13.25,14.75,13.25,13.50,242400,13.50
2012-07-19,13.00,13.59,13.00,13.25,221100,13.25
2012-07-18,13.00,13.74,13.00,13.25,398400,13.25
2012-07-17,13.50,13.85,12.85,13.25,774900,13.25
2012-07-16,13.50,14.00,13.06,13.50,485000,13.50
2012-07-13,13.25,14.00,13.25,13.50,62200,13.50
2012-07-12,13.56,14.00,13.25,13.50,821400,13.50
2012-07-11,13.50,14.00,13.50,13.75,258600,13.75
2012-07-10,13.75,14.00,13.75,13.75,291900,13.75
2012-07-09,13.75,14.00,13.50,13.75,196000,13.75
2012-07-06,13.75,14.24,13.75,13.75,144300,13.75
2012-07-05,13.75,14.49,13.75,13.75,140200,13.75
2012-07-04,13.75,14.75,13.60,13.75,209100,13.75
2012-07-03,13.75,14.24,13.75,13.75,172700,13.75
2012-07-02,14.00,14.55,13.50,13.50,335800,13.50
2012-06-29,14.74,15.00,14.00,14.74,299300,14.74
2012-06-28,14.00,14.20,14.00,14.00,94700,14.00
2012-06-27,14.25,14.68,13.81,14.00,137700,14.00
2012-06-26,13.75,14.00,13.75,13.81,40100,13.81
2012-06-25,14.00,14.69,13.81,13.81,19700,13.81
2012-06-22,14.31,14.25,14.25,14.25,40600,14.25
2012-06-21,13.50,15.00,13.15,14.50,825500,14.50
2012-06-20,13.00,13.74,13.00,13.16,103500,13.16
2012-06-19,13.50,13.50,13.00,13.00,536400,13.00
2012-06-18,13.75,14.00,13.00,14.00,147000,14.00
2012-06-15,12.50,14.00,12.50,13.50,708100,13.50
2012-06-14,13.50,13.75,12.75,13.75,364400,13.75
2012-06-13,13.75,14.00,12.71,14.00,135600,14.00
2012-06-12,12.75,13.53,12.50,13.25,225100,13.25
2012-06-11,13.25,13.50,12.75,13.50,283000,13.50
2012-06-08,12.50,13.72,12.50,12.75,409500,12.75
2012-06-07,13.25,13.92,12.75,12.75,766800,12.75
2012-06-06,13.25,13.51,12.75,13.00,657100,13.00
2012-06-01,14.25,14.25,13.75,13.99,301000,13.99
2012-05-31,14.00,14.75,13.50,13.50,224600,13.50
2012-05-30,14.00,14.65,14.00,14.00,76900,14.00
2012-05-29,15.02,15.02,14.16,14.16,100600,14.16
2012-05-28,14.50,14.90,14.00,14.00,180700,14.00
2012-05-25,14.50,14.94,14.30,14.50,194300,14.50
2012-05-24,15.00,15.09,14.00,14.00,140500,14.00
2012-05-23,14.50,14.65,14.00,14.00,248900,14.00
2012-05-22,14.50,15.25,13.99,15.25,481200,15.25
2012-05-21,14.50,14.50,13.26,14.50,327200,14.50
2012-05-18,14.50,14.50,13.21,13.50,488400,13.50
2012-05-17,14.50,14.75,13.50,14.20,221500,14.20
2012-05-16,14.00,15.00,13.23,15.00,1045300,15.00
2012-05-14,14.25,15.50,14.08,15.50,366300,15.50
2012-05-11,15.00,15.75,14.31,15.75,275000,15.75
2012-05-10,15.00,15.75,14.50,15.00,799200,15.00
2012-05-09,14.50,16.00,14.25,15.75,1808000,15.75
2012-05-08,16.00,16.50,14.75,15.25,504600,15.25
2012-05-04,16.00,16.99,15.50,15.50,150200,15.50
2012-05-03,16.25,17.50,16.25,17.00,139900,17.00
2012-05-02,17.00,17.40,16.44,17.00,72800,17.00
2012-05-01,16.00,17.04,16.00,16.12,979300,16.12
2012-04-30,16.50,17.00,16.38,16.38,249100,16.38
2012-04-27,16.75,17.00,15.90,17.00,465900,17.00
2012-04-26,17.00,17.50,16.19,17.00,520500,17.00
2012-04-25,16.50,17.25,16.50,17.00,744600,17.00
2012-04-24,16.50,16.50,15.00,15.25,197300,15.25
2012-04-23,15.25,16.50,15.21,16.50,127400,16.50
2012-04-20,15.25,16.50,14.97,15.50,412600,15.50
2012-04-19,15.00,15.75,14.60,15.75,4904600,15.75
2012-04-18,15.75,15.75,15.15,15.75,105800,15.75
2012-04-17,15.48,15.75,15.00,15.75,508900,15.75
2012-04-16,16.00,16.00,15.19,15.50,335700,15.50
2012-04-13,16.75,16.93,15.75,16.00,10656400,16.00
2012-04-12,16.50,16.85,15.65,16.50,791900,16.50
2012-04-11,15.75,16.75,15.50,16.00,498900,16.00
2012-04-10,16.25,16.65,15.90,16.00,676000,16.00
2012-04-05,16.75,17.00,16.30,17.00,187200,17.00
2012-04-04,16.00,17.00,15.75,16.50,440900,16.50
2012-04-03,17.00,17.00,16.50,16.75,401500,16.75
2012-04-02,17.00,17.50,16.08,17.50,590800,17.50
2012-03-30,17.50,18.15,16.00,16.00,602100,16.00
2012-03-29,18.00,18.00,16.75,16.75,559100,16.75
2012-03-28,17.00,18.20,17.00,17.00,171700,17.00
2012-03-27,17.50,17.75,17.46,17.75,83400,17.75
2012-03-26,18.00,18.00,17.25,17.75,261000,17.75
2012-03-23,17.75,18.38,17.57,18.25,149600,18.25
2012-03-22,18.50,19.00,17.50,17.75,384100,17.75
2012-03-21,18.00,19.15,17.86,18.75,302500,18.75
2012-03-20,19.25,19.25,18.08,18.25,215300,18.25
2012-03-19,19.00,19.20,18.00,18.00,301300,18.00
2012-03-16,18.50,19.50,17.70,19.50,420500,19.50
2012-03-15,18.25,18.75,17.60,18.00,397300,18.00
2012-03-14,18.00,18.75,17.75,17.75,229500,17.75
2012-03-13,18.50,19.20,18.00,18.25,78500,18.25
