Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,101.00,101.00,100.00,100.00,128400,100.00
2012-08-02,101.00,101.25,99.75,100.00,128400,100.00
2012-08-01,99.50,101.00,99.50,101.00,46600,101.00
2012-07-31,100.00,100.50,99.15,100.50,94100,100.50
2012-07-27,99.22,99.22,98.65,98.65,16700,98.65
2012-07-26,99.75,99.75,98.26,98.50,100400,98.50
2012-07-25,100.00,100.00,97.62,98.00,52900,98.00
2012-07-24,98.75,100.00,97.51,100.00,136600,100.00
2012-07-23,98.10,99.07,97.00,97.50,230000,97.50
2012-07-20,99.00,99.06,98.25,98.25,46600,98.25
2012-07-19,98.00,99.30,98.00,98.00,58000,98.00
2012-07-18,99.30,99.30,98.00,98.00,32100,98.00
2012-07-17,98.00,99.30,98.00,98.25,119900,98.25
2012-07-16,98.00,99.40,98.00,98.00,103000,98.00
2012-07-13,99.00,99.00,97.51,98.67,10800,98.67
2012-07-12,98.45,98.45,97.61,98.45,59000,98.45
2012-07-11,99.50,99.75,98.26,99.75,58300,99.75
2012-07-10,99.00,99.50,98.03,99.50,48900,99.50
2012-07-09,97.50,99.90,97.50,99.00,129300,99.00
2012-07-06,98.55,98.55,97.60,97.76,21900,97.76
2012-07-05,97.83,100.49,97.83,98.03,47300,98.03
2012-07-04,97.00,98.89,95.89,98.89,20500,98.89
2012-07-03,95.00,96.69,94.64,95.75,48600,95.75
2012-07-02,94.50,95.54,94.50,94.50,40000,94.50
2012-06-29,93.00,95.89,93.00,95.57,187700,95.57
2012-06-28,92.00,92.62,92.00,92.25,53500,92.25
2012-06-27,91.63,91.75,91.75,91.75,36700,91.75
2012-06-26,91.75,92.50,91.01,91.08,30600,91.08
2012-06-25,91.50,92.50,91.10,91.10,36300,91.10
2012-06-22,91.63,91.63,91.20,91.20,55300,91.20
2012-06-21,91.65,92.18,91.12,91.50,147500,91.50
2012-06-20,92.50,92.85,91.64,91.64,100500,91.64
2012-06-19,91.50,92.35,91.28,92.14,90500,92.14
2012-06-18,91.25,91.50,90.75,91.10,54300,91.10
2012-06-15,91.25,91.56,90.50,91.50,108300,91.50
2012-06-14,90.75,90.75,90.50,90.75,126200,90.75
2012-06-13,90.25,91.00,90.25,91.00,41800,91.00
2012-06-12,90.00,91.25,90.00,91.25,188100,91.25
2012-06-11,90.00,91.25,90.00,91.25,378600,91.25
2012-06-08,89.50,89.50,88.75,89.25,908200,89.25
2012-06-07,89.25,89.50,88.80,89.50,23600,89.50
2012-06-06,89.00,89.50,88.50,89.50,114800,89.50
2012-06-01,90.00,90.00,89.50,89.68,28300,89.68
2012-05-31,90.00,90.00,89.00,90.00,68500,90.00
2012-05-30,89.50,90.49,89.25,89.25,183600,89.25
2012-05-29,90.19,90.32,89.75,89.90,77400,89.90
2012-05-28,89.66,89.90,89.66,89.90,15100,89.90
2012-05-25,85.50,90.00,85.25,90.00,318200,90.00
2012-05-24,84.50,85.15,84.25,85.00,166400,85.00
2012-05-23,85.00,85.00,84.25,84.25,114700,84.25
2012-05-22,84.75,85.25,84.75,85.25,63400,85.25
2012-05-21,84.75,85.00,84.12,85.00,44200,85.00
2012-05-18,85.00,85.25,84.50,84.50,106200,84.50
2012-05-17,85.00,85.50,84.75,85.00,550600,85.00
2012-05-16,85.00,86.00,84.50,85.50,293100,85.50
2012-05-14,86.56,86.80,85.75,86.80,22900,86.80
2012-05-11,86.75,86.75,86.01,86.11,134000,86.11
2012-05-10,86.07,86.50,85.83,86.50,64400,86.50
2012-05-09,87.25,87.25,85.53,86.00,218400,86.00
2012-05-08,87.50,88.25,87.50,87.82,202800,87.82
2012-05-04,88.25,88.75,87.50,87.50,60400,87.50
2012-05-03,88.75,88.75,87.75,88.25,93700,88.25
