Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,383.50,383.50,367.70,372.30,1112700,372.10
2012-08-02,383.50,383.50,367.70,372.10,1379600,372.10
2012-08-01,375.40,380.90,374.61,378.90,1260700,378.90
2012-07-31,394.20,394.20,373.90,376.70,2417700,376.70
2012-07-27,382.90,389.30,377.20,387.10,915600,387.10
2012-07-26,366.80,379.70,366.20,377.40,1045700,377.40
2012-07-25,359.70,373.00,359.70,367.20,1135200,367.20
2012-07-24,361.50,363.90,356.50,362.48,812900,362.48
2012-07-23,368.90,368.90,355.50,360.40,705600,360.40
2012-07-20,374.70,375.80,364.90,365.55,896700,365.55
2012-07-19,371.00,376.70,368.90,375.10,695900,375.10
2012-07-18,361.50,371.30,359.20,370.50,1051500,370.50
2012-07-17,359.10,361.60,357.20,359.00,1141000,359.00
2012-07-16,353.20,358.30,351.00,357.70,492500,357.70
2012-07-13,346.90,354.60,345.84,353.20,938700,353.20
2012-07-12,345.10,351.70,342.90,344.70,1364400,344.70
2012-07-11,353.20,355.30,344.20,346.50,1406600,346.50
2012-07-10,350.80,359.00,349.60,356.30,900300,356.30
2012-07-09,347.60,350.00,344.60,350.00,1059900,350.00
2012-07-06,349.90,352.60,346.00,348.60,1543400,348.60
2012-07-05,358.20,359.10,350.20,353.00,1066100,353.00
2012-07-04,353.90,358.70,348.00,354.51,1319500,354.51
2012-07-03,343.90,349.50,342.90,349.50,889200,349.50
2012-07-02,333.60,343.50,331.50,343.50,1645400,343.50
2012-06-29,331.30,333.20,327.80,330.60,2750900,330.60
2012-06-28,326.90,327.30,316.50,321.00,1692400,321.00
2012-06-27,333.80,338.80,324.90,325.20,3051700,325.20
2012-06-26,335.00,335.20,329.70,331.00,1139200,331.00
2012-06-25,340.00,340.40,334.50,334.60,887600,334.60
2012-06-22,344.90,347.40,340.30,340.30,948600,340.30
2012-06-21,352.60,356.00,349.10,350.70,918000,350.70
2012-06-20,341.50,352.80,340.70,352.20,1450400,352.20
2012-06-19,332.50,343.50,331.80,343.20,1223800,343.20
2012-06-18,335.20,337.00,326.90,331.30,723900,331.30
2012-06-15,320.70,331.00,320.30,330.00,2375600,330.00
2012-06-14,315.40,321.00,313.50,319.90,1001800,319.90
2012-06-13,319.50,323.80,311.80,316.60,1066400,316.60
2012-06-12,320.20,323.50,317.50,319.60,1136400,319.60
2012-06-11,331.00,334.70,321.80,322.50,983200,322.50
2012-06-08,321.70,326.90,314.30,325.10,1198400,325.10
2012-06-07,316.30,326.70,314.10,324.80,1574500,324.80
2012-06-06,307.50,315.70,305.90,315.70,1263700,315.70
2012-06-01,312.60,312.80,303.50,305.20,1596100,305.20
2012-05-31,314.40,316.50,310.90,313.80,1363100,313.80
2012-05-30,320.30,320.60,313.50,313.50,1024200,313.50
2012-05-29,319.20,323.80,316.50,322.40,1690200,322.40
2012-05-28,320.50,320.70,314.80,315.50,1145100,315.50
2012-05-25,320.40,321.60,313.30,316.40,1727300,316.40
2012-05-24,323.00,323.00,315.20,319.40,1467300,319.40
2012-05-23,328.50,329.17,317.60,318.60,1513900,318.60
2012-05-22,323.40,331.20,323.30,327.89,1475700,327.89
2012-05-21,313.40,323.50,310.00,320.64,1426100,320.64
2012-05-18,319.40,321.10,312.20,312.20,1028400,312.20
2012-05-17,331.40,332.50,320.30,321.88,1223800,321.88
2012-05-16,330.60,333.80,323.80,330.10,1487100,330.10
2012-05-14,356.00,356.00,342.70,345.90,1286900,345.90
2012-05-11,353.90,358.61,348.50,358.60,1640600,358.60
2012-05-10,352.00,358.00,347.60,354.10,1579800,354.10
2012-05-09,348.40,348.40,338.70,339.75,1642800,339.75
2012-05-08,359.50,359.50,345.10,349.49,1643100,349.49
2012-05-04,372.50,374.80,356.20,358.70,1534200,358.70
2012-05-03,372.30,375.00,370.90,373.10,1131200,373.10
2012-05-02,373.70,376.80,369.90,371.60,2083000,371.60
2012-05-01,363.80,370.20,363.80,368.51,917500,368.51
2012-04-30,369.40,370.00,364.80,365.90,1022200,365.90
2012-04-27,358.70,370.20,357.90,365.67,1898000,365.67
2012-04-26,358.90,365.10,358.40,361.10,1500300,361.10
2012-04-25,351.70,361.90,351.50,358.30,1549300,358.30
2012-04-24,346.40,350.30,341.00,349.70,1771400,349.70
2012-04-23,355.20,356.10,342.30,343.20,1121100,343.20
2012-04-20,362.00,364.25,355.31,357.90,1895700,357.90
2012-04-19,370.20,377.00,361.60,361.60,1594900,361.60
2012-04-18,368.40,372.70,366.10,369.88,2424600,369.88
2012-04-17,358.00,370.90,358.00,370.00,1678700,370.00
2012-04-16,359.90,366.10,357.40,359.20,1290500,359.20
2012-04-13,368.70,369.50,358.40,361.40,1257900,361.40
2012-04-12,360.60,369.70,360.40,368.80,1537200,368.80
2012-04-11,353.70,362.30,352.50,360.40,1579800,360.40
2012-04-10,363.50,366.06,354.30,354.30,1361500,354.30
2012-04-05,362.90,371.90,362.60,368.80,1679900,368.80
2012-04-04,376.30,377.80,360.10,361.50,1949700,361.50
2012-04-03,378.80,381.10,375.50,379.40,1388600,379.40
2012-04-02,376.50,378.30,370.70,377.02,1228300,377.02
2012-03-30,374.70,380.80,372.00,376.20,1418800,376.20
2012-03-29,380.10,384.20,369.40,372.60,2071300,372.60
2012-03-28,388.70,392.20,381.40,385.10,978100,385.10
2012-03-27,389.90,396.00,386.80,390.30,2433000,390.30
2012-03-26,378.60,387.30,378.60,381.95,1873600,381.95
2012-03-23,377.80,383.80,370.00,378.20,1361800,378.20
2012-03-22,384.80,386.00,374.10,377.20,953100,377.20
2012-03-21,378.70,388.90,378.70,386.20,1809200,386.20
2012-03-20,391.00,391.10,376.00,376.40,3163500,376.40
2012-03-19,397.10,399.50,390.60,392.90,1824800,392.90
2012-03-16,393.40,405.00,393.40,399.95,2980500,399.95
2012-03-15,404.50,409.00,392.70,397.13,2691500,397.13
2012-03-14,420.00,426.00,404.70,416.75,2823200,416.75
2012-03-13,376.90,426.60,376.90,418.20,4753200,418.20
2012-03-12,374.50,379.80,372.50,375.83,826200,375.83
2012-03-09,370.80,374.80,366.92,370.89,894800,370.89
2012-03-08,366.50,374.90,366.30,369.40,1321400,369.40
2012-03-07,360.20,368.60,349.73,365.00,922800,365.00
2012-03-06,372.00,372.90,351.10,359.90,1805200,359.90
2012-03-05,377.00,378.00,370.50,373.00,1067800,373.00
2012-03-02,377.70,379.30,374.20,378.70,506300,378.70
2012-03-01,374.90,380.00,369.50,378.00,1056400,378.00
2012-02-29,378.90,379.60,369.30,375.30,1342300,375.30
