Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,372.70,376.30,366.60,369.80,1236600,369.90
2012-08-02,372.70,376.30,366.60,369.90,2161700,369.90
2012-08-01,370.30,374.90,368.60,373.90,778600,373.90
2012-07-31,372.10,373.70,368.90,370.00,1066800,370.00
2012-07-27,364.55,370.60,361.50,369.70,1189000,369.70
2012-07-26,350.00,363.70,346.40,363.70,2599300,363.70
2012-07-25,365.60,367.25,339.10,350.40,7100200,350.40
2012-07-24,372.30,377.90,369.40,369.90,967000,369.90
2012-07-23,382.90,382.90,369.00,369.80,1293600,369.80
2012-07-20,392.50,392.50,383.00,386.00,931800,386.00
2012-07-19,389.30,395.00,387.60,394.30,1567100,394.30
2012-07-18,392.40,392.73,383.80,387.60,1557900,387.60
2012-07-17,392.80,395.20,388.70,391.30,858000,391.30
2012-07-16,388.30,391.30,385.70,390.70,1338700,390.70
2012-07-13,381.00,389.00,377.00,388.10,1548600,388.10
2012-07-12,370.50,383.40,370.40,379.30,1889200,379.30
2012-07-11,378.50,380.00,370.20,371.30,916800,371.30
2012-07-10,377.90,385.20,377.90,381.10,837800,381.10
2012-07-09,377.80,380.60,375.40,379.10,1163500,379.10
2012-07-06,384.60,384.60,377.00,377.00,1319300,377.00
2012-07-05,390.60,390.60,381.50,384.90,872100,384.90
2012-07-04,390.50,391.00,387.20,389.10,744500,389.10
2012-07-03,388.10,392.80,385.30,388.50,1051700,388.50
2012-07-02,382.60,389.40,379.10,388.40,1391800,388.40
2012-06-29,377.30,382.90,374.20,380.10,1464800,380.10
2012-06-28,365.70,369.50,364.90,369.20,1869400,369.20
2012-06-27,361.30,366.90,357.20,366.40,582500,366.40
2012-06-26,358.10,361.60,357.80,359.80,1320500,359.80
2012-06-25,368.10,368.60,360.50,362.00,1814600,362.00
2012-06-22,367.70,369.70,365.70,369.57,2677600,369.57
2012-06-21,374.70,375.10,370.50,371.10,1326600,371.10
2012-06-20,364.50,375.20,363.30,373.50,2194000,373.50
2012-06-19,361.00,366.70,359.80,362.90,1959800,362.90
2012-06-18,364.30,364.30,352.70,360.40,1509000,360.40
2012-06-15,357.10,360.80,353.70,357.97,2202200,357.97
2012-06-14,355.40,356.50,351.10,354.60,1204200,354.60
2012-06-13,357.60,360.70,352.40,354.50,1285600,354.50
2012-06-12,359.50,362.50,354.20,357.00,1660900,357.00
2012-06-11,370.50,373.80,359.90,360.70,1666600,360.70
2012-06-08,356.50,364.20,353.90,364.00,2350900,364.00
2012-06-07,350.40,360.60,347.40,358.70,1727600,358.70
2012-06-06,342.00,349.60,341.10,349.50,1967900,349.50
2012-06-01,341.80,348.70,335.90,340.00,2198200,340.00
2012-05-31,347.50,349.40,340.60,341.10,2820200,341.10
2012-05-30,352.70,353.50,344.00,345.40,1480800,345.40
2012-05-29,361.40,362.40,350.20,356.30,1410100,356.30
2012-05-28,356.90,363.30,356.90,360.60,808100,360.60
2012-05-25,359.80,359.80,349.90,356.00,2246800,356.00
2012-05-24,362.70,365.28,355.00,359.90,1902200,359.90
2012-05-23,367.40,367.60,360.80,360.90,1470300,360.90
2012-05-22,370.90,373.30,360.70,369.74,3466900,369.74
2012-05-21,380.60,380.70,360.50,369.60,4230400,369.60
2012-05-18,383.10,389.10,380.20,383.90,1817200,383.90
2012-05-17,385.30,390.50,380.40,387.50,1649800,387.50
2012-05-16,380.50,388.80,378.90,383.30,1106400,383.30
2012-05-14,400.30,400.30,390.30,392.00,821200,392.00
2012-05-11,398.30,403.60,395.60,402.60,662600,402.60
2012-05-10,398.30,400.80,390.70,399.60,1774500,399.60
2012-05-09,410.50,410.50,394.80,396.40,1228900,396.40
2012-05-08,408.50,415.80,406.30,408.00,2277100,408.00
2012-05-04,420.40,420.40,405.90,406.60,1326500,406.60
2012-05-03,417.80,421.90,416.40,420.96,1509600,420.96
2012-05-02,419.00,421.40,412.10,415.00,1156100,415.00
2012-05-01,412.70,418.10,410.90,417.00,341800,417.00
2012-04-30,422.10,423.20,412.60,414.60,1070000,414.60
2012-04-27,413.00,421.90,411.50,421.50,908900,421.50
2012-04-26,418.60,418.80,408.30,414.10,1297600,414.10
2012-04-25,412.00,419.40,412.00,417.30,1195000,417.30
2012-04-24,416.10,423.00,414.30,422.00,590800,422.00
2012-04-23,428.10,434.80,411.40,413.10,1088500,413.10
2012-04-20,431.50,432.20,425.90,430.40,585000,430.40
2012-04-19,432.50,435.20,429.40,432.10,941400,432.10
2012-04-18,436.40,439.90,431.00,432.20,898800,432.20
2012-04-17,424.10,439.30,423.30,437.50,1893700,437.50
2012-04-16,425.80,431.80,423.90,424.80,1098900,424.80
2012-04-13,434.90,436.60,426.40,428.10,1107800,428.10
2012-04-12,426.70,437.50,426.70,435.80,1872400,435.80
2012-04-11,422.90,429.20,422.10,426.10,1520300,426.10
2012-04-10,430.20,432.10,425.80,425.80,901200,425.80
2012-04-05,435.70,439.00,432.40,434.50,1301300,434.50
2012-04-04,444.60,446.20,431.30,433.20,1577900,433.20
2012-04-03,452.70,452.70,446.20,446.30,963600,446.30
2012-04-02,443.30,451.00,438.50,451.00,979900,451.00
2012-03-30,442.80,445.50,438.30,441.50,1377500,441.50
2012-03-29,446.10,450.50,439.10,441.20,1024200,441.20
2012-03-28,448.20,451.50,445.40,447.40,869400,447.40
2012-03-27,451.70,453.40,446.80,448.40,1003900,448.40
2012-03-26,441.00,451.90,436.90,450.80,1253600,450.80
2012-03-23,439.20,443.20,435.50,442.60,1293900,442.60
2012-03-22,438.60,439.20,433.30,439.00,871500,439.00
2012-03-21,436.30,442.00,436.30,440.00,1311300,440.00
