Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,121.90,121.90,121.30,121.90,1006100,121.70
2012-08-01,121.50,122.00,121.50,121.70,601300,121.70
2012-07-31,121.60,121.80,121.42,121.70,900700,121.70
2012-07-30,121.50,121.60,121.30,121.60,694100,121.60
2012-07-27,122.20,122.20,121.40,121.50,1031200,121.50
2012-07-26,122.00,122.50,121.83,122.40,910300,122.40
2012-07-25,121.90,122.60,121.90,122.50,749400,122.50
2012-07-24,122.00,122.50,122.00,122.40,1505100,122.40
2012-07-23,121.50,122.50,121.50,122.20,584400,122.20
2012-07-20,121.80,121.90,121.23,121.90,706500,121.90
2012-07-19,120.50,121.80,120.50,121.80,859400,121.80
2012-07-18,120.30,121.00,120.20,121.00,610600,121.00
2012-07-17,120.20,120.80,120.20,120.80,632800,120.80
2012-07-16,120.40,120.50,119.80,120.30,1748000,120.30
2012-07-13,119.60,120.30,119.30,120.30,1504000,120.30
2012-07-12,119.00,119.60,119.00,119.60,654200,119.60
2012-07-11,119.20,119.60,119.00,119.60,554800,119.60
2012-07-10,119.60,119.60,119.20,119.50,798000,119.50
2012-07-09,119.30,119.50,118.90,119.50,810200,119.50
2012-07-06,119.00,119.10,118.75,119.10,951400,119.10
2012-07-05,118.90,119.07,118.60,118.60,798300,118.60
2012-07-04,119.00,119.00,118.70,118.90,441700,118.90
2012-07-03,118.80,119.30,118.80,119.00,1381200,119.00
2012-07-02,118.60,118.90,118.20,118.40,3370400,118.40
2012-06-29,118.40,118.60,118.20,118.40,1140400,118.40
2012-06-28,118.20,118.40,118.20,118.30,917100,118.30
2012-06-27,118.30,118.50,118.20,118.40,1459400,118.40
2012-06-26,117.70,118.60,117.70,118.40,2158200,118.40
2012-06-25,117.90,117.90,116.25,117.90,685300,117.90
2012-06-22,117.40,117.70,117.21,117.40,744600,117.40
2012-06-21,117.40,117.58,117.30,117.50,1054500,117.50
2012-06-20,117.60,117.70,117.20,117.30,1187100,117.30
2012-06-19,116.50,117.63,116.50,117.20,989000,117.20
2012-06-18,116.40,116.90,116.40,116.40,1123700,116.40
2012-06-15,116.40,116.77,116.30,116.70,2421900,116.70
2012-06-14,116.50,116.90,116.30,116.50,819300,116.50
2012-06-13,116.60,116.90,116.50,116.70,845000,116.70
2012-06-12,117.00,117.10,116.50,116.50,1194400,116.50
2012-06-11,117.10,117.10,116.70,116.90,1682800,116.90
2012-06-08,116.90,117.20,116.90,117.20,688500,117.20
2012-06-07,116.60,116.90,116.60,116.90,656100,116.90
2012-06-06,116.80,117.10,116.50,116.90,800500,116.90
2012-06-01,116.50,116.90,116.50,116.80,566200,116.80
2012-05-31,116.50,117.20,116.30,116.50,1528900,116.50
2012-05-30,116.40,116.99,116.40,116.60,525600,116.60
2012-05-29,117.20,117.20,116.50,116.70,354400,116.70
2012-05-28,116.40,117.20,116.40,116.60,389300,116.60
2012-05-25,116.70,116.90,116.40,116.70,856500,116.70
2012-05-24,117.00,117.23,116.70,116.70,412100,116.70
2012-05-23,116.80,117.19,116.80,116.90,441300,116.90
2012-05-22,116.50,117.10,116.50,116.90,1370200,116.90
2012-05-21,116.90,117.10,116.20,116.70,782500,116.70
2012-05-14,118.20,118.20,117.60,118.00,391700,118.00
2012-05-11,117.70,118.20,117.70,117.90,428500,117.90
2012-05-10,117.82,118.00,117.50,118.00,606600,118.00
2012-05-09,117.00,117.80,117.00,117.80,549700,117.80
2012-05-08,117.30,117.90,116.70,117.00,728000,117.00
2012-05-04,117.60,118.00,117.30,117.30,474600,117.30
2012-05-03,118.10,118.50,117.60,117.60,837000,117.60
2012-05-02,118.00,118.50,118.00,118.50,834000,118.50
2012-05-01,117.70,117.85,117.23,117.60,1508000,117.60
2012-04-30,118.00,118.00,117.70,117.70,411800,117.70
2012-04-27,118.00,118.10,117.70,118.00,990300,118.00
2012-04-26,118.20,118.28,117.90,118.00,1619600,118.00
2012-04-25,119.40,121.50,118.10,118.20,2494800,118.20
2012-04-24,120.70,121.70,120.70,121.50,636100,121.50
2012-04-23,121.90,121.90,121.20,121.20,677800,121.20
2012-04-20,121.50,121.89,121.20,121.70,484400,121.70
2012-04-19,120.20,121.40,119.90,121.20,1148100,121.20
2012-04-18,120.00,120.20,119.90,120.00,1294900,120.00
2012-04-17,119.60,120.00,119.60,119.90,340700,119.90
2012-04-16,119.40,119.70,119.40,119.60,439400,119.60
2012-04-13,119.50,119.70,119.30,119.50,317300,119.50
2012-04-12,119.50,119.70,119.40,119.60,360700,119.60
2012-04-11,119.30,119.70,119.30,119.60,463300,119.60
2012-04-10,119.40,119.60,119.30,119.30,547700,119.30
2012-04-05,119.10,119.50,119.10,119.40,436400,119.40
2012-04-04,119.70,119.70,119.15,119.30,434400,119.30
2012-04-03,119.70,119.70,119.45,119.50,447900,119.50
2012-04-02,119.60,119.85,119.30,119.70,482100,119.70
2012-03-30,119.60,119.90,119.40,119.60,653100,119.60
2012-03-29,119.40,119.90,119.30,119.60,445600,119.60
2012-03-28,119.30,120.00,119.30,119.30,833700,119.30
2012-03-27,119.90,119.90,119.30,119.50,492900,119.50
2012-03-26,119.20,119.90,119.20,119.30,407700,119.30
2012-03-23,119.50,120.01,119.10,119.50,609500,119.50
2012-03-22,119.80,119.91,119.50,119.50,531000,119.50
2012-03-21,120.10,120.10,119.50,120.00,326500,120.00
2012-03-20,120.00,120.00,119.50,119.50,448700,119.50
2012-03-19,120.20,120.20,119.80,119.80,478900,119.80
2012-03-16,120.10,120.20,119.80,120.00,955300,120.00
2012-03-15,120.60,120.60,119.50,119.50,832000,119.50
2012-03-14,120.60,120.80,120.30,120.70,615100,120.70
2012-03-13,120.70,120.89,120.20,120.70,418100,120.70
2012-03-12,120.10,120.90,120.10,120.80,461900,120.80
2012-03-09,120.00,120.89,120.00,120.30,253700,120.30
2012-03-08,119.50,120.40,119.00,120.40,960000,120.40
2012-03-07,118.90,119.90,118.90,119.50,479400,119.50
2012-03-06,118.90,119.40,118.70,119.10,488800,119.10
2012-03-05,118.60,119.40,118.60,119.10,308400,119.10
2012-03-02,117.60,119.00,117.60,118.90,1407700,118.90
2012-03-01,117.90,118.00,117.20,117.30,796000,117.30
2012-02-29,118.00,118.10,117.60,117.90,565600,117.90
2012-02-28,118.10,118.69,117.80,117.80,875000,117.80
2012-02-27,118.70,119.40,118.00,118.00,682500,118.00
2012-02-24,118.60,119.40,118.60,118.60,822800,118.60
2012-02-23,118.30,119.10,118.30,118.60,1084400,118.60
2012-02-22,118.50,119.14,118.30,118.30,1247500,118.30
2012-02-21,119.60,119.89,118.20,118.30,701800,118.30
2012-02-20,120.20,120.40,117.90,119.60,567300,119.60
2012-02-17,120.00,120.00,119.70,119.70,243100,119.70
2012-02-16,120.10,120.36,119.90,119.90,397200,119.90
2012-02-15,121.10,121.10,120.10,120.10,657300,120.10
2012-02-14,120.90,121.10,120.80,121.00,757700,121.00
2012-02-13,120.70,121.00,120.60,121.00,407000,121.00
2012-02-10,120.90,121.00,120.70,121.00,481300,121.00
2012-02-09,121.30,121.40,120.80,120.90,629900,120.90
2012-02-08,121.10,121.20,120.70,120.70,626400,120.70
2012-02-07,121.50,121.50,120.80,120.90,904600,120.90
2012-02-06,121.50,121.50,121.00,121.10,555900,121.10
2012-02-03,121.00,121.50,121.00,121.10,714100,121.10
2012-02-02,121.10,121.40,120.60,121.40,516300,121.40
2012-02-01,120.50,121.10,120.50,121.10,514900,121.10
2012-01-31,120.00,120.80,119.90,120.60,710300,120.60
2012-01-30,119.80,120.50,119.58,119.90,767800,119.90
2012-01-27,119.00,120.00,118.71,119.90,450800,119.90
2012-01-26,118.90,119.00,118.62,118.90,336600,118.90
2012-01-25,118.90,118.90,118.57,118.60,388300,118.60
2012-01-24,119.10,119.10,118.60,118.60,510800,118.60
2012-01-23,119.40,119.40,118.80,118.80,695000,118.80
2012-01-20,119.00,119.10,118.90,118.90,163300,118.90
2012-01-19,119.30,119.30,118.90,118.90,606200,118.90
2012-01-18,119.20,119.46,118.90,119.10,422300,119.10
2012-01-17,119.60,119.60,119.20,119.20,650300,119.20
2012-01-16,119.70,119.70,119.20,119.30,799500,119.30
2012-01-13,119.70,119.80,119.20,119.30,297900,119.30
2012-01-12,118.60,119.50,118.60,119.50,700400,119.50
2012-01-11,118.60,119.20,118.60,119.10,404300,119.10
2012-01-09,119.40,120.00,119.20,119.90,524500,119.90
2012-01-06,119.90,120.27,119.50,119.50,321600,119.50
2012-01-05,120.90,120.90,119.80,120.20,716500,120.20
2012-01-04,121.50,121.50,120.80,120.90,119300,120.90
2012-01-03,120.90,121.50,120.90,121.50,752000,121.50
2011-12-30,120.80,120.90,120.20,120.90,95800,120.90
2011-12-29,121.00,121.00,120.00,120.30,161400,120.30
2011-12-28,121.50,121.50,120.10,120.10,144500,120.10
2011-12-23,121.30,121.50,121.00,121.00,178900,121.00
2011-12-22,119.70,121.50,119.50,121.50,1056000,121.50
2011-12-21,119.80,119.90,119.30,119.70,622400,119.70
2011-12-20,119.50,119.90,119.28,119.90,412400,119.90
2011-12-19,119.40,119.90,118.00,119.90,699100,119.90
2011-12-16,119.80,120.00,119.40,119.60,1032800,119.60
2011-12-15,119.10,119.80,118.70,119.80,974700,119.80
2011-12-14,118.60,119.10,118.60,119.00,511600,119.00
2011-12-13,118.50,119.50,118.50,119.10,545000,119.10
2011-12-12,119.30,119.80,118.70,118.70,306200,118.70
2011-12-09,118.90,119.90,118.90,119.90,470800,119.90
2011-12-08,120.00,120.10,119.10,119.90,593100,119.90
2011-12-07,119.80,120.00,119.75,120.00,1173200,120.00
2011-12-06,119.60,119.90,119.20,119.40,247200,119.40
2011-12-05,119.30,119.60,118.90,119.60,1016200,119.60
2011-12-02,117.70,119.50,117.70,119.00,628000,119.00
2011-12-01,118.20,118.60,117.82,118.50,551200,118.50
2011-11-30,118.30,118.50,117.75,118.50,471400,118.50
2011-11-28,118.00,118.40,115.75,117.80,23912100,117.80
2011-11-25,118.00,118.43,117.80,118.00,397000,118.00
2011-11-24,118.50,119.00,118.20,118.50,1061800,118.50
2011-11-23,118.50,119.20,118.80,119.20,918000,119.20
2011-11-22,118.50,119.70,118.50,119.50,723700,119.50
2011-11-21,117.60,119.20,117.60,119.20,519300,119.20
2011-11-18,117.10,118.50,117.10,118.50,1538500,118.50
2011-11-17,117.00,118.50,117.00,118.40,919400,118.40
2011-11-16,116.90,117.40,116.80,117.10,1189700,117.10
2011-11-15,116.10,117.00,116.10,116.80,509400,116.80
2011-11-14,116.80,116.80,116.40,116.80,257300,116.80
2011-11-11,116.80,116.80,116.30,116.70,263900,116.70
2011-11-10,116.10,116.70,116.00,116.60,525500,116.60
2011-11-09,116.80,116.90,116.50,116.80,1023600,116.80
2011-11-08,116.20,116.80,116.00,116.80,428000,116.80
2011-11-07,116.10,116.40,115.90,116.20,309800,116.20
2011-11-04,115.53,116.50,115.50,116.20,1425600,116.20
2011-11-03,115.10,116.20,115.10,115.50,1191600,115.50
2011-11-02,115.90,116.00,115.60,115.90,399300,115.90
2011-11-01,115.50,115.90,115.30,115.90,793800,115.90
2011-10-31,116.20,116.30,115.90,116.10,223600,116.10
2011-10-28,116.30,116.30,115.80,116.20,309200,116.20
2011-10-27,115.90,116.30,115.40,116.30,894000,116.30
2011-10-26,115.60,115.90,115.40,115.70,396900,115.70
2011-10-25,115.30,116.00,115.30,115.80,414900,115.80
2011-10-24,115.40,116.00,115.30,115.80,266700,115.80
2011-10-21,115.50,115.80,115.40,115.40,157600,115.40
2011-10-20,115.00,115.50,115.00,115.30,271700,115.30
2011-10-19,115.50,115.80,115.10,115.50,244700,115.50
2011-10-18,115.00,115.56,115.00,115.50,451700,115.50
2011-10-17,115.00,115.60,115.00,115.40,318400,115.40
2011-10-14,115.40,115.60,115.00,115.50,210800,115.50
2011-10-13,115.10,115.60,114.97,115.60,368100,115.60
