Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,382.40,384.00,377.10,378.10,577600,377.60
2012-08-02,382.40,384.00,377.10,377.60,685500,377.60
2012-08-01,378.80,383.80,378.80,381.60,1142400,381.60
2012-07-31,383.90,384.80,376.90,376.90,824900,376.90
2012-07-27,384.70,384.80,369.72,379.40,684800,379.40
2012-07-26,368.00,377.80,363.80,376.00,1795200,376.00
2012-07-25,368.80,371.70,363.30,371.00,1839200,371.00
2012-07-24,379.80,380.50,372.70,375.50,708400,375.50
2012-07-23,389.50,398.00,376.90,380.40,691800,380.40
2012-07-20,401.40,401.70,390.90,393.00,665900,393.00
2012-07-19,399.00,401.60,397.50,401.10,985000,401.10
2012-07-18,395.00,397.54,394.20,397.50,519900,397.50
2012-07-17,395.80,398.30,392.70,393.70,563300,393.70
2012-07-16,393.00,395.10,391.20,395.10,854400,395.10
2012-07-13,386.20,392.50,384.40,392.50,982900,392.50
2012-07-12,386.50,388.80,381.00,384.50,1058200,384.50
2012-07-11,388.10,390.50,385.60,389.80,860400,389.80
2012-07-10,384.30,392.30,380.70,390.30,856800,390.30
2012-07-09,385.40,388.30,379.20,381.60,779300,381.60
2012-07-06,390.80,394.60,383.70,386.30,932700,386.30
2012-07-05,392.10,396.50,389.50,391.40,1052100,391.40
2012-07-04,396.30,399.00,388.80,391.00,1331800,391.00
2012-07-03,383.00,396.20,382.60,394.70,1390100,394.70
2012-07-02,373.90,385.20,371.58,381.00,1660600,381.00
2012-06-29,370.00,375.00,367.70,372.00,1938100,372.00
2012-06-28,371.50,373.10,362.30,364.10,1148500,364.10
2012-06-27,367.90,372.40,362.90,372.40,797500,372.40
2012-06-26,364.00,366.20,361.00,365.30,1236400,365.30
2012-06-25,368.50,370.10,361.70,364.60,3052600,364.60
2012-06-22,375.10,375.10,368.40,369.80,1422700,369.80
2012-06-21,380.30,381.60,374.90,375.80,1218700,375.80
2012-06-20,378.00,383.60,375.50,382.90,1013000,382.90
2012-06-19,368.40,377.70,367.50,375.00,1953400,375.00
2012-06-18,374.00,374.00,364.20,369.20,2476100,369.20
2012-06-15,350.00,372.92,349.10,372.70,5666600,372.70
2012-06-14,347.60,352.00,345.50,349.10,2129700,349.10
2012-06-13,348.00,349.70,343.50,349.50,903100,349.50
2012-06-12,342.20,345.70,340.00,345.40,972700,345.40
