Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,285.90,293.80,283.90,285.00,187900,284.50
2012-08-02,285.90,294.20,283.90,284.50,311900,284.50
2012-08-01,281.20,287.20,280.70,284.80,406900,284.80
2012-07-31,288.00,293.61,280.00,280.00,414500,280.00
2012-07-27,268.00,273.90,265.60,273.00,684800,273.00
2012-07-26,259.80,267.30,253.70,266.80,446900,266.80
2012-07-25,253.70,259.00,253.70,257.71,572500,257.71
2012-07-24,248.00,256.50,240.00,255.60,922400,255.60
2012-07-23,248.40,250.70,236.20,236.20,352900,236.20
2012-07-20,256.00,256.60,247.05,250.80,196300,250.80
2012-07-19,256.20,257.20,252.40,255.40,251400,255.40
2012-07-18,254.50,257.70,253.10,254.00,358600,254.00
2012-07-17,248.70,253.20,247.00,252.00,231000,252.00
2012-07-16,248.70,249.50,243.30,248.50,190100,248.50
2012-07-13,237.30,249.50,237.30,247.60,213400,247.60
2012-07-12,243.10,244.20,235.00,237.40,199100,237.40
2012-07-11,248.00,249.10,243.30,244.80,208300,244.80
2012-07-10,243.00,254.30,238.70,250.70,532400,250.70
2012-07-09,245.00,246.43,240.80,240.80,294800,240.80
2012-07-06,246.40,249.80,243.90,246.30,209800,246.30
2012-07-05,242.10,251.70,241.30,243.80,167700,243.80
2012-07-04,248.80,249.60,243.60,247.70,70300,247.70
2012-07-03,245.20,248.80,240.40,246.20,278200,246.20
2012-07-02,240.10,244.50,237.30,243.00,737100,243.00
2012-06-29,243.50,243.50,239.10,239.10,395100,239.10
2012-06-28,245.80,246.30,235.10,236.20,242200,236.20
2012-06-27,239.40,247.60,235.80,245.80,238600,245.80
2012-06-26,240.40,245.10,237.50,238.80,133700,238.80
2012-06-25,257.00,257.00,238.30,238.30,201700,238.30
2012-06-22,261.70,264.70,256.30,256.50,154400,256.50
2012-06-21,259.40,266.10,254.90,263.80,382100,263.80
2012-06-20,244.40,260.20,241.50,260.20,328900,260.20
2012-06-19,239.90,244.30,236.80,243.30,106600,243.30
2012-06-18,241.30,243.90,234.90,238.60,222200,238.60
2012-06-15,228.30,240.80,228.30,238.00,731400,238.00
2012-06-14,225.80,230.40,223.20,226.50,371500,226.50
2012-06-13,231.40,233.90,224.80,225.60,375400,225.60
2012-06-12,241.50,242.05,229.30,230.40,384000,230.40
2012-06-11,244.70,248.40,240.80,243.70,316300,243.70
2012-06-08,235.90,239.22,227.50,239.20,259100,239.20
2012-06-07,228.70,240.90,225.50,237.00,1041000,237.00
2012-06-06,223.70,231.90,222.50,226.70,360500,226.70
