Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,143.80,144.00,140.98,142.50,181400,142.80
2012-08-02,143.80,144.00,140.10,142.80,1038400,142.80
2012-08-01,142.40,144.20,141.21,143.50,293700,143.50
2012-07-31,146.00,149.50,140.04,141.10,2491900,141.10
2012-07-27,149.00,149.50,147.00,148.00,2008100,148.00
2012-07-26,149.20,149.20,147.00,148.70,507000,148.70
2012-07-25,147.60,148.90,145.97,147.20,265400,147.20
2012-07-24,148.70,148.70,147.10,148.00,1102700,148.00
2012-07-23,150.50,150.50,147.07,149.00,118800,149.00
2012-07-20,152.40,153.91,148.20,150.20,164300,150.20
2012-07-19,149.80,152.72,149.70,151.90,816500,151.90
2012-07-18,148.50,150.70,148.50,150.20,88500,150.20
2012-07-17,150.40,150.40,148.40,149.10,113700,149.10
2012-07-16,149.30,150.00,147.80,149.00,244500,149.00
2012-07-13,149.80,150.90,149.60,150.00,3002100,150.00
2012-07-12,150.90,150.90,148.50,150.20,134600,150.20
2012-07-11,153.90,154.00,150.10,152.00,146500,152.00
2012-07-10,153.00,155.50,153.00,155.00,377800,155.00
2012-07-09,154.40,155.00,153.07,153.60,154500,153.60
2012-07-06,154.00,155.40,153.40,155.00,558800,155.00
2012-07-05,153.30,155.50,152.59,154.80,148900,154.80
2012-07-04,154.50,154.72,151.80,154.00,141900,154.00
2012-07-03,151.20,154.50,151.20,154.50,676800,154.50
2012-07-02,151.50,152.00,149.10,152.00,1202300,152.00
2012-06-29,150.00,153.90,148.19,149.70,1013000,149.70
2012-06-28,147.60,149.00,145.79,149.00,183200,149.00
2012-06-27,151.00,151.00,146.60,147.60,1838400,147.60
2012-06-26,148.40,152.20,147.29,152.00,209500,152.00
2012-06-25,149.10,149.90,147.00,147.50,153500,147.50
2012-06-22,150.50,152.50,148.20,148.50,114000,148.50
2012-06-21,147.50,154.00,145.00,150.70,1424100,150.70
2012-06-20,148.20,148.50,146.00,148.50,204300,148.50
2012-06-19,146.30,149.00,144.50,149.00,335300,149.00
2012-06-18,148.50,149.34,144.20,145.00,281700,145.00
2012-06-15,146.10,150.59,144.20,150.50,1073800,150.50
2012-06-14,143.00,145.50,142.06,145.00,275100,145.00
2012-06-13,141.10,146.70,141.10,144.00,222100,144.00
2012-06-12,141.60,144.10,140.40,140.40,1011500,140.40
2012-06-11,146.20,146.74,140.62,141.70,294400,141.70
2012-06-08,141.30,145.00,140.00,145.00,499500,145.00
2012-06-07,140.30,144.10,137.40,142.10,545000,142.10
2012-06-06,137.50,141.00,137.50,140.80,1310000,140.80
2012-06-01,135.00,140.00,129.86,138.90,747100,138.90
2012-05-31,144.50,148.00,136.25,136.25,3724800,136.25
2012-05-30,144.25,145.00,141.71,143.50,226100,143.50
2012-05-29,141.75,143.50,141.75,143.50,211900,143.50
2012-05-28,139.50,142.00,139.25,141.50,280100,141.50
2012-05-25,138.00,142.54,138.00,138.50,236300,138.50
2012-05-24,137.50,138.12,136.25,138.00,451100,138.00
2012-05-23,136.25,137.75,133.63,136.50,240600,136.50
2012-05-22,138.75,139.20,137.50,138.50,98700,138.50
2012-05-21,138.00,138.00,135.61,138.00,197900,138.00
2012-05-18,136.00,138.25,136.00,137.00,212500,137.00
2012-05-17,139.00,141.00,136.35,138.75,7117500,138.75
2012-05-16,140.00,140.75,138.00,140.00,245100,140.00
2012-05-14,141.50,141.50,137.45,140.00,412200,140.00
2012-05-11,142.50,144.12,141.00,141.50,235500,141.50
2012-05-10,140.00,144.00,140.00,143.00,407400,143.00
2012-05-09,139.25,140.50,136.23,140.50,1323400,140.50
2012-05-08,140.00,140.00,135.25,136.50,576000,136.50
2012-05-04,141.00,145.50,135.00,137.50,1522400,137.50
2012-05-03,148.25,148.25,140.00,142.00,1828500,142.00
2012-05-02,142.75,146.50,142.75,146.00,563400,146.00
2012-05-01,146.00,146.00,143.25,144.50,179000,144.50
2012-04-30,146.00,146.50,145.00,145.50,115500,145.50
2012-04-27,143.00,146.75,143.00,145.50,125900,145.50
2012-04-26,144.50,145.88,141.25,144.75,264200,144.75
2012-04-25,143.75,145.00,141.26,143.50,368900,143.50
2012-04-24,152.00,152.00,143.00,143.00,474800,143.00
2012-04-23,146.00,160.00,146.00,151.00,1190300,151.00
2012-04-20,143.00,148.00,142.50,147.00,3243600,147.00
2012-04-19,141.75,148.00,140.00,141.75,444100,141.75
2012-04-18,139.25,141.74,139.00,141.00,207100,141.00
2012-04-17,141.00,141.00,137.25,140.25,1128300,140.25
2012-04-16,139.75,140.90,138.50,138.50,1192700,138.50
2012-04-13,135.75,141.88,135.75,139.25,356200,139.25
2012-04-12,132.50,137.50,132.50,137.50,232800,137.50
2012-04-11,132.50,133.50,131.00,132.50,400500,132.50
2012-04-10,129.75,132.50,128.85,132.50,292900,132.50
2012-04-05,130.50,132.59,128.78,129.50,292100,129.50
2012-04-04,131.25,132.08,130.00,130.00,447800,130.00
2012-04-03,132.50,133.09,130.50,132.00,1168200,132.00
2012-04-02,133.00,135.10,128.50,134.00,553100,134.00
2012-03-30,124.50,135.00,124.50,134.00,441700,134.00
2012-03-29,119.50,124.00,119.00,124.00,303100,124.00
2012-03-28,120.50,121.04,120.00,120.00,150000,120.00
2012-03-27,120.00,121.00,119.25,120.00,393300,120.00
2012-03-26,120.00,120.62,118.50,119.50,158000,119.50
2012-03-23,119.25,119.50,118.00,119.50,247700,119.50
2012-03-22,118.00,120.00,117.50,120.00,197900,120.00
2012-03-21,119.25,119.62,118.25,119.50,84600,119.50
