Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,204.00,204.00,204.00,204.00,000,204.00
2012-08-01,201.50,204.68,201.50,204.00,9800,204.00
2012-07-31,200.50,200.50,200.50,200.50,5000,200.50
2012-07-30,197.51,202.98,197.51,202.98,5400,202.98
2012-07-27,200.51,202.98,200.51,202.98,900,202.98
2012-07-26,198.51,198.51,198.51,198.51,1400,198.51
2012-07-25,199.00,199.69,197.00,197.00,15000,197.00
2012-07-24,199.25,201.98,198.00,198.00,8700,198.00
2012-07-23,201.50,202.80,199.00,202.80,20800,202.80
2012-07-20,201.25,203.73,201.00,201.00,2000,201.00
2012-07-19,201.00,209.50,201.00,201.00,000,201.00
2012-07-18,203.75,203.75,198.76,198.76,2000,198.76
2012-07-17,199.70,203.23,199.70,200.01,3100,200.01
2012-07-16,199.00,203.82,198.50,203.82,8300,203.82
2012-07-13,202.75,202.75,202.75,202.75,3000,202.75
2012-07-12,201.73,201.73,198.82,201.73,7000,201.73
2012-07-11,198.50,202.00,198.50,202.00,24000,202.00
2012-07-10,201.75,202.00,199.31,202.00,2800,202.00
2012-07-09,196.50,202.00,196.50,202.00,3200,202.00
2012-07-06,201.73,201.73,201.73,201.73,8000,201.73
2012-07-05,196.50,206.25,196.50,196.50,000,196.50
2012-07-04,200.00,201.38,200.00,200.23,28400,200.23
2012-07-03,197.00,197.00,197.00,197.00,58800,197.00
2012-07-02,199.25,199.50,193.75,193.75,10700,193.75
2012-06-29,197.00,198.73,197.00,197.00,6600,197.00
2012-06-28,195.01,196.73,194.50,194.50,2600,194.50
2012-06-27,194.25,196.73,194.25,195.00,54700,195.00
2012-06-26,196.75,196.75,194.01,194.01,11300,194.01
2012-06-25,193.00,193.00,193.00,193.00,2500,193.00
2012-06-22,194.00,195.00,193.00,193.00,29200,193.00
2012-06-21,199.25,199.25,194.00,194.00,23800,194.00
2012-06-20,196.25,199.74,196.00,199.50,15100,199.50
2012-06-19,195.00,198.75,195.00,197.00,15600,197.00
