Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,320.00,329.70,320.00,325.40,139000,324.70
2012-08-02,320.00,329.70,320.00,324.70,293300,324.70
2012-08-01,326.50,326.50,320.40,320.70,59400,320.70
2012-07-31,327.00,327.00,321.56,325.00,94000,325.00
2012-07-27,326.90,327.10,320.60,325.80,96800,325.80
2012-07-26,325.90,326.20,323.30,324.80,120700,324.80
2012-07-25,324.90,326.40,320.36,324.00,94400,324.00
2012-07-24,324.60,325.36,322.00,324.50,100800,324.50
2012-07-23,330.40,330.42,321.40,322.00,83700,322.00
2012-07-20,335.50,335.50,328.00,331.00,200900,331.00
2012-07-19,335.30,335.30,330.00,332.70,134000,332.70
2012-07-18,332.90,334.20,329.00,333.40,73700,333.40
2012-07-17,334.10,335.30,330.00,331.00,86400,331.00
2012-07-16,332.90,334.60,330.00,332.40,108800,332.40
2012-07-13,332.70,333.09,329.00,332.10,136000,332.10
2012-07-12,334.70,334.70,334.70,333.90,168800,333.90
2012-07-11,332.00,335.00,326.54,334.50,194500,334.50
2012-07-10,320.00,338.90,318.70,326.36,701500,326.36
2012-07-09,319.00,319.00,316.30,317.30,350600,317.30
2012-07-06,315.70,318.60,312.60,318.60,133600,318.60
2012-07-05,319.10,319.10,302.50,316.30,117500,316.30
2012-07-04,319.20,319.20,315.20,315.70,28800,315.70
2012-07-03,316.00,319.10,312.00,319.10,79200,319.10
2012-07-02,313.60,315.90,312.10,315.20,89400,315.20
2012-06-29,309.90,315.50,309.20,312.00,222800,312.00
2012-06-28,305.00,307.00,304.80,304.90,102700,304.90
2012-06-27,310.00,310.00,299.80,305.00,90900,305.00
2012-06-26,298.50,304.00,297.80,302.50,173800,302.50
2012-06-25,299.50,306.30,299.50,299.50,133000,299.50
2012-06-22,303.20,304.80,301.90,303.80,89100,303.80
2012-06-21,300.00,309.70,297.83,304.70,320100,304.70
2012-06-20,296.90,301.10,291.50,299.80,112300,299.80
2012-06-19,300.40,301.80,293.00,297.20,120400,297.20
2012-06-18,301.20,304.50,298.50,301.70,90900,301.70
2012-06-15,301.20,307.50,299.82,300.00,458600,300.00
2012-06-14,298.70,304.90,297.00,300.70,134400,300.70
2012-06-13,298.70,302.30,295.60,300.40,449000,300.40
2012-06-12,302.00,302.00,295.20,298.60,115100,298.60
2012-06-11,305.80,306.92,299.00,300.20,189900,300.20
2012-06-08,301.70,302.10,294.51,301.00,125100,301.00
2012-06-07,299.20,301.40,289.60,301.20,143300,301.20
2012-06-06,296.60,299.90,294.00,298.50,240600,298.50
2012-06-01,298.60,299.70,291.50,296.00,177100,296.00
2012-05-31,295.50,299.90,295.50,298.10,242200,298.10
2012-05-30,298.90,298.90,288.70,294.50,119500,294.50
2012-05-29,286.50,304.80,286.00,298.30,309100,298.30
2012-05-28,285.00,288.11,281.42,284.10,140000,284.10
2012-05-25,279.50,284.70,276.90,282.60,246400,282.60
2012-05-24,274.60,278.90,270.00,277.42,261100,277.42
2012-05-23,270.50,276.60,270.50,272.30,72600,272.30
2012-05-22,275.00,279.80,270.20,273.30,178500,273.30
2012-05-21,270.00,274.80,270.00,271.40,61500,271.40
2012-05-18,271.70,276.60,268.50,272.50,109000,272.50
2012-05-17,276.00,276.70,273.40,274.40,97400,274.40
2012-05-16,275.00,279.70,271.60,276.00,169600,276.00
2012-05-14,281.10,282.20,277.50,280.00,150200,280.00
2012-05-11,279.20,283.00,279.20,283.00,132100,283.00
2012-05-10,283.00,286.10,280.20,280.90,270000,280.90
2012-05-09,281.50,283.30,277.25,283.00,322100,283.00
2012-05-08,284.70,285.30,278.40,280.30,234000,280.30
2012-05-04,291.10,291.10,283.20,284.90,156200,284.90
2012-05-03,291.50,291.50,287.30,289.30,99900,289.30
2012-05-02,292.00,294.50,286.20,288.40,218600,288.40
2012-05-01,283.00,296.30,283.00,295.30,95200,295.30
2012-04-30,283.40,287.40,282.30,286.20,180600,286.20
2012-04-27,285.10,289.80,281.35,283.80,288500,283.80
2012-04-26,281.00,286.10,277.60,285.60,109600,285.60
2012-04-25,280.00,285.20,277.20,279.70,323200,279.70
2012-04-24,279.40,281.80,276.60,281.00,269500,281.00
2012-04-23,285.20,287.90,277.30,279.80,225400,279.80
2012-04-20,288.10,289.30,284.50,287.20,383000,287.20
2012-04-19,286.50,291.05,283.90,289.10,256600,289.10
2012-04-18,285.70,288.20,283.30,287.20,230500,287.20
2012-04-17,279.60,288.10,277.70,286.90,246800,286.90
2012-04-16,275.80,284.10,274.40,280.80,328800,280.80
2012-04-13,276.30,279.29,274.20,277.40,164300,277.40
2012-04-12,275.30,279.50,271.30,277.30,141300,277.30
2012-04-11,270.00,278.90,269.20,275.80,180200,275.80
2012-04-10,273.50,275.64,270.10,270.10,422800,270.10
2012-04-05,276.10,281.90,273.05,276.40,224800,276.40
2012-04-04,284.00,287.99,275.90,276.30,374200,276.30
2012-04-03,292.40,300.90,291.10,295.00,676800,295.00
2012-04-02,293.00,296.00,288.00,290.50,460300,290.50
2012-03-30,292.90,297.10,291.00,291.30,317700,291.30
2012-03-29,297.20,300.93,289.80,290.10,675400,290.10
2012-03-28,303.10,306.30,298.90,298.90,237700,298.90
2012-03-27,302.50,308.66,302.50,304.50,308200,304.50
2012-03-26,302.20,306.26,298.90,303.00,295400,303.00
2012-03-23,299.30,303.98,295.00,300.30,406800,300.30
2012-03-22,297.30,306.30,297.00,300.10,280700,300.10
2012-03-21,296.80,305.64,296.75,298.50,301700,298.50
2012-03-20,294.60,300.50,294.60,297.40,350400,297.40
2012-03-19,292.10,296.30,291.80,296.00,309800,296.00
2012-03-16,291.80,296.40,287.00,291.00,776900,291.00
2012-03-15,293.60,296.00,288.80,290.30,306000,290.30
2012-03-14,294.80,298.00,291.00,293.00,511200,293.00
2012-03-13,297.80,299.90,292.30,293.00,486600,293.00
2012-03-12,296.70,303.10,296.40,298.00,113100,298.00
2012-03-09,297.70,303.50,296.00,298.50,168500,298.50
2012-03-08,297.60,300.20,291.56,299.12,264100,299.12
2012-03-07,292.70,302.50,292.51,299.20,229500,299.20
2012-03-06,304.10,308.32,293.40,299.05,232700,299.05
2012-03-05,303.20,306.42,301.00,305.10,179200,305.10
2012-03-02,302.80,306.90,301.27,305.40,246400,305.40
2012-03-01,303.60,308.85,300.50,303.90,275600,303.90
2012-02-29,297.00,313.00,297.00,305.10,578900,305.10
2012-02-28,302.90,305.64,287.10,292.00,520800,292.00
2012-02-27,312.70,312.70,300.20,304.00,236900,304.00
2012-02-24,310.40,318.51,303.14,310.14,213200,310.14
2012-02-23,315.50,320.70,309.10,310.70,247300,310.70
2012-02-22,315.20,320.70,309.42,314.90,165500,314.90
