Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,501.50,502.00,484.70,485.30,1181400,484.30
2012-08-02,501.50,502.00,484.30,484.30,1379900,484.30
2012-08-01,492.30,501.00,489.40,500.00,840100,500.00
2012-07-31,494.40,499.40,488.70,491.60,1273500,491.60
2012-07-27,487.50,495.60,485.50,493.80,1011100,493.80
2012-07-26,472.30,485.30,470.20,484.00,1238000,484.00
2012-07-25,468.60,472.30,467.30,471.00,802300,471.00
2012-07-24,474.70,476.80,468.40,468.90,712600,468.90
2012-07-23,470.20,478.40,469.00,474.00,849900,474.00
2012-07-20,490.80,491.67,478.00,481.30,951500,481.30
2012-07-19,483.60,494.60,482.10,491.90,1417400,491.90
2012-07-18,474.40,481.90,470.70,481.90,1272600,481.90
2012-07-17,479.70,483.81,469.10,472.00,1261400,472.00
2012-07-16,478.50,485.90,477.30,478.10,1328900,478.10
2012-07-13,482.90,484.10,477.40,478.40,1215700,478.40
2012-07-12,483.30,483.40,478.50,480.50,929300,480.50
2012-07-11,483.00,486.10,480.50,485.40,1066800,485.40
2012-07-10,481.30,486.90,479.30,483.00,1577200,483.00
2012-07-09,482.00,482.00,478.00,479.00,1298500,479.00
2012-07-06,487.40,488.60,481.40,481.90,1215800,481.90
2012-07-05,491.60,492.50,486.60,490.00,1075100,490.00
2012-07-04,497.70,497.70,488.70,491.70,1216200,491.70
2012-07-03,494.30,495.90,489.00,495.40,1045300,495.40
2012-07-02,492.30,500.50,489.10,492.50,1245500,492.50
2012-06-29,492.10,501.50,477.47,491.50,1264400,491.50
2012-06-28,475.50,481.40,469.38,481.40,1451000,481.40
2012-06-27,469.50,476.80,468.60,475.50,992000,475.50
2012-06-26,471.60,474.00,463.70,468.80,2166700,468.80
2012-06-25,477.20,478.60,469.00,472.00,1149100,472.00
2012-06-22,471.20,480.60,468.75,479.10,1255900,479.10
2012-06-21,477.80,479.30,472.88,473.00,2026800,473.00
2012-06-20,486.80,490.07,477.90,480.20,3126900,480.20
2012-06-19,475.10,488.90,473.40,488.70,1536300,488.70
2012-06-18,477.50,482.10,471.20,474.20,1080300,474.20
2012-06-15,474.50,483.20,473.10,476.30,2568600,476.30
2012-06-14,467.80,475.30,466.00,475.10,2647200,475.10
2012-06-13,465.90,470.50,463.50,469.20,2280500,469.20
2012-06-12,458.60,465.10,456.90,463.50,2595500,463.50
2012-06-11,472.00,479.00,458.40,459.80,3598500,459.80
2012-06-08,457.70,466.40,453.50,466.10,2065700,466.10
2012-06-07,450.40,466.30,446.40,462.00,2703900,462.00
2012-06-06,439.20,451.30,435.00,449.10,4361200,449.10
2012-06-01,433.30,440.30,426.50,436.00,2870300,436.00
2012-05-31,420.90,430.50,418.90,429.70,3350100,429.70
2012-05-30,416.50,423.30,411.50,419.10,3169900,419.10
2012-05-29,411.50,420.60,408.80,417.70,2634800,417.70
2012-05-28,407.90,421.80,407.90,409.40,1249600,409.40
2012-05-25,396.90,401.91,395.50,400.50,1404300,400.50
2012-05-24,397.60,400.40,392.80,397.00,1702000,397.00
2012-05-23,400.90,401.00,394.60,394.90,1850400,394.90
2012-05-22,400.00,405.10,398.00,404.40,1380200,404.40
2012-05-21,388.90,401.24,388.80,395.70,1179000,395.70
2012-05-18,395.00,396.50,388.90,390.80,1578600,390.80
2012-05-17,402.50,405.75,396.30,399.00,1058300,399.00
2012-05-16,407.00,409.10,401.90,404.00,2025100,404.00
2012-05-14,445.00,445.00,434.80,435.80,1044500,435.80
2012-05-11,454.60,455.90,444.80,447.20,1895500,447.20
2012-05-10,470.30,472.10,455.00,457.20,2625200,457.20
2012-05-09,459.50,472.10,452.90,467.03,2745500,467.03
2012-05-08,472.80,474.90,451.00,454.50,2347200,454.50
2012-05-04,457.40,459.90,451.20,452.50,1316400,452.50
2012-05-03,444.90,460.70,443.10,457.80,1581000,457.80
2012-05-02,445.00,445.00,437.40,442.10,1120900,442.10
2012-05-01,442.50,443.80,437.50,441.80,620300,441.80
2012-04-30,445.80,468.90,439.80,439.80,1263400,439.80
2012-04-27,439.70,446.00,435.40,443.50,1876400,443.50
2012-04-26,434.40,441.00,433.20,441.00,1800800,441.00
2012-04-25,433.20,437.90,431.30,434.40,933100,434.40
2012-04-24,432.90,436.80,427.50,431.50,1109900,431.50
2012-04-23,435.30,437.60,425.90,431.30,1053000,431.30
2012-04-20,423.30,449.30,421.80,440.40,3395000,440.40
2012-04-19,431.00,432.30,421.10,421.70,1181200,421.70
2012-04-18,432.50,434.10,422.30,427.40,1298500,427.40
2012-04-17,422.70,433.80,420.50,431.50,1506500,431.50
2012-04-16,422.60,427.40,420.00,421.70,1438000,421.70
