Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,190.00,194.40,190.00,192.00,87400,189.60
2012-08-02,190.00,194.40,188.00,189.60,110600,189.60
2012-08-01,190.90,191.90,189.90,190.50,219500,190.50
2012-07-31,191.00,193.10,189.10,191.00,204400,191.00
2012-07-27,189.30,191.60,187.50,191.10,45500,191.10
2012-07-26,185.10,189.70,185.10,188.10,114800,188.10
2012-07-25,190.70,190.70,185.80,187.00,75600,187.00
2012-07-24,187.40,193.50,185.10,185.99,870200,185.99
2012-07-23,188.10,189.30,186.14,187.40,50100,187.40
2012-07-20,190.70,191.90,185.00,191.50,128200,191.50
2012-07-19,188.90,193.60,187.60,193.00,165100,193.00
2012-07-18,189.80,189.90,184.20,186.58,76300,186.58
2012-07-17,193.60,193.60,185.30,187.05,218000,187.05
2012-07-16,191.30,191.50,188.80,190.00,86100,190.00
2012-07-13,187.00,192.70,187.00,189.90,101000,189.90
2012-07-12,193.90,193.90,187.00,188.90,91800,188.90
2012-07-11,198.60,201.40,190.40,192.80,411100,192.80
2012-07-10,196.40,201.40,195.70,201.40,171000,201.40
2012-07-09,197.20,202.70,196.30,197.20,169300,197.20
2012-07-06,199.00,202.70,196.50,199.20,254300,199.20
2012-07-05,196.50,198.30,191.90,197.19,202500,197.19
2012-07-04,197.60,197.60,189.30,192.00,232100,192.00
2012-07-03,194.60,195.00,191.70,192.90,265500,192.90
2012-07-02,198.20,198.20,191.50,193.00,187700,193.00
2012-06-29,196.10,196.60,191.40,193.40,165900,193.40
2012-06-28,190.20,192.80,189.00,191.80,76700,191.80
2012-06-27,190.00,192.30,186.90,191.50,119900,191.50
2012-06-26,191.30,191.30,185.20,189.30,143300,189.30
2012-06-25,193.60,199.00,189.60,190.00,262200,190.00
2012-06-22,194.40,196.90,192.00,195.80,65200,195.80
2012-06-21,191.70,197.30,190.00,195.50,163400,195.50
2012-06-20,186.10,192.20,186.00,191.70,311600,191.70
2012-06-19,187.30,189.40,185.00,186.10,127300,186.10
2012-06-18,189.10,189.60,185.00,185.90,103800,185.90
2012-06-15,181.80,195.00,181.40,187.70,750700,187.70
2012-06-14,178.70,182.90,177.50,179.57,218800,179.57
2012-06-13,181.80,183.60,178.70,180.00,184900,180.00
