Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,216.00,219.30,213.50,215.00,60900,217.70
2012-08-01,215.10,218.49,215.10,217.70,41600,217.70
2012-07-31,218.30,219.70,215.85,218.65,30000,218.65
2012-07-30,216.00,219.70,216.00,218.30,43500,218.30
2012-07-27,214.00,215.70,214.00,215.70,23900,215.70
2012-07-26,211.00,213.62,208.00,213.62,118100,213.62
2012-07-25,210.00,211.55,208.75,208.75,28700,208.75
2012-07-24,210.00,212.49,209.00,209.00,60800,209.00
2012-07-23,211.00,215.24,208.54,210.00,53800,210.00
2012-07-20,216.75,218.49,214.00,214.00,29500,214.00
2012-07-19,215.02,217.99,214.75,217.55,103700,217.55
2012-07-18,217.50,217.50,213.88,216.00,61600,216.00
2012-07-17,214.50,217.49,214.50,214.88,59800,214.88
2012-07-16,215.50,216.51,214.38,214.88,53900,214.88
2012-07-13,213.00,216.20,213.00,216.20,37300,216.20
2012-07-12,215.10,215.50,213.10,214.50,9900,214.50
2012-07-11,211.51,214.27,211.51,214.27,42200,214.27
2012-07-10,213.60,216.25,213.60,216.25,28900,216.25
2012-07-09,211.75,215.24,211.75,215.00,41300,215.00
2012-07-06,215.00,215.19,212.60,214.30,19900,214.30
2012-07-05,214.84,216.35,214.34,214.34,23600,214.34
2012-07-04,213.25,217.00,212.77,215.75,59900,215.75
2012-07-03,214.50,215.00,214.11,215.00,27800,215.00
2012-07-02,212.50,215.00,209.50,209.50,45500,209.50
2012-06-29,209.00,212.40,208.00,212.00,83200,212.00
2012-06-28,206.00,209.25,206.00,207.75,25000,207.75
2012-06-27,210.00,210.00,208.00,208.00,44100,208.00
2012-06-26,212.75,212.95,210.50,211.00,34100,211.00
2012-06-25,214.00,214.00,210.95,213.50,26600,213.50
2012-06-22,213.25,213.25,211.38,211.38,10100,211.38
2012-06-21,215.75,215.75,213.00,213.00,26400,213.00
2012-06-20,215.00,216.00,212.60,215.50,33100,215.50
2012-06-19,215.75,215.75,215.75,215.75,50100,215.75
2012-06-18,212.00,212.19,209.00,210.00,45700,210.00
2012-06-15,209.75,211.00,208.45,209.00,47000,209.00
2012-06-14,211.50,211.50,205.90,209.00,52800,209.00
2012-06-13,210.00,211.74,208.00,210.00,36200,210.00
2012-06-12,207.00,210.00,207.00,210.00,40100,210.00
2012-06-11,210.50,212.86,207.00,210.00,73000,210.00
2012-06-08,210.00,210.00,205.52,209.00,9600,209.00
2012-06-07,207.00,210.00,204.88,210.00,11900,210.00
2012-06-06,206.25,207.00,203.50,207.00,80600,207.00
2012-06-01,201.00,206.00,199.48,201.00,60000,201.00
2012-05-31,207.00,207.00,207.00,207.00,12600,207.00
2012-05-30,203.25,206.50,203.00,206.00,52400,206.00
2012-05-29,206.00,208.55,206.00,207.00,48700,207.00
2012-05-28,208.70,208.99,208.00,208.00,20900,208.00
2012-05-25,205.60,205.60,205.10,205.10,15400,205.10
2012-05-24,204.00,208.00,204.00,208.00,26300,208.00
2012-05-23,209.00,209.00,203.00,203.00,19900,203.00
2012-05-22,208.77,208.99,206.34,208.50,46000,208.50
2012-05-21,205.30,206.50,205.30,205.73,37100,205.73
2012-05-14,210.00,211.65,208.00,208.06,25300,208.06
2012-05-11,210.75,214.00,207.49,214.00,36100,214.00
2012-05-10,207.50,211.74,207.13,211.00,25700,211.00
2012-05-09,210.25,211.50,207.25,207.25,30800,207.25
2012-05-08,211.00,213.25,208.38,210.09,44800,210.09
2012-05-04,213.50,214.00,211.00,211.00,29200,211.00
2012-05-03,216.50,216.50,214.04,216.00,74300,216.00
2012-05-02,215.00,218.00,214.00,217.25,95300,217.25
2012-05-01,214.51,218.00,214.32,218.00,47300,218.00
2012-04-30,216.00,216.16,213.41,215.16,24700,215.16
2012-04-27,215.00,216.50,214.00,215.00,46500,215.00
2012-04-26,214.75,214.77,213.00,213.00,76100,213.00
2012-04-25,213.00,216.00,212.00,214.25,97200,214.25
2012-04-24,209.00,212.75,209.00,212.00,39500,212.00
2012-04-23,212.50,214.24,208.25,209.00,100200,209.00
2012-04-20,214.25,214.74,213.00,213.00,36200,213.00
2012-04-19,212.50,214.85,212.50,213.26,33400,213.26
2012-04-18,214.00,214.65,212.00,212.50,72500,212.50
2012-04-17,212.00,213.25,209.00,212.00,29900,212.00
2012-04-16,211.00,212.00,208.00,212.00,75000,212.00
2012-04-13,210.00,213.00,208.50,209.44,24300,209.44
2012-04-12,211.00,211.50,211.00,211.50,46700,211.50
2012-04-11,208.50,208.84,204.01,208.49,90900,208.49
2012-04-10,210.50,210.50,205.00,205.00,112900,205.00
2012-04-05,210.00,211.89,209.00,211.25,74600,211.25
2012-04-04,213.50,215.86,209.00,209.00,81600,209.00
