Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,410.00,410.00,402.76,403.83,18900,405.00
2012-08-01,406.99,408.50,404.00,405.00,51600,405.00
2012-07-31,408.00,408.00,404.50,407.00,13900,407.00
2012-07-30,404.25,408.17,403.25,408.17,40100,408.17
2012-07-27,400.50,401.75,395.50,400.75,17300,400.75
2012-07-26,394.25,401.50,392.30,401.50,43200,401.50
2012-07-25,396.25,399.20,395.50,395.50,44800,395.50
2012-07-24,397.75,401.54,394.00,394.00,15900,394.00
2012-07-23,402.50,402.50,396.05,397.00,24200,397.00
2012-07-20,410.00,411.75,406.00,406.00,41100,406.00
2012-07-19,411.00,413.39,407.82,408.44,23500,408.44
2012-07-18,408.00,410.00,404.44,408.75,20400,408.75
2012-07-17,407.40,409.89,406.55,406.55,13800,406.55
2012-07-16,409.00,410.25,405.79,406.83,47900,406.83
2012-07-13,409.25,409.74,402.68,409.00,20100,409.00
2012-07-12,404.50,408.75,402.02,402.02,15900,402.02
2012-07-11,406.50,407.75,405.00,405.00,35600,405.00
2012-07-10,404.00,412.00,404.00,412.00,20200,412.00
2012-07-09,403.75,409.30,399.50,402.00,29700,402.00
2012-07-06,409.00,411.99,406.27,406.27,8900,406.27
2012-07-05,408.00,411.88,407.99,411.75,12400,411.75
2012-07-04,409.00,412.74,407.51,408.00,19100,408.00
2012-07-03,407.00,411.49,405.82,410.00,39800,410.00
2012-07-02,408.00,408.84,402.00,405.00,33400,405.00
2012-06-29,408.00,408.00,401.51,405.50,26900,405.50
2012-06-28,401.00,402.89,396.50,402.00,22300,402.00
2012-06-27,397.00,399.00,394.74,399.00,20400,399.00
2012-06-26,396.00,396.74,394.02,396.14,29900,396.14
2012-06-25,398.50,403.74,393.00,395.00,28300,395.00
2012-06-22,398.00,400.50,398.00,398.00,64100,398.00
2012-06-21,406.75,408.00,402.00,402.00,28000,402.00
2012-06-20,404.00,406.92,401.11,404.23,24800,404.23
2012-06-19,395.00,404.75,395.00,404.75,23000,404.75
2012-06-18,400.00,400.00,393.11,396.14,33500,396.14
2012-06-15,397.00,399.00,395.11,396.75,53700,396.75
2012-06-14,395.50,398.75,392.50,392.50,27300,392.50
2012-06-13,395.25,399.75,393.00,399.75,62800,399.75
2012-06-12,393.25,397.25,391.25,395.25,33800,395.25
2012-06-11,393.00,401.00,392.00,393.50,18500,393.50
2012-06-08,400.00,400.00,394.11,397.00,27200,397.00
2012-06-07,397.00,400.00,394.40,400.00,28400,400.00
2012-06-06,389.00,399.50,389.00,397.00,78100,397.00
2012-06-01,389.50,390.50,385.86,386.50,92900,386.50
2012-05-31,388.25,390.42,383.95,384.00,61100,384.00
2012-05-30,385.50,389.97,383.00,383.61,28900,383.61
2012-05-29,387.50,391.14,385.61,387.00,50200,387.00
2012-05-28,389.00,391.39,388.00,391.33,21200,391.33
2012-05-25,385.00,388.89,381.25,384.00,49300,384.00
2012-05-24,382.25,384.64,380.21,382.50,22400,382.50
2012-05-23,385.00,387.70,380.00,380.00,56700,380.00
2012-05-22,387.25,393.42,386.54,391.00,46600,391.00
2012-05-21,382.00,385.00,381.00,384.00,60200,384.00
2012-05-14,407.00,407.99,399.00,399.50,31500,399.50
2012-05-11,410.00,411.49,405.00,411.00,51700,411.00
2012-05-10,410.00,417.00,407.00,417.00,42600,417.00
2012-05-09,412.54,415.24,408.00,411.00,55800,411.00
2012-05-08,415.50,417.75,413.00,413.00,76600,413.00
2012-05-04,426.50,426.58,415.00,415.00,71500,415.00
2012-05-03,422.75,425.02,422.21,422.25,30200,422.25
2012-05-02,422.75,424.75,419.00,420.75,42100,420.75
2012-05-01,420.75,426.50,419.25,426.50,38200,426.50
2012-04-30,425.50,425.89,420.62,422.89,41900,422.89
2012-04-27,424.00,425.75,421.11,425.75,26100,425.75
2012-04-26,422.75,423.75,418.52,420.00,51900,420.00
2012-04-25,418.50,420.25,417.25,419.00,24900,419.00
2012-04-24,413.50,417.50,413.50,415.50,32400,415.50
2012-04-23,420.00,420.14,410.00,412.18,57000,412.18
2012-04-20,421.00,423.50,418.86,419.00,23400,419.00
2012-04-19,421.25,423.49,420.50,422.00,71400,422.00
2012-04-18,419.50,422.00,417.00,419.00,32900,419.00
2012-04-17,415.00,417.14,411.25,417.00,56900,417.00
2012-04-16,414.00,416.00,408.87,415.00,85500,415.00
2012-04-13,414.75,417.24,411.13,413.50,30100,413.50
2012-04-12,409.00,412.24,407.00,412.00,24000,412.00
2012-04-11,406.75,411.74,405.00,408.00,40500,408.00
2012-04-10,413.75,414.49,408.50,408.50,73700,408.50
2012-04-05,419.25,422.24,411.50,415.75,56200,415.75
2012-04-04,425.75,427.75,416.00,416.00,44700,416.00
2012-04-03,429.00,432.64,426.00,426.00,76500,426.00
2012-04-02,427.00,431.25,420.50,431.25,59200,431.25
2012-03-30,423.00,427.89,422.00,423.00,66000,423.00
2012-03-29,427.00,429.75,422.00,422.00,69100,422.00
