Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,308.00,308.00,301.25,301.25,46800,307.60
2012-08-01,302.75,307.74,302.75,307.60,61400,307.60
2012-07-31,303.00,308.00,302.50,305.96,34300,305.96
2012-07-30,300.00,306.95,300.00,306.55,152400,306.55
2012-07-27,297.00,299.00,291.86,299.00,72100,299.00
2012-07-26,293.00,297.00,292.00,297.00,85300,297.00
2012-07-25,291.00,291.57,286.00,286.00,49900,286.00
2012-07-24,290.00,290.50,284.00,284.00,54000,284.00
2012-07-23,289.50,290.20,284.50,289.00,144400,289.00
2012-07-20,294.00,296.82,289.50,290.00,223500,290.00
2012-07-19,290.00,293.85,285.25,289.00,104700,289.00
2012-07-18,284.00,289.88,284.00,286.00,47100,286.00
2012-07-17,282.25,288.00,282.25,288.00,34500,288.00
2012-07-16,284.88,288.00,281.75,288.00,72700,288.00
2012-07-13,281.50,287.28,281.50,282.25,35400,282.25
2012-07-12,282.00,287.38,281.50,282.00,38600,282.00
2012-07-11,284.25,290.50,284.00,290.00,63500,290.00
2012-07-10,284.00,291.00,284.00,284.25,43800,284.25
2012-07-09,285.00,290.92,284.00,284.00,43600,284.00
2012-07-06,288.00,293.67,287.00,287.00,95000,287.00
2012-07-05,287.50,295.00,287.50,288.00,91200,288.00
2012-07-04,281.00,291.00,281.00,286.00,73500,286.00
2012-07-03,282.00,283.89,277.00,282.00,43800,282.00
2012-07-02,276.75,281.36,273.72,275.50,67400,275.50
2012-06-29,271.50,276.99,271.50,272.75,54400,272.75
2012-06-28,269.00,271.00,266.25,268.50,92600,268.50
2012-06-27,270.00,270.89,266.00,266.50,74400,266.50
2012-06-26,266.00,268.00,266.00,266.80,37800,266.80
2012-06-25,268.00,272.50,266.50,266.50,73900,266.50
2012-06-22,268.00,270.76,268.00,268.77,39400,268.77
2012-06-21,270.50,272.75,269.60,270.50,57300,270.50
2012-06-20,270.00,272.99,268.24,272.00,98000,272.00
2012-06-19,268.00,270.00,266.50,267.00,56600,267.00
2012-06-18,268.50,271.00,267.00,267.94,114300,267.94
2012-06-15,269.00,272.66,262.30,272.50,210500,272.50
2012-06-14,265.00,265.50,261.85,265.50,56700,265.50
2012-06-13,265.00,265.00,260.25,265.00,91900,265.00
2012-06-12,264.00,268.00,259.75,259.75,44400,259.75
2012-06-11,268.00,269.00,265.00,265.50,49700,265.50
2012-06-08,263.00,265.41,261.00,261.50,36600,261.50
2012-06-07,265.00,267.42,262.00,263.00,68300,263.00
2012-06-06,262.00,263.00,260.00,262.00,77800,262.00
2012-06-01,257.25,259.70,252.50,255.20,117100,255.20
2012-05-31,257.50,259.24,254.75,256.00,53400,256.00
2012-05-30,255.50,258.67,255.50,255.50,20900,255.50
2012-05-29,259.25,259.58,257.05,258.00,52800,258.00
2012-05-28,259.50,261.00,255.00,255.00,43300,255.00
2012-05-25,260.50,260.50,255.00,255.00,23000,255.00
2012-05-24,253.50,258.74,253.50,255.00,33400,255.00
2012-05-23,257.00,257.00,253.75,253.75,32500,253.75
2012-05-22,259.50,261.75,257.31,259.25,90700,259.25
2012-05-21,255.25,259.75,255.25,257.25,69000,257.25
2012-05-14,270.00,270.00,262.00,262.00,125400,262.00
2012-05-11,269.00,272.00,267.50,270.25,90800,270.25
2012-05-10,270.00,274.49,270.00,272.50,57800,272.50
2012-05-09,271.00,271.75,269.00,269.00,68500,269.00
2012-05-08,277.00,280.51,271.00,271.00,79300,271.00
2012-05-04,280.00,283.43,278.50,279.25,41000,279.25
2012-05-03,285.00,285.51,280.25,280.50,45900,280.50
2012-05-02,289.50,289.50,280.00,280.00,60700,280.00
2012-05-01,289.00,289.00,285.50,285.50,27200,285.50
2012-04-30,285.25,289.62,285.25,287.50,48700,287.50
2012-04-27,283.00,289.00,283.00,289.00,40700,289.00
2012-04-26,291.50,291.50,288.00,289.26,292500,289.26
2012-04-25,283.00,291.00,281.50,288.25,84500,288.25
2012-04-24,281.00,282.90,280.75,280.75,32900,280.75
2012-04-23,282.00,282.75,280.16,282.00,182800,282.00
2012-04-20,282.00,285.46,282.00,284.00,29700,284.00
2012-04-19,284.50,285.25,280.00,285.25,68800,285.25
2012-04-18,283.50,287.09,283.00,284.00,74300,284.00
2012-04-17,282.00,285.00,280.00,283.49,77800,283.49
2012-04-16,282.00,283.97,278.00,281.50,50100,281.50
2012-04-13,280.00,283.25,277.50,277.50,87600,277.50
2012-04-12,277.00,279.75,274.46,279.75,54200,279.75
2012-04-11,274.00,276.00,270.72,275.00,48200,275.00
2012-04-10,274.00,274.99,270.00,273.00,175600,273.00
2012-04-05,275.75,276.99,273.25,273.25,74100,273.25
2012-04-04,278.25,279.00,273.33,274.25,137800,274.25
2012-04-03,278.00,282.00,278.00,282.00,79600,282.00
2012-04-02,281.82,281.82,275.43,277.50,148600,277.50
2012-03-30,276.75,280.63,276.01,277.50,49700,277.50
2012-03-29,279.75,279.75,275.80,279.50,83900,279.50
2012-03-28,282.00,283.11,276.33,283.00,68000,283.00
2012-03-27,281.00,281.64,276.00,278.00,48200,278.00
2012-03-26,279.00,281.64,276.00,281.00,80600,281.00
2012-03-23,278.25,279.77,276.75,279.75,82400,279.75
2012-03-22,282.50,283.25,276.00,279.50,114800,279.50
2012-03-21,284.26,285.24,282.74,283.00,91400,283.00
2012-03-20,283.75,284.49,282.50,282.50,86800,282.50
2012-03-19,287.00,288.79,284.00,284.00,101300,284.00
2012-03-16,284.50,289.00,284.00,284.00,49000,284.00
2012-03-15,285.00,290.00,285.00,289.00,52500,289.00
2012-03-14,283.75,288.00,281.25,288.00,169100,288.00
2012-03-13,283.75,284.25,279.50,284.25,51800,284.25
2012-03-12,282.50,282.50,278.00,282.00,112300,282.00
2012-03-09,281.00,283.00,278.00,283.00,102900,283.00
2012-03-08,274.00,279.00,273.00,276.25,232900,276.25
2012-03-07,272.00,274.86,270.50,273.86,145600,273.86
2012-03-06,282.00,286.00,272.50,273.00,119800,273.00
2012-03-05,288.75,289.92,285.00,288.99,105500,288.99
2012-03-02,286.00,292.00,283.69,289.47,171000,289.47
2012-03-01,280.50,285.90,280.50,285.90,74300,285.90
2012-02-29,278.00,280.36,275.50,277.00,41500,277.00
2012-02-28,276.00,278.03,272.55,277.50,49300,277.50
2012-02-27,272.00,275.50,271.51,272.51,42200,272.51
2012-02-24,276.00,277.91,273.18,274.25,70200,274.25
2012-02-23,272.00,276.00,270.00,274.67,70100,274.67
2012-02-22,270.00,274.00,270.00,270.50,30600,270.50
2012-02-21,274.00,275.00,269.50,269.50,98300,269.50
2012-02-20,268.00,274.04,268.00,273.99,92700,273.99
2012-02-17,266.00,267.99,263.50,267.40,38000,267.40
2012-02-16,264.00,264.50,262.51,264.49,36600,264.49
2012-02-15,263.00,268.00,260.50,267.50,83700,267.50
2012-02-14,260.01,263.00,260.01,262.50,32000,262.50
2012-02-13,261.50,264.49,259.25,261.50,73100,261.50
2012-02-10,259.00,263.00,259.00,261.00,102100,261.00
2012-02-09,261.50,264.00,259.50,264.00,110400,264.00
2012-02-08,258.00,260.00,257.60,258.00,59400,258.00
2012-02-07,257.50,258.00,256.25,257.50,32400,257.50
2012-02-06,256.00,258.50,253.80,258.50,58800,258.50
